Species,Subgenus,Section,Series,Taxonomy,State(s),Obligate seeder,AOO (km2),EOO (km2),Geographic Range (km2),Habitat,EPD %,EPD (%) P,EPD (%) M,EPD (%) Urban,EPD (%) A,Category,Criteria,EPBC,State listing,EEC,Threats,Locations,Locations_value_type,TEC,Mature individuals,Mature_individuals_value_type,Largest sub-population,Accepted threats,Putative threats
Eucalyptus platydisca,Eucalyptus,Longistylus,Diversiformae,,WA,0,16,194.49,194.5,U,,,,,,EN,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",VU,VU (WA),,Active mining,4,raw,,,,,Active mining,
Eucalyptus platyphylla,Symphyomyrtus,Exsertaria,Subexsertae,,Qld,0,1104,880063.77,244856.5,P,9.48,9.48,,,,LC,,,,,0,,,,,,,,
Eucalyptus platypus,Symphyomyrtus,Bisectae,Erectae,,WA,1,608,45288.23,32820.7,P,58.62,58.62,,,,EN,A2b,,,,0,,,,,,,,
Eucalyptus pleurocarpa,Eudesmia,Limbatae,Heteropterae,,WA,0,512,165665.44,42037.8,M,30.35,,30.35,,,VU,A2b,,,22,0,,,22,,,,,
Eucalyptus pleurocorys,Symphyomyrtus,Dumaria,Exsertae,DD,WA; SA,0,,,,,,,,,,DD,taxonomy,,,,NA,NA,NA,,,,,,
Eucalyptus pluricaulis,Symphyomyrtus,Bisectae,Levispermae,,WA,0,704,129100.63,97796.4,M,46.96,,46.96,,,VU,A2b,,,,0,,,,,,,,
Eucalyptus polita,Symphyomyrtus,Dumaria,Rufispermae,,WA,1,64,3154.2,2645.1,P,17.11,17.11,,,,LC,,,,,0,,,,,,,,
Eucalyptus polyanthemos,Symphyomyrtus,Adnataria,Heterophloiae,,ACT; NSW; Vic,0,1800,340334.61,235701.5,M,25.57,,25.57,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus polybractea,Symphyomyrtus,Adnataria,Buxeales,,NSW,0,496,326724.04,21920.2,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus populnea,Symphyomyrtus,Adnataria,Buxeales,,NSW; Qld,0,2272,1129740.07,859188.9,P,36.14,36.14,,,,VU,A2b,,,2; 21; 29,0,,,2; 21; 29,,,,,
Eucalyptus porosa,Symphyomyrtus,Adnataria,Buxeales,,NSW; SA; Vic,0,3664,480927.2,244740.4,M,31.98,,31.98,,,VU,A2b,,,20,0,,,20,,,,,
Eucalyptus praetermissa,Symphyomyrtus,Bisectae,Levispermae,,WA,1,8,27.5,27.5,U,,,,,,VU,D2,,,,Too-frequent fire,1,raw,,,,,Obligate-seeder with fire,
Eucalyptus prava,Symphyomyrtus,Liberivalvae,,,NSW; Qld,0,452,58376.19,32796.2,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus preissiana,Eucalyptus,Longistylus,Preissianae,,WA,0,448,30920.36,11000,M,24.19,,24.19,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus prolixa,Symphyomyrtus,Bisectae,Heterostemones,,WA,1,284,69111.6,59891.6,P,8.96,8.96,,,,LC,,,,,0,,,,,,,,
Eucalyptus prominens,Symphyomyrtus,Bisectae,Accedentes,,WA,0,160,18385.69,7923.7,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus propinqua,Symphyomyrtus,Latoangulatae,Lepidotae-Fimbriatiae,,NSW; Qld,0,1200,306158.26,65562,M,17.83,,17.83,,,LC,,,,,0,,,,,,,,
Eucalyptus protensa,Symphyomyrtus,Bisectae,Erectae,,WA,1,124,31766.69,19927.9,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus provecta,Symphyomyrtus,Adnataria,Buxeales,,Qld,0,140,27073.2,27073.2,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus proxima,Symphyomyrtus,Bisectae,Clinatae,,WA,0,224,1775.49,1709.6,M,10.97,,10.97,,,LC,,,,,0,,,,,,,,
Eucalyptus pruiniramis,Symphyomyrtus,Bisectae,Accedentes,DD,WA,0,,,,,,,,,,DD,taxonomy,EN,EN (WA),,NA,NA,NA,,,,,,
Eucalyptus pruinosa,Symphyomyrtus,Maidenaria,Aquilonares,,WA; NT; Qld,0,2068,1387182.6,1096405.6,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus psammitica,Eucalyptus,Amentum,,,NSW; Qld,0,76,2598.65,1964.4,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus pterocarpa,Symphyomyrtus,Dumaria,Rufispermae,,WA,1,20,596.92,596.9,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus pulchella,Eucalyptus,Aromatica,Insulanae,,Tas,0,396,21226.89,9487.9,M,25.92,,,25.92,,NT,A2b,,,,Urbanisation,100--200,range,,,,,,
Eucalyptus pulverulenta,Symphyomyrtus,Maidenaria,Obriculares,,ACT; NSW,0,164,14162.16,705.8,U,,,,,,LC,,VU,,,0,,,,5400.00,raw,,,"Restricted range, mining, roads/utilities, weeds, grazing, seed collection"
Eucalyptus pumila,Symphyomyrtus,Pumilio,,,NSW,0,24,50.37,50.3,U,14.5,,,,,VU,D1,,VU (NSW),,Urbanisation,7,raw,,400.00,raw,,,
Eucalyptus punctata,Symphyomyrtus,Latoangulatae,Lepidotae-Fimbriatiae,,NSW; Qld,0,1396,199063.71,91467.2,M,15.94,,15.94,,,LC,,,,,0,,,,,,,,
Eucalyptus purpurata,Symphyomyrtus,Bisectae,Falcatae,,WA,1,8,81.49,81.3,N,,,,,,CR,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",,VU (WA),,Active mining,1,raw,,,,,Active mining,
Eucalyptus pyrenea,Symphyomyrtus,Maidenaria,Globulares,DD,Vic,0,,,,,,,,,,DD,taxonomy,,,,NA,NA,NA,,,,,,
Eucalyptus pyriformis,Symphyomyrtus,Bisectae,Curviptera,,WA,0,348,38089.63,31785.7,M,49.42,,49.42,,,VU,A2b,,,,0,,,,,,,,
Eucalyptus pyrocarpa,Eucalyptus,Pseudophloius,,,NSW,0,132,1804.73,1498.6,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus quadrangulata,Symphyomyrtus,Maidenaria,Globulares,,NSW; Qld,0,364,89965.6,38725.9,M,14.82,,14.82,,,LC,,,,,0,,,,,,,,
Eucalyptus quadrans,Symphyomyrtus,Bisectae,Heterostemones,,WA,0,300,27999.35,27551,P,26.66,26.66,,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus quadricostata,Symphyomyrtus,Adnataria,Siderophloiae,,Qld,0,180,3366.03,3350,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus quaerenda,Symphyomyrtus,Bisectae,Angustissimae,,WA,0,8,4672.16,673.2,P,42.52,42.52,,,,VU,A2b,,,,0,,,,,,,,
Eucalyptus quinniorum,Symphyomyrtus,Maidenaria,Globulares,DD,NSW,0,,,,,,,,,,DD,taxonomy,,,,NA,NA,NA,,,,,,
Eucalyptus racemosa,Eucalyptus,Cineraceae,Psathyroxylon,,NSW,0,1364,295281.66,67935,U,10.7,,,,,LC,,,,,Urbanisation,2000--10000,range,,,,,,
Eucalyptus radiata,Eucalyptus,Aromatica,Radiatae,,ACT; NSW; Qld; Tas; Vic,0,2636,526465.69,118475.5,M,21,,21,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus rameliana,Symphyomyrtus,Bisectae,Curviptera,,WA,0,132,13701.66,10784.1,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus raveretiana,Minutifructus,Domesticae,,,NSW,0,396,59935.58,,P,23.5,23.5,,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus ravida,Symphyomyrtus,Bisectae,Contortae,,Tas,1,580,106213.99,91559.9,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus recta,Symphyomyrtus,Bisectae,Falcatae,,WA,1,28,1419.57,90,M,52.5,,52.5,,,EN,A2b,EN,VU (WA),10,0,,,10,,,,,
Eucalyptus recurva,Symphyomyrtus,Maidenaria,Obscurae,,NSW,0,32,527.23,513.5,U,11.5,,,11.5,,CR,C2a(i); D,CR,CR (NSW),,Active mining,4,raw,,6.00,raw,3,Active mining,
Eucalyptus redimiculifera,Symphyomyrtus,Dumaria,Rufispermae,DD,WA,1,,,,,,,,,,DD,taxonomy,,,,NA,NA,NA,,,,,,
Eucalyptus redunca,Symphyomyrtus,Bisectae,Levispermae,,WA,0,128,13162.97,3371.7,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus regnans,Eucalyptus,Eucalyptus,Regnantes,,Tas; Vic,1,516,225867.87,50702.4,M,15.9,,15.9,,,LC,,,,,0,,,,,,,,
Eucalyptus relicta,Symphyomyrtus,Bisectae,Curviptera,,WA,0,8,225.24,70.3,U,,,,,,VU,D1,,,,0,,,,500.00,maximum,,,
Eucalyptus remota,Eucalyptus,Cineraceae,Psathyroxylon,,SA,0,300,3324.33,2193.6,M,23.32,,23.32,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus repullulans,Symphyomyrtus,Dumaria,Rufispermae,,WA; SA,0,176,28177.6,26073,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus resinifera,Symphyomyrtus,Latoangulatae,Annulares,,NSW; Qld,0,1076,773713.15,70583.3,M,19.24,,,19.24,,LC,,,,,Urbanisation,2000--10000,range,,,,,,
Eucalyptus retinens,Symphyomyrtus,Maidenaria,Globulares,DD,NSW,0,,,,,,,,,,DD,taxonomy,,,,NA,NA,NA,,,,,,
Eucalyptus retusa,Symphyomyrtus,Bisectae,Cornutae,,NT,0,4,213.92,39.2,U,,,,,,NT,D1,,,,0,,,,,,,,
Eucalyptus revelata,Symphyomyrtus,Exsertaria,Exsertae,,WA,,4,812.23,733.5,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus rhodantha,Symphyomyrtus,Bisectae,Curviptera,,WA,0,36,1195.21,229.9,M,50.31,,50.31,,,EN,A2b,VU,,,0,,,,,,,,
Eucalyptus rhombica,Symphyomyrtus,Adnataria,Siderophloiae,,Qld,0,52,12063.28,11763.6,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus rhomboidea,Symphyomyrtus,Bisectae,Subulatae,,NT,1,24,95.5,95.1,U,,,,,,EN,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",,,,Active mining,4,raw,,,,,Active mining,
Eucalyptus rigens,Symphyomyrtus,Dumaria,Rigentes,,WA,0,128,2428.5,2070.1,P,55.28,55.28,,,,EN,A2b,,,,0,,,,,,,,
Eucalyptus rigidula,Symphyomyrtus,Bisectae,Porantherae,,WA,0,1392,536690.81,355108.8,M,17.69,,17.69,,,LC,,,,,0,,,,,,,,
Eucalyptus risdonii,Eucalyptus,Aromatica,Insulanae,,Tas,0,96,228.76,200.5,U,49.3,,,49.3,,VU,A2b,,,,Urbanisation,25--40,range,,,,,,
Eucalyptus robusta,Symphyomyrtus,Latoangulatae,Annulares,,NSW; Qld,0,768,462118.61,26599.3,M,25.69,,,25.69,,NT,A2b,,,,Urbanisation,200--300,range,,,,,,
Eucalyptus rodwayi,Symphyomyrtus,Maidenaria,Foveolatae,,Tas,0,428,28990.22,23575.6,M,17.98,,17.98,,,LC,,,,,0,,,,,,,,
Eucalyptus rosacea,Symphyomyrtus,Bisectae,Curviptera,,WA,0,128,112189.46,112189.5,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus rossii,Eucalyptus,Cineraceae,Psathyroxylon,,ACT; NSW; Qld; Vic,0,964,230399.41,126838.4,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus rowleyi,Symphyomyrtus,Adnataria,Buxeales,,WA,0,44,16812.27,15365.6,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus roycei,Eudesmia,Limbatae,Heteropterae,,WA,0,188,19614.76,10715.1,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus rubida,Symphyomyrtus,Maidenaria,Viminales,,ACT; NSW; Tas; Vic,0,1668,398541.73,102101,M,21.62,,21.62,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus rubiginosa,Primitiva,,,,Qld,0,144,28744.21,23303.4,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus rudderi,Symphyomyrtus,Adnataria,Heterophloiae,,NSW,0,40,413.35,413.4,P,18.21,18.21,,,,LC,,,,,0,,,,,,,,
Eucalyptus rudis,Symphyomyrtus,Exsertaria,Singulares,,WA,0,1280,162110.88,91558,M,28.12,,28.12,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus rugosa,Symphyomyrtus,Dumaria,Exsertae,,SA,0,868,130083.09,13852.2,M,28.31,,28.31,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus rugulata,Symphyomyrtus,Bisectae,Falcatae,,WA,1,24,277.32,236.5,U,,,,,,EN,"B1ab(i,ii,iii,v)+2ab(i,ii,iii,iv,v)",,,,Active mining,3,raw,,,,,Active mining,
Eucalyptus rummeryi,Symphyomyrtus,Adnataria,Buxeales,,NSW,0,84,2628.52,932.7,P,14.29,14.29,,,,LC,,,,,0,,,,,,,,
Eucalyptus rupestris,Symphyomyrtus,Platysperma,,,WA,0,136,55729.6,31235.7,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus sabulosa,Symphyomyrtus,Maidenaria,Viminales,,Vic,0,344,8418.88,8418.9,M,30.83,,30.83,,,VU,A2b,,,,0,,,,,,,,
Eucalyptus salicola,Symphyomyrtus,Bisectae,Porantherae,,WA,0,464,192121.33,109716.7,M,20.5,,20.5,,,NT,A2b,,,10,0,,,,,,,,
Eucalyptus saligna,Symphyomyrtus,Latoangulatae,Transversae,,ACT; NSW; Qld; Vic,0,984,549389.6,117700.6,M,15.91,,15.91,,,LC,,,,,0,,,,,,,,
Eucalyptus salmonophloia,Symphyomyrtus,Bisectae,Salmonophloiae,,WA,0,1332,333189.08,287718.3,P,36.5,36.5,,,,VU,A2b,,,10,0,,,,,,,,
Eucalyptus salubris,Symphyomyrtus,Bisectae,Contortae,,WA,1,1340,363147.04,274517.7,P,29.9,29.9,,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus sargentii,Symphyomyrtus,Bisectae,Erectae,,WA,0.5,312,46185.81,35045.5,M,52.28,,52.28,,,EN,A2b,,,10,0,,,10,,,,,
Eucalyptus saxatilis,Symphyomyrtus,Maidenaria,Obriculares,,NSW; Vic,0,80,856.45,88.4,U,,,,,,LC,,,EN (NSW),,0,,,,2400.00,raw,,,"Restricted range, grazing"
Eucalyptus scias,Symphyomyrtus,Latoangulatae,Annulares,,NSW,0,500,65462.09,12908.6,M,20.81,,,20.81,,NT,A2b,,,,Urbanisation,100--200,range,,,,,,
Eucalyptus scoparia,Symphyomyrtus,Maidenaria,Microcarpae,,NSW; Qld,0,72,177.16,72.6,U,,,,,,LC,,VU,VU (Qld); EN (NSW),,0,,,,10000.00,minimum,,,"Restricted range, too-frequent fire, agriculture, timber harvesting, grazing"
Eucalyptus scopulorum,Symphyomyrtus,Adnataria,Rhodoxylon,,NT,0,4,2.69,2.7,U,,,,,,NT,D1,,,,0,,,,,,,,
Eucalyptus scyphocalyx,Symphyomyrtus,Dumaria,Furfuraceae,,NT,0,32,4669.12,1389.9,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus seeana,Symphyomyrtus,Liberivalvae,,,NSW; Qld,0,272,71155.44,30906.3,M,21.23,,,21.23,,NT,A2b,,,,Urbanisation,100--200,range,,,,,,
Eucalyptus semiglobosa,Symphyomyrtus,Bisectae,Falcatae,,WA,0,68,9898.06,4421.7,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus semota,Symphyomyrtus,Bisectae,Loxophlebae,,WA,0,12,6639.78,2826.7,U,,,,,,VU,D2,,,,Future mining,3,raw,,,,,Future mining,
Eucalyptus sepulcralis,Eucalyptus,Longistylus,Muricatae,,WA,0,116,2198.04,1958.4,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus serraensis,Eucalyptus,Capillulus,Pachyphloius,,Vic,0,104,1207.85,835.9,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus sessilis,Symphyomyrtus,Bisectae,Curviptera,,WA; NT,0,412,114516.19,54303,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus sheathiana,Symphyomyrtus,Dumaria,Rufispermae,,WA,0,648,44633.96,44085.6,M,49.21,,49.21,,,VU,A2b,,,10,0,,,10,,,,,
Eucalyptus shirleyi,Symphyomyrtus,Adnataria,Siderophloiae,,Qld,0,700,175283.61,142886.8,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus sicilifolia,Symphyomyrtus,Adnataria,Rhodoxylon,,Qld,0,40,113.02,67.3,U,,,,,,LC,,,VU (Qld),,0,,,,2000.00,minimum,,,No documentation available
Eucalyptus siderophloia,Symphyomyrtus,Adnataria,Siderophloiae,,NSW; Qld,0,1496,464014.26,78599.3,M,24.11,,,24.11,,NT,A2b,,,,Urbanisation,2000--10000,range,,,,,,
Eucalyptus sideroxylon,Symphyomyrtus,Adnataria,Melliodorae,,NSW,0,904,490037.84,151147.1,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus sieberi,Eucalyptus,Cineraceae,Psathyroxylon,,ACT; NSW; Tas; Vic,0,1972,311055.43,78180.6,M,15.19,,15.19,,,LC,,,,,0,,,,,,,,
Eucalyptus silvestris,Symphyomyrtus,Adnataria,Buxeales,,SA; Vic,0,104,1700.54,1700.5,P,94.21,94.21,,,,CR,A2b,,,,0,,,10,,,,,
Eucalyptus similis,Eudesmia,Reticulatae,Miniatae,,Qld,0,420,208295.79,74720.5,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus singularis,Symphyomyrtus,Dumaria,Tetrapterae,,WA,1,40,7254.28,3047,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus sinuosa,Symphyomyrtus,Bisectae,Cornutae,,WA,0,40,1652.73,751.9,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus smithii,Symphyomyrtus,Maidenaria,Compactae,,ACT; NSW; Vic,0,616,79396.67,37464.2,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus socialis,Symphyomyrtus,Bisectae,Subulatae,,WA; ACT; NSW; NT; Qld; SA; Vic,0,9288,3263894.16,1328054.7,P,20.43,20.43,,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus sparsa,Symphyomyrtus,Adnataria,Buxeales,,WA; NT; SA,0,360,83793.82,78129.5,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus sparsifolia,Eucalyptus,Capillulus,Pachyphloius,,NSW,0,656,64849.85,54766.4,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus spathulata,Symphyomyrtus,Bisectae,Erectae,,WA,1,216,37054.38,17748.5,P,76.21,76.21,,,,EN,A2b,,,10,0,,,10,,,,,
Eucalyptus sphaerocarpa,Eucalyptus,Cineraceae,Sphaerocarpae,,NT,0,64,79.61,79.4,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus splendens,Symphyomyrtus,Maidenaria,Viminales,,Vic,0,28,47.05,47,P,50.68,50.68,,,,EN,"A2b; B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",,,,Roadsides,5,raw,,,,,Roadsides,
Eucalyptus sporadica,Symphyomyrtus,Bisectae,Erectae,,WA,0,776,97532.93,69764.6,M,37.46,,37.46,,,VU,A2b,,,,0,,,10,,,,,
Eucalyptus spreta,Symphyomyrtus,Dumaria,Rufispermae,,WA,1,312,35158.65,28483.8,M,3.11,,3.11,,,LC,,,,,0,,,,,,,,
Eucalyptus squamosa,Symphyomyrtus,Bisectae,Squamosae,,NSW,0,276,10202.65,7021.5,U,31,,,31,,VU,A2b,,,,Urbanisation,protected,protected,,,,,,
Eucalyptus staeri,Eucalyptus,Longistylus,Occidentales,,WA,0,8,0.04,9193.3,M,22.43,,22.43,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus staigeriana,Symphyomyrtus,Adnataria,Siderophloiae,,Qld,0,152,32727.43,22694.6,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus steedmanii,Symphyomyrtus,Bisectae,Erectae,,WA,1,60,702.68,651.2,U,,,,,,VU,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",VU,VU (WA),,Active mining,6,raw,,,,,Active mining,
Eucalyptus stellulata,Eucalyptus,Longitudinales,,,ACT; NSW; Vic,0,1668,174200.46,77704.1,P,26.52,26.52,,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus stenostoma,Eucalyptus,Cineraceae,Stenostomae,,NSW,0,144,2114.86,1621.8,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus stoatei,Symphyomyrtus,Dumaria,Tetrapterae,,WA,1,28,878,503.3,M,29.57,,29.57,,,EN,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v); C2a(i)",,,,Active mining,3,raw,,1000--2000,range,6,Active mining,
Eucalyptus stowardii,Symphyomyrtus,Bisectae,Erectae,,WA,0,252,40612,35370.6,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus striaticalyx,Symphyomyrtus,Dumaria,Rufispermae,,WA; SA,unknown,700,1119666.78,656591.6,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus stricklandii,Symphyomyrtus,Bisectae,Stricklandianae,,WA,1,296,55181.82,32809.1,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus stricta,Eucalyptus,Eucalyptus,Strictae,,NSW,0,932,40882.59,26233.5,U,12.1,,,,,LC,,,,,Urbanisation,protected,protected,,,,,,
Eucalyptus strzeleckii,Symphyomyrtus,Maidenaria,Foveolatae,,Vic,0,184,23017.84,6479,P,66.71,66.71,,,,EN,A2b,VU,T (Vic),,Urbanisation,30--100,range,,,,,,
Eucalyptus sturgissiana,Symphyomyrtus,Maidenaria,Sturgissianae,,NSW,0,88,312.57,268.1,U,,,,,,NT,D1,,VU (NSW),,0,,,,1198.00,raw,,,"Restricted range, roads/utilities, too-frequent fire"
Eucalyptus subangusta,Symphyomyrtus,Bisectae,Levispermae,,WA,0,1212,167995.55,113962.8,M,38.83,,38.83,,,VU,A2b,,,10,0,,,,,,,,
Eucalyptus subcrenulata,Symphyomyrtus,Maidenaria,Semiunicolores,,Tas,0,400,15123.45,6833.4,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus suberea,Eucalyptus,Longistylus,Subereae,,WA,0,76,727.84,726.3,U,,,,,,VU,D1,VU,VU (WA),,0,,,,274.00,raw,,,
Eucalyptus subtilis,Symphyomyrtus,Bisectae,Levispermae,,WA,0,108,12849,9866.6,M,10.84,,10.84,,,LC,,,,,0,,,,,,,,
Eucalyptus suffulgens,Symphyomyrtus,Adnataria,Rhodoxylon,,Qld,0,404,72186.27,54896,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus suggrandis,Symphyomyrtus,Bisectae,Erectae,,WA,0,920,51926.05,33241.1,M,31.67,,31.67,,,VU,A2b,,,,0,,,,,,,,
Eucalyptus surgens,Symphyomyrtus,Dumaria,Merrickianae,DD,WA,0,,,,,,,,,,DD,taxonomy,,,,NA,NA,NA,,,,,,
Eucalyptus sweedmaniana,Symphyomyrtus,Dumaria,Tetrapterae,,NT,0,4,74.62,43.9,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus synandra,Symphyomyrtus,Bisectae,Curviptera,,WA,0,88,18171.16,3116.2,M,21.67,,21.67,,,EN,C2a(i),VU,VU (WA),,Active mining,12,raw,,1060.00,raw,249,Active mining,
Eucalyptus talyuberlup,Symphyomyrtus,Bisectae,Cornutae,,WA,0,188,3411.26,2356.5,M,24.53,,24.53,,,NT,A2b; D1,,,,0,,,,,,,,
Eucalyptus tardecidens,Symphyomyrtus,Adnataria,Buxeales,,Qld,0,244,54150.62,15725.4,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus taurina,Symphyomyrtus,Adnataria,Siderophloiae,,Qld,0,60,666.9,92.9,U,,,,,,NT,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",,VU (Qld),,Active mining,13,raw,,10000.00,minimum,,Active mining,
Eucalyptus tectifica,Symphyomyrtus,Maidenaria,Aquilonares,,WA; NT; Qld,0,1544,1580014.29,717300.2,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus tenella,Eucalyptus,Capillulus,Pachyphloius,,NSW,0,220,32572.5,16555.3,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus tenera,Symphyomyrtus,Bisectae,Erectae,,WA,0,512,207212.4,187957.9,M,25.21,,25.21,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus tenuipes,Cuboidea,,,,Qld,0,584,158012.75,94126.9,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus tenuiramis,Eucalyptus,Aromatica,Insulanae,,Tas,0,612,31641.9,9982.6,M,26.08,,,26.08,,NT,A2b,,,,Urbanisation,100--200,range,,,,,,
Eucalyptus tenuis,Symphyomyrtus,Dumaria,Rufispermae,,WA,1,88,1400.28,1263.6,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus tephroclada,Symphyomyrtus,Bisectae,Erectae,,WA,0,116,21138.06,18772,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus tephrodes,Symphyomyrtus,Adnataria,Striolatae,,WA; NT; Qld,0,276,54255.85,53565.1,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus terebra,Symphyomyrtus,Bisectae,Contortae,,WA,1,120,17642.7,9936.7,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus tereticornis,Symphyomyrtus,Exsertaria,Erythroxylon,,NSW; Qld; Vic,0,4404,3451971.45,539539.9,M,18.18,,18.18,,,LC,,,,,0,,,,,,,,
Eucalyptus terrica,Symphyomyrtus,Exsertaria,Erythroxylon,,Qld,0,240,7221.95,7212.7,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus tetrapleura,Symphyomyrtus,Adnataria,Rhodoxylon,,NSW,0,168,2329.62,1258.6,M,8.86,,8.86,,,LC,,VU,VU (NSW),,0,,,,2000.00,minimum,,,"Roads/utilities, weeds, agriculture, timber harvesting, grazing"
Eucalyptus tetraptera,Symphyomyrtus,Dumaria,Tetrapterae,,WA,0,352,55369.65,18001.6,M,25.16,,25.16,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus tetrodonta,Eudesmia,Complanatae,Tetrodontae,,WA; NT; Qld,0,1768,1904713.22,635342.1,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus thamnoides,Symphyomyrtus,Bisectae,Erectae,,WA,0,440,55185.95,39126.8,M,44.17,,44.17,,,VU,A2b,,,,0,,,10,,,,,
Eucalyptus tholiformis,Symphyomyrtus,Adnataria,Siderophloiae,,NSW; Qld,0,316,116158.42,95957.7,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus thozetiana,Symphyomyrtus,Adnataria,Coalitae,,NT; Qld; SA,0,1104,958759.75,387818.9,M,20.67,,20.67,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus tindaliae,Eucalyptus,Capillulus,Pachyphloius,,WA; NSW; NT; Qld; SA,0,608,63664.25,33482.2,U,11.9,,,11.9,,LC,,,,,Urbanisation,200--600,range,,,,,,
Eucalyptus tintinnans,Symphyomyrtus,Exsertaria,Exsertae,,NT,0,408,92212.94,82714.7,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus todtiana,Eucalyptus,Longistylus,Diversiformae,,WA,0,604,34319.61,20239.6,M,29.5,,29.5,,,NT,A2b,,,1,0,,,,,,,,
Eucalyptus torquata,Symphyomyrtus,Dumaria,Exsertae,,WA; SA,1,364,18643.14,14625.1,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus tortilis,Symphyomyrtus,Bisectae,Contortae,,WA,1,164,28183.92,28183.9,,,,,,,LC,,,,,0,,,,,,,,
