Species,Subgenus,Section,Series,Taxonomy,State(s),Obligate seeder,AOO (km2),EOO (km2),Geographic Range (km2),Habitat,EPD %,EPD (%) P,EPD (%) M,EPD (%) Urban,EPD (%) A,Category,Criteria,EPBC,State listing,EEC,Threats,Locations,Locations_value_type,TEC,Mature individuals,Mature_individuals_value_type,Largest sub-population,Accepted threats,Putative threats
Eucalyptus captiosa,Symphyomyrtus,Dumaria,Incrassatae,,WA,0,100,4361.13,4189.2,M,46.24,,46.24,,,VU,A2b,,,,0,,,,,,,,
Eucalyptus carnea,Eucalyptus,Amentum,,,NSW; Qld,0,880,157350.18,81548.3,M,16.34,,16.34,,,LC,,,,,0,,,,,,,,
Eucalyptus carnei,Symphyomyrtus,Bisectae,Stricklandianae,,WA,1,316,254408.33,234222.5,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus carolaniae,Symphyomyrtus,Maidenaria,Globulares,,Vic,0,4,0.17,0.2,N,,,,,,CR,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",,T (Vic),,Urbanisation; lack of recruitment,1,raw,,,,,Urbanisation,
Eucalyptus castrensis,Symphyomyrtus,Adnataria,Buxeales,DD,NSW,0,,,,,,,,,,DD,taxonomy,,EN (NSW),,NA,NA,NA,,,,,,
Eucalyptus celastroides,Symphyomyrtus,Bisectae,Heterostemones,,WA,0,1816,353685.71,271062.3,M,20.75,,20.75,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus cephalocarpa,Symphyomyrtus,Maidenaria,Argyophyllae,,NSW; Vic,0,560,82245.14,25870.8,M,42.72,,,42.72,,VU,A2b,,,10,Urbanisation,50--100,range,10,,,,,
Eucalyptus ceracea,Eudesmia,Reticulatae,Miniatae,,WA; NSW; NT; Qld; SA; Vic,0,36,209.37,206.9,U,,,,,,LC,,VU,VU (WA),,0,,,,10000.00,minimum,,,"Restricted range, mining, too-frequent fire"
Eucalyptus cerasiformis,Symphyomyrtus,Bisectae,Elongatae,,WA,0,52,528.43,527.3,U,,,,,,VU,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",,,,Active mining,6,raw,,,,,Active mining,
Eucalyptus ceratocorys,Symphyomyrtus,Dumaria,Tetrapterae,,WA,0,128,84669.86,17448.5,M,18.31,,18.31,,,LC,,,,,0,,,,,,,,
Eucalyptus cernua,Symphyomyrtus,Bisectae,Clinatae,,WA,1,168,3925.58,2870.3,M,18.31,,18.31,,,LC,,,,,0,,,,,,,,
Eucalyptus chapmaniana,Symphyomyrtus,Maidenaria,Obriculares,,NSW; Vic,0,264,22316.35,15354.4,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus chartaboma,Eudesmia,Reticulatae,Miniatae,,Qld,0,264,112433.77,66782.6,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus chloroclada,Symphyomyrtus,Exsertaria,Exsertae,,NSW; Qld,0,1376,397474.49,236570.3,M,29.84,,29.84,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus chlorophylla,Symphyomyrtus,Maidenaria,Aquilonares,,WA; NT; Qld,0,1808,1273540.65,719385.6,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus cinerea,Symphyomyrtus,Maidenaria,Argyophyllae,,ACT; NSW; Vic,0,584,65333.28,18836.3,M,28.31,,28.31,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus cladocalyx,Symphyomyrtus,Sejunctae,,,SA,0,440,64521.31,7121.1,M,31.89,,31.89,,,VU,A2b,,,12; 20,0,,,12; 20,,,,,
Eucalyptus clelandiorum,Symphyomyrtus,Dumaria,Rufispermae,,WA; NT; Qld; SA,1,732,240352.41,240352.4,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus clivicola,Symphyomyrtus,Bisectae,Levispermae,,WA,1,184,20619.73,19140.8,M,30.23,,30.23,,,VU,A2b,,,,0,,,,,,,,
Eucalyptus cloeziana,Idiogenes,,,,Qld,0,800,330110.05,80393.8,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus cneorifolia,Symphyomyrtus,Bisectae,Angustissimae,,SA,0,340,5825.04,1795.1,M,34.32,,34.32,,,VU,A2b,,,16,0,,,16,,,,,
Eucalyptus coccifera,Eucalyptus,Aromatica,Insulanae,,Tas,0,800,32240.62,18899.9,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus codonocarpa,Eucalyptus,Eucalyptus,Strictae,,NSW; Qld,0,224,14914.32,2262.7,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus comitae-vallis,Symphyomyrtus,Dumaria,Ovulares,,WA,0,672,210520.62,172507.9,P,26.46,26.46,,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus concinna,Symphyomyrtus,Dumaria,Rufispermae,,Tas,0,1572,967914.74,487577.4,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus conferruminata,Symphyomyrtus,Bisectae,Lehmannianae,,WA,1,52,24166.19,215.4,U,,,,,,NT,D1,,,,0,,,,,,,,
Eucalyptus conferta,Symphyomyrtus,Maidenaria,Viminales,,Vic,0,12,3.5,3.5,M,27.27,,,27.27,,VU,D1,,,,Urbanisation,protected,protected,,700.00,raw,,,
Eucalyptus confluens,Symphyomyrtus,Platysperma,,,WA; NT,0,296,65572.91,22378.6,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus conglobata,Symphyomyrtus,Dumaria,Rufispermae,,WA; SA,0,828,342102.22,42595.7,M,26.49,,26.49,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus conglomerata,Eucalyptus,Capillulus,Pachyphloius,,Qld,0,132,951.51,329.8,M,46.39,,,46.39,,EN,C2a(i),EN,EN (Qld),,Urbanisation,15,raw,,1100.00,raw,20--50,Urbanisation,
Eucalyptus conica,Symphyomyrtus,Adnataria,Heterophloiae,,NSW; Qld,0,1172,456612.4,161306.3,P,49.23,49.23,,,,VU,A2b,,,31,0,,,31,,,,,
Eucalyptus consideniana,Eucalyptus,Cineraceae,Psathyroxylon,,ACT; NSW; Vic,0,804,213534.7,52634.3,M,16.06,,16.06,,,LC,,,,,0,,,,,,,,
Eucalyptus conspicua,Symphyomyrtus,Maidenaria,Argyophyllae,,NSW; Vic,0,416,31996.2,19742.6,M,19.72,,19.72,,,LC,,,,,0,,,,,,,,
Eucalyptus conveniens,Eudesmia,Limbatae,Heteropterae,DD,WA,0,,,,,,,,,,DD,taxonomy,,,,NA,NA,NA,,,,,,
Eucalyptus coolabah,Symphyomyrtus,Adnataria,Oliganthae,,WA; NSW; NT; Qld; SA,0,3864,3291462.65,2487838.4,P,23.13,23.13,,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus cooperiana,Symphyomyrtus,Bisectae,Cooperiana,,WA,0,336,28872.87,8171,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus copulans,Eucalyptus,Longitudinales,0,DD,NSW,0,,,,,,,,,,DD,taxonomy,EN,EN (NSW),,NA,NA,NA,,,,,,
Eucalyptus cordata,Symphyomyrtus,Maidenaria,Obriculares,,Tas,0,336,7740.58,2184.2,M,23.81,,,23.81,,NT,A2b,,,,Urbanisation,100--200,range,,,,,,
Eucalyptus cornuta,Symphyomyrtus,Bisectae,Cornutae,,WA,0,580,102300.27,25704.1,M,21.76,,21.76,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus coronata,Eucalyptus,Longistylus,Preissianae,,WA,0,24,675.11,417.6,U,,,,,,LC,,VU,EN (WA),,0,,,,7510.00,raw,,,"Small population (<250), roads/ utilities, too-frequent fire, climate change, phytophthora"
Eucalyptus corrugata,Symphyomyrtus,Dumaria,Ovulares,,WA,0,280,29082.51,23050.5,M,6.61,,6.61,,,LC,,,,,0,,,,,,,,
Eucalyptus corticosa,Symphyomyrtus,Maidenaria,Acaciiformes,,NSW,0,52,421.57,421.6,U,,,,,,LC,,,VU (NSW),,0,,,,1000.00,minimum,,,"Restricted range, roads/ utilities, too-frequent fire, agriculture"
Eucalyptus corynodes,Symphyomyrtus,Adnataria,Rhodoxylon,,Qld,0,128,19957.92,7416.4,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus cosmophylla,Symphyomyrtus,Incognitae,,,SA,0,796,20127.99,7248.2,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus costuligera,Symphyomyrtus,Adnataria,Oliganthae,,WA,0,36,4629.79,4629.8,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus crebra,Symphyomyrtus,Adnataria,Siderophloiae,,NSW; Qld,0,6304,1185217.73,640147.7,M,18.23,,18.23,,,LC,,,,,0,,,,,,,,
Eucalyptus crenulata,Symphyomyrtus,Maidenaria,Crenulatae,,Vic,0,12,44.22,1.6,N,,,,,,CR,"B1ab(i,ii,iii,iv,v)",EN,T (Vic),,Dieback,1,raw,,400--600,range,,Dieback,
Eucalyptus creta,Symphyomyrtus,Bisectae,Contortae,,WA,1,40,3393.71,1841.2,M,1.94,,1.94,0,,LC,,,,,0,,,,,,,,
Eucalyptus cretata,Symphyomyrtus,Dumaria,Rufispermae,,SA,0,244,5295.39,5093.8,P,75.74,75.74,,,,EN,A2b,,,,0,,,,,,,,
Eucalyptus crispata,Symphyomyrtus,Bisectae,Accedentes,DD,WA,,,,,,,,,,,DD,taxonomy,VU,EN (WA),,NA,NA,NA,,,,,,
Eucalyptus croajingolensis,Eucalyptus,Aromatica,Radiatae,,NSW; Vic,0,588,51783.16,37956.5,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus crucis,Symphyomyrtus,Bisectae,Curviptera,,WA,0,232,32457.77,12708.9,U,,,,,,VU,D1,,,,0,,,,500--999,range,,,
Eucalyptus cullenii,Symphyomyrtus,Adnataria,Siderophloiae,,Qld,0,980,174589.85,84828.6,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus cunninghamii,Eucalyptus,Eucalyptus,Strictae,,NSW,0,112,313.38,308.8,U,12.1,,,,,NT,D1,,,,0,,,,,,,,
Eucalyptus cuprea,Symphyomyrtus,Adnataria,Buxeales,,WA,0,68,3903.09,3525,P,78.15,78.15,,,,EN,A2b,,EN (WA),,0,,,,,,,,
Eucalyptus cupularis,Symphyomyrtus,Exsertaria,Subexsertae,,WA; NT,0,296,168697.43,159321.9,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus curtisii,Acerosae,,,,Qld,0,408,100422.71,97718.7,U,,,,,,NT,"B2ab(i,ii,iii,iv,v)",,,,Active mining; urbanisation,19,raw,,,,,,
Eucalyptus cuspidata,Symphyomyrtus,Dumaria,Tetrapterae,DD,WA,0,,,,,,,,,,DD,taxonomy,,,,NA,NA,NA,,,,,,
Eucalyptus cyanophylla,Symphyomyrtus,Dumaria,Rufispermae,,NSW; SA; Vic,0,436,12769.84,9657,M,34.12,,34.12,,,VU,A2b,,,,0,,,,,,,,
Eucalyptus cyclostoma,Symphyomyrtus,Dumaria,Ovulares,,WA,0,196,10041.85,8002.2,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus cylindriflora,Symphyomyrtus,Bisectae,Elongatae,,WA,0,444,83490.87,67417.9,M,9.17,,9.17,,,LC,,,,,0,,,,,,,,
Eucalyptus cylindrocarpa,Symphyomyrtus,Dumaria,Ovulares,,WA,0,704,161653.95,150405.4,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus cypellocarpa,Symphyomyrtus,Maidenaria,Globulares,,ACT; NSW; Vic,0,1340,429028.63,110802.9,M,18.02,,18.02,,,LC,,,,,0,,,,,,,,
Eucalyptus dalrympleana,Symphyomyrtus,Maidenaria,Viminales,,ACT; NSW; Qld; SA; Tas; Vic,0,1892,1019033.52,128350.8,M,17.47,,17.47,,,LC,,,,,0,,,,,,,,
Eucalyptus dalveenica,Symphyomyrtus,Adnataria,Heterophloiae,,NSW; Qld,0,0,4.09,4.1,N,,,,,,EN,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v);C2a(i); D",,,,Lack of recruitment,2,raw,,240.00,raw,50--249,Urbanisation; recruitment,
Eucalyptus dawsonii,Symphyomyrtus,Maidenaria,Dawsonianae,,NSW,0,348,23663.18,20350.4,P,37.89,37.89,,,,VU,A2b,,,4; 14,0,,,4; 14,,,,,
Eucalyptus dealbata,Symphyomyrtus,Exsertaria,Exsertae,,ACT; NSW; Qld; Vic,0,1308,240834.23,195625.4,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus deanei,Symphyomyrtus,Latoangulatae,Transversae,,NSW; Qld,0,572,91254.3,26580.2,M,13.82,,13.82,,,LC,,,,,0,,,,,,,,
Eucalyptus decipiens,Symphyomyrtus,Bisectae,Falcatae,,WA,0,516,94802.2,44781.5,M,24.11,,24.11,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus decolor,Symphyomyrtus,Adnataria,Rhodoxylon,,Qld,0,84,4314.69,1333.6,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus decorticans,Symphyomyrtus,Adnataria,Siderophloiae,,Qld,0,480,183788.48,73234.2,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus decurva,Symphyomyrtus,Bisectae,Decurvae,,WA,0,476,87404.14,17162.7,M,24.05,,24.05,,,NT,A2b,,,,0,,,,,,,,
Eucalyptus deflexa,Symphyomyrtus,Dumaria,Exsertae,,WA,0,108,9423.22,7247.8,M,10.15,,10.15,,,LC,,,,,0,,,,,,,,
Eucalyptus delegatensis,Eucalyptus,Cineraceae,Fraxinales,,ACT; NSW; Tas; Vic,1,1292,266567.54,68695.7,U,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus delicata,Symphyomyrtus,Bisectae,Subulatae,,WA,0,136,55706.68,55706.7,,,,,,,LC,,,,,0,,,,,,,,
Eucalyptus dendromorpha,Eucalyptus,Eucalyptus,Strictae,,NSW,1,284,10045.75,2120.3,,,,,,,LC,,,,,0,,,,,,,,
