taxon_name,habitat,source_id
Commelina cyanea,dry_sclerophyll heath shrubland woodland,Kubiak_2009; Lord_1997
Erigeron bonariensis,dry_sclerophyll shrubland woodland,Kubiak_2009; Tsakalos_2020
Cortaderia selloana,dry_sclerophyll heath shrubland woodland,Kubiak_2009
Crocosmia x crocosmiiflora,dry_sclerophyll heath shrubland woodland,Kubiak_2009
Cryptostylis erecta,dry_sclerophyll shrubland woodland,Kubiak_2009
Cymbidium suave,dry_sclerophyll heath shrubland woodland,Kubiak_2009
Cyperus albostriatus,dry_sclerophyll heath shrubland woodland,Kubiak_2009
Cyperus eragrostis,dry_sclerophyll shrubland woodland,Kubiak_2009
Davallia solida var. pyxidata,dry_sclerophyll heath shrubland woodland,Kubiak_2009
Delairea odorata,dry_sclerophyll shrubland woodland,Kubiak_2009
Dianella prunina,dry_sclerophyll heath shrubland woodland,Kubiak_2009
Digitaria parviflora,dry_sclerophyll heath shrubland woodland,Kubiak_2009
Dillwynia rudis,dry_sclerophyll heath rainforest shrubland wet_sclerophyll woodland,Kubiak_2009; Leishman_1993; Leishman_1995
Dipodium roseum,dry_sclerophyll shrubland woodland,Kubiak_2009
Dipodium variegatum,dry_sclerophyll shrubland woodland,Kubiak_2009
Dipogon lignosus,dry_sclerophyll shrubland woodland,Kubiak_2009
Diuris maculata,dry_sclerophyll shrubland woodland,Kubiak_2009
Dockrillia linguiformis,dry_sclerophyll heath shrubland woodland,Kubiak_2009
Blechnum neohollandicum,dry_sclerophyll heath shrubland woodland,Kubiak_2009
Blechnum rupestre,dry_sclerophyll shrubland woodland,Kubiak_2009
Blechnum lineare,dry_sclerophyll shrubland woodland,Kubiak_2009
Drosera binata,dry_sclerophyll heath shrubland woodland,Kubiak_2009
Echinopogon caespitosus,dry_sclerophyll heath rainforest shrubland wet_sclerophyll woodland,Kubiak_2009; Leishman_1993; Leishman_1995
Ehrharta erecta,dry_sclerophyll shrubland woodland,Kubiak_2009
Entolasia marginata,dry_sclerophyll shrubland woodland,Kubiak_2009
Epacris crassifolia,dry_sclerophyll heath shrubland woodland,Kubiak_2009
Erigeron karvinskianus,dry_sclerophyll shrubland woodland,Kubiak_2009
Eriochilus petricola,dry_sclerophyll shrubland woodland,Kubiak_2009
Eryngium pandanifolium,dry_sclerophyll shrubland woodland,Kubiak_2009
Erythrina crista-galli,dry_sclerophyll heath shrubland woodland,Kubiak_2009
Erythrina x sykesii,dry_sclerophyll heath shrubland woodland,Kubiak_2009
Euphorbia oblongata,dry_sclerophyll shrubland woodland,Kubiak_2009
Ficus pumila,dry_sclerophyll shrubland woodland,Kubiak_2009
Foeniculum vulgare,dry_sclerophyll heath shrubland woodland,Kubiak_2009
Freesia leichtlinii subsp. leichtlinii x Freesia leichtlinii subsp. alba,dry_sclerophyll shrubland woodland,Kubiak_2009
Fumaria capreolata,dry_sclerophyll shrubland woodland,Kubiak_2009
Gahnia clarkei,dry_sclerophyll shrubland woodland,Kubiak_2009
Gahnia erythrocarpa,dry_sclerophyll heath rainforest shrubland wet_sclerophyll woodland,Kubiak_2009; Leishman_1993; Leishman_1995
Gahnia melanocarpa,dry_sclerophyll heath rainforest shrubland wet_sclerophyll woodland,Kubiak_2009; Leishman_1993; Leishman_1995
Gahnia radula,dry_sclerophyll heath shrubland woodland,Kubiak_2009; Moles_2011
Galinsoga parviflora,dry_sclerophyll shrubland woodland,Kubiak_2009
Gamochaeta americana,dry_sclerophyll shrubland woodland,Kubiak_2009
Gamochaeta pensylvanica,dry_sclerophyll shrubland woodland,Kubiak_2009
Gamochaeta coarctata,dry_sclerophyll shrubland woodland,Kubiak_2009
Genista monspessulana,dry_sclerophyll shrubland woodland,Kubiak_2009
Corunastylis rufa,dry_sclerophyll heath shrubland woodland,Kubiak_2009
Geranium homeanum,dry_sclerophyll heath rainforest shrubland wet_sclerophyll woodland,Kubiak_2009; Leishman_1993; Leishman_1995
Gladiolus angustus,dry_sclerophyll heath shrubland woodland,Kubiak_2009
Gleichenia dicarpa,dry_sclerophyll shrubland woodland,Kubiak_2009
Gleichenia microphylla,dry_sclerophyll shrubland woodland,Kubiak_2009
Gleichenia rupestris,dry_sclerophyll heath shrubland woodland,Kubiak_2009
Glossodia major,dry_sclerophyll shrubland woodland,Kubiak_2009
Glossodia minor,dry_sclerophyll heath rainforest shrubland wet_sclerophyll woodland,Kubiak_2009; Leishman_1995
Gonocarpus teucrioides,dry_sclerophyll heath rainforest shrubland wet_sclerophyll woodland,Kubiak_2009; Leishman_1993; Leishman_1995
Haemodorum corymbosum,dry_sclerophyll heath rainforest shrubland wet_heath wet_sclerophyll woodland,Kubiak_2009; Leishman_1993; Leishman_1995; Taseski_2017
Haemodorum planifolium,dry_sclerophyll heath shrubland wet_heath woodland,Kubiak_2009; Taseski_2017
Hedera helix,dry_sclerophyll shrubland woodland,Kubiak_2009
Hedychium gardnerianum,dry_sclerophyll shrubland woodland,Kubiak_2009
Coronidium rutidolepis,dry_sclerophyll shrubland woodland,Kubiak_2009
Hibbertia cistiflora,dry_sclerophyll rainforest shrubland wet_sclerophyll woodland,Kubiak_2009; Leishman_1995
Histiopteris incisa,dry_sclerophyll heath shrubland woodland,Kubiak_2009
Hybanthus monopetalus,dry_sclerophyll heath rainforest shrubland wet_sclerophyll woodland,Kubiak_2009; Leishman_1993; Leishman_1995
Hydrocotyle bonariensis,dry_sclerophyll heath shrubland woodland,Kubiak_2009
Hypolepis muelleri,dry_sclerophyll shrubland woodland,Kubiak_2009
Hypoxis hygrometrica,dry_sclerophyll shrubland woodland,Kubiak_2009
Jasminum polyanthum,dry_sclerophyll shrubland woodland,Kubiak_2009
Lactuca serriola,dry_sclerophyll shrubland woodland,Kubiak_2009
Laxmannia gracilis,dry_sclerophyll shrubland woodland,Kubiak_2009
Lepidosperma gunnii,dry_sclerophyll shrubland woodland,Kubiak_2009
Lepidosperma neesii,dry_sclerophyll heath shrubland wet_heath woodland,Kubiak_2009; Taseski_2017
Lepyrodia scariosa,dry_sclerophyll heath rainforest shrubland wet_heath wet_sclerophyll woodland,Kubiak_2009; Leishman_1993; Leishman_1995; Taseski_2017
Lilium formosanum,dry_sclerophyll heath shrubland woodland,Kubiak_2009
Lindsaea linearis,dry_sclerophyll shrubland woodland,Kubiak_2009
Lindsaea microphylla,dry_sclerophyll heath shrubland woodland,Kubiak_2009
Linum trigynum,dry_sclerophyll heath shrubland woodland,Kubiak_2009
Liquidambar styraciflua,dry_sclerophyll shrubland woodland,Kubiak_2009
Lobularia maritima,dry_sclerophyll shrubland woodland,Kubiak_2009
Lomandra cylindrica,dry_sclerophyll heath rainforest shrubland wet_sclerophyll woodland,Kubiak_2009; Leishman_1993; Leishman_1995
Lomandra filiformis subsp. filiformis,dry_sclerophyll heath shrubland woodland,Kubiak_2009
Lomandra fluviatilis,dry_sclerophyll shrubland woodland,Kubiak_2009
Lomandra gracilis,dry_sclerophyll heath rainforest shrubland wet_sclerophyll woodland,Kubiak_2009; Leishman_1993; Leishman_1995
Lomandra multiflora,dry_sclerophyll heath rainforest shrubland wet_sclerophyll woodland,Kubiak_2009; Leishman_1993; Leishman_1995
Lonicera japonica,dry_sclerophyll heath shrubland woodland,Kubiak_2009
Lotus angustissimus,dry_sclerophyll heath shrubland woodland,Kubiak_2009; Tsakalos_2020
Lyperanthus suaveolens,dry_sclerophyll shrubland woodland,Kubiak_2009
Malva parviflora,dry_sclerophyll shrubland woodland,Kubiak_2009
Medicago arabica,dry_sclerophyll shrubland woodland,Kubiak_2009
Melilotus indicus,dry_sclerophyll heath shrubland woodland,Kubiak_2009; Tsakalos_2020
Modiola caroliniana,dry_sclerophyll shrubland woodland,Kubiak_2009
Morus alba,dry_sclerophyll heath shrubland woodland,Kubiak_2009
Narcissus sp. [Kubiak_2009],dry_sclerophyll heath shrubland woodland,Kubiak_2009
Nephrolepis cordifolia,dry_sclerophyll heath shrubland woodland,Kubiak_2009
Nerium oleander,dry_sclerophyll heath shrubland woodland,Kubiak_2009
Nothoscordum borbonicum,dry_sclerophyll heath shrubland woodland,Kubiak_2009
Oxalis debilis var. corymbosa,dry_sclerophyll shrubland woodland,Kubiak_2009
Oxalis incarnata,dry_sclerophyll shrubland woodland,Kubiak_2009
Oxalis latifolia,dry_sclerophyll shrubland woodland,Kubiak_2009
Oxalis pes-caprae,dry_sclerophyll shrubland woodland,Kubiak_2009
Panicum simile,dry_sclerophyll shrubland woodland,Kubiak_2009
Paspalum quadrifarium,dry_sclerophyll heath shrubland woodland,Kubiak_2009
Paspalum urvillei,dry_sclerophyll shrubland woodland,Kubiak_2009
Pellaea falcata,dry_sclerophyll shrubland woodland,Kubiak_2009
Cenchrus clandestinus,dry_sclerophyll heath shrubland woodland,Kubiak_2009
Cenchrus macrourus,dry_sclerophyll shrubland woodland,Kubiak_2009
Persicaria capitata,dry_sclerophyll shrubland woodland,Kubiak_2009
Philotheca salsolifolia subsp. salsolifolia,dry_sclerophyll heath shrubland woodland,Kubiak_2009
Phoenix canariensis,dry_sclerophyll shrubland woodland,Kubiak_2009
Phyllostachys aurea,dry_sclerophyll shrubland woodland,Kubiak_2009
Phyllota grandiflora,dry_sclerophyll heath shrubland woodland,Kubiak_2009
Platycerium bifurcatum,dry_sclerophyll shrubland woodland,Kubiak_2009
Poa labillardieri,dry_sclerophyll shrubland woodland,Kubiak_2009
Polygala virgata,dry_sclerophyll shrubland woodland,Kubiak_2009
Polymeria calycina,dry_sclerophyll heath shrubland woodland,Kubiak_2009
Populus alba,dry_sclerophyll shrubland woodland,Kubiak_2009
Potentilla indica,dry_sclerophyll shrubland woodland,Kubiak_2009
Prasophyllum elatum,dry_sclerophyll heath shrubland woodland,Kubiak_2009
Prunella vulgaris,dry_sclerophyll shrubland woodland,Kubiak_2009
Prunus cerasus,dry_sclerophyll shrubland woodland,Kubiak_2009
Prunus persica,dry_sclerophyll heath shrubland woodland,Kubiak_2009
Psilotum nudum,dry_sclerophyll heath shrubland woodland,Kubiak_2009
Psoralea pinnata,dry_sclerophyll shrubland woodland,Kubiak_2009
Pteris tremula,dry_sclerophyll shrubland woodland,Kubiak_2009
Pteris vittata,dry_sclerophyll shrubland woodland,Kubiak_2009
Pterostylis acuminata,dry_sclerophyll shrubland woodland,Kubiak_2009
Pterostylis concinna,dry_sclerophyll shrubland woodland,Kubiak_2009
Pterostylis longifolia,dry_sclerophyll shrubland woodland,Kubiak_2009
Pterostylis nutans,dry_sclerophyll heath rainforest shrubland wet_sclerophyll woodland,Kubiak_2009; Leishman_1995
Pyracantha fortuneana,dry_sclerophyll shrubland woodland,Kubiak_2009
Pyrrosia rupestris,dry_sclerophyll heath shrubland woodland,Kubiak_2009
Ranunculus plebeius,dry_sclerophyll shrubland woodland,Kubiak_2009
Ranunculus repens,dry_sclerophyll shrubland woodland,Kubiak_2009
Reinwardtia indica,dry_sclerophyll shrubland woodland,Kubiak_2009
Richardia stellaris,dry_sclerophyll shrubland woodland,Kubiak_2009
Rimacola elliptica,dry_sclerophyll heath shrubland woodland,Kubiak_2009
Roldana petasitis,dry_sclerophyll heath shrubland woodland,Kubiak_2009
Rumex crispus,dry_sclerophyll shrubland woodland,Kubiak_2009; Tsakalos_2020
Salix babylonica,dry_sclerophyll shrubland woodland,Kubiak_2009
Samolus repens,dry_sclerophyll shrubland woodland,Kubiak_2009; Tsakalos_2020
Schelhammera undulata,dry_sclerophyll heath rainforest shrubland wet_sclerophyll woodland,Kubiak_2009; Leishman_1993; Leishman_1995
Schizaea bifida,dry_sclerophyll heath shrubland woodland,Kubiak_2009
Schizaea rupestris,dry_sclerophyll heath shrubland woodland,Kubiak_2009
Schoenus brevifolius,dry_sclerophyll shrubland woodland,Kubiak_2009
Schoenus ericetorum,dry_sclerophyll heath rainforest shrubland wet_sclerophyll woodland,Kubiak_2009; Leishman_1993; Leishman_1995
Schoenus melanostachys,dry_sclerophyll heath rainforest shrubland wet_sclerophyll woodland,Kubiak_2009; Leishman_1993; Leishman_1995
Schoenus moorei,dry_sclerophyll heath shrubland woodland,Kubiak_2009
Schoenus villosus,dry_sclerophyll shrubland woodland,Kubiak_2009
Senecio hispidulus,dry_sclerophyll shrubland woodland,Kubiak_2009
Senecio madagascariensis,dry_sclerophyll shrubland woodland,Kubiak_2009
Setaria parviflora,dry_sclerophyll shrubland woodland,Kubiak_2009
Setaria palmifolia,dry_sclerophyll heath shrubland woodland,Kubiak_2009
Silene gallica var. gallica,dry_sclerophyll shrubland woodland,Kubiak_2009; Tsakalos_2020
Sisyrinchium rosulatum,dry_sclerophyll heath shrubland woodland,Kubiak_2009
Solanum chenopodioides,dry_sclerophyll shrubland woodland,Kubiak_2009
Solidago canadensis,dry_sclerophyll shrubland woodland,Kubiak_2009
Sporobolus creber,dry_sclerophyll shrubland woodland,Kubiak_2009
Stachys arvensis,dry_sclerophyll shrubland woodland,Kubiak_2009
Stellaria media,dry_sclerophyll shrubland woodland,Kubiak_2009; Tsakalos_2020
Sticherus flabellatus,dry_sclerophyll heath shrubland woodland,Kubiak_2009
Stylidium productum,dry_sclerophyll heath shrubland woodland,Kubiak_2009
Taraxacum sect. Ruderalia,dry_sclerophyll shrubland woodland,Kubiak_2009
Tetraria capillaris,dry_sclerophyll shrubland woodland,Kubiak_2009
Thelionema caespitosum,dry_sclerophyll shrubland woodland,Kubiak_2009
Thysanotus juncifolius,dry_sclerophyll heath rainforest shrubland wet_sclerophyll woodland,Kubiak_2009; Leishman_1993; Leishman_1995
Thysanotus tuberosus,dry_sclerophyll heath rainforest shrubland wet_sclerophyll woodland,Kubiak_2009; Leishman_1993; Leishman_1995
Toxicodendron succedaneum,dry_sclerophyll shrubland woodland,Kubiak_2009
Tradescantia fluminensis,dry_sclerophyll shrubland woodland,Kubiak_2009
Tricostularia pauciflora,dry_sclerophyll heath rainforest shrubland wet_sclerophyll woodland,Kubiak_2009; Leishman_1993; Leishman_1995
Trifolium campestre,dry_sclerophyll shrubland woodland,Kubiak_2009
Trifolium cernuum,dry_sclerophyll shrubland woodland,Kubiak_2009
Trifolium dubium,dry_sclerophyll grassland shrubland woodland,Kubiak_2009; Mokany_2008; Tsakalos_2020
Trifolium repens,dry_sclerophyll shrubland woodland,Kubiak_2009
Verbena bonariensis,dry_sclerophyll shrubland woodland,Kubiak_2009
Verbena litoralis,dry_sclerophyll shrubland woodland,Kubiak_2009
Vicia hirsuta,dry_sclerophyll shrubland woodland,Kubiak_2009
Vicia sativa,dry_sclerophyll heath shrubland woodland,Kubiak_2009
Vicia tetrasperma,dry_sclerophyll shrubland woodland,Kubiak_2009
Vinca major,dry_sclerophyll shrubland woodland,Kubiak_2009
Viola odorata,dry_sclerophyll shrubland woodland,Kubiak_2009
Wahlenbergia gracilis,dry_sclerophyll shrubland woodland,Kubiak_2009
Watsonia meriana,dry_sclerophyll heath shrubland woodland,Kubiak_2009
Wisteria sinensis,dry_sclerophyll shrubland woodland,Kubiak_2009
Xanthium occidentale,dry_sclerophyll shrubland woodland,Kubiak_2009
Xyris gracilis,dry_sclerophyll heath rainforest shrubland wet_sclerophyll woodland,Kubiak_2009; Leishman_1993; Leishman_1995
Yucca aloifolia,dry_sclerophyll shrubland woodland,Kubiak_2009
Corybas pruinosus,dry_sclerophyll heath rainforest shrubland wet_sclerophyll woodland,Kubiak_2009; Leishman_1995
Leptocarpus tenax,dry_sclerophyll heath rainforest shrubland wet_heath wet_sclerophyll woodland,Kubiak_2009; Leishman_1993; Leishman_1995; Taseski_2017
Chordifex fastigiatus,dry_sclerophyll heath rainforest shrubland wet_sclerophyll woodland,Kubiak_2009; Leishman_1993; Leishman_1995
Sowerbaea juncea,dry_sclerophyll heath rainforest shrubland wet_sclerophyll woodland,Kubiak_2009; Leishman_1995
Caesia parviflora var. vittata,dry_sclerophyll heath rainforest shrubland wet_sclerophyll woodland,Leishman_1993; Leishman_1995
Darwinia grandiflora,dry_sclerophyll heath rainforest shrubland wet_sclerophyll woodland,Leishman_1993; Leishman_1995
Doryanthes excelsa,dry_sclerophyll heath rainforest shrubland wet_sclerophyll woodland,Leishman_1993; Leishman_1995
Eucalyptus obtusiflora,dry_sclerophyll heath rainforest shrubland wet_sclerophyll woodland,Leishman_1993; Leishman_1995; Schulze_2014
Galium binifolium,dry_sclerophyll heath rainforest shrubland wet_sclerophyll woodland,Leishman_1993; Leishman_1995
Hybanthus vernonii,dry_sclerophyll heath rainforest shrubland wet_sclerophyll woodland,Leishman_1993; Leishman_1995
Lagenophora stipitata,dry_sclerophyll heath rainforest shrubland wet_sclerophyll woodland,Leishman_1993; Leishman_1995
Lepidosperma flexuosum,dry_sclerophyll heath rainforest shrubland wet_sclerophyll woodland,Leishman_1993; Leishman_1995
Lepidosperma urophorum,dry_sclerophyll heath rainforest shrubland wet_sclerophyll woodland,Leishman_1993; Leishman_1995
Olea europaea subsp. cuspidata,dry_sclerophyll heath rainforest shrubland wet_sclerophyll woodland,Leishman_1993; Leishman_1995
Oxalis exilis,dry_sclerophyll heath rainforest shrubland wet_sclerophyll woodland,Leishman_1993; Leishman_1995
Poa compressa,dry_sclerophyll heath rainforest shrubland wet_sclerophyll woodland,Leishman_1993; Leishman_1995
Scutellaria mollis,dry_sclerophyll heath rainforest shrubland wet_sclerophyll woodland,Leishman_1993; Leishman_1995
Austrostipa rudis,dry_sclerophyll heath rainforest shrubland wet_sclerophyll woodland,Leishman_1993; Leishman_1995
Tetrarrhena juncea,dry_sclerophyll heath rainforest shrubland wet_sclerophyll woodland,Leishman_1993; Leishman_1995
Tetratheca shiressii,dry_sclerophyll heath rainforest shrubland wet_sclerophyll woodland,Leishman_1993; Leishman_1995
Acianthus exsertus,dry_sclerophyll rainforest shrubland wet_sclerophyll woodland,Leishman_1995
Brachychiton sp. [Leishman_1995],dry_sclerophyll rainforest shrubland wet_sclerophyll woodland,Leishman_1995
Caladenia aurantiaca,dry_sclerophyll rainforest shrubland wet_sclerophyll woodland,Leishman_1995
Dendrobium tetragonum,dry_sclerophyll rainforest shrubland wet_sclerophyll woodland,Leishman_1995
Dipodium punctatum,dry_sclerophyll rainforest shrubland wet_sclerophyll woodland,Leishman_1995
Lepidosperma sp. [Leishman_1995],dry_sclerophyll rainforest shrubland wet_sclerophyll woodland,Leishman_1995
Paspalidium sp. [Leishman_1995],dry_sclerophyll rainforest shrubland wet_sclerophyll woodland,Leishman_1995
Pomaderris sp. [Leishman_1995],dry_sclerophyll rainforest shrubland wet_sclerophyll woodland,Leishman_1995
Schoenus sp. [Schoenus sp.A; Leishman_1995],dry_sclerophyll rainforest shrubland wet_sclerophyll woodland,Leishman_1995
Eucalyptus sp. [Nolan_2022],dry_sclerophyll,Nolan_2022
Leptecophylla divaricata,dry_sclerophyll woodland,SmithMartin_2020
Melaleuca pustulata,dry_sclerophyll woodland,SmithMartin_2020
Micrantheum hexandrum,dry_sclerophyll woodland,SmithMartin_2020
Acacia aulacocarpa,eucalypt_forest rainforest woodland,ATRP_2020; Clarke_2015; Cooper_2013; Grubb_1996; Grubb_2008; Lord_1997; Schmidt_2003
Acacia maidenii,eucalypt_forest rainforest wet_sclerophyll,ATRP_2020; Campbell_2006; Clarke_2009; Clarke_2015; Cooper_2013; Knox_2011; Sams_2017
Alchornea ilicifolia,eucalypt_forest rainforest,ATRP_2020; Clarke_2015; Cooper_2013
Alectryon connatus,eucalypt_forest rainforest,ATRP_2020; Clarke_2015; Cooper_2013; Sams_2017
Alectryon diversifolius,eucalypt_forest open_forest rainforest shrubland woodland,ATRP_2020; Clarke_2015; Cooper_2013; Dwyer_2018
Alectryon subdentatus,eucalypt_forest rainforest,ATRP_2020; Clarke_2015; Cooper_2013; Sams_2017
Alyxia spicata,eucalypt_forest rainforest,ATRP_2020; Clarke_2015; Cooper_2013
Archontophoenix cunninghamiana,eucalypt_forest rainforest wet_sclerophyll,ATRP_2020; Clarke_2015; Cooper_2013; Fonseca_2000
Banksia integrifolia subsp. compar,eucalypt_forest rainforest,ATRP_2020; Clarke_2015; Cooper_2013
Brucea javanica,eucalypt_forest rainforest,ATRP_2020; Clarke_2015; Cooper_2013
Callistemon viminalis,eucalypt_forest rainforest,ATRP_2020; Clarke_2015; Cooper_2013
Cissus oblonga,eucalypt_forest rainforest,ATRP_2020; Clarke_2015; Cooper_2013
Cupaniopsis simulata,eucalypt_forest rainforest,ATRP_2020; Clarke_2015; Cooper_2013
Dioscorea transversa,eucalypt_forest rainforest wet_sclerophyll,ATRP_2020; Clarke_2015; Cooper_2013; Fonseca_2000
Diospyros geminata,eucalypt_forest rainforest,ATRP_2020; Clarke_2015; Cooper_2013; Williams_2012
Endiandra discolor,eucalypt_forest grassland rainforest,ATRP_2020; Clarke_2015; Cooper_2013; Tng_2013
Eucalyptus grandis,eucalypt_forest grassland rainforest,ATRP_2020; Clarke_2015; Cooper_2013; Richards_2008; Tng_2013; Williams_2012
Glochidion apodogynum,eucalypt_forest rainforest,ATRP_2020; Clarke_2015; Cooper_2013
Glochidion lobocarpum,eucalypt_forest rainforest,ATRP_2020; Clarke_2015; Cooper_2013
Jagera pseudorhus var. pseudorhus,eucalypt_forest rainforest,ATRP_2020; Clarke_2015; Cooper_2013
Mallotus philippensis,eucalypt_forest open_forest rainforest,ATRP_2020; Clarke_2015; Cooper_2013; Grubb_1996; Lawes_2012; Lusk_2014; Sams_2017; Stewart_1995
Uvaria leichhardtii,eucalypt_forest rainforest,ATRP_2020; Clarke_2015; Cooper_2013; Metcalfe_2009
Passiflora suberosa,eucalypt_forest rainforest,ATRP_2020; Clarke_2015; Cooper_2013
Passiflora subpeltata,eucalypt_forest rainforest,ATRP_2020; Clarke_2015; Cooper_2013
Phyllanthus subcrenulatus,eucalypt_forest rainforest wet_sclerophyll woodland,ATRP_2020; Clarke_2009; Clarke_2015; Cooper_2013
Pittosporum ferrugineum,eucalypt_forest rainforest,ATRP_2020; Clarke_2015; Cooper_2013; Metcalfe_2009
Polyscias australiana,eucalypt_forest grassland rainforest,ATRP_2020; Clarke_2015; Cooper_2013; Falster_2005_1; Grubb_1996; Tng_2013; Williams_2012
Cynanchum viminale subsp. brunonianum,eucalypt_forest rainforest shrubland,ATRP_2020; Clarke_2015
Senna pendula var. glabrata,eucalypt_forest rainforest,ATRP_2020; Clarke_2015; Cooper_2013
Sida hackettiana,eucalypt_forest rainforest,ATRP_2020; Clarke_2015
Symplocos thwaitesii,eucalypt_forest rainforest,ATRP_2020; Clarke_2015; Cooper_2013; Sams_2017
Synoum glandulosum subsp. glandulosum,eucalypt_forest rainforest,ATRP_2020; Clarke_2015
Archirhodomyrtus beckleri,eucalypt_forest grassland rainforest wet_sclerophyll,ATRP_2020; Apgaua_2017; Campbell_2006; Clarke_2009; Clarke_2015; Cooper_2013; Fonseca_2000; Tng_2013; Williams_2012
Casearia costulata,eucalypt_forest grassland rainforest,ATRP_2020; Cooper_2013; Tng_2013
Sloanea langii,eucalypt_forest grassland rainforest,ATRP_2020; Cooper_2013; Metcalfe_2009; Sams_2017; Tng_2013
Wilkiea pubescens,eucalypt_forest grassland rainforest,ATRP_2020; Cooper_2013; Metcalfe_2009; Tng_2013; Williams_2012
Acacia cincinnata,eucalypt_forest rainforest,ATRP_2020; Cooper_2013; Metcalfe_2009; Williams_2012
Blepharocarya involucrigera,eucalypt_forest rainforest,ATRP_2020; Cooper_2013; Williams_2012
Clematicissus opaca,eucalypt_forest rainforest shrubland,ATRP_2020; Clarke_2015; Cooper_2013; Williams_2012
Embelia australiana,eucalypt_forest rainforest,ATRP_2020; Cooper_2013; Williams_2012
Glochidion hylandii,eucalypt_forest rainforest,ATRP_2020; Cooper_2013; Falster_2005_1; Grubb_1996; Williams_2012
Maesa dependens,eucalypt_forest rainforest,ATRP_2020; Cooper_2013; Williams_2012
Mallotus paniculatus,eucalypt_forest rainforest,ATRP_2020; Apgaua_2017; Cooper_2013; Grubb_1996; Williams_2012; Zieminska_2015
Myristica globosa,eucalypt_forest rainforest wet_forest,Apgaua_2015; Apgaua_2017; Cooper_2013; Rosell_2014; Rumman_2018; Sams_2017; Weerasinghe_2014; Williams_2012; Zieminska_2015
Guioa acutifolia,eucalypt_forest grassland rainforest,Apgaua_2017; Clarke_2015; Cooper_2013; Metcalfe_2009; Tng_2013; Williams_2012
Macaranga involucrata,eucalypt_forest grassland rainforest,Apgaua_2017; Clarke_2015; Cooper_2013; Metcalfe_2009; Tng_2013
Brackenridgea australiana,eucalypt_forest grassland rainforest,Apgaua_2017; Cooper_2013; Tng_2013
Breynia cernua,eucalypt_forest grassland heath rainforest wet_sclerophyll woodland,Apgaua_2017; Campbell_2006; Clarke_2015; Cooper_2013; Jagdish_2020; Lord_1997; Metcalfe_2009; Tng_2013
Glochidion sumatranum,eucalypt_forest grassland rainforest,Apgaua_2017; Cooper_2013; Metcalfe_2009; Tng_2013
Macaranga subdentata,eucalypt_forest grassland rainforest,Apgaua_2017; Cooper_2013; Tng_2013
Melicope elleryana,eucalypt_forest grassland rainforest,Apgaua_2017; Cooper_2013; Falster_2005_1; Grubb_1996; Metcalfe_2009; Sams_2017; Tng_2013; Williams_2012
Trema tomentosa,eucalypt_forest grassland rainforest woodland,Apgaua_2017; Clarke_2015; Gardiner_2019; Schmidt_2003; Tng_2013; Williams_2012
Alphitonia petriei,eucalypt_forest rainforest wet_sclerophyll,Apgaua_2017; Cooper_2013; Falster_2005_1; Grubb_1996; Grubb_2008; Jagdish_2020; Sams_2017; Williams_2012
Antirhea tenuiflora,eucalypt_forest rainforest,Apgaua_2017; Cooper_2013; Metcalfe_2009; Rosell_2014; Williams_2012; Zieminska_2015
Ficus congesta,eucalypt_forest rainforest,Apgaua_2017; Cooper_2013; Grubb_1996; Williams_2012
Homalanthus novo-guineensis,eucalypt_forest rainforest,Apgaua_2017; Cooper_2013; Falster_2005_1; Metcalfe_2009; Williams_2012
Melastoma affine,eucalypt_forest heath rainforest,Apgaua_2017; Clarke_2015; Cooper_2013; Williams_2012
Zieria involucrata,eucalypt_forest heath open_forest,Auld_2000; Clarke_2015
Gaultheria hispida,eucalypt_forest grassland rainforest,Blackman_2010; Clarke_2015; Jordan_2007; Tng_2013
Orites diversifolius,eucalypt_forest grassland heath rainforest,Blackman_2010; Jordan_2020; Tng_2013
Eucalyptus amplifolia,eucalypt_forest woodland,Bloomfield_2018; Clarke_2015; Rumman_2018
Eucalyptus tereticornis,eucalypt_forest grassland rainforest woodland,Bloomfield_2018; Clarke_2015; Cooper_2013; Crous_2019; Ellsworth_2015; Lee_2019; Rumman_2018; Tng_2013; Williams_2012
Notelaea ligustrina,eucalypt_forest rainforest wet_forest,Bloomfield_2018; Clarke_2015; Cooper_2013; Rumman_2018
Melaleuca squarrosa,eucalypt_forest grassland heath open_forest rainforest shrubland wet_forest,Bloomfield_2018; Clarke_2015; Edwards_2000; French_2017; Jordan_2007; Nicholson_2017; Rumman_2018; Tng_2013
Anopterus glandulosus,eucalypt_forest grassland rainforest wet_forest,Bloomfield_2018; Clarke_2015; Rumman_2018; Tng_2013
Eucryphia lucida,eucalypt_forest grassland rainforest wet_forest,Bloomfield_2018; Clarke_2015; Prior_2022; Rumman_2018; Tng_2013
Pomaderris apetala,eucalypt_forest grassland rainforest wet_forest wet_sclerophyll,Bloomfield_2018; Clarke_2015; Jordan_2007; Prior_2022; Rumman_2018; Tng_2013
Acacia decora,eucalypt_forest woodland,Burrows_2001; Clarke_2015; Fonseca_2000
Cassinia laevis,eucalypt_forest rainforest shrubland wet_sclerophyll woodland,Burrows_2001; Clarke_2009; Clarke_2015; Hughes_2005; Onoda_2010; Pickup_2005; Roderick_1999; Vesk_2004; Vesk_2019; Westoby_2003; Wright_2002; Zanne_2007
Dillwynia juniperina,eucalypt_forest woodland,Burrows_2001; Clarke_2015
