Scientific Name,Common Name,Status,Date Listed,Profile Available
Acacia kingiana,,Extinct,16-Jul-00,Yes
Acianthus ledwardii,,Extinct,16-Jul-00,Yes
Amperea xiphoclada var. pedicellata,,Extinct,16-Jul-00,Yes
Amphibromus whitei,,Extinct,16-Jul-00,Yes
Caladenia brachyscapa,Short Spider-orchid,Extinct,16-Jul-00,No
Coleanthera virgata = Styphelia lanata,Hidden Coleanthera,Extinct,16-Jul-00,No
Deyeuxia lawrencei,,Extinct,16-Jul-00,Yes
Didymoglossum exiguum,,Extinct,16-Jul-00,Yes
Diuris bracteata,,Extinct,16-Jul-00,Yes
Euphrasia ruptura,subshrub,Extinct,16-Jul-00,No
Frankenia decurrens,Decurrent-leaved Frankenia,Extinct,16-Jul-00,No
Huperzia serrata,Water Tassel-fern,Extinct,16-Jul-00,No
Hymenophyllum lobbii,,Extinct,16-Jul-00,Yes
Hymenophyllum whitei,a filmy fern,Extinct,16-Jul-00,Yes
Lemmaphyllum accedens,,Extinct,16-Jul-00,Yes
Lepidium drummondii,Drummond's Lepidium,Extinct,16-Jul-00,No
Leucopogon cryptanthus,Small-flowered Leucopogon,Extinct,16-Jul-00,No
Lycopodium volubile = Pseudodiphasium volubile,,Extinct,16-Jul-00,Yes
Monogramma dareicarpa = Haplopteris dareicarpa,Grass Fern,Extinct,16-Jul-00,Yes
Musa fitzalanii,Daintree's River Banana,Extinct,16-Jul-00,Yes
Myriocephalus nudus,,Extinct,4-Jul-19,Yes
Olearia oliganthema,,Extinct,16-Jul-00,No
Opercularia acolytantha,Esperance Dog Weed,Extinct,16-Jul-00,Yes
Ozothamnus selaginoides,"Clubmoss Everlasting, Table Mountain Daisy Bush",Extinct,16-Jul-00,Yes
Paspalum batianoffii,,Extinct,16-Jul-00,Yes
Persoonia laxa,,Extinct,16-Jul-00,Yes
Persoonia prostrata,,Extinct,16-Jul-00,No
Pultenaea maidenii,Maiden's Bush-pea,Extinct,16-Jul-00,No
Senecio georgianus,Grey Groundsel,Extinct,16-Jul-00,Yes
Solanum bauerianum,Bridal Flower,Extinct,11-May-18,Yes
Tetratheca fasciculata,Cronin's Tetratheca,Extinct,16-Jul-00,Yes
Thomasia gardneri,Mt Holland Thomasia,Extinct,16-Jul-00,Yes
Tmesipteris lanceolata,,Extinct,16-Jul-00,No
Trianthema cypseleoides,,Extinct,16-Jul-00,Yes
Vanvoorstia bennettiana,Bennett's Seaweed,Extinct,16-Oct-01,No
Abutilon julianae,Norfolk Island Abutilon,Critically Endangered,25-Nov-03,Yes
Acacia atrox,Myall Creek Wattle,Critically Endangered,6-Feb-26,Yes
Acacia blayana,Blay's Wattle,Critically Endangered,15-Nov-23,Yes
Acacia cochlocarpa subsp. velutinosa,Velvety Spiral Pod Wattle,Critically Endangered,18-Aug-06,Yes
Acacia constablei,Narrabarba Wattle,Critically Endangered,31-Mar-23,Yes
Acacia dangarensis,,Critically Endangered,25-Sep-20,Yes
Acacia equisetifolia,a shrub,Critically Endangered,18-Aug-06,Yes
Acacia forsteri,Forster's Wattle,Critically Endangered,4-Sep-24,Yes
Acacia leptoneura,,Critically Endangered,24-Sep-15,Yes
Acacia lumholtzii,Girringun Wattle,Critically Endangered,6-Feb-26,Yes
Acacia prismifolia,Diels' Wattle,Critically Endangered,16-Jul-24,No
Acacia purpureopetala,Purple-flowered Wattle,Critically Endangered,24-Jan-14,Yes
Acacia unguicula,a shrub,Critically Endangered,18-Aug-06,Yes
Acanthocladium dockeri,"Spiny Everlasting, Spiny Daisy",Critically Endangered,27-Nov-06,Yes
Achyranthes arborescens,"Chaff Tree, Soft-wood",Critically Endangered,25-Nov-03,Yes
Achyranthes margaretarum,Phillip Island Chaffy Tree,Critically Endangered,25-Nov-03,Yes
Andersonia annelsii,,Critically Endangered,11-May-18,Yes
Andersonia axilliflora,Giant Andersonia,Critically Endangered,31-Mar-23,Yes
Androcalva adenothalia,,Critically Endangered,4-Jul-19,Yes
Androcalva beeronensis,,Critically Endangered,5-Sep-25,Yes
Androcalva bivillosa,Straggling Androcalva,Critically Endangered,11-May-18,Yes
Androcalva inglewoodensis,,Critically Endangered,5-Sep-25,Yes
Androcalva perkinsiana,Headland Commersonia,Critically Endangered,5-Oct-22,Yes
Anthosachne kingiana subsp. kingiana,Phillip Island Wheat Grass,Critically Endangered,25-Nov-03,Yes
Antrophyum austroqueenslandicum,"Border Ranges Lined Fern, Lamington Ox Tongue Fern",Critically Endangered,4-Nov-20,Yes
Asplenium listeri,Christmas Island Spleenwort,Critically Endangered,23-Jul-02,Yes
Asterolasia asteriscophora subsp. albiflora,White Star-bush,Critically Endangered,5-Oct-22,Yes
Asterolasia beckersii,Dungowan Starbush,Critically Endangered,2-Mar-21,Yes
Asterolasia buxifolia,,Critically Endangered,7-Sep-23,Yes
Astrotricha sp. Howe Range (D.E.Albrecht 1054),Long-leaf Star-hair,Critically Endangered,4-Sep-24,Yes
Atalaya brevialata,,Critically Endangered,14-Dec-13,No
Austrostipa jacobsiana,,Critically Endangered,15-Feb-18,Yes
Azorella macquariensis,"Macquarie Azorella, Macquarie Cushions",Critically Endangered,19-Aug-10,Yes
Backhousia tetraptera,,Critically Endangered,4-Sep-24,Yes
Banksia anatona,Cactus Dryandra,Critically Endangered,14-May-13,Yes
Banksia aurantia,Orange Dryandra,Critically Endangered,14-May-13,Yes
Banksia brownii,"Brown's Banksia, Feather-leaved Banksia",Critically Endangered,31-Mar-23,Yes
Banksia fuscobractea,Dark-bract Banksia,Critically Endangered,1-Dec-09,Yes
Banksia montana,Stirling Range Dryandra,Critically Endangered,5-Oct-22,Yes
Banksia paludosa subsp. astrolux,a banksia,Critically Endangered,4-Sep-24,Yes
Banksia serratuloides subsp. perissa,Northern Serrate Dryandra,Critically Endangered,14-May-13,Yes
Banksia vincentia,,Critically Endangered,15-Feb-18,Yes
Boehmeria australis subsp. australis = Pouzolzia australis,"Tree Nettle, Nettletree",Critically Endangered,25-Nov-03,Yes
Boronia boliviensis,,Critically Endangered,4-Sep-24,Yes
Boronia grimshawii,Grimshaw's Boronia,Critically Endangered,5-Sep-25,Yes
Boronia imlayensis,,Critically Endangered,4-Sep-24,Yes
Boronia inflexa subsp. torringtonensis,,Critically Endangered,7-Dec-21,Yes
Bossiaea fragrans,,Critically Endangered,11-May-18,Yes
Brachychiton guymeri,Blackwall Range Kurrajong,Critically Endangered,5-Mar-25,Yes
Brachychiton sp. Ormeau (L.H.Bird AQ435851),Ormeau Bottle Tree,Critically Endangered,9-Mar-13,Yes
Brachyscias verecundus,Ironstone Brachyscias,Critically Endangered,18-Aug-06,Yes
Brachyscome brownii,,Critically Endangered,16-Jul-24,Yes
Bruguiera x hainesii,Haines's Orange Mangrove,Critically Endangered,22-Feb-19,Yes
Caladenia actensis,Canberra Spider Orchid,Critically Endangered,6-Jun-05,Yes
Caladenia ancylosa,"Genoa Spider-orchid, Gippsland Spider Orchid",Critically Endangered,6-Feb-26,Yes
Caladenia anthracina,Black-tipped Spider-orchid,Critically Endangered,16-Oct-01,Yes
Caladenia attenuata,Duramana Fingers,Critically Endangered,11-May-18,Yes
Caladenia campbellii,"Thick-stem Caladenia, Thick-stem Fairy Fingers",Critically Endangered,16-Oct-01,Yes
Caladenia cremna,"Don's Spider Orchid, Beady Spider Orchid",Critically Endangered,12-Feb-10,Yes
Caladenia intuta,Ghost Spider-orchid,Critically Endangered,8-Jan-09,Yes
Caladenia lindleyana,Lindley's Spider-orchid,Critically Endangered,16-Oct-01,No
Caladenia lodgeana,Lodge's Spider-orchid,Critically Endangered,26-Feb-13,Yes
Caladenia luteola,Lemon Spider Orchid,Critically Endangered,15-Feb-18,Yes
Caladenia melanema,"Ballerina Orchid, Ballerina Spider Orchid",Critically Endangered,8-Jan-09,Yes
Caladenia pallida,"Rosy Spider Orchid, Pale Spider-orchid, Summer Spider-orchid",Critically Endangered,16-Oct-01,No
Caladenia procera,Carbunup King Spider Orchid,Critically Endangered,8-Jan-09,Yes
Caladenia pumila,Dwarf Spider-orchid,Critically Endangered,30-Sep-11,Yes
Caladenia saggicola,Sagg Spider-orchid,Critically Endangered,16-Oct-01,Yes
Caladenia sp. Kilsyth South (G.S.Lorimer 1253),Kilsyth South Spider-orchid,Critically Endangered,4-Oct-01,Yes
Caladenia sylvicola,Forest Fingers,Critically Endangered,16-Oct-01,No
Caladenia tonellii,Robust Fingers,Critically Endangered,16-Oct-01,No
Calectasia cyanea,Blue Tinsel Lily,Critically Endangered,18-Aug-06,Yes
Calectasia elegans,Elegant Tinsel Lily,Critically Endangered,6-Feb-26,Yes
Callistemon megalongensis,Megalong Valley Bottlebrush,Critically Endangered,17-Nov-15,Yes
Callistemon purpurascens,a bottlebrush,Critically Endangered,11-May-18,Yes
Callistemon wimmerensis,Wimmera Bottlebrush,Critically Endangered,31-Mar-11,Yes
Callitris oblonga subsp. corangensis,Corang Pine,Critically Endangered,31-Mar-23,Yes
Callitris oblonga subsp. parva,,Critically Endangered,6-Feb-26,Yes
Calochilus cupreus,Copper Beard Orchid,Critically Endangered,5-May-16,Yes
Calystegia affinis,,Critically Endangered,25-Nov-03,Yes
Cassinia tegulata,Avenue Cassinia,Critically Endangered,8-Jan-09,Yes
Clausena excavata,,Critically Endangered,4-Jul-19,Yes
Clematis dubia,"a creeper, Clematis",Critically Endangered,25-Nov-03,Yes
Coleus insularis,Millmerran Mint Bush,Critically Endangered,5-Sep-25,Yes
Commersonia apella,Many-flowered Commersonia,Critically Endangered,15-Feb-18,Yes
Conospermum galeatum,,Critically Endangered,11-May-18,Yes
Conospermum quadripetalum,,Critically Endangered,6-Feb-26,Yes
Conostylis setigera subsp. dasys,Boscabel Conostylis,Critically Endangered,11-Jun-09,Yes
Corunastylis ectopa,"Brindabella Midge-orchid, Ectopic Midge-orchid",Critically Endangered,6-Jun-05,Yes
Corunastylis firthii,Firth's Midge-orchid,Critically Endangered,16-Oct-01,Yes
Corunastylis insignis,"Wyong Midge Orchid 1, Variable Midge Orchid 1",Critically Endangered,19-Jul-14,Yes
Corunastylis littoralis,Tuncurry Midge Orchid,Critically Endangered,22-Feb-11,Yes
Corunastylis sp. Charmhaven (NSW 896673) = Genoplesium branwhiteorum,Wyong Midge Orchid 2,Critically Endangered,19-Jul-14,Yes
Corybas sulcatus,Grooved Helmet-orchid,Critically Endangered,26-Feb-13,Yes
Croton mamillatus,Bahrs Scrub Croton,Critically Endangered,7-Sep-23,Yes
Danhatchia copelandii,Bonville Leafless Orchid,Critically Endangered,6-Feb-26,Yes
Darwinia collina,Yellow Mountain Bell,Critically Endangered,5-Oct-22,Yes
Darwinia foetida,Muchea Bell,Critically Endangered,11-Jun-09,Yes
Dasymalla axillaris,Native Foxglove,Critically Endangered,19-Aug-10,Yes
Daviesia glossosema,Maroon-flowered Daviesia,Critically Endangered,18-Aug-06,Yes
Daviesia ovata,Broad-leaf Daviesia,Critically Endangered,11-May-18,Yes
Daviesia pseudaphylla,Stirling Range Daviesia,Critically Endangered,31-Mar-23,Yes
Decaspermum struckoilicum,Struck Oil Myrtle,Critically Endangered,20-Mar-23,Yes
Deyeuxia ramosa,Climbing Bent-grass,Critically Endangered,15-Nov-23,Yes
Diuris flavescens,"Pale Yellow Doubletail, Wingham Doubletail",Critically Endangered,24-Jan-14,Yes
Drosera oreopodion,,Critically Endangered,6-Feb-26,Yes
Duma horrida subsp. abdita,Remote Thorny Lignum,Critically Endangered,18-Aug-06,Yes
Eidothea hardeniana,Nightcap Oak,Critically Endangered,23-Jul-02,Yes
Elatostema montanum,Mountain Procris,Critically Endangered,25-Nov-03,Yes
Epacris graniticola,"Granite Heath, Mt Cameron Heath",Critically Endangered,30-Jun-09,Yes
Epacris limbata,"Bordered Heath, Border Heath",Critically Endangered,23-Jul-02,Yes
Epacris stuartii,"Southport Heath, Stuart's Heath",Critically Endangered,16-Oct-01,Yes
Eremophila glabra subsp. Scaddan (C.Turley s.n. 10/11/2005),,Critically Endangered,4-Jul-19,Yes
Eremophila koobabbiensis,"Koobabbie Eremophila, Koobabbie Poverty Bush",Critically Endangered,1-Dec-09,Yes
Eremophila rostrata,Beaked Eremophila,Critically Endangered,1-Dec-09,Yes
Eremophila sp. Narrow leaves (J.D.Start D12-150) = Eremophila subangustifolia,,Critically Endangered,11-May-18,Yes
Eucalyptus aquatica,"Mountain Swamp Gum, Broad-leaved Sallee, Broad-leaved Sally",Critically Endangered,4-Sep-24,Yes
Eucalyptus benthamii,"Camden White Gum, Nepean River Gum",Critically Endangered,4-Sep-24,Yes
Eucalyptus boliviana,"Bolivia Stringybark, Bolivia Hill Stringybark",Critically Endangered,6-Feb-26,Yes
Eucalyptus dalveenica,Dalveen Blue Box,Critically Endangered,7-Sep-23,Yes
Eucalyptus imlayensis,"Imlay Mallee, Mount Imlay Mallee",Critically Endangered,31-Mar-23,Yes
Eucalyptus morrisbyi,"Morrisby's Gum, Morrisbys Gum",Critically Endangered,31-Mar-23,Yes
Eucalyptus paliformis,Wadbilliga Ash,Critically Endangered,5-Mar-25,Yes
Eucalyptus phoenix,Brumby Mallee-gum,Critically Endangered,7-Sep-23,Yes
Eucalyptus recurva,Mongarlowe Mallee,Critically Endangered,9-Apr-15,Yes
Eucalyptus scopulorum,,Critically Endangered,5-Mar-25,Yes
"Eucalyptus sp. Cattai (Gregson s.n., 28 Aug 1954) = Eucalyptus cryptica",,Critically Endangered,11-May-18,Yes
Euphorbia norfolkiana,Norfolk Island Euphorbia,Critically Endangered,25-Nov-03,Yes
Euphrasia arguta,,Critically Endangered,19-Mar-11,Yes
Euphrasia fragosa,"Shy Eyebright, Southport Eyebright",Critically Endangered,16-Oct-01,Yes
Euphrasia gibbsiae subsp. psilantherea,Swamp Eyebright,Critically Endangered,16-Oct-01,Yes
Fontainea oraria,Coastal Fontainea,Critically Endangered,4-Jul-19,Yes
"Fontainea sp. Coffs Harbour (A.S.Benwell 341, NSW1102027)",,Critically Endangered,16-Jul-24,Yes
Galium antarcticum,Subantarctic Bedstraw,Critically Endangered,26-Feb-13,Yes
Gastrolobium argyrotrichum,Metricup Pea,Critically Endangered,11-May-18,Yes
Gastrolobium diabolophyllum,Bodallin Poison,Critically Endangered,11-Jun-09,Yes
Gastrolobium luteifolium,Yellow-leafed Gastrolobium,Critically Endangered,1-Dec-09,Yes
Gastrolobium vestitum,,Critically Endangered,11-May-18,Yes
Gentiana baeuerlenii,Baeuerlen's Gentian,Critically Endangered,6-Feb-26,Yes
Gentiana bredboensis,Bredbo Gentian,Critically Endangered,4-Jul-19,Yes
Gentiana wissmannii,New England Gentian,Critically Endangered,5-Jul-23,Yes
Grevillea brachystylis subsp. grandis,Large-flowered Short-styled Grevillea,Critically Endangered,8-Jan-09,Yes
Grevillea bracteosa subsp. howatharra,,Critically Endangered,15-Aug-17,Yes
Grevillea burrowa,Burrowa Grevillea,Critically Endangered,31-Mar-23,Yes
Grevillea caleyi,Caley's Grevillea,Critically Endangered,11-May-18,Yes
Grevillea hodgei,Coochin Hills Grevillea,Critically Endangered,8-Dec-21,Yes
Grevillea rivularis,Carrington Falls Grevillea,Critically Endangered,13-Nov-21,Yes
Grevillea scortechinii subsp. scortechinii,Black Grevillea,Critically Endangered,7-Dec-21,Yes
Grevillea sp. Gillingarra (R.J.Cranfield 4087) = Grevillea gillingarra,,Critically Endangered,11-May-18,Yes
Grevillea thelemanniana,Spider Net Grevillea,Critically Endangered,15-Feb-18,Yes
Grevillea wilkinsonii,Tumut Grevillea,Critically Endangered,13-Nov-21,Yes
Guichenotia seorsiflora,,Critically Endangered,1-Dec-09,Yes
Gyrostemon reticulatus,Net-veined Gyrostemon,Critically Endangered,18-Aug-06,Yes
Hakea dohertyi,Kowmung Hakea,Critically Endangered,15-Nov-23,Yes
Haloragis platycarpa,Broad-fruited Haloragis,Critically Endangered,18-Aug-06,Yes
Hemigenia ramosissima,Branched Hemigenia,Critically Endangered,11-Jun-09,Yes
Hibbertia abyssus,Bandalup Buttercup,Critically Endangered,7-Dec-16,Yes
Hibbertia circinata,,Critically Endangered,13-Nov-21,Yes
Hibbertia priceana,,Critically Endangered,11-Jun-09,Yes
Hibbertia puberula subsp. glabrescens,,Critically Endangered,16-Jan-09,Yes
Hibbertia sp. Toolbrunup (J.R.Wheeler 2504) = Hibbertia barrettiae,,Critically Endangered,4-Jul-19,Yes
Hibbertia spanantha,Julian's Hibbertia,Critically Endangered,7-Dec-16,Yes
Hibbertia superans,,Critically Endangered,6-Feb-26,Yes
Hibbertia tenuis,Yundi Guinea-flower,Critically Endangered,19-Aug-10,Yes
Hibbertia wheelerae,Wheeler's Buttercup,Critically Endangered,15-Nov-23,Yes
Hibiscus insularis,Phillip Island Hibiscus,Critically Endangered,25-Nov-03,Yes
Homoranthus bebo,,Critically Endangered,4-Jul-19,Yes
Homoranthus bruhlii,,Critically Endangered,13-Nov-21,Yes
Homoranthus croftianus,Bolivia Homoranthus,Critically Endangered,6-Feb-26,Yes
Homoranthus elusus,,Critically Endangered,13-Nov-21,Yes
Hybanthus cymulosus = Pigea cymulosa,Ninghan Violet,Critically Endangered,1-Dec-09,Yes
Isopogon robustus,Robust Coneflower,Critically Endangered,11-Jun-09,Yes
Kardomia prominens,,Critically Endangered,7-Dec-21,Yes
Kunzea similis subsp. similis,,Critically Endangered,11-May-18,Yes
Lambertia fairallii,Fairall's Honeysuckle,Critically Endangered,7-Sep-23,Yes
Lasiopetalum sp. Mount Caroline (S.D.Hopper SDH 6381) = Lasiopetalum moullean,,Critically Endangered,4-Jul-19,Yes
Lasiopetalum sp. Proston (J.A.Baker 17),Proston Lasiopetalum,Critically Endangered,12-Feb-10,Yes
Latrobea colophon = Latrobea colophona,,Critically Endangered,11-May-18,Yes
Leichhardtia araujacea,,Critically Endangered,15-Mar-23,Yes
Leionema ceratogynum,,Critically Endangered,4-Sep-24,Yes
Leionema lamprophyllum subsp. fractum,,Critically Endangered,13-Nov-21,Yes
Leionema westonii,,Critically Endangered,20-Mar-23,Yes
Lenwebbia sp. Main Range (P.R.Sharpe+ 4877),,Critically Endangered,22-Apr-22,Yes
Lepidium ginninderrense,Ginninderra Peppercress,Critically Endangered,4-Sep-24,Yes
Lepidorrhachis mooreana,"Little Mountain Palm, Moorei Palm",Critically Endangered,26-Jun-15,Yes
Leptospermum benwellii,,Critically Endangered,4-Sep-24,Yes
Leptospermum crassifolium,,Critically Endangered,6-Feb-26,Yes
Leptospermum jingera,Stringybark Tea-tree,Critically Endangered,7-Sep-23,Yes
Leptospermum petraeum,,Critically Endangered,4-Sep-24,Yes
Leucopogon gnaphalioides,Stirling Range Beard Heath,Critically Endangered,31-Mar-23,Yes
"Leucopogon sp. Flynn (F.Hort, J.Hort & A.Lowrie 859) = Styphelia capillaris",,Critically Endangered,11-May-18,Yes
Leucopogon spectabilis,Ironstone Beard-heath,Critically Endangered,19-Aug-10,Yes
Lobelia claviflora,,Critically Endangered,20-Mar-23,Yes
Lomatia tasmanica,King's Lomatia,Critically Endangered,16-Oct-01,Yes
Lysiosepalum abollatum,Woolly Lysiosepalum,Critically Endangered,14-May-13,No
Melichrus gibberagee,Narrow-leaf Melichrus,Critically Endangered,4-Sep-24,Yes
Melicytus latifolius,Norfolk Island Mahoe,Critically Endangered,25-Nov-03,No
Meryta latifolia,"Shade Tree, Broad-leaved Meryta",Critically Endangered,25-Nov-03,Yes
Mitrantia bilocularis,,Critically Endangered,20-Mar-23,Yes
Myoporum obscurum,"Popwood, Sandalwood",Critically Endangered,25-Nov-03,No
Nematoceras dienemum = Corybas dienemus,Windswept Helmet-orchid,Critically Endangered,12-Feb-10,Yes
Nematolepis frondosa,Leafy Nematolepis,Critically Endangered,31-Mar-23,Yes
Nematolepis rhytidophylla,,Critically Endangered,5-Mar-25,Yes
Nitella parooensis,a green alga,Critically Endangered,11-Dec-20,Yes
Notelaea ipsviciensis,Cooneana Olive,Critically Endangered,16-Jan-09,Yes
Oberonia attenuata,Mossman Fairy Orchid,Critically Endangered,30-Apr-16,Yes
Paragoodia crenulata,,Critically Endangered,14-May-13,No
Persoonia micranthera,Small-flowered Snottygobble,Critically Endangered,7-Sep-23,Yes
Persoonia pauciflora,North Rothbury Persoonia,Critically Endangered,8-Jul-05,Yes
Phebalium daviesii,"Davies' Waxflower, St Helens Waxflower",Critically Endangered,16-Oct-01,Yes
Phebalium speciosum,,Critically Endangered,4-Jul-19,Yes
Pherosphaera fitzgeraldii,Dwarf Mountain Pine,Critically Endangered,5-Mar-25,Yes
Philotheca falcata,Sickle-leaved Waxflower,Critically Endangered,30-Sep-11,Yes
Phlegmariurus squarrosus,"Rock Tassel-fern, Water Tassel-fern",Critically Endangered,25-Jan-14,Yes
Phreatia limenophylax = Plexaure limenophylax,Norfolk Island Phreatia,Critically Endangered,25-Nov-03,Yes
Pimelea bracteata,,Critically Endangered,7-Dec-21,Yes
Pimelea cremnophila,,Critically Endangered,2-Mar-21,Yes
Pimelea spinescens subsp. pubiflora,Wimmera Rice-flower,Critically Endangered,10-Jun-09,Yes
Pimelea spinescens subsp. spinescens,"Plains Rice-flower, Spiny Rice-flower, Prickly Pimelea",Critically Endangered,1-May-03,Yes
Pittosporum kororoense,Big Banana Pittosporum,Critically Endangered,6-Feb-26,Yes
Plinthanthesis rodwayi,Budawangs Wallaby-grass,Critically Endangered,3-Mar-21,Yes
Pneumatopteris truncata,fern,Critically Endangered,6-Jul-04,Yes
Pomaderris delicata,,Critically Endangered,11-May-18,Yes
Pomaderris gilmourii var. cana,Grey Deua Pomaderris,Critically Endangered,5-Oct-22,Yes
Pomaderris reperta,Denman Pomaderris,Critically Endangered,8-Jan-08,Yes
Pomaderris sericea,Bent Pomaderris,Critically Endangered,4-Sep-24,Yes
Pomaderris vacciniifolia,Round-leaf Pomaderris,Critically Endangered,24-Jan-14,Yes
Pomaderris walshii,Carrington Falls Pomaderris,Critically Endangered,25-Sep-20,Yes
Prasophyllum atratum,Three Hummock Leek-orchid,Critically Endangered,13-Nov-09,Yes
Prasophyllum bagoense,Bago Leek-orchid,Critically Endangered,3-May-12,Yes
Prasophyllum castaneum,Chestnut Leek-orchid,Critically Endangered,16-Oct-01,No
Prasophyllum favonium,Western Leek-orchid,Critically Endangered,16-Oct-01,Yes
Prasophyllum incorrectum,Golfers Leek-orchid,Critically Endangered,26-Nov-08,Yes
Prasophyllum innubum,Brandy Marys Leek-orchid,Critically Endangered,24-Jan-14,Yes
Prasophyllum keltonii,Kelton's Leek-orchid,Critically Endangered,24-Jan-14,Yes
Prasophyllum laxum,Lax Leek Orchid,Critically Endangered,9-Apr-15,Yes
Prasophyllum limnetes,Marsh Leek-orchid,Critically Endangered,13-Nov-09,Yes
Prasophyllum litorale = Prasophyllum littorale,Coastal Leek Orchid,Critically Endangered,5-Oct-22,Yes
Prasophyllum milfordense,Milford Leek-orchid,Critically Endangered,16-Oct-01,Yes
Prasophyllum murfetii,Fleurieu Leek Orchid,Critically Endangered,27-Nov-06,Yes
Prasophyllum olidum,Pungent Leek-orchid,Critically Endangered,16-Oct-01,Yes
Prasophyllum perangustum,Knocklofty Leek-orchid,Critically Endangered,16-Oct-01,No
Prasophyllum pulchellum,Pretty Leek-orchid,Critically Endangered,16-Oct-01,Yes
Prasophyllum robustum,Robust Leek-orchid,Critically Endangered,16-Oct-01,No
Prasophyllum sp. Wybong (C.Phelps ORG 5269),a leek-orchid,Critically Endangered,13-Nov-09,No
Prasophyllum stellatum,Ben Lomond Leek-orchid,Critically Endangered,16-Oct-01,No
Prasophyllum taphanyx,Graveside Leek-orchid,Critically Endangered,26-Nov-08,Yes
Prasophyllum uvidulum,Shelley Leek Orchid,Critically Endangered,15-Nov-23,Yes
Prostanthera albohirta,,Critically Endangered,17-Apr-14,No
Prostanthera clotteniana,,Critically Endangered,30-Sep-11,Yes
Prostanthera gilesii,,Critically Endangered,13-Nov-21,Yes
Prostanthera marifolia,Seaforth Mintbush,Critically Endangered,30-Sep-11,Yes
Prostanthera palustris,Swamp Mint-bush,Critically Endangered,7-Sep-23,Yes
Prostanthera sp. Rowleys Creek (L.M.Copeland 4288),,Critically Endangered,6-Feb-26,Yes
Prostanthera staurophylla,a mint-bush,Critically Endangered,3-Mar-21,Yes
Pterostylis bryophila,Hindmarsh Valley Greenhood,Critically Endangered,27-Nov-06,Yes
Pterostylis commutata,Midland Greenhood,Critically Endangered,16-Oct-01,Yes
Pterostylis oreophila,"Blue-tongued Orchid, Kiandra Greenhood",Critically Endangered,3-May-12,Yes
Pterostylis psammophila,Two-bristle Greenhood,Critically Endangered,5-May-16,Yes
Pterostylis valida,Robust Greenhood,Critically Endangered,30-Sep-11,Yes
Pterostylis vernalis,Halbury Rustyhood,Critically Endangered,12-Feb-10,Yes
Pterostylis wapstrarum,Fleshy Greenhood,Critically Endangered,16-Oct-01,Yes
Ptilotus pyramidatus,Pyramid Mulla-mulla,Critically Endangered,12-Dec-13,Yes
Pultenaea insularis,Beyeria Bush-pea,Critically Endangered,6-Feb-26,Yes
Pultenaea sp. Genowlan Point (NSW 417813) = Pultenaea praecipua subsp. praecipua,"Genowlan Point Pultenaea, Genowlan Pultenaea",Critically Endangered,15-Dec-04,Yes
Reedia spathacea,Reedia,Critically Endangered,7-Jan-09,Yes
Rhizanthella gardneri,"Western Underground Orchid, Underground Orchid",Critically Endangered,25-Sep-20,Yes
Rhizanthella johnstonii,South Coast Underground Orchid,Critically Endangered,25-Sep-20,Yes
Rhodamnia angustifolia,Narrow-leaved Malletwood,Critically Endangered,20-Mar-23,Yes
Rhodamnia longisepala,,Critically Endangered,20-Mar-23,Yes
Rhodamnia maideniana,Smooth Scrub Turpentine,Critically Endangered,20-Mar-23,Yes
Rhodamnia rubescens,"Scrub Turpentine, Brown Malletwood",Critically Endangered,11-Dec-20,Yes
Rhodomyrtus psidioides,Native Guava,Critically Endangered,12-Dec-20,Yes
Sannantha whitei,,Critically Endangered,16-Jul-24,Yes
Scaevola macrophylla,Large-flowered Scaevola,Critically Endangered,19-Aug-10,Yes
Seringia exastia,Fringed Fire-bush,Critically Endangered,24-Dec-09,Yes
Solanum orgadophilum,Capella Potato Bush,Critically Endangered,8-Dec-21,Yes
Sphaerolobium acanthos,Grampians Globe-pea,Critically Endangered,7-Dec-16,Yes
Spyridium fontis-woodii,Woods Well Spyridium,Critically Endangered,6-Mar-21,Yes
Stylidium amabile,,Critically Endangered,4-Jul-19,Yes
Stylidium applanatum,Flat-leaved Triggerplant,Critically Endangered,15-Feb-18,Yes
Stylidium semaphorum,,Critically Endangered,11-May-18,Yes
Styphelia longissima,,Critically Endangered,11-May-18,Yes
Synaphea sp. Fairbridge Farm (D.Papenfus 696),Selena's Synaphea,Critically Endangered,24-Dec-09,Yes
Synaphea sp. Pinjarra (R.Davis 6578),Club-leafed Synaphea,Critically Endangered,24-Dec-09,Yes
Synaphea sp. Serpentine (G.R.Brand 103),,Critically Endangered,15-Feb-18,Yes
Tetratheca gunnii,"Shy Pinkbells, Shy Susan",Critically Endangered,16-Oct-01,Yes
Tetratheca nephelioides,,Critically Endangered,14-May-13,No
Thelymitra adorata,Wyong Sun Orchid,Critically Endangered,19-Jul-14,Yes
Thelymitra cyanapicata,"Blue Top Sun-orchid, Dark-tipped Sun-orchid",Critically Endangered,8-Jan-09,Yes
Thelymitra hygrophila,Blue Star Sun-orchid,Critically Endangered,5-May-16,Yes
Thelymitra kangaloonica,Kangaloon Sun Orchid,Critically Endangered,8-Jan-09,Yes
Thelymitra orientalis,Hoary Sun-orchid,Critically Endangered,7-Sep-23,Yes
Thelymitra variegata,Queen of Sheba,Critically Endangered,6-Feb-26,Yes
Thynninorchis nothofagicola,Myrtle Elbow Orchid,Critically Endangered,16-Oct-01,No
