Scientific Name,Response to P cinnamomi,BC Act listing,Current habitat score (A),Future habitat score,Records (adj.),Distance (adj.),Abundance score (B),Proximity score (C),Current priority score,Future priority score
Eucalyptus codonocarpa,Unknown,,0.59,,57,48,0.57,0.60,20,
Prostanthera sejuncta,Unknown,V,0.56,,41,54,0.62,0.58,20,
Grevillea juniperina subsp. juniperina,Unknown,V,0.54,,269,13,0.41,0.90,20,
Grevillea parviflora subsp. parviflora,Unknown,V,0.80,,358,38,0.39,0.63,20,
Dampiera fusca,Unknown,E,0.42,,34,25,0.65,0.72,20,
Bertya glandulosa  ,Unknown,,0.36,,10,71,1.00,0.54,20,
Eucalyptus ophitica,Unknown,,0.33,,12,36,0.93,0.64,20,
Macrozamia johnsonii,Unknown,E,0.68,,165,37,0.45,0.64,20,
Zieria citriodora,Unknown,E,0.25,,10,20,1.00,0.77,20,
Grevillea beadleana,Unknown,E,0.48,,39,35,0.63,0.65,20,
Chiloglottis palachila  ,Unknown,,0.61,,25,179,0.72,0.44,19,
Acacia latisepala  ,Unknown,,0.46,,28,47,0.69,0.60,19,
Caladenia subtilis  ,Unknown,,0.34,,10,62,1.00,0.56,19,
Asterolasia rupestris subsp. recurva,Unknown,,0.33,,10,54,1.00,0.58,19,
Grevillea granulifera,Unknown,,0.50,,42,44,0.62,0.61,19,
Angophora robur,Unknown,V,0.74,,212,49,0.43,0.59,19,
Daviesia elliptica,Unknown,,0.58,,59,54,0.56,0.58,19,
Muehlenbeckia sp. Mt Norman,Unknown,V,0.42,,10,179,1.00,0.44,19,
Leucopogon confertus,Unknown,E,0.28,,10,32,1.00,0.67,19,
Acacia kybeanensis  ,Unknown,,0.59,,41,96,0.62,0.50,19,
Eucalyptus badjensis,Unknown,,0.40,,50,19,0.59,0.78,18,
Hibbertia elata,Unknown,,0.36,,10,94,1.00,0.51,18,
Bertya ingramii,Unknown,E,0.29,,16,20,0.83,0.76,18,
Grevillea scortechinii subsp. sarmentosa,Unknown,V,0.45,,28,50,0.69,0.59,18,
Eucalyptus pumila,Unknown,V,0.33,,16,30,0.83,0.68,18,
Syzygium paniculatum,Unknown,E,0.76,,477,35,0.37,0.65,18,
Chiloglottis platyptera,Unknown,V,0.48,,26,75,0.71,0.53,18,
Prasophyllum canaliculatum,Unknown,CE,0.32,,10,58,1.00,0.57,18,
Solanum neoanglicum  ,Unknown,,0.46,,36,46,0.64,0.60,18,
Cynanchum elegans,Unknown,E,0.67,,199,43,0.43,0.61,18,
Eucalyptus castrensis,Unknown,E,0.26,,10,29,1.00,0.68,18,
Hakea macrorrhyncha,Unknown,,0.47,,40,42,0.62,0.61,18,
Parsonsia dorrigoensis,Unknown,V,0.60,,417,19,0.38,0.78,18,
Acacia pycnostachya,Unknown,V,0.44,,32,45,0.66,0.61,18,
Tetratheca juncea,Unknown,V,0.84,,987,39,0.33,0.63,18,
Almaleea cambagei,Unknown,E,0.42,,33,37,0.66,0.64,17,
Eucalyptus largeana,Unknown,E,0.56,,87,47,0.52,0.60,17,
Diuris ochroma,Unknown,E,0.35,,10,103,1.00,0.50,17,
Eucalyptus parramattensis subsp. decadens,Unknown,V,0.64,,289,35,0.41,0.65,17,
Commersonia rosea,Unknown,E,0.36,,25,33,0.72,0.66,17,
Hydrocotyle digitata  ,Unknown,,0.49,,32,95,0.66,0.51,17,
Haloragis exalata subsp. velutina,Unknown,V,0.44,,37,56,0.64,0.57,16,
Persoonia pauciflora,Unknown,CE,0.23,,10,27,1.00,0.70,16,
Rutidosis heterogama,Unknown,V,0.54,,123,45,0.48,0.61,16,
Grevillea viridiflava,Unknown,,0.38,,35,37,0.65,0.64,16,
Prostanthera gilesii,Unknown,CE,0.24,,10,35,1.00,0.65,16,
Cassinia lepschii  ,Unknown,,0.36,,20,65,0.77,0.55,15,
Dillwynia glaucula,Unknown,E,0.37,,30,46,0.68,0.60,15,
Prostanthera prunelloides,Unknown,,0.43,,74,34,0.53,0.65,15,
Echinopogon phleoides  ,Unknown,,0.27,,10,70,1.00,0.54,15,
Kennedia retrorsa,Unknown,V,0.26,,16,28,0.83,0.69,15,
Eucalyptus cannonii,Unknown,V,0.56,,240,41,0.42,0.62,15,
Euphrasia arguta,Unknown,CE,0.37,,18,111,0.80,0.49,14,
Persoonia asperula,Unknown,,0.45,,92,40,0.51,0.62,14,
Indigofera baileyi,Unknown,E,0.34,,18,77,0.80,0.53,14,
Eucalyptus oresbia,Unknown,V,0.27,,11,67,0.96,0.55,14,
Lepiderema pulchella,Unknown,V,0.57,,55,217,0.57,0.43,14,
Prostanthera discolor,Unknown,V,0.21,,10,31,1.00,0.67,14,
Pelargonium sp. Striatellum,Unknown,E,0.25,,10,65,1.00,0.55,14,
Acacia ruppii,Unknown,E,0.45,,81,54,0.52,0.58,14,
Epacris robusta,Unknown,,0.41,,49,60,0.59,0.56,14,
Eucalyptus magnificata,Unknown,E,0.35,,41,41,0.62,0.62,14,
Eucalyptus rubida subsp. barbigerorum,Unknown,V,0.36,,29,71,0.68,0.54,13,
Pomaderris precaria,Unknown,,0.24,,17,33,0.81,0.66,13,
Acacia macnuttiana,Unknown,V,0.39,,47,60,0.60,0.56,13,
Senecio linearifolius var. dangarensis,Unknown,E,0.17,,10,22,1.00,0.75,13,
Philotheca conduplicata,Unknown,,0.35,,24,92,0.72,0.51,13,
Asterolasia beckersii,Unknown,CE,0.27,,10,128,1.00,0.47,13,
Acacia meiantha,Unknown,E,0.29,,42,26,0.62,0.71,13,
Prostanthera teretifolia,Unknown,,0.38,,82,38,0.52,0.64,13,
Caladenia attenuata,Unknown,CE,0.24,,10,81,1.00,0.52,13,
Homoranthus biflorus  ,Unknown,,0.23,,10,65,1.00,0.55,12,
Homoranthus binghiensis,Unknown,E,0.23,,16,34,0.83,0.65,12,
Lepidium peregrinum,Unknown,E,0.24,,10,95,1.00,0.51,12,
Diuris pedunculata,Unknown,E,0.41,,56,92,0.57,0.51,12,
Rutidosis leptorrhynchoides,Unknown,E,0.22,,13,47,0.90,0.60,12,
Eucalyptus pulverulenta,Unknown,V,0.40,,113,45,0.49,0.61,12,
Lepyrodia leptocaulis  ,Unknown,,0.39,,53,85,0.58,0.52,12,
Euphrasia scabra,Unknown,E,0.31,,22,99,0.74,0.50,12,
Bossiaea fragrans,Unknown,CE,0.20,,10,59,1.00,0.57,11,
Grevillea oxyantha subsp. oxyantha,Unknown,,0.33,,58,44,0.57,0.61,11,
Acacia aureocrinita  ,Unknown,,0.28,,34,46,0.65,0.60,11,
Eucalyptus nicholii,Unknown,V,0.49,,274,65,0.41,0.55,11,
Eucalyptus cinerea subsp. triplex,Unknown,,0.21,,14,53,0.87,0.58,10,
Pomaderris betulina subsp. actensis,Unknown,,0.16,,10,42,1.00,0.61,10,
Phebalium glandulosum subsp. angustifolium,Unknown,,0.26,,24,80,0.72,0.53,10,
Thelymitra alpicola,Unknown,V,0.24,,17,87,0.81,0.52,10,
Logania granitica  ,Unknown,,0.21,,10,132,1.00,0.47,10,
Eucalyptus aggregata,Unknown,V,0.39,,271,49,0.41,0.59,10,
Eriocaulon australasicum,Unknown,E,0.23,,10,256,1.00,0.42,9,
Eucalyptus glaucina,Unknown,V,0.38,,312,42,0.40,0.62,9,
Monotaxis macrophylla,Unknown,E,0.32,,37,174,0.64,0.45,9,
Caladenia amnicola  ,Unknown,E,0.16,,10,62,1.00,0.56,9,
Eucalyptus kybeanensis,Unknown,,0.32,,45,127,0.60,0.48,9,
Prostanthera cryptandroides subsp. cryptandroides,Unknown,V,0.26,,27,104,0.70,0.50,9,
Persoonia terminalis subsp. terminalis,Unknown,,0.27,,87,38,0.52,0.63,9,
Boronia amabilis,Unknown,,0.13,,10,34,1.00,0.65,9,
Muehlenbeckia diclina subsp. Gippsland,Unknown,,0.16,,10,82,1.00,0.52,9,
Eucalyptus saxatilis,Unknown,E,0.17,,11,86,0.96,0.52,9,
Pomaderris pallida,Unknown,V,0.24,,38,61,0.63,0.56,8,
Zieria obcordata,Unknown,E,0.16,,12,65,0.93,0.55,8,
Goodenia stephensonii  ,Unknown,,0.25,,40,85,0.62,0.52,8,
Minuria scoparia  ,Unknown,,0.19,,15,139,0.85,0.47,8,
Leionema rotundifolium,Unknown,,0.26,,58,93,0.57,0.51,8,
Allocasuarina brachystachya  ,Unknown,,0.19,,27,73,0.70,0.54,7,
Boronia granitica,Unknown,V,0.28,,111,93,0.49,0.51,7,
Velleia parvisepta  ,Unknown,,0.16,,12,149,0.93,0.46,7,
Acacia pubifolia,Unknown,E,0.17,,18,93,0.80,0.51,7,
Leionema lamprophyllum subsp. obovatum,Unknown,,0.19,,23,103,0.73,0.50,7,
Caladenia gracillima  ,Unknown,,0.13,,10,77,1.00,0.53,7,
Boronia angustisepala,Unknown,,0.24,,37,191,0.64,0.44,7,
Grevillea wilkinsonii,Unknown,CE,0.11,,10,48,1.00,0.59,7,
Bertya mollissima  ,Unknown,,0.17,,14,184,0.87,0.44,6,
Picris evae,Unknown,V,0.13,,10,107,1.00,0.49,6,
Zieria odorifera subsp. williamsii,Unknown,,0.18,,28,103,0.69,0.50,6,
Ozothamnus tesselatus,Unknown,V,0.15,,33,37,0.66,0.64,6,
Coronidium kaputaricum  ,Unknown,,0.14,,10,179,1.00,0.44,6,
Cassinia theodorii  ,Unknown,,0.13,,11,181,0.96,0.44,6,
Pterostylis aneba  ,Unknown,,0.11,,10,110,1.00,0.49,6,
Eucalyptus caleyi subsp. ovendenii,Unknown,V,0.16,,29,91,0.68,0.51,6,
Prasophyllum petilum,Unknown,E,0.17,,40,109,0.62,0.49,5,
Hibbertia porcata,Unknown,,0.11,,10,108,1.00,0.49,5,
Dodonaea procumbens,Unknown,V,0.15,,39,57,0.63,0.57,5,
Micromyrtus grandis,Unknown,E,0.09,,10,56,1.00,0.57,5,
Olearia aglossa  ,Unknown,,0.10,,10,115,1.00,0.49,5,
Leucochrysum albicans subsp. tricolor,Unknown,E,0.24,,382,87,0.39,0.52,5,
Lasiopetalum longistamineum,Unknown,V,0.09,,17,37,0.81,0.64,5,
Acacia williamsiana  ,Unknown,,0.13,,27,82,0.70,0.52,5,
Zieria odorifera subsp. warrabahensis,Unknown,CE,0.08,,10,80,1.00,0.53,4,
Hibbertia pilifera,Unknown,,0.09,,10,157,1.00,0.46,4,
Eucalyptus mckieana,Unknown,V,0.17,,139,91,0.47,0.51,4,
Olearia montana  ,Unknown,,0.07,,11,42,0.96,0.61,4,
Dichanthium setosum,Unknown,V,0.18,,170,170,0.45,0.45,4,
Eucalyptus quinniorum,Unknown,,0.11,,38,100,0.63,0.50,4,
Pomaderris reperta,Unknown,CE,0.06,,12,37,0.93,0.64,4,
Grevillea juniperina subsp. fortis,Unknown,,0.05,,10,20,1.00,0.77,3,
Prostanthera nivea var. induta,Unknown,,0.09,,25,134,0.72,0.47,3,
Genoplesium ectopum  ,Unknown,,0.05,,10,39,1.00,0.63,3,
Lepidium hyssopifolium,Unknown,E,0.15,,100,426,0.50,0.38,3,
Bertya oblonga  ,Unknown,,0.09,,24,175,0.72,0.45,3,
Hibbertia florida,Unknown,,0.06,,10,162,1.00,0.45,3,
Swainsona recta,Unknown,E,0.11,,75,147,0.53,0.46,3,
Homoranthus prolixus,Unknown,V,0.09,,49,113,0.59,0.49,3,
Asterolasia rupestris subsp. rupestris,Unknown,,0.07,,17,179,0.81,0.44,3,
Cassinia copensis  ,Unknown,,0.08,,33,124,0.66,0.48,3,
Grevillea iaspicula,Unknown,CE,0.03,,10,16,1.00,0.84,3,
Phebalium squamulosum subsp. coriaceum,Unknown,,0.08,,37,140,0.64,0.47,2,
Calotis pubescens,Unknown,E,0.06,,15,120,0.85,0.48,2,
Prostanthera monticola,Unknown,,0.06,,15,128,0.85,0.47,2,
Macrozamia humilis,Unknown,E,0.06,,17,106,0.81,0.49,2,
Cheiranthera telfordii  ,Unknown,,0.07,,33,112,0.66,0.49,2,
Pilularia novae-hollandiae,Unknown,E,0.08,,35,191,0.65,0.44,2,
Rutidosis leiolepis,Unknown,V,0.07,,58,103,0.57,0.50,2,
Rytidosperma pumilum,Unknown,V,0.04,,10,121,1.00,0.48,2,
Carex archeri,Unknown,E,0.04,,10,120,1.00,0.48,2,
Acacia phasmoides,Unknown,V,0.05,,10,158,1.00,0.45,2,
Calotis glandulosa,Unknown,V,0.09,,141,97,0.47,0.50,2,
Senecio garlandii,Unknown,V,0.06,,26,174,0.71,0.45,2,
Cullen parvum,Unknown,E,0.05,,13,222,0.90,0.43,2,
Pterostylis oreophila,Unknown,CE,0.04,,10,115,1.00,0.49,2,
Hibbertia simulans,Unknown,,0.04,,10,160,1.00,0.45,2,
Astrotricha roddii,Unknown,E,0.05,,42,77,0.62,0.53,2,
Rytidosperma vickeryae,Unknown,E,0.05,,27,121,0.70,0.48,2,
Indigofera efoliata,Unknown,E,0.04,,13,142,0.90,0.46,2,
Asterolasia trymalioides subsp. villosa,Unknown,,0.03,,10,110,1.00,0.49,2,
Argyrotegium nitidulum,Unknown,V,0.05,,22,120,0.74,0.48,2,
Cyperus secubans  ,Unknown,,0.05,,20,191,0.77,0.44,2,
Grevillea diminuta,Unknown,,0.03,,17,59,0.81,0.56,1,
Swainsona sericea,Unknown,V,0.09,,323,249,0.40,0.42,1,
Correa lawrenceana var. rosea,Unknown,,0.05,,53,134,0.58,0.47,1,
Caladenia concolor,Unknown,E,0.04,,13,176,0.90,0.45,1,
Leptospermum namadgiense,Unknown,,0.03,,11,85,0.96,0.52,1,
Eucalyptus lacrimans,Unknown,,0.04,,49,85,0.59,0.52,1,
Ranunculus anemoneus,Unknown,V,0.05,,98,122,0.50,0.48,1,
Homoranthus darwinioides,Unknown,V,0.05,,72,202,0.54,0.43,1,
Diuris tricolor,Unknown,V,0.06,,130,200,0.47,0.43,1,
Zieria odorifera subsp. copelandii,Unknown,CE,0.03,,10,189,1.00,0.44,1,
Lepidium aschersonii,Unknown,V,0.01,,10,10,1.00,1.00,1,
Brachyscome muelleroides,Unknown,V,0.03,,17,166,0.81,0.45,1,
Eucalyptus nandewarica,Unknown,,0.03,,21,194,0.76,0.44,1,
Eucalyptus canobolensis,Unknown,E,0.02,,31,24,0.67,0.73,1,
Glycine latrobeana,Unknown,CE,0.02,,10,104,1.00,0.50,1,
Cassinia venusta  ,Unknown,,0.02,,10,158,1.00,0.45,1,
Caladenia montana,Unknown,V,0.02,,10,95,1.00,0.51,1,
Grevillea wiradjuri,Unknown,,0.03,,30,106,0.68,0.49,1,
Prostanthera cruciflora,Unknown,,0.03,,30,196,0.68,0.44,1,
Olearia stenophylla  ,Unknown,,0.02,,10,101,1.00,0.50,1,
Caladenia arenaria,Unknown,E,0.03,,26,124,0.71,0.48,1,
Pomaderris cocoparrana,Unknown,E,0.02,,21,61,0.76,0.56,1,
Prasophyllum innubum,Unknown,CE,0.02,,21,116,0.76,0.48,1,
Eucalyptus forresterae,Unknown,,0.02,,10,100,1.00,0.50,1,
Discaria nitida,Unknown,V,0.03,,52,109,0.58,0.49,1,
Leionema viridiflorum,Unknown,,0.03,,58,192,0.57,0.44,1,
Prasophyllum keltonii,Unknown,CE,0.02,,10,88,1.00,0.51,1,
Phebalium glandulosum subsp. nitidum,Unknown,,0.02,,10,137,1.00,0.47,1,
Prostanthera makinsonii,Unknown,,0.01,,10,24,1.00,0.73,1,
Acacia acrionastes,Unknown,E,0.01,,10,60,1.00,0.56,1,
Prasophyllum bagoense,Unknown,CE,0.01,,11,87,0.96,0.52,1,
Prasophyllum retroflexum,Unknown,V,0.02,,25,97,0.72,0.50,1,
Asterolasia hexapetala,Unknown,,0.02,,35,135,0.65,0.47,1,
Zieria ingramii,Unknown,E,0.02,,55,90,0.57,0.51,1,
Ammobium craspedioides,Unknown,V,0.02,,100,76,0.50,0.53,1,
Austrostipa wakoolica,Unknown,E,0.03,,71,306,0.54,0.40,1,
Atriplex infrequens,Unknown,V,0.02,,13,608,0.90,0.36,1,
Grevillea oxyantha subsp. ecarinata,Unknown,,0.01,,12,73,0.93,0.54,1,
Hibbertia fruticosa,Unknown,,0.01,,10,189,1.00,0.44,1,
Bertya riparia  ,Unknown,,0.01,,10,40,1.00,0.62,1,
Commersonia procumbens,Unknown,V,0.02,,76,194,0.53,0.44,0,
Diuris sp. Oaklands (D.L.Jones 5380) NSW Herbarium,Unknown,E,0.01,,10,117,1.00,0.48,0,
Boronia ruppii,Unknown,E,0.01,,10,124,1.00,0.48,0,
Dillwynia palustris,Unknown,,0.01,,16,92,0.83,0.51,0,
Eleocharis obicis,Unknown,V,0.01,,13,241,0.90,0.42,0,
Persoonia terminalis subsp. recurva,Unknown,,0.02,,37,146,0.64,0.46,0,
Hakea pulvinifera,Unknown,E,0.01,,10,194,1.00,0.44,0,
Digitaria porrecta,Unknown,E,0.02,,113,221,0.49,0.43,0,
Austrostipa metatoris,Unknown,V,0.01,,23,381,0.73,0.39,0,
Boronia warrumbunglensis,Unknown,,0.01,,32,139,0.66,0.47,0,
Tylophora linearis,Unknown,V,0.01,,171,199,0.45,0.44,0,
Maireana cheelii,Unknown,V,0.01,,59,456,0.56,0.38,0,
Leptorhynchos orientalis,Unknown,E,0.01,,27,157,0.70,0.46,0,
Brachyscome papillosa,Unknown,V,0.01,,113,380,0.49,0.39,0,
Hibbertia covenyana,Unknown,,0.01,,56,187,0.57,0.44,0,
Lepidium monoplocoides,Unknown,E,0.01,,70,516,0.54,0.37,0,
Acacia curranii,Unknown,V,0.01,,44,290,0.61,0.41,0,
