Taxon,EPBC status,MNES_DCCEEW maps
Eucalyptus steedmanii,Vulnerable,94.49835296
Eucalyptus strzeleckii,Vulnerable,4013.312473
Eucalyptus suberea,Vulnerable,605.6418175
Eucalyptus synandra,Vulnerable,17003.49798
Eucalyptus tetrapleura,Vulnerable,2054.638307
Eucalyptus virens,Vulnerable,12261.84322
Eucalyptus x balanites,Endangered,138.7560604
Eucalyptus x phylacis,Endangered,44.00123194
Eucryphia wilkiei,Vulnerable,32.49834255
Euphorbia carissoides,Vulnerable,12855.20513
Euphorbia norfolkiana,Critically Endangered,10.97554331
Euphorbia obliqua,Vulnerable,12.78889382
Euphrasia amphisysepala,Vulnerable,4.872308054
Euphrasia arguta,Critically Endangered,5732.885501
Euphrasia bella,Vulnerable,366.6973117
Euphrasia bowdeniae,Vulnerable,10.71867697
Euphrasia collina subsp. muelleri,Endangered,351.2569893
Euphrasia collina subsp. osbornii,Endangered,250.7785271
Euphrasia crassiuscula subsp. glandulifera,Vulnerable,32.7575312
Euphrasia eichleri,Vulnerable,175.9563755
Euphrasia fragosa,Critically Endangered,18.23802841
Euphrasia gibbsiae subsp. psilantherea,Critically Endangered,5.256607328
Euphrasia phragmostoma,Vulnerable,3.131851235
Euphrasia semipicta,Endangered,47.79352494
Euphrasia sp. Bivouac Bay (W.R.Barker 7626 et al.),Endangered,11.20760538
Fimbristylis adjuncta,Endangered,20.15910645
Floydia praealta,Vulnerable,3372.782479
Fontainea australis,Vulnerable,1274.648141
Fontainea oraria,Critically Endangered,0.442517819
Fontainea rostrata,Vulnerable,1460.026275
Fontainea venosa,Vulnerable,263.2951251
Frankenia conferta,Endangered,21.50546424
Frankenia parvula,Endangered,107.3947818
Frankenia plicata,Endangered,350209.7168
Galium antarcticum,Critically Endangered,3.092430747
Gardenia actinocarpa,Endangered,15.21024786
Gardenia psidioides,Vulnerable,372.9095566
Gastrolobium appressum,Vulnerable,130.9472831
Gastrolobium argyrotrichum,Critically Endangered,2.594779562
Gastrolobium diabolophyllum,Critically Endangered,2206.05505
Gastrolobium glaucum,Endangered,21.41399362
Gastrolobium graniticum,Endangered,4205.962365
Gastrolobium hamulosum,Endangered,3342.402329
Gastrolobium humile,Endangered,284.8018681
Gastrolobium lehmannii,Vulnerable,42.57437542
Gastrolobium luteifolium,Critically Endangered,288.0944186
Gastrolobium modestum,Vulnerable,6.288613314
Gastrolobium papilio,Endangered,29.21968373
Gastrolobium vestitum,Critically Endangered,5.307960403
Gaultheria viridicarpa J.B.Williams subsp. viridicarpa ms.,Vulnerable,18.06079985
Geniostoma huttonii,Endangered,0.923662967
Genoplesium baueri,Endangered,4137.817383
Genoplesium plumosum,Endangered,15.39551938
Genoplesium rhyoliticum,Endangered,78.24700433
Genoplesium tectum,Endangered,21.21455882
Genoplesium vernale,Vulnerable,1286.033722
Gentiana baeuerlenii,Endangered,64.23614348
Gentiana bredboensis,Critically Endangered,4.797879705
Gentiana wingecarribiensis,Endangered,111.307395
Gentiana wissmannii,Vulnerable,146.2471493
Germainia capitata,Vulnerable,901.0105173
Gingidia rupicola,Endangered,70.51932323
Glyceria drummondii,Endangered,208.5127758
Glycine latrobeana,Vulnerable,87254.62756
Goodenia arthrotricha,Endangered,402.3910538
Goodenia integerrima,Vulnerable,403.2477765
Goodenia quadrifida,Vulnerable,791.278715
Gossia fragrantissima,Endangered,1373.415695
Gossia gonoclada,Endangered,59.68157673
Graptophyllum ilicifolium,Vulnerable,65.87628185
Graptophyllum reticulatum,Endangered,20.47228363
Grevillea acanthifolia subsp. paludosa,Endangered,78.10171839
Grevillea acropogon,Endangered,13.49293423
Grevillea althoferorum,Endangered,146.751712
Grevillea banyabba,Vulnerable,305.6317201
Grevillea batrachioides,Endangered,201.300005
Grevillea beadleana,Endangered,340.0910384
Grevillea bedggoodiana,Vulnerable,106.7619918
Grevillea brachystylis subsp. australis,Vulnerable,24.12568909
Grevillea brachystylis subsp. grandis,Critically Endangered,166.7838469
Grevillea bracteosa subsp. howatharra,Critically Endangered,113.2485544
Grevillea caleyi,Critically Endangered,92.80243116
Grevillea calliantha,Endangered,28.7408138
Grevillea celata,Vulnerable,69.46406791
Grevillea christineae,Endangered,2198.89616
Grevillea corrugata,Endangered,1357.339856
Grevillea curviloba subsp. curviloba,Endangered,220.8505209
Grevillea curviloba subsp. incurva,Endangered,484.1966646
Grevillea dryandroides subsp. dryandroides,Endangered,18.87259167
Grevillea dryandroides subsp. hirsuta,Endangered,14045.48231
Grevillea elongata,Vulnerable,38.83358097
Grevillea evansiana,Vulnerable,249.2222669
Grevillea flexuosa,Vulnerable,73.57960094
Grevillea floripendula,Vulnerable,49.00228899
Grevillea glossadenia,Vulnerable,1480.450872
Grevillea guthrieana,Endangered,267.5086079
Grevillea humifusa,Endangered,98.84588385
Grevillea iaspicula,Endangered,34.24770579
Grevillea infecunda,Vulnerable,192.2516236
Grevillea infundibularis,Endangered,77.89081759
Grevillea involucrata,Endangered,826.3257817
Grevillea kennedyana,Vulnerable,843.5271277
Grevillea maccutcheonii,Endangered,29.60721595
Grevillea masonii,Endangered,56.7631002
Grevillea maxwellii,Endangered,503.2545669
Grevillea mollis,Endangered,14.99644492
Grevillea molyneuxii,Endangered,154.0558081
Grevillea montis-cole subsp. brevistyla,Vulnerable,4.548735902
Grevillea murex,Endangered,111.7222351
Grevillea obtusiflora,Endangered,76.43297797
Grevillea parviflora subsp. parviflora,Vulnerable,2153.360538
Grevillea pythara,Endangered,958.1928539
Grevillea quadricauda,Vulnerable,753.0193154
Grevillea rara,Endangered,3.895121475
Grevillea rhizomatosa,Vulnerable,56.50074753
Grevillea rivularis,Endangered,1.95712979
Grevillea scapigera,Endangered,2278.860517
Grevillea scortechinii subsp. scortechinii,Vulnerable,291.4387118
Grevillea shiressii,Vulnerable,414.1309493
Grevillea sp. Gillingarra (R.J.Cranfield 4087),Critically Endangered,22.83130536
Grevillea thelemanniana,Critically Endangered,14.10231784
Grevillea treueriana,Vulnerable,3.18899398
Grevillea wilkinsonii,Endangered,60.93238977
Guichenotia seorsiflora,Critically Endangered,85.57559944
Gyrostemon reticulatus,Critically Endangered,12124.77146
Habenaria maccraithii,Endangered,68.85449467
Hakea aculeata,Vulnerable,70.85965898
Hakea archaeoides,Vulnerable,31.53460905
Hakea dohertyi,Endangered,124.4926967
Hakea fraseri,Vulnerable,140.3108834
Hakea maconochieana,Vulnerable,11247.28755
Hakea megalosperma,Vulnerable,3635.370261
Hakea pulvinifera,Endangered,67.85596104
Hakea trineura,Vulnerable,888.6499778
Haloragis exalata subsp. exalata,Vulnerable,3989.10162
Haloragis exalata subsp. velutina,Vulnerable,16413.10359
Haloragis eyreana,Endangered,658.2965551
Haloragis platycarpa,Critically Endangered,35.67281432
Haloragodendron lucasii,Endangered,1084.696618
Helicteres macrothrix,Endangered,43.95259975
Hemiandra gardneri,Endangered,5589.819654
Hemiandra rutilans,Endangered,345.3860822
Hemigenia ramosissima,Critically Endangered,105.7432029
Hensmania chapmanii,Vulnerable,106.7904031
Hexaspora pubescens,Vulnerable,33.59189633
Hibbertia abyssus,Critically Endangered,19.17968635
Hibbertia basaltica,Endangered,58.69973937
Hibbertia crispula,Vulnerable,13275.13024
Hibbertia humifusa subsp. debilis,Vulnerable,22.64194402
Hibbertia humifusa subsp. erigens,Vulnerable,892.7285517
Hibbertia marginata,Vulnerable,570.290231
Hibbertia priceana,Critically Endangered,114.1187473
Hibbertia puberula subsp. glabrescens,Critically Endangered,3.711528071
Hibbertia sp. Toolbrunup (J.R.Wheeler 2504),Critically Endangered,5.440471485
Hibbertia spanantha,Critically Endangered,0.163919548
Hibbertia tenuis,Critically Endangered,88.21731323
Hibiscus brennanii,Vulnerable,334.351308
Hibiscus cravenii,Vulnerable,35.08885633
Hibiscus insularis,Critically Endangered,2.507475565
Hicksbeachia pinnatifolia,Vulnerable,2030.908556
Homopholis belsonii,Vulnerable,211.7372206
Homoranthus bebo,Critically Endangered,7.7993358
Homoranthus darwinioides,Vulnerable,11589.97977
Homoranthus decumbens,Endangered,2938.494987
Homoranthus lunatus,Vulnerable,68.07242114
Homoranthus montanus,Vulnerable,222.3474487
Homoranthus porteri,Vulnerable,608.273954
Homoranthus prolixus,Vulnerable,369.2813118
Hoya australis subsp. oramicola,Vulnerable,9.123658456
Hybanthus cymulosus,Critically Endangered,532.4679314
Hydriastele costata,Vulnerable,224.8257727
Hypocalymma angustifolium subsp. Hutt River (S.Patrick 2982),Endangered,28.57355045
Hypocalymma longifolium,Vulnerable,70.44913104
Hypocalymma sp. Cascade (R. Bruhn 20896),Endangered,37.67307005
Hypocalymma sylvestre,Endangered,181.496103
Hypolepis dicksonioides,Vulnerable,40.24856957
Hypolepis distans,Endangered,1179.812892
Ileostylus micranthus,Vulnerable,4.567584289
Indigofera efoliata,Endangered,299.4727352
Irenepharsus trypherus,Endangered,127.9422251
Isoglossa eranthemoides,Endangered,78.40555181
Isopogon fletcheri,Vulnerable,32.92065133
Isopogon robustus,Critically Endangered,106.8594979
Isopogon uncinatus,Endangered,2061.036455
Ixodia achillaeoides subsp. arenicola,Vulnerable,1517.935332
Jacksonia pungens,Endangered,846.4225221
Jacksonia quairading,Endangered,25.3853298
Jacksonia velveta,Endangered,34.57238728
Kardomia granitica,Vulnerable,157.4423943
Kelleria bogongensis,Vulnerable,7.576197805
Kennedia glabrata,Vulnerable,8051.377981
Kennedia lateritia,Endangered,2.441762313
Kennedia retrorsa,Vulnerable,214.1435353
Keraudrenia exastia,Critically Endangered,1.194570421
Kunzea cambagei,Vulnerable,3952.632306
Kunzea ericifolia subsp. subulata,Vulnerable,7.235734999
Kunzea rupestris,Vulnerable,423.9079059
Kunzea similis subsp. similis,Critically Endangered,2.668420017
Lachnagrostis adamsonii,Endangered,11869.3566
Lachnagrostis limitanea,Endangered,41.05632129
Lambertia echinata subsp. echinata,Endangered,427.3063824
Lambertia echinata subsp. occidentalis,Endangered,46.19532817
Lambertia fairallii,Endangered,418.2091731
Lambertia orbifolia,Endangered,178.9995665
Lasiopetalum joyceae,Vulnerable,298.533336
Lasiopetalum longistamineum,Vulnerable,14.03230107
Lasiopetalum pterocarpum,Endangered,88.69063073
Lasiopetalum rotundifolium,Endangered,19.01622795
Lasiopetalum sp. Mount Caroline (S.D. Hopper SDH 6381),Critically Endangered,6.500546465
Lasiopetalum sp. Proston (J.A.Baker 17),Critically Endangered,36.2238533
Lastreopsis calantha,Endangered,2.908550243
Lastreopsis walleri,Vulnerable,2402.347325
Latrobea colophona,Critically Endangered,127.539982
Lawrencia buchananensis,Vulnerable,183.5126129
Lechenaultia chlorantha,Vulnerable,122.0402653
Lechenaultia laricina,Endangered,138.9680702
Leiocarpa gatesii,Vulnerable,178.9774759
Leionema equestre,Endangered,241.6296181
Leionema lachnaeoides,Endangered,176.987617
Leionema obtusifolium,Vulnerable,20.26066545
Leionema ralstonii,Vulnerable,141.866643
Leionema sympetalum,Vulnerable,182.2778413
Lepidium aschersonii,Vulnerable,1016.073549
Lepidium ginninderrense,Vulnerable,32.35573088
Lepidium hyssopifolium,Endangered,16855.73065
Lepidium monoplocoides,Endangered,98968.52104
Lepidium peregrinum,Endangered,3420.450858
Lepidium pseudopapillosum,Vulnerable,124.1567205
Lepidorrhachis mooreana,Critically Endangered,0.577260711
Lepidosperma rostratum,Endangered,1601.591889
Leptomeria dielsiana,Vulnerable,55.75143159
Leptospermum deanei,Vulnerable,117.6450535
Leptospermum thompsonii,Vulnerable,29.89260203
Leucochrysum albicans var. tricolor,Endangered,49796.25654
Leucopogon confertus,Endangered,107.0585114
Leucopogon exolasius,Vulnerable,291.5532051
Leucopogon gnaphalioides,Endangered,32.33082054
Leucopogon marginatus,Endangered,2609.981272
Leucopogon nitidus,Endangered,6.887761714
Leucopogon obtectus,Endangered,1264.78641
Leucopogon sp. Coolmunda (D.Halford Q1635),Endangered,25.70330302
"Leucopogon sp. Flynn (F.Hort, J.Hort & A.Lowrie 859)",Critically Endangered,1.609359531
Leucopogon sp. Ongerup (A.S. George 16682),Vulnerable,66.30747888
Leucopogon spectabilis,Critically Endangered,218.6848992
Limonium australe var. baudinii,Vulnerable,23.24545325
Limosella granitica,Vulnerable,1271.53176
Lindsaea pulchella var. blanda,Vulnerable,1339.510731
Livistona lanuginosa,Vulnerable,310.9278201
Livistona mariae subsp. mariae,Endangered,30.15600979
Lobelia gelida,Vulnerable,97.81630462
Logania diffusa,Vulnerable,257.3194974
Logania insularis,Vulnerable,5.010239026
Lomatia tasmanica,Critically Endangered,74.56476931
Lychnothamnus barbatus,Endangered,56.56537406
Lysiosepalum abollatum,Critically Endangered,181.7146417
Macadamia integrifolia,Vulnerable,7636.593042
Macadamia jansenii,Endangered,314.3052303
Macadamia ternifolia,Vulnerable,3291.941075
Macadamia tetraphylla,Vulnerable,5886.632166
Macarthuria keigheryi,Endangered,545.7375135
Macropteranthes montana,Vulnerable,8284.890209
Macrozamia conferta,Vulnerable,380.3687204
Macrozamia cranei,Endangered,322.4158033
Macrozamia lomandroides,Endangered,467.6375857
Macrozamia macdonnellii,Vulnerable,17258.61891
Macrozamia machinii,Vulnerable,519.5051668
Macrozamia occidua,Vulnerable,184.0040287
Macrozamia parcifolia,Vulnerable,343.1562105
Macrozamia pauli-guilielmi,Endangered,9629.695415
Macrozamia platyrhachis,Endangered,1425.258566
Maireana cheelii,Vulnerable,26019.08675
Marattia salicina,Endangered,1.992925765
Marianthus paralius,Endangered,17.8755691
Marsdenia brevifolia,Vulnerable,10020.83493
Marsdenia longiloba,Vulnerable,21151.2078
Marsdenia paludicola,Vulnerable,250.9312436
Medicosma elliptica,Vulnerable,111.2577577
Medicosma obovata,Vulnerable,111.218675
Melaleuca biconvexa,Vulnerable,981.3889022
Melaleuca deanei,Vulnerable,534.8430303
Melaleuca kunzeoides,Vulnerable,203.0550846
Melaleuca sciotostyla,Endangered,159.0037125
Melaleuca sp. Wanneroo (G.J. Keighery 16705),Endangered,1.950866907
Melichrus sp. Gibberagee (Benwell 97239),Endangered,78.13766361
Melichrus sp. Newfoundland State Forest (P.Gilmour 7852),Endangered,1379.721827
Melicope littoralis,Vulnerable,8.036456369
Melicytus latifolius,Critically Endangered,8.036456369
Melicytus ramiflorus subsp. oblongifolius,Vulnerable,6.905027665
Meryta angustifolia,Vulnerable,8.036456369
Meryta latifolia,Critically Endangered,36.62070363
Microcarpaea agonis,Endangered,28.30554071
Microcorys eremophiloides,Vulnerable,148.7334
Microlepidium alatum,Vulnerable,596.7538172
Micromyrtus blakelyi,Vulnerable,154.3284985
Micromyrtus grandis,Endangered,5.482003089
Micromyrtus minutiflora,Vulnerable,201.8886449
Microtis angusii,Endangered,6.541267626
Microtis globula,Vulnerable,14.52203793
Minuria tridens,Vulnerable,7673.203622
Mitrella tiwiensis,Vulnerable,45.91505388
Muehlenbeckia australis,Endangered,37.76261859
Muehlenbeckia tuggeranong,Endangered,18.5884617
Myoporum cordifolium,Vulnerable,1863.906373
Myoporum obscurum,Critically Endangered,37.76261859
Myriophyllum coronatum,Vulnerable,2.043833095
Myriophyllum lapidicola,Endangered,401.8754897
Myriophyllum porcatum,Vulnerable,3604.98699
Myrmecodia beccarii,Vulnerable,11087.12779
Myrsine ralstoniae,Vulnerable,37.76261859
Myrsine richmondensis,Endangered,100.8942736
Neisosperma kilneri,Vulnerable,108.8002667
Nematoceras dienemum,Critically Endangered,14.22125855
Nematolepis frondosa,Vulnerable,5.427839252
Nematolepis rhytidophylla,Vulnerable,1.120837496
Nematolepis squamea subsp. coriacea,Vulnerable,20.38033015
Nematolepis wilsonii,Vulnerable,5.663275912
Neoastelia spectabilis,Vulnerable,74.57356973
Neoroepera buxifolia,Vulnerable,420.4456893
Newcastelia velutina,Vulnerable,21.4467293
Notelaea ipsviciensis,Critically Endangered,5.271815356
Notelaea lloydii,Vulnerable,856.015544
Oberonia attenuata,Critically Endangered,7.120507576
Ochrosia moorei,Endangered,1211.109352
Olax angulata,Vulnerable,84.89485246
Olearia arckaringensis,Endangered,3.816676555
Olearia astroloba,Vulnerable,3.175560973
Olearia cordata,Vulnerable,813.0369018
Olearia flocktoniae,Endangered,921.3025455
Olearia hygrophila,Endangered,42.37899598
Olearia macdonnellensis,Vulnerable,504.9713438
Olearia microdisca,Endangered,276.826066
Olearia pannosa subsp. pannosa,Vulnerable,14945.53828
Omphalea celata,Vulnerable,14385.8915
Oreogrammitis reinwardtii,Vulnerable,47.34499281
Ornduffia calthifolia,Endangered,11.4201858
Owenia cepiodora,Vulnerable,3694.967772
Ozothamnus eriocephalus,Vulnerable,385.7390074
Ozothamnus reflexifolius,Vulnerable,15.28290399
Ozothamnus tesselatus,Vulnerable,515.9060488
Ozothamnus vagans,Vulnerable,310.8258898
Pandanus spiralis var. flammeus,Endangered,10.08221974
Paracaleana dixonii,Endangered,5280.992852
Paragoodia crenulata,Critically Endangered,358.388767
Parsonsia dorrigoensis,Endangered,5759.760072
Parsonsia larcomensis,Vulnerable,173.2045741
Paspalidium grandispiculatum,Vulnerable,465.6838166
Patersonia spirifolia,Endangered,114.9652087
Pelargonium sp. Striatellum (G.W.Carr 10345),Endangered,118.502354
Pennantia endlicheri,Endangered,8.036456369
Persicaria elatior,Vulnerable,8249.775899
Persoonia acerosa,Vulnerable,1661.605291
Persoonia bargoensis,Vulnerable,335.4278497
Persoonia glaucescens,Vulnerable,516.5819628
Persoonia hirsuta,Endangered,8152.607078
Persoonia marginata,Vulnerable,221.8346757
Persoonia micranthera,Endangered,80.23640227
Persoonia mollis subsp. maxima,Endangered,24.59346133
Persoonia nutans,Endangered,280.4766378
Persoonia pauciflora,Critically Endangered,7.839130063
Petrophile latericola,Endangered,181.7077237
Petrophile nivea,Vulnerable,7.07657828
Phaius australis,Endangered,3987.5733
Phaius bernaysii,Endangered,279.6784092
Phaius pictus,Vulnerable,6669.855252
Phalaenopsis amabilis subsp. rosenstromii,Endangered,2773.721877
Phaleria biflora,Vulnerable,1274.676118
Phebalium daviesii,Critically Endangered,225.5297604
Phebalium distans,Critically Endangered,5273.13483
Phebalium glandulosum subsp. eglandulosum,Vulnerable,578.1311471
Phebalium lowanense,Vulnerable,4911.473934
Phebalium speciosum,Critically Endangered,3.365700147
Phebalium whitei,Vulnerable,67.34459165
Pherosphaera fitzgeraldii,Endangered,40.37477827
Philotheca basistyla,Endangered,22.66323278
Philotheca falcata,Critically Endangered,42.81058299
Philotheca freyciana,Endangered,12.03636148
Philotheca sporadica,Vulnerable,1764.587227
Philotheca wonganensis,Endangered,107.0707214
Phlegmariurus carinatus,Endangered,389.2564853
Phlegmariurus dalhousieanus,Endangered,3048.522907
Phlegmariurus filiformis,Endangered,1766.125547
Phlegmariurus lockyeri,Vulnerable,572.0996607
Phlegmariurus marsupiiformis,Vulnerable,2270.74173
Phlegmariurus squarrosus,Critically Endangered,371.9589661
Phlegmariurus tetrastichoides,Vulnerable,1055.823295
Phreatia limenophylax,Critically Endangered,7.174701154
Phreatia paleata,Endangered,3.824316569
Phyllota humifusa,Vulnerable,131.2849159
Picris evae,Vulnerable,3726.446941
Pimelea axiflora subsp. pubescens,Endangered,12.1928867
Pimelea curviflora var. curviflora,Vulnerable,776.3023217
Pimelea leptospermoides,Vulnerable,884.5384384
Pimelea pagophila,Vulnerable,123.1808613
Pimelea spicata,Endangered,1943.910996
Pimelea spinescens subsp. pubiflora,Critically Endangered,757.6874412
Pimelea spinescens subsp. spinescens,Critically Endangered,36484.64154
Pimelea venosa,Endangered,45.62918703
Pittosporum bracteolatum,Vulnerable,37.76261859
Pityrodia augustensis,Vulnerable,28287.92569
Pityrodia scabra,Endangered,1028.482538
Pityrodia sp. Marble Bar (G.Woodman & D.Coultas GWDC Opp 4),Endangered,430.1294608
Planchonella costata,Endangered,6.754542586
Planchonella eerwah,Endangered,435.1199052
Plectranthus gratus,Vulnerable,105.0779426
Plectranthus habrophyllus,Endangered,167.2712521
Plectranthus leiperi,Vulnerable,254.2563208
Plectranthus nitidus,Endangered,4557.443614
Plectranthus omissus,Endangered,282.2389907
Plectranthus torrenticola,Endangered,272.1169632
Plesioneuron tuberculatum,Endangered,155.0126169
Pleuropappus phyllocalymmeus,Vulnerable,363.2944037
Plinthanthesis rodwayi,Vulnerable,1.926697806
Pneumatopteris truncata,Critically Endangered,4.708686461
Poa sallacustris,Vulnerable,3138.586168
Polianthion minutiflorum,Vulnerable,777.9598535
Polyphlebium endlicherianum,Endangered,3271.733071
Polyscias bellendenkerensis,Vulnerable,954.1935625
Polystichum moorei,Endangered,12.00882055
Pomaderris brunnea,Vulnerable,6791.751595
Pomaderris clivicola,Vulnerable,36.90312846
Pomaderris cocoparrana,Endangered,154.7963424
Pomaderris cotoneaster,Endangered,7692.670744
Pomaderris delicata,Critically Endangered,462.6016835
Pomaderris gilmourii var. cana,Vulnerable,15.96542661
Pomaderris halmaturina subsp. halmaturina,Vulnerable,325.8366801
Pomaderris pallida,Vulnerable,6467.360047
Pomaderris parrisiae,Vulnerable,1789.480917
Pomaderris pilifera subsp. talpicutica,Vulnerable,13.82393659
Pomaderris reperta,Critically Endangered,47.95427683
Pomaderris sericea,Vulnerable,169.9654188
Pomaderris subplicata,Vulnerable,78.16283553
Pomaderris vacciniifolia,Critically Endangered,2196.543863
Poranthera petalifera,Vulnerable,30.70339481
Prasophyllum affine,Endangered,122.8194064
Prasophyllum amoenum,Endangered,22.75709545
Prasophyllum apoxychilum,Endangered,1085.828581
Prasophyllum atratum,Critically Endangered,0.412729772
Prasophyllum bagoense,Critically Endangered,683.1384619
Prasophyllum castaneum,Critically Endangered,85.16985293
Prasophyllum colemaniae,Vulnerable,111.8550966
Prasophyllum correctum,Endangered,333.0038499
Prasophyllum crebriflorum,Endangered,191.5088128
Prasophyllum diversiflorum,Endangered,392.9773059
Prasophyllum favonium,Critically Endangered,89.48917984
Prasophyllum frenchii,Endangered,39096.75182
Prasophyllum fuscum,Vulnerable,203.1860403
Prasophyllum goldsackii,Endangered,99.90545078
Prasophyllum incorrectum,Critically Endangered,207.4124618
Prasophyllum innubum,Critically Endangered,344.3837065
Prasophyllum keltonii,Critically Endangered,339.5885104
Prasophyllum laxum,Critically Endangered,23.11165485
Prasophyllum limnetes,Critically Endangered,0.29686733
Prasophyllum milfordense,Critically Endangered,3.516919434
Prasophyllum morganii,Vulnerable,366.2851235
Prasophyllum murfetii,Critically Endangered,50.45608367
Prasophyllum olidum,Critically Endangered,1.045271423
Prasophyllum pallidum,Vulnerable,6247.427416
Prasophyllum perangustum,Critically Endangered,2.321544447
Prasophyllum petilum,Endangered,8.744063369
Prasophyllum pruinosum,Endangered,631.3581986
Prasophyllum pulchellum,Critically Endangered,98.53566143
Prasophyllum robustum,Critically Endangered,11.44322032
Prasophyllum secutum,Endangered,3038.776868
Prasophyllum sp. Wybong (C.Phelps ORG 5269),Critically Endangered,399.7183353
Prasophyllum spicatum,Vulnerable,10860.3799
Prasophyllum stellatum,Critically Endangered,254.275629
Prasophyllum suaveolens,Endangered,2517.960862
Prasophyllum subbisectum,Endangered,60.58585278
Prasophyllum taphanyx,Critically Endangered,0.843630317
Prasophyllum tunbridgense,Endangered,167.9962308
Prasophyllum validum,Vulnerable,698.5101866
Prasophyllum wallum,Vulnerable,147.1973138
Prostanthera albohirta,Critically Endangered,4.316449733
Prostanthera askania,Endangered,33.19297177
Prostanthera calycina,Vulnerable,3265.15864
Prostanthera cineolifera,Vulnerable,253.6828832
Prostanthera clotteniana,Critically Endangered,146.7464941
Prostanthera cryptandroides subsp. cryptandroides,Vulnerable,1095.931348
Prostanthera densa,Vulnerable,149.592124
Prostanthera discolor,Vulnerable,340.2895402
Prostanthera eurybioides,Endangered,29.45820729
Prostanthera galbraithiae,Vulnerable,86.50626868
Prostanthera junonis,Endangered,97.58534184
Prostanthera marifolia,Critically Endangered,0.655453442
Prostanthera nudula,Vulnerable,457.1631703
Prostanthera palustris,Vulnerable,196.8989804
Prostanthera schultzii,Vulnerable,774.4250746
Prostanthera sp. Dunmore (D.M.Gordon 8A),Vulnerable,371.7009874
Prostanthera spathulata,Vulnerable,8.717287965
Prostanthera staurophylla,Vulnerable,215.2606176
Prostanthera stricta,Vulnerable,147.2028806
Pteris kingiana,Endangered,40.24856957
Pteris zahlbruckneriana,Endangered,37.76261859
Pterostylis arenicola,Vulnerable,856.8528585
Pterostylis basaltica,Endangered,32.0210167
Pterostylis bicornis,Vulnerable,41.32331341
Pterostylis bryophila,Critically Endangered,45.50847892
Pterostylis cheraphila,Vulnerable,6286.123878
Pterostylis chlorogramma,Vulnerable,11775.48381
Pterostylis commutata,Critically Endangered,2595.835974
Pterostylis cucullata,Vulnerable,2527.26923
Pterostylis despectans,Endangered,402.5279309
Pterostylis gibbosa,Endangered,668.2883805
Pterostylis lepida,Endangered,9.235647597
Pterostylis mirabilis,Vulnerable,1630.287908
Pterostylis oreophila,Critically Endangered,10845.93913
Pterostylis pratensis,Vulnerable,843.7539963
Pterostylis psammophila,Critically Endangered,2.647031218
Pterostylis pulchella,Vulnerable,27.14659233
Pterostylis rubenachii,Endangered,20.97761916
Pterostylis saxicola,Endangered,917.80331
Pterostylis sinuata,Endangered,250.585468
Pterostylis sp. Botany Bay (A. Bishop J221/1-13),Endangered,
Pterostylis sp. Hale (R.Bates 21725),Endangered,1031.20429
Pterostylis tenuissima,Vulnerable,701.125384
Pterostylis valida,Critically Endangered,14.57876643
Pterostylis vernalis,Critically Endangered,5.517779196
Pterostylis wapstrarum,Critically Endangered,0.969830356
Pterostylis X aenigma,Endangered,17.24773047
Pterostylis xerophila,Vulnerable,9893.436208
Pterostylis ziegeleri,Vulnerable,211.6853056
Ptilotus beckerianus,Vulnerable,4630.449631
Ptilotus pyramidatus,Critically Endangered,3.697712195
Ptychosema pusillum,Vulnerable,68.73152849
Pultenaea aristata,Vulnerable,506.9233978
Pultenaea baeuerlenii,Vulnerable,117.1873597
Pultenaea elusa,Endangered,21.67457232
Pultenaea glabra,Vulnerable,2682.896247
Pultenaea parrisiae,Vulnerable,308.596377
Pultenaea parviflora,Vulnerable,304.9915955
Pultenaea pauciflora,Vulnerable,273.1520492
Pultenaea setulosa,Vulnerable,555.5530705
Pultenaea sp. Genowlan Point (NSW 417813),Critically Endangered,0.216803988
Pultenaea trichophylla,Endangered,1146.32796
Pultenaea villifera var. glabrescens,Vulnerable,289.8454508
Pultenaea williamsoniana,Vulnerable,293.9053739
Randia moorei,Endangered,1817.194126
Ranunculus anemoneus,Vulnerable,290.05413
Ranunculus prasinus,Endangered,1021.367067
Reedia spathacea,Critically Endangered,365.5932936
Rhagodia acicularis,Vulnerable,33.30099679
Rhaphidospora bonneyana,Vulnerable,2751.345834
Rhaponticum australe,Vulnerable,13542.7514
Rhinerrhizopsis matutina,Vulnerable,12341.03308
Rhizanthella gardneri,Endangered,457.3273344
Rhizanthella slateri,Endangered,102.0569933
Ricinocarpos brevis,Endangered,19696.13528
Ricinocarpos gloria-medii,Vulnerable,183.8896731
Ricinocarpos trichophorus,Endangered,18550.72547
Ristantia gouldii,Vulnerable,707.7706773
Romnalda strobilacea,Vulnerable,303.5973551
Roycea pycnophylloides,Endangered,17918.18867
Rutidosis heterogama,Vulnerable,4297.333038
Rutidosis leiolepis,Vulnerable,2216.090112
Rutidosis leptorrhynchoides,Endangered,16632.83208
Rytidosperma pumilum,Vulnerable,29.10626535
Sagina diemensis,Endangered,32.70142503
Samadera bidwillii,Vulnerable,39027.80743
Samadera sp. Moonee Creek (J.King s.n. Nov. 1949),Endangered,1027.664123
Sankowskya stipularis,Endangered,61.9572061
Sannantha crenulata,Vulnerable,90.89266315
Sannantha tozerensis,Vulnerable,90.97731381
Sarcochilus fitzgeraldii,Vulnerable,955.7048034
