EPBCA no.,EPBCA sp. name,species,EPBCA common name,Group,taxon_group,EBPCA_Status,EPBCA status,EPBCA_not_extinct,Other sci names,Listing date,listing criteria/,1,2,3,4,5,assessment notes,other notes
82769,Banksia squarrosa subsp. argillacea,0,Whicher Range Dryandra,Plant,1,VU,Vulnerable,1,Dryandra squarrosa subsp. argillacea,7/16/2000,NO,,,,,,,
8333,Banksia verticillata,1,"Granite Banksia, Albany Banksia, River Banksia",Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
88276,Banksia vincentia,1, ,Plant,1,CR,Critically Endangered,1,,2/15/2018,YES,CR [A4b],CR [B1ab(iii) (v); B2ab(iii) (v)],"CR [C1, C2ai, ii]",CR,Insufficient info,,
12540,Barbarea australis,1,"Native Wintercress, Riverbed Wintercress",Plant,1,EN,Endangered,1,,1/24/2014,YES,not eligible,EN,EN,VU,not eligible,,
78344,Bertya calycina,1,a shrub,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
78349,Bertya ernestiana,1,a shrub,Plant,1,VU,Vulnerable,1,,7/16/2000,YES,Insufficient info,Insufficient info,Insufficient info,VU,Insufficient info,"re-assessed in 2012, and status retained",
78351,Bertya granitica,1,a shrub,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
21383,Bertya ingramii,1,a shrub,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
18382,Bertya mollissima,1,,Plant,1,EN,Endangered,1,,3/31/2023,YES,Insufficient info,EN(B2ab(i.ii.iii.iv)),EN(C2a(i)),VU,Insufficient info,,
13792,Bertya opponens,1, ,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
8587,Bertya pinifolia,1,a shrub,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
78359,Bertya tasmanica subsp. tasmanica,0,Tasmanian Bertya,Plant,1,EN,Endangered,1,,6/6/2005,YES,Insufficient info,EN,EN,VU,Insufficient info,,
84675,Bertya sp. Clouds Creek (M. Fatemi 4),1,,Plant,1,EN,Endangered,1,,10/5/2022,YES,not eligible,"EN (B1ab(i,ii,iii,iv,v)+B2ab(i,ii,iii,iv,v))",EN (C1+C2a(i)),VU,Insufficient info,,
18362,Beyeria lepidopetala,1,"Small-petalled Beyeria, Short-petalled Beyeria",Plant,1,EN,Endangered,1,,7/16/2000,YES,not eligible,not eligible,not eligible,EN,not eligible,reviewed 2009; no change in status but eligibility criteria used,
2076,Beyeria subtecta,1,Kangaroo Island Turpentine Bush,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
65885,Blechnum norfolkianum,1,Norfolk Island Water-fern,Plant,1,EN,Endangered,1,,11/25/2003,YES,Insufficient info,Insufficient info,Insufficient info,EN,Insufficient info,,
83309,Boehmeria australis subsp. australis,0,"Tree Nettle, Nettletree",Plant,1,CR,Critically Endangered,1,,11/25/2003,YES,Insufficient info,Insufficient info,Insufficient info,CR,Insufficient info,,
16935,Boronia adamsiana,1,Barbalin Boronia,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
29156,Boronia capitata subsp. capitata,0,a shrub,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
5538,Boronia clavata,1,Bremer Boronia,Plant,1,EN,Endangered,1,,1/8/2009,YES,Insufficient info,Insufficient info,EN,EN,Insufficient info,,
8397,Boronia deanei,1,Deane's Boronia,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
64844,Boronia exilis,1,Scott River Boronia,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
56484,Boronia galbraithiae,1,"Aniseed Boronia, Galbraith's Boronia",Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
18598,Boronia granitica,1,Granite Boronia,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
29394,Boronia gunnii,1,"Gunn's Boronia, Cataract Gorge Boronia",Plant,1,VU,Vulnerable,1,,4/13/2005,YES,Insufficient info,not eligible,Insufficient info,VU,Insufficient info,,
78926,Boronia hemichiton,1,Mt Arthur Boronia,Plant,1,VU,Vulnerable,1,,4/13/2005,YES,Insufficient info,Insufficient info,Insufficient info,VU,Insufficient info,,
78925,Boronia hippopala,1,Velvet Boronia,Plant,1,VU,Vulnerable,1,,4/13/2005,YES,Insufficient info,not eligible,not eligible,VU,Insufficient info,,
78597,Boronia inflexa torringtonensis,0,,Plant,1,CR,Critically Endangered,1,,12/7/2021,YES,Insufficient info,CR [B1ab(iii)],Insufficient info,CR,Insufficient info,,
21632,Boronia keysii,1,Key's Boronia,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
64846,Boronia quadrilata,1,a shrub,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
21315,Boronia repanda,1,"Repand Boronia, Border Boronia",Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
9167,Boronia revoluta,1,Ironcap Boronia,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
56301,Boronia umbellata,1,Orara Boronia,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
64851,Boronia viridiflora,1,a shrub,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
16564,Borya mirabilis,1,Grampians Pincushion-lily,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
16091,Bosistoa transversa,1,"Three-leaved Bosistoa, Yellow Satinheart",Plant,1,VU,Vulnerable,1,now includes Bosistoa selwynii (formerly seprately listed as VU),7/16/2000,NO,,,,,,,
84403,Bossiaea fragrans,1, ,Plant,1,CR,Critically Endangered,1,,5/11/2018,YES,Insufficient info,CR [B1ab(v)+B2ab(v)],EN [C2a(ii)],VU,Insufficient info,,
10059,Bossiaea oligosperma,1, ,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
86647,Bossiaea peninsularis,1,Sword Bossiaea,Plant,1,EN,Endangered,1,,12/7/2016,YES,Insufficient info,"EN [B1 B2 (a)(b) (i,ii,iii,iv,v)]",EN [C2a (i)],EN,Insufficient info,,
89794,Bossiaea sp. Frankland (E.M. Sandiford EMS 896),1,,Plant,1,EN,Endangered,1,,6/24/2019,YES,Insufficient info,"EN [B1ab(iii,v)+2ab(iii,v)]",not eligible,not eligible,Insufficient info,,
15961,Bothriochloa bunyensis,1,Satin-top Grass,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
84105,Brachychiton sp. Ormeau (L.H.Bird AQ435851),1,Ormeau Bottle Tree,Plant,1,CR,Critically Endangered,1,,3/9/2013,YES,not eligible,CR,CR,EN,not eligible,,
81321,Brachyscias verecundus,1,Ironstone Brachyscias,Plant,1,CR,Critically Endangered,1,,8/18/2006,YES,Insufficient info,CR,CR,CR,Insufficient info,,
18836,Brachyscome muelleri,1,Corunna Daisy,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
15572,Brachyscome muelleroides,1,Mueller Daisy,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
6625,Brachyscome papillosa,1,Mossgiel Daisy,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
13189,Breynia macrantha,1, ,Plant,1,VU,Vulnerable,1,Sauropus macranthus,7/16/2000,NO,,,,,,,
88756,Bruguiera hainesii,1,Haines's Orange Mangrove,Plant,1,CR,Critically Endangered,1,,2/18/2019,YES,Insufficient info,CR [B1ab(v)+2ab(v)],"CR [C2a(i,ii)]",CR,Insufficient info,,
55850,Budawangia gnidioides,1,Budawangs Cliff-heath,Plant,1,VU,Vulnerable,1,Epacris gnidioides,7/16/2000,NO,,,,,,,
6649,Bulbophyllum globuliforme,1,"Miniature Moss-orchid, Hoop Pine Orchid",Plant,1,VU,Vulnerable,1,,7/16/2000,YES,Insufficient info,VU,Insufficient info,Insufficient info,Insufficient info,"re-assessed in 2012, and status retained",
10002,Bulbophyllum gracillimum,1,Wispy Umbrella Orchid,Plant,1,VU,Vulnerable,1,,7/16/2000,YES,not eligible,Insufficient info,Insufficient info,Insufficient info,Insufficient info,"re-assessed in 2012, and status retained",
9227,Bulbophyllum longiflorum,1,pale umbrella orchid,Plant,1,VU,Vulnerable,1,,7/16/2000,YES,not eligible,Insufficient info,Insufficient info,Insufficient info,Insufficient info,"re-assessed in 2012, and status retained",
82017,Burmannia sp. Bathurst Island (R.Fensham 1021),1, ,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
9828,Cadellia pentastylis,1,Ooline,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
76138,Caladenia actensis,1,Canberra Spider Orchid,Plant,1,CR,Critically Endangered,1,,6/6/2005,YES,Insufficient info,CR,CR,EN,Insufficient info,,
64502,Caladenia amoena,1,Charming Spider-orchid,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
64855,Caladenia anthracina,1,Black-tipped Spider-orchid,Plant,1,CR,Critically Endangered,1,,10/16/2001,YES,Insufficient info,EN,CR,EN,Insufficient info,,
9275,Caladenia arenaria,1,Sand-hill Spider-orchid,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
54991,Caladenia argocalla,1,White-beauty Spider-orchid,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
20859,Caladenia atroclavia,1,Black-clubbed Spider-orchid,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
87595,Caladenia attenuata,1,Duramana Fingers,Plant,1,CR,Critically Endangered,1,,5/11/2018,YES,Insufficient info,"CR [B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)]",CR [C2a(i)],CR,Insufficient info,,
11727,Caladenia audasii,1,"McIvor Spider-orchid, Audas Spider-orchid",Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
68686,Caladenia barbarella,1,"Small Dragon Orchid, Common Dragon Orchid",Plant,1,EN,Endangered,1,,12/1/2009,YES,not eligible,EN,not eligible,VU,not eligible,,
11161,Caladenia behrii,1,Pink-lipped Spider-orchid,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
11980,Caladenia brachyscapa,1,Short Spider-orchid,Plant,1,EX,Extinct,,,7/16/2000,EX,,,,,,,
54993,Caladenia brumalis,1,Winter Spider-orchid,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
64503,Caladenia bryceana subsp. bryceana,0,Dwarf Spider-orchid,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
64556,Caladenia bryceana subsp. cracens,0,Northern Dwarf Spider-orchid,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
24369,Caladenia busselliana,1,Bussell's Spider-orchid,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
64856,Caladenia caesarea subsp. maritima,0,Cape Spider-orchid,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
10065,Caladenia calcicola,1,Limestone Spider-orchid,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
64857,Caladenia campbellii,1,Thick-stem Caladenia,Plant,1,CR,Critically Endangered,1,,10/16/2001,YES,Insufficient info,EN,CR,EN,Insufficient info,,
17067,Caladenia caudata,1,Tailed Spider-orchid,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
56716,Caladenia christineae,1,Christine's Spider Orchid,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
54999,Caladenia colorata,1,"Coloured Spider-orchid, Small Western Spider-orchid, Painted Spider-orchid",Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
5505,Caladenia concolor,1,"Crimson Spider-orchid, Maroon Spider-orchid",Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
55000,Caladenia conferta,1,Coast Spider-orchid,Plant,1,EN,Endangered,1,,11/27/2006,YES,VU,EN,Insufficient info,Insufficient info,Insufficient info,,
82403,Caladenia cremna,1,Don's Spider Orchid,Plant,1,CR,Critically Endangered,1,,2/12/2010,YES,not eligible,CR,CR,CR,not eligible,,
64858,Caladenia dienema,1,Windswept Spider-orchid,Plant,1,EN,Endangered,1,,3/4/2011,YES,Insufficient info,EN,Insufficient info,EN,Insufficient info,,
6596,Caladenia dorrienii,1,Cossack Spider-orchid,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
68687,Caladenia drakeoides,1,Hinged Dragon Orchid,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
56775,Caladenia elegans,1,Elegant Spider-orchid,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
56717,Caladenia excelsa,1,Giant Spider-orchid,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
24370,Caladenia formosa,1,"Elegant Spider-orchid, Blood-red Spider-orchid",Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
24371,Caladenia fulva,1,Tawny Spider-orchid,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
8079,Caladenia gladiolata,1,"Bayonet Spider-orchid, Clubbed Spider-orchid",Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
65292,Caladenia graniticola,1,Pingaring Spider-orchid,Plant,1,EN,Endangered,1,,6/24/2019,YES,Insufficient info,"EN [B1ab(iii,v)+B2ab(iii,v)]",EN [C2a(i)],EN,Insufficient info,,
65292,Caladenia granitora,1, ,Plant,1,EN,Endangered,1,,5/11/2018,YES,not eligible,Insufficient info,Insufficient info,EN,Insufficient info,,
56786,Caladenia harringtoniae,1,"Harrington's Spider-orchid, Pink Spider-orchid",Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
16118,Caladenia hastata,1,Melblom's Spider-orchid,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
56719,Caladenia hoffmanii,1,Hoffman's Spider-orchid,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
88195,Caladenia hopperiana,1,"Quindanning Spider Orchid, Boddington Spider Orchid",Plant,1,EN,Endangered,1,,2/15/2018,YES,not eligible,"EN [B1ab(iii,v)+B2ab(iii,v)]",EN [C2(a)(i)],VU,Insufficient info,,
7309,Caladenia huegelii,1,"King Spider-orchid, Grand Spider-orchid, Rusty Spider-orchid",Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
24372,Caladenia insularis,1,French Island Spider-orchid,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
82821,Caladenia intuta,1,Ghost Spider-orchid,Plant,1,CR,Critically Endangered,1,,1/8/2009,YES,not eligible,CR,EN,not eligible,not eligible,,
88196,Caladenia leucochila,1,Collie Spider Orchid,Plant,1,EN,Endangered,1,,5/11/2018,YES,EN [A3cd],"EN [B1ab(i,ii,iii,iv,v)+B2ab(i,ii,iii,iv,v)]","VU [C1, C2(a)(i)]",VU,Insufficient info,,
9305,Caladenia lindleyana,1,Lindley's Spider-orchid,Plant,1,CR,Critically Endangered,1,,10/16/2001,YES,Insufficient info,EN,CR,CR,Insufficient info,,
68664,Caladenia lodgeana,1,Lodge's Spider-orchid,Plant,1,CR,Critically Endangered,1,,2/26/2013,YES,not eligible,CR,not eligible,EN,not eligible,,
24374,Caladenia lowanensis,1,Wimmera Spider-orchid,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
68713,Caladenia luteola,1,Lemon Spider Orchid,Plant,1,CR,Critically Endangered,1,,2/15/2018,YES,Insufficient info,"CR [B1ab(iii,v) + 2ab(iii,v)]",CR [C2a(ii)],EN,Insufficient info,,
55012,Caladenia macroclavia,1,Large-club Spider-orchid,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
65295,Caladenia melanema,1,Ballerina Orchid,Plant,1,CR,Critically Endangered,1,,1/8/2009,YES,Insufficient info,CR,Insufficient info,VU,Insufficient info,,
83410,Caladenia orientalis,1,Eastern Spider Orchid,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
76213,Caladenia ornata,1,Ornate Pink Fingers,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
3957,Caladenia ovata,1,Kangaroo Island Spider-orchid,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
9604,Caladenia pallida,1,"Rosy Spider-orchid, Pale Spider-orchid, Summer Spider-orchid",Plant,1,CR,Critically Endangered,1,,10/16/2001,YES,Insufficient info,CR,CR,CR,Insufficient info,,
68679,Caladenia procera,1,Carbunup King Spider Orchid,Plant,1,CR,Critically Endangered,1,,1/8/2009,YES,EN,CR,CR,VU,Insufficient info,,
4155,Caladenia pumila,1,Dwarf Spider-orchid,Plant,1,CR,Critically Endangered,1,,9/30/2011,YES,not eligible,not eligible,not eligible,CR,Insufficient info,,
55018,Caladenia richardsiorum,1,Little Dip Spider-orchid,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
13419,Caladenia rigida,1,Stiff White Spider-orchid,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
24375,Caladenia robinsonii,1,Frankston Spider-orchid,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
5086,Caladenia rosella,1,"Rosella Spider-orchid, Little Pink Spider-orchid",Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
64859,Caladenia saggicola,1,Sagg Spider-orchid,Plant,1,CR,Critically Endangered,1,,10/16/2001,YES,Insufficient info,CR,CR,EN,Insufficient info,,
82021,Caladenia sp. Kilsyth South (G.S.Lorimer 1253),1,Kilsyth South Spider-orchid,Plant,1,CR,Critically Endangered,1,,10/4/2001,YES,Insufficient info,CR,CR,CR,Insufficient info,,
64860,Caladenia sylvicola,1,Forest Fingers,Plant,1,CR,Critically Endangered,1,,10/16/2001,YES,Insufficient info,CR,CR,CR,Insufficient info,,
24390,Caladenia tensa,1,"Greencomb Spider-orchid, Rigid Spider-orchid",Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
2119,Caladenia tessellata,1,"Thick-lipped Spider-orchid, Daddy Long-legs",Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
24391,Caladenia thysanochila,1,Fringed Spider-orchid,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
64861,Caladenia tonellii,1,Robust Fingers,Plant,1,CR,Critically Endangered,1,,10/16/2001,YES,Insufficient info,EN,CR,CR,Insufficient info,,
24392,Caladenia versicolor,1,Candy Spider-orchid,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
56776,Caladenia viridescens,1,Dunsborough Spider-orchid,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
5878,Caladenia wanosa,1,Kalbarri Spider-orchid,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
68732,Caladenia williamsiae,1,Williams Spider Orchid,Plant,1,EN,Endangered,1,,8/18/2006,YES,Insufficient info,EN,not eligible,EN,Insufficient info,,
64504,Caladenia winfieldii,1,Majestic Spider-orchid,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
55023,Caladenia woolcockiorum,1,Woolcock's Spider-orchid,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
55509,Caladenia xanthochila,1,Yellow-lip Spider-orchid,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
55025,Caladenia xantholeuca,1,"White Rabbits, Flinders Ranges White Caladenia",Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
7669,Calectasia cyanea,1,Blue Tinsel Lily,Plant,1,CR,Critically Endangered,1,,8/18/2006,YES,Insufficient info,CR,Insufficient info,CR,Insufficient info,,
82018,Calectasia pignattiana,1,Stilted Tinsel Lily,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
56501,Callistemon forresterae,1,Forrester's Bottlebrush,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
64862,Callistemon kenmorrisonii,1,Betka Bottlebrush,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
85098,Callistemon megalongensis,1,Megalong Valley Bottlebrush,Plant,1,CR,Critically Endangered,1,,11/17/2015,YES,not eligible,"CR [B2 (a,b,i,ii,iii,iv,v)]","CR [B3 (a,b i,ii,iii,iv,v)]",not eligible,Insufficient info,criterion 3 assessment garbled,
55581,Callistemon pungens,1, ,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
88226,Callistemon purpurascens,1,a bottlebrush,Plant,1,CR,Critically Endangered,1,,5/11/2018,YES,Insufficient info,"CR [B1(a),(b)(iii), B2 (a),(b)(iii)]",CR [C2 (a)(i)],EN,Insufficient info,,
82943,Callistemon wimmerensis,1,Wimmera Bottlebrush,Plant,1,CR,Critically Endangered,1,,3/31/2011,YES,not eligible,CR,not eligible,not eligible,not eligible,,
66687,Callitris oblonga,1,"Pygmy Cypress-pine, Pigmy Cypress-pine, Dwarf Cypress-pine",Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
66688,Callitris oblonga corangensis,0,Corang Pine,Plant,1,CR,Critically Endangered,1,,3/31/2023,YES,Insufficient info,"CR(B1ab(iii,v)c(iv))",VU(C2a(ii),insufficient info,Insufficient info,,listed at species level as VU
64864,Callitris oblonga subsp. oblonga,0,South Esk Pine,Plant,1,EN,Endangered,1,sp. listed as VU,7/16/2000,NO,,,,,,,
46998,Calochilus cupreus,1,Copper Beard Orchid,Plant,1,CR,Critically Endangered,1,,5/5/2016,YES,Insufficient info,"CR [B1 and B2 a,b(i,ii,iii,iv,v)]",CR [C2(a)ii],EN,Insufficient info,,
55851,Calochilus psednus,1,Cardwell Beard Orchid,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
84677,Calochilus pulchellus,1,Pretty Beard Orchid,Plant,1,EN,Endangered,1,,10/5/2022,YES,Insufficient info,EN (B2ab(iii)),Insufficient info,VU,Insufficient info,,
64865,Calochilus richiae,1,Bald-tip Beard-orchid,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
11371,Calophyllum bicolor,1, ,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
7842,Calotis glandulosa,1,Mauve Burr-daisy,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
55381,Calotis moorei,1,Moore's Burr-daisy,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
48909,Calystegia affinis,1, ,Plant,1,CR,Critically Endangered,1,,11/25/2003,YES,Insufficient info,Insufficient info,Insufficient info,CR,Insufficient info,,
23879,Calytrix breviseta subsp. breviseta,0,Swamp Starflower,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
24241,Calytrix gurulmundensis,1, ,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
23956,Canarium acutifolium,1, ,Plant,1,VU,Vulnerable,1,Canarium acutifolium var. acutifolium,7/16/2000,NO,,,,,,some ambiguity about whether it is the species or variety that is listed,
6021,Capparis thozetiana,1, ,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
24178,Carronia pedicellata,1, ,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
91096,Cassinia heleniae,1,,Plant,1,EN,Endangered,1,,9/7/2023,YES,Insufficient info,"EN (B1ab(iii,v)+B2ab(iii,v))",EN (C2a(i)),Insufficient info,Insufficient info,,
21885,Cassinia rugata,1,"Wrinkled Cassinia, Wrinkled Dollybush",Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
81640,Cassinia tegulata,1,Avenue Cassinia,Plant,1,CR,Critically Endangered,1,,1/8/2009,YES,not eligible,CR,EN,VU,not eligible,,
12647,Centrolepis pedderensis,1,"Pedder Centrolepis, Pedder Bristlewort",Plant,1,EN,Endangered,1,,11/26/2008,YES,Insufficient info,VU,not eligible,EN,Insufficient info,,
78700,Cepobaculum carronii,1,an orchid,Plant,1,VU,Vulnerable,1,Dendrobium carronii,7/16/2000,YES,Insufficient info,Insufficient info,Insufficient info,Insufficient info,Insufficient info,"re-assessed in 2010, and status retained",
82509,Chamelaucium sp. Cataby (G.J.Keighery 11009),0,Griffin's Waxflower,Plant,1,VU,Vulnerable,1,Chamelaucium griffinii,7/16/2000,NO,,,,,,,
88881,Chamelaucium sp. Gingin (N.G.Marchant 6),0,Gingin Wax,Plant,1,EN,Endangered,1,Chamelaucium lullfitzii,7/16/2000,NO,,,,,,,
87814,Chamelaucium sp. S coastal plain (R.D.Royce 4872),0,Royce's Waxflower,Plant,1,VU,Vulnerable,1,Chamelaucium sp. C Coast Plain,7/16/2000,NO,,,,,,,
3125,Cheiranthera volubilis,1,Twining Finger Flower,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
55027,Chiloglottis anaticeps,1,"Duck's-head Wasp-orchid, Bird Orchid",Plant,1,EN,Endangered,1,,10/5/2022,YES,Insufficient info,EN (B1ab(iii)+2ab(iii)),not eligible,not eligible,Insufficient info,,
24603,Chingia australis,1, ,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
64868,Chordifex abortivus,1,Manypeaks Rush,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
91273,Choretrum spicatum subsp. spicatum,0,Spiked Sour-bush,Plant,1,EN,Endangered,1,,9/7/2023,YES,Insufficient info,EN (B1ab(iii)+B2ab(iii)),Insufficient info,not eligible,Insufficient info,,
32573,Chorizema humile,1,Prostrate Flame Pea,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
16981,Chorizema varium,1,Limestone Pea,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
68631,Clausena excavata,1,,Plant,1,CR,Critically Endangered,1,,6/24/2019,YES,Insufficient info,CR [B1ab(iii)+2ab(iii)],CR [C2a(ii)],EN,Insufficient info,,
22035,Clematis dubia,1,"a creeper, Clematis",Plant,1,CR,Critically Endangered,1,,11/25/2003,YES,Insufficient info,Insufficient info,Insufficient info,CR,Insufficient info,,
4311,Clematis fawcettii,1,Stream Clematis,Plant,1,VU,Vulnerable,1,,7/16/2000,YES,Insufficient info,not eligible,Insufficient info,Insufficient info,Insufficient info,"re-assessed in 2012, and status retained",
19507,Codonocarpus pyramidalis,0,"Slender Bell-fruit, Camel Poison",Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
10107,Coleanthera virgata,1,Hidden Coleanthera,Plant,1,EX,Extinct,,Styphelia lanata,7/16/2000,EX,,,,,,,
23961,Colobanthus curtisiae,1,Curtis' Colobanth,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
9002,Comesperma oblongatum,1,Byfield Matchstick,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
86877,Commersonia apella,1,Many-flowered Commersonia,Plant,1,CR,Critically Endangered,1,,2/15/2018,YES,Insufficient info,"CR [B2ab(iii,iv)]","CR [C2a(i,ii)]",CR,Insufficient info,,
86397,Commersonia erythrogyna,1,Trigwell's Rulingia,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
87152,Commersonia prostrata,1,Dwarf Kerrawang,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
64871,Conospermum densiflorum subsp. unicephalatum,0,One-headed Smokebush,Plant,1,EN,Endangered,1,,7/16/2000,NO,,,,,,,
68179,Conospermum galeatum,1, ,Plant,1,CR,Critically Endangered,1,,5/11/2018,YES,Insufficient info,"CR [B1ab(iii,iv)+B2ab(iii,iv)]",not eligible,CR,Insufficient info,,
68161,Conospermum hookeri,1,Variable Smoke-bush,Plant,1,VU,Vulnerable,1,,12/18/2007,YES,Insufficient info,not eligible,VU,not eligible,Insufficient info,,
24435,Conospermum undulatum,1,Wavy-leaved Smokebush,Plant,1,VU,Vulnerable,1,,7/16/2000,NO,,,,,,,
