Family,Species,Distribution,EPBC Act,Putative IUCN category,Isolated from plant tissue,No response,Mild response,Severe response,Habitat suitability,Risk,Expert change / reason for change
DILLENIACEAE,Hibbertia spanantha,n,CE,,,,Wan et al. (2019),,Suitable,High,
DILLENIACEAE,Hibbertia subvaginata,w,,,"Shearer & Dillon (1995), Podger (1968), Shearer & Dillon (1996)",,,Shearer & Dillon (1995),Suitable,Low,
DILLENIACEAE,Hibbertia vaginata,w,,,Shivas (1989),Groves et al. (2009),,,Suitable,Low,
DILLENIACEAE,Hibbertia virgata,"n,s,t,v",,,"Barker & Wardlaw (1995), Weste (2001)",,,"Weste (2001), Barker & Wardlaw (1995)",Suitable,Low,
DILLENIACEAE,Hibbertia wheelerae,w,,CE,DBCA (2021),,,Barrett (pers. comm.),Suitable,Very high,
DROSERACEAE,Drosera erythrorhiza,w,,,Crone et al. (2013),"McDougall (1997), Wills (1993)",Crone et al. (2013),,Suitable,Low,
DROSERACEAE,Drosera gibsonii,w,,,,Barrett (pers. comm.),,,Suitable,Low,
DROSERACEAE,Drosera macrantha,"s,t,v,w",,,,McDougall (1997),,,Suitable,Low,
DROSERACEAE,Drosera pallida,w,,,,Wills (1993),,,Suitable,Low,
DROSERACEAE,Drosera peltata,"a,n,q,s,t,v",,,,Groves et al. (2009),,,Suitable,Low,
DROSERACEAE,Drosera platystigma,w,,,,McDougall (1997),,,Suitable,Low,
DROSERACEAE,Drosera stolonifera,w,,,,McDougall (1997),,,Suitable,Low,
ELAEOCARPACEAE,Elaeocarpus eumundi,"n,q",,,,Worboys et al. (2003),,,Suitable,Low,
ELAEOCARPACEAE,Elaeocarpus foveolatus,q,,,,,Worboys et al. (2003),,Suitable,Low,
ELAEOCARPACEAE,Elaeocarpus holopetalus,"n,v",,,,,McDougall (pers. comm.),,Suitable,Low,
ELAEOCARPACEAE,Elaeocarpus largiflorens subsp. retinervis,q,,,,Worboys et al. (2003),,,Suitable,Low,
ELAEOCARPACEAE,Elaeocarpus sericopetalus,q,,,,,Worboys et al. (2003),,Suitable,Low,
ELAEOCARPACEAE,Sloanea australis subsp. parviflora,q,,,,,Worboys et al. (2003),,Suitable,Low,
ELAEOCARPACEAE,Sloanea macbrydei,q,,,,Worboys et al. (2003),,,Suitable,Low,
ELAEOCARPACEAE,Tetratheca ciliata,"n,s,t,v",,,"Cahill (pers. comm.), Schahinger et al. (2003), Weste (2001)",,VNPS (1995),Weste (2001),Suitable,Low,
ELAEOCARPACEAE,Tetratheca gunnii,t,CE,,Schahinger et al. (2003),,,Rudman (pers. comm.),Suitable,Very high,
ELAEOCARPACEAE,Tetratheca hirsuta,w,,,"McDougall (1997), Podger (1968), Shivas (1989)",,,McDougall (1997),Suitable,Low,
ELAEOCARPACEAE,Tetratheca labillardierei,"a,n,t,v",,,Podger et al. (1990),,,,Suitable,Low,
ELAEOCARPACEAE,Tetratheca pilosa,"n,s,t,v",,,"Cahill (pers. comm.), Podger et al. (1990), Weste (2001)",,"Lee & Wicks (1977), VNPS (1995)",Weste (2001),Suitable,Low,
ELAEOCARPACEAE,Tetratheca procumbens,"t,v",,,"Podger et al. (1990), Schahinger et al. (2003)",,,,Suitable,Low,
ELAEOCARPACEAE,Tetratheca setigera,w,,,,,,Wills (1993),Suitable,Low,
ELAEOCARPACEAE,Tetratheca subaphylla,"n,v",,,,,,McDougall (pers. comm.),Suitable,Moderate,
ELAEOCARPACEAE,Tremandra stelligera,w,,,DBCA (2021),,,,Suitable,Low,
ERICACEAE,Acrothamnus maccraei,"n,v",,,Taylor (1974),,,,Unsuitable,Low,
ERICACEAE,Acrotriche cordata,"s,t,v,w",,,Barker & Wardlaw (1995),,,Barker & Wardlaw (1995),Suitable,Low,
ERICACEAE,Acrotriche fasciculiflora,s,,V,,,Velzeboer (pers. comm.),,Suitable,Low,
ERICACEAE,Acrotriche halmaturina,s,,V,Vickery (1997),,Velzeboer (pers. comm.),,Suitable,Low,
ERICACEAE,Acrotriche serrulata,"a,n,s,t,v",,,"Cahill (pers. comm.), Podger et al. (1990), Weste (2001)",,VNPS (1995),,Suitable,Low,
ERICACEAE,Andersonia auriculata,w,,V,,,,Freebury (pers. comm.),Suitable,Moderate,
ERICACEAE,Andersonia axilliflora,w,CE,,"Barrett (pers. comm.), DBCA (2021)",,,Barrett (1996),Suitable,Very high,
ERICACEAE,Andersonia caerulea,w,,,DBCA (2021),,Hart (1983),Wills (1993),Suitable,Low,
ERICACEAE,Andersonia echinocephala,w,,V,"Barrett (pers. comm.), DBCA (2021)",,,"Barrett et al. (2008), Barrett & Rathbone (2018), Barrett (1996), Wills (1993)",Suitable,Moderate,
ERICACEAE,Andersonia ferricola,w,,E,,,,Shearer & Crane (unpub. data),Suitable,High,
ERICACEAE,Andersonia gracilis,w,E,,,,,Shearer & Crane (unpub. data),Suitable,High,
ERICACEAE,Andersonia grandiflora,w,,E,,,,Barrett (pers. comm.),Suitable,High,
ERICACEAE,Andersonia hammersleyana,w,,E,,,,Freebury (pers. comm.),Suitable,High,
ERICACEAE,Andersonia heterophylla,w,,,Hill (1990),,Hill (1990),,Suitable,Low,
ERICACEAE,Andersonia lehmanniana,w,,,,,Hill (1990),,Suitable,Low,
ERICACEAE,Andersonia pinaster,w,V,CE,"Barrett (pers. comm.), DBCA (2021)",,,"Barrett (1996), Barrett & Rathbone (2018), Wills (1993)",Suitable,Very high,
ERICACEAE,Andersonia redolens,w,,E,,,,Freebury (pers. comm.),Suitable,High,
ERICACEAE,Andersonia simplex,w,,V,"Hart (1983), DBCA (2021)",,Hart (1983),"Barrett & Rathbone (2018), Wills (1993)",Suitable,Moderate,
ERICACEAE,Andersonia sp. Mitchell River (B.G. Hammersley 925),w,,E,,,,Freebury (pers. comm.),Suitable,High,
ERICACEAE,Andersonia sp. Virolens (G.J. Keighery 12000),w,,E,DBCA (2021),,,Freebury (pers. comm.),Suitable,Very high,
ERICACEAE,Andersonia sprengelioides,w,,,DBCA (2021),,,"Wills (1993), Freebury (pers. comm.)",Suitable,Low,
ERICACEAE,Brachyloma baxteri,w,,,,,Wills (1993),,Suitable,Low,
ERICACEAE,Brachyloma ciliatum,"s,t,v",,,Weste (2001),,Weste (2001),,Suitable,Low,
ERICACEAE,Brachyloma daphnoides,"a,n,q,s,v",,,"Taylor (1974), Weste (2001)",,McDougall (pers. comm.),,Suitable,Low,
ERICACEAE,Brachyloma depressum,"t,v",,V,Weste (2001),,,Weste (2001),Suitable,Moderate,
ERICACEAE,Brachyloma preissii,w,,,DBCA (2021),,,,Suitable,Low,
ERICACEAE,Conostephium pendulum,w,,,"Shearer & Dillon (1995), Shearer & Dillon (1996), Hill (1990)",,,,Suitable,Low,
ERICACEAE,Cosmelia rubra,w,,,DBCA (2021),,,"Wills (1993), Barrett (pers. comm.)",Suitable,Moderate,
ERICACEAE,Cyathodes glauca,t,,,"Pratt & Heather (1973), Podger et al. (1990), Schahinger et al. (2003)",,,,Suitable,Low,
ERICACEAE,Dielsiodoxa altimontana,w,,CE,,,Barrett (pers. comm.),,Suitable,High,
ERICACEAE,Dielsiodoxa leucantha,w,,,,,,Barrett (pers. comm.),Suitable,Low,
ERICACEAE,Dielsiodoxa tamariscina,w,,CE,"Podger (1968), Shivas (1989), DBCA (2021)",,,Barrett (pers. comm.),Suitable,Very high,
ERICACEAE,Dracophyllum desgrazii,t,,V,Schahinger et al. (2003),,,,Suitable,Low,This species largely occurs in shaded forests and scrubby areas at moderate to high altitudes where soil temperatures are not conducive to disease. Changed to Low
ERICACEAE,Dracophyllum macranthum,n,,E,McDougall (pers. comm.),,,McDougall (pers. comm.),Suitable,High,
ERICACEAE,Dracophyllum pandanifolium,t,,,"Podger et al. (1990), Schahinger et al. (2003)",,,Rudman (pers. comm.),Suitable,Moderate,
ERICACEAE,Dracophyllum tasmanicum,t,,V,"Podger et al. (1990), Schahinger et al. (2003)",,,,Suitable,Low,Occurs in higher elevation dense vegetation where disease is unlikely. Changed to Low.
ERICACEAE,Epacris acuminata,t,,V,Schahinger et al. (2003),,,,Suitable,Moderate,
ERICACEAE,Epacris apsleyensis,t,E,CE,,,,Barker & Wardlaw (1995),Suitable,Very high,
ERICACEAE,Epacris barbata,t,E,CE,,,,Rudman (pers. comm.),Suitable,Very high,
ERICACEAE,Epacris corymbiflora,t,,,"Podger & Brown (1989), Podger et al. (1990)",,,Rudman & Balmer (2008),Suitable,Moderate,
ERICACEAE,Epacris curtisiae,t,,E,Barker & Wardlaw (1995),,,Rudman (pers. comm.),Suitable,High,
ERICACEAE,Epacris exserta,t,E,,Barker & Wardlaw (1995),,,Barker & Wardlaw (1995),Suitable,High,
ERICACEAE,Epacris glabella,t,E,,Barker & Wardlaw (1995),,,Barker & Wardlaw (1995),Suitable,High,
ERICACEAE,Epacris grandis,t,E,CE,Barker & Wardlaw (1995),,,Barker & Wardlaw (1995),Suitable,Very high,
ERICACEAE,Epacris gunnii,"n,t,v",,,"Podger (1989), Podger et al. (1990)",,,,Suitable,Low,
ERICACEAE,Epacris impressa,"n,s,t,v",,,"Cahill (pers. comm.), Lee & Wicks (1977), McDougall & Summerell (2003), Pratt & Heather (1973), Schahinger et al. (2003), Weste (2001)",,"Rudman (pers. comm.), Velzeboer (pers. comm.)",Weste (2001),Suitable,Low,
ERICACEAE,Epacris lanuginosa,"n,t,v",,,"Podger et al. (1990), Schahinger et al. (2003)",,Rudman (pers. comm.),,Suitable,Low,
ERICACEAE,Epacris limbata,t,CE,,Barker & Wardlaw (1995),,,Barker & Wardlaw (1995),Suitable,Very high,
ERICACEAE,Epacris marginata,t,,E,Barker & Wardlaw (1995),,,Barker & Wardlaw (1995),Suitable,High,
ERICACEAE,Epacris myrtifolia,t,,,Barker & Wardlaw (1995),,,Barker & Wardlaw (1995),Suitable,Moderate,
ERICACEAE,Epacris obtusifolia,"n,q,t,v",,,Podger et al. (1990),,Rudman (pers. comm.),,Suitable,Low,
ERICACEAE,Epacris paludosa,"a,n,t,v",,,Barker & Wardlaw (1995),,,Barker & Wardlaw (1995),Suitable,Low,
ERICACEAE,Epacris petrophila,"a,n,t,v",,,Rigg et al. (2018),,Rigg et al. (2018),,Unsuitable,Low,
ERICACEAE,Epacris purpurascens ,n,,,Fraser (1956),McDougall (pers. comm.),,,Suitable,Low,
ERICACEAE,Epacris stuartii,t,CE,,Barker & Wardlaw (1995),,,Barker & Wardlaw (1995),Suitable,Very high,
ERICACEAE,Epacris virgata,t,E,,Barker & Wardlaw (1995),,,Barker & Wardlaw (1995),Suitable,Moderate,
ERICACEAE,Gaultheria hispida,"t,v",,,"Podger et al. (1990), Schahinger et al. (2003)",,,,Suitable,Low,
ERICACEAE,Leptecophylla juniperina,t,,,Podger et al. (1990),,Rudman (pers. comm.),,Suitable,Low,
ERICACEAE,Leptecophylla pendulosa,"t,v",,V,Barker & Wardlaw (1995),,,Barker & Wardlaw (1995),Suitable,Low,Occurs in low risk dolerite habitat where disease is rarely expressed; changed to Low
ERICACEAE,Leucopogon acicularis,w,,E,,,,Barrett (pers. comm.),Suitable,Very high,"All populations infested, changed to Very high"
ERICACEAE,Leucopogon affinis,"n,q,s,t,v",,,"Barker & Wardlaw (1995), Pratt & Heather (1973)",,McDougall (pers. comm.),,Suitable,Low,
ERICACEAE,Leucopogon altissimus,w,,,,Barrett (pers. comm.),,,Suitable,Low,
ERICACEAE,Leucopogon atherolepis,w,,CE,DBCA (2021),,,Barrett (pers. comm.),Suitable,Very high,
ERICACEAE,Leucopogon australis,"t,v,w",,,"Cahill (pers. comm.), Shearer & Dillon (1995), Weste (2001), Shivas (1989), DBCA (2021)",,"Hill (1990), VNPS (1995), Podger (1972), Barrett (1996), Wills (1993)",Weste (2001),Suitable,Low,
ERICACEAE,Leucopogon capitellatus,w,,,"Gardner & Rokich (1987), Shearer & Dillon (1995), DBCA (2021)",,"Edmiston (1989), Hill (1990), Shearer & Dillon (1996)","McDougall (1997), Wills (1993)",Suitable,Low,
ERICACEAE,Leucopogon collinus,"n,t,v",,,"Podger et al. (1990), Schahinger et al. (2003)",,,Rudman (pers. comm.),Suitable,Low,
ERICACEAE,Leucopogon concurvus,s,,V,,,SARDI (pers. comm.),,Suitable,Low,
ERICACEAE,Leucopogon cucullatus,w,,V,,,,Wills (1993),Suitable,Moderate,
ERICACEAE,Leucopogon distans,w,,,,,Wills (1993),Moore (2005),Suitable,Moderate,
ERICACEAE,Leucopogon elegans,w,,V,Hart (1983),,Hart (1983),,Suitable,Low,
ERICACEAE,Leucopogon gibbosus,w,,,,,,"Wills (1993), Moore (2005)",Suitable,Moderate,
ERICACEAE,Leucopogon glabellus,w,,,"Podger (1968), Shivas (1989), DBCA (2021)",Groves et al. (2009),, Barrett (pers. comm.),Suitable,Low,
ERICACEAE,Leucopogon glacialis,"s,v",,,"Cahill (pers. comm.), Weste (2001)",,,Weste (2001),Suitable,Low,
ERICACEAE,Leucopogon gnaphalioides,w,CE,,"Barrett (pers. comm.), DBCA (2021)",,,"Barrett (1996), Barrett et al. (2008), Shearer & Crane (unpub. data)",Suitable,Very high,
ERICACEAE,Leucopogon gracillimus,w,,,DBCA (2021),,,,Suitable,Low,
ERICACEAE,Leucopogon interstans,w,,,,Barrett (pers. comm.),,,Suitable,Low,
ERICACEAE,Leucopogon lasiophyllus,w,,CE,,,,Wills (1993),Suitable,Very high,
ERICACEAE,Leucopogon lasiostachyus,w,,V,"Podger (1968), Shivas (1989)",,,Wills (1993),Suitable,Moderate,
ERICACEAE,Leucopogon microphyllus var. pilibundus,"a,n,v",,,Taylor (1974),,,,Suitable,Low,
ERICACEAE,Leucopogon newbeyi,w,,E,DBCA (2021),,,,Suitable,High,
ERICACEAE,Leucopogon obovatus subsp. revolutus,w,,,DBCA (2021),,,Barrett (pers. comm.),Suitable,Low,
ERICACEAE,Leucopogon parviflorus,"n,q,s,t,v,w",,,DBCA (2021),,Freebury (pers. comm.),,Suitable,Low,
ERICACEAE,Leucopogon polymorphus,w,,,,,"Hill (1990), Podger (1972)",,Suitable,Low,
ERICACEAE,Leucopogon pulchellus,w,,,"Podger (1968), Shivas (1989)",,Titze & Palzer (1969),,Suitable,Low,
ERICACEAE,Leucopogon reflexus,w,,,DBCA (2021),,,Wills (1993),Suitable,Moderate,
ERICACEAE,Leucopogon verticillatus,w,,,"Gardner & Rokich (1987), Podger (1968), Shearer & Dillon (1995), Shivas (1989), DBCA (2021)",,"Edmiston (1989), Shearer & Dillon (1996)","McDougall (1997), Shearer & Dillon (1995), Freebury (pers. comm.)",Suitable,Low,
ERICACEAE,Leucopogon virgatus,"a,n,q,s,t,v",,,"Cahill (pers. comm.), Podger et al. (1990), Taylor (1974), Weste (2001)",,"VNPS (1995), Velzeboer (pers. comm.)",Weste (2001),Suitable,Low,
ERICACEAE,Lissanthe strigosa,"a,n,q,s,t,v",,,"Cahill (pers. comm.), Weste (2001)",,,Weste (2001),Suitable,Low,
ERICACEAE,Lysinema ciliatum,w,,,Hill (1990),,Hill (1990),"Wills (1993), Barrett (pers. comm.)",Suitable,Low,
ERICACEAE,Lysinema conspicuum,w,,,,,,Wills (1993),Suitable,Moderate,
ERICACEAE,Lysinema fimbriatum,w,,V,,,,Barrett (pers. comm.),Suitable,Moderate,
ERICACEAE,Melichrus urceolatus,"a,n,q,v",,,Taylor (1974),,,,Suitable,Low,
ERICACEAE,Monotoca elliptica,"n,t,v",,,"McDougall & Summerell (2003), Podger et al. (1990), Schahinger et al. (2003)",,Rudman (pers. comm.),McDougall & Summerell (2003),Suitable,Low,
ERICACEAE,Monotoca glauca,"t,v",,,"Podger et al. (1990), Pratt & Heather (1973), Schahinger et al. (2003)",,Rudman (pers. comm.),,Suitable,Low,
ERICACEAE,Monotoca linifolia,t,,,Schahinger et al. (2003),,,,Suitable,Low,
ERICACEAE,Monotoca scoparia,"a,n,q,s,t,v",,,"Podger et al. (1990), Schahinger et al. (2003), Taylor (1974), Weste (2001)",,,Weste (2001),Suitable,Low,
ERICACEAE,Prionotes cerinthoides,t,,,Podger et al. (1990),,,,Suitable,Low,
ERICACEAE,Sphenotoma dracophylloides,w,,V,DBCA (2021),,,"Wills (1993), Barrett (pers. comm.)",Suitable,Moderate,
ERICACEAE,Sphenotoma drummondii,w,E,,"Barrett (pers. comm.), DBCA (2021)",,,"Barrett et al. (2008), Shearer & Crane (unpub. data)",Suitable,High,
ERICACEAE,Sphenotoma gracilis,w,,,,,,Wills (1993),Suitable,Low,
ERICACEAE,Sphenotoma sp. Stirling Range (P.G. Wilson 4235),w,,V,DBCA (2021),Shearer & Crane (unpub. data),,Barrett (pers. comm.),Suitable,Moderate,
ERICACEAE,Sphenotoma squarrosa,w,,V,"Podger (1968), Podger (1972), Shivas (1989)",,Podger (1972),Wills (1993),Suitable,Moderate,
ERICACEAE,Sprengelia incarnata,"n,s,t,v",,,"McDougall & Summerell (2003), Podger (1989), Podger & Brown (1989), Podger et al. (1990), Schahinger et al. (2003), Weste (2001)",,,"Rudman (pers. comm.), Weste (2001)",Suitable,Low,
ERICACEAE,Sprengelia propinqua,t,,,,,,Rudman (pers. comm.),Suitable,Moderate,
ERICACEAE,Stenanthera conostephioides,"s,v",,,Weste (2001),,,Weste (2001),Suitable,Low,
ERICACEAE,Stenanthera pinifolia,"n,t,v",,,"Podger et al. (1990), Schahinger et al. (2003)",,Rudman (pers. comm.),,Suitable,Low,
ERICACEAE,Styphelia adscendens,"n,s,t,v",,,Weste (2001),,,Weste (2001),Suitable,Low,
ERICACEAE,Styphelia concinna,w,,,DBCA (2021),,,,Suitable,Low,
ERICACEAE,Styphelia conostephioides,w,,,"DBCA (2021), Shearer & Dillon (1995), Shearer & Dillon (1996)",,,,Suitable,Low,
ERICACEAE,Styphelia cymbiformis,w,,,,,,Wills (1993),Suitable,Low,
ERICACEAE,Styphelia discolor,w,,,"Edmiston (1989), Gardner & Rokich (1987), DBCA (2021)",,Edmiston (1989),,Suitable,Low,
ERICACEAE,Styphelia ericoides,"n,q,s,t,v",,,"Cahill (pers. comm.), Podger et al. (1990), Schahinger et al. (2003), Taylor (1974), Weste (2001)",,,"Rudman (pers. comm.), Weste (2001)",Suitable,Low,
ERICACEAE,Styphelia erubescens,w,,,"Edmiston (1989), Gardner & Rokich (1987)",,,"Edmiston (1989), McDougall (1997), Wills (1993)",Suitable,Low,
ERICACEAE,Styphelia esquamata,"n,t,v",,,Barker & Wardlaw (1995),,,Barker & Wardlaw (1995),Suitable,Low,
ERICACEAE,Styphelia exilis,w,,CE,,,,Barrett & Rathbone (2018) ,Suitable,Very high,
ERICACEAE,Styphelia flavescens,w,,V,DBCA (2021),,Hart (1983),Barrett & Rathbone (2018) ,Suitable,Moderate,
ERICACEAE,Styphelia humifusa,"a,n,s,t,v",,,"Podger et al. (1990), Schahinger et al. (2003), Weste (2001)",Groves et al. (2009),VNPS (1995),,Suitable,Low,
ERICACEAE,Styphelia microcalyx,w,,,Shearer & Dillon (1995),,,,Suitable,Low,
ERICACEAE,Styphelia nitens,w,,,"DBCA (2021), Shearer & Dillon (1995)",,"McDougall (1997), Wills (1993), Shearer & Dillon (1996)",Shearer & Dillon (1995),Suitable,Low,
ERICACEAE,Styphelia pallida,w,,,DBCA (2021),"McDougall (1997), Shearer & Dillon (1996)",,,Suitable,Low,
ERICACEAE,Styphelia pendula,w,,,,Wills (1993),,,Suitable,Low,
ERICACEAE,Styphelia propinqua,w,,,"Gardner & Rokich (1987), Shearer & Dillon (1995), DBCA (2021)",,"Edmiston (1989), Hill (1990), Shearer & Dillon (1996)",,Suitable,Low,
ERICACEAE,Styphelia psilopus,w,,CE,,,,Barrett (pers. comm.),Suitable,Very high,
ERICACEAE,Styphelia sp. Nannup (R.D. Royce 3978),w,,E,DBCA (2021),,,,Suitable,High,
ERICACEAE,Styphelia tenuiflora,w,,,"Shearer & Dillon (1995), Shearer & Dillon (1996), DBCA (2021)",,Shearer & Dillon (1996),McDougall (1997),Suitable,Low,
ERICACEAE,Styphelia xerophylla,w,,,"Hill (1990), DBCA (2021)",,"Hill (1990), Tynan et al. (1998)",,Suitable,Low,
ERICACEAE,Trochocarpa disticha,t,,E,Podger et al. (1990),,,,Suitable,Moderate,"Grows in wet forest / rainforest understorey, often on dolerite - habitat generally unfavourable to disease from Pc; changed to moderate"
ERICACEAE,Trochocarpa gunnii,t,,,Podger et al. (1990),,,,Suitable,Low,
ERICACEAE,Woollsia pungens,"n,q",,,Fraser (1956),,,,Suitable,Low,
ESCALLONIACEAE,Anopterus glandulosus,t,,,"Podger et al. (1990), Schahinger et al. (2003)",,,,Suitable,Low,
ESCALLONIACEAE,Polyosma alangiacea,q,,,,Worboys et al. (2003),,,Suitable,Low,
EUPHORBIACEAE,Amperea ericoides,w,,,"Podger (1968), Shivas (1989)",,,,Suitable,Low,
EUPHORBIACEAE,Amperea xiphoclada,"n,q,s,t,v",,,"McDougall (pers. comm.), Podger et al. (1990), Schahinger et al. (2003), Weste (2001)",,"McDougall (pers. comm.), Rudman (pers. comm.), VNPS (1995)",,Suitable,Low,
EUPHORBIACEAE,Hylandia dockrillii,q,,,,Worboys et al. (2003),,,Suitable,Low,
EUPHORBIACEAE,Macaranga subdentata,q,,,,Worboys et al. (2003),,,Suitable,Low,
EUPHORBIACEAE,Mallotus polyadenos,q,,,,,Worboys et al. (2003),,Suitable,Low,
EUPHORBIACEAE,Monotaxis occidentalis,w,,,,,,McDougall (pers. comm.),Suitable,Low,
EUPHORBIACEAE,Ricinocarpos glaucus,w,,,Taylor (1974),,,,Suitable,Low,
EUPHORBIACEAE,Ricinocarpos pinifolius,"n,q,t,v",,,Podger et al. (1990),,,,Suitable,Low,
FABACEAE,Acacia acinacea,"n,s,v",,,Weste (2001),Roleybushcare (2022),Weste (2001),,Suitable,Low,
FABACEAE,Acacia aculeatissima,"n,v",,,Cahill (pers. comm.),,,,Suitable,Low,
FABACEAE,Acacia acuminata,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Acacia aestivalis,w,,,,Shearer & Crane (unpub. data),,,Mostly unsuitable,Low,
FABACEAE,Acacia alata,w,,,,Groves et al. (2009),,,Suitable,Low,
FABACEAE,Acacia aphylla,w,V,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Acacia aprica,w,E,,,,,Shearer & Crane (unpub. data),Unsuitable,Low,
FABACEAE,Acacia aristulata,w,E,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Acacia assimilis subsp. atroviridis,w,,,,Shearer & Crane (unpub. data),,,Mostly unsuitable,Low,
FABACEAE,Acacia ataxiphylla subsp. magna,w,E,,,,Shearer & Crane (unpub. data),,Unsuitable,Low,
FABACEAE,Acacia auratiflora,w,E,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Acacia awestoniana,w,V,,,"Barrett et al. (2008), Shearer & Crane (unpub. data)",,,Suitable,Low,
FABACEAE,Acacia axillaris,t,,V,Barker & Wardlaw (1995),,,Barker & Wardlaw (1995),Suitable,Moderate,
FABACEAE,Acacia baileyana,n,,,,Roleybushcare (2022),,,Suitable,Low,
FABACEAE,Acacia barbinervis,w,,,Shearer & Dillon (1996),"McDougall (1997), Shearer & Dillon (1996)",,,Suitable,Low,
FABACEAE,Acacia baxteri,w,,,,"Tynan et al. (2001), Barrett (pers. comm.)",,,Suitable,Low,
FABACEAE,Acacia blakelyi,w,,,,Shearer & Crane (unpub. data),,,Mostly unsuitable,Low,
FABACEAE,Acacia brachypoda,w,E,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Acacia browniana,w,,,Shearer & Dillon (1996),"Shearer & Dillon (1996), Wills (1993), Shearer & Crane (unpub. data)",,,Suitable,Low,
FABACEAE,Acacia buxifolia subsp. buxifolia,"a,n,q,v",,,Taylor (1974),,,,Half unsuitable,Low,
FABACEAE,Acacia campylophylla,w,,E,Shearer & Dillon (1996),,Shearer & Dillon (1996),,Unsuitable,Low,
FABACEAE,Acacia carens,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Acacia chapmanii subsp australis,w,E,,,,,Shearer & Crane (unpub. data),Suitable,High,
FABACEAE,Acacia chapmanii subsp. chapmanii,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Acacia clydonophora,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Acacia cochlocarpa subsp. cochlocarpa,w,E,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Acacia cognata,"n,v",,,,McDougall (pers. comm.),,,Suitable,Low,
FABACEAE,Acacia congesta subsp. cliftoniana,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Acacia congesta subsp. wonganensis,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Acacia crassiuscula,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Acacia cuneifolia,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Acacia cyclops,w,,,,"Wills (1993), Barrett (pers. comm.)",,,Suitable,Low,
FABACEAE,Acacia dealbata,"a,n,t,v",,,Pratt & Heather (1973),"Rudman (pers. comm.), Roleybushcare (2022)",,,Suitable,Low,
FABACEAE,Acacia declinata,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Acacia deficiens,w,,,,Shearer & Crane (unpub. data),,,Mostly unsuitable,Low,
FABACEAE,Acacia dictyoneura,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Acacia drummondii,w,,,"Shearer & Dillon (1996), DBCA (2021)","Shearer & Dillon (1996), Barrett (pers. comm.)",,,Suitable,Low,
FABACEAE,Acacia enterocarpa,"s,v",E,,Kueh (2011),Kueh (2011),,,Suitable,Low,
FABACEAE,Acacia erinacea,"s,w",,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Acacia extensa,w,,,DBCA (2021),Shearer & Dillon (1996),,,Suitable,Low,
FABACEAE,Acacia fimbriata,"n,q",,,,Roleybushcare (2022),,,Suitable,Low,
FABACEAE,Acacia flabellifolia,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Acacia floribunda,"n,q,v",,,,Groves et al. (2009),,,Suitable,Low,
FABACEAE,Acacia genistifolia,"a,n,s,t,v",,,"Pratt & Heather (1973), Taylor (1974)",,,,Half unsuitable,Low,
FABACEAE,Acacia glaucoptera,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Acacia grisea,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Acacia heterochroa subsp. robertii,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Acacia heteroclita subsp. valida,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Acacia horridula,w,,V,Taylor (1974),,,,Suitable,Moderate,
FABACEAE,Acacia howittii,v,,,,Roleybushcare (2022),,,Suitable,Low,
FABACEAE,Acacia huegelii,w,,,Shivas (1989),,,,Suitable,Low,
FABACEAE,Acacia insolita,w,E,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Acacia lasiocarpa,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Acacia lateriticola,w,,,,Shearer & Dillon (1996),McDougall (1997),,Suitable,Low,
FABACEAE,Acacia leiophylla,s,,,Kueh (2011),,Kueh (2011),,Suitable,Low,
FABACEAE,Acacia leptalea,w,E,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Acacia lineolata subsp. lineolata,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,
FABACEAE,Acacia lobulata,w,E,,,Shearer & Crane (unpub. data),,,Suitable,Low,
