taxon_name,suggested_name,EPBCA sp. name,EPBCA status,taxon_distribution,EPBCA no.,species,EPBCA common name,Group,taxon_group,EBPCA_Status,EPBCA_not_extinct,Other sci names,Listing date,listing criteria/,1,2,3,4,5,assessment notes,other notes,accepted_name
Corynocarpus rupestris subsp. rupestris,Corynocarpus rupestris subsp. rupestris,Corynocarpus rupestris subsp. rupestris,Vulnerable,NSW,19303,0,Glenugie Karaka,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Corynocarpus rupestris subsp. rupestris
Cossinia australiana,Cossinia australiana,Cossinia australiana,Endangered,Qld,3066,1,Cossinia,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Cossinia australiana
Craspedia preminghana,Craspedia preminghana,Craspedia preminghana,Endangered,Tas,77046,1,Preminghana Billybutton,Plant,1,EN,1,NA,7/6/2004,YES,Insufficient info,not eligible,Insufficient info,EN,Insufficient info,NA,NA,Craspedia preminghana
Dienia lawleri,Dienia lawleri,Crepidium lawleri,Endangered,Qld,64874,1,NA,Plant,1,EN,1,Dienia lawleri,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Dienia lawleri
Croton mamillatus,Croton mamillatus,Croton mamillatus,Critically Endangered,Qld,84796,1,Bahrs Scrub Croton,Plant,1,CR,1,NA,9/7/2023,YES,Insufficient info,EN ( B1+2ab(i-v)),CR (C2a(i)),VU,Insufficient info,NA,NA,Croton mamillatus
Cryptocarya foetida,Cryptocarya foetida,Cryptocarya foetida,Vulnerable,"Qld, NSW",11976,1,"Stinking Cryptocarya, Stinking Laurel",Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Cryptocarya foetida
Cryptostylis hunteriana,Cryptostylis hunteriana,Cryptostylis hunteriana,Vulnerable,"Qld, NSW, Vic",19533,1,Leafless Tongue-orchid,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Cryptostylis hunteriana
Ctenopterella blechnoides,Ctenopterella blechnoides,Ctenopterella blechnoides,Vulnerable,Qld,83505,1,NA,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Ctenopterella blechnoides
Cupaniopsis shirleyana,Cupaniopsis shirleyana,Cupaniopsis shirleyana,Vulnerable,Qld,3205,1,Wedge-leaf Tuckeroo,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Cupaniopsis shirleyana
Cupaniopsis tomentella,Cupaniopsis tomentella,Cupaniopsis tomentella,Vulnerable,Qld,3322,1,Boonah Tuckeroo,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Cupaniopsis tomentella
Cyathea exilis,Cyathea exilis,Cyathea exilis,Endangered,Qld,18628,1,NA,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Cyathea exilis
Cycas cairnsiana,Cycas cairnsiana,Cycas cairnsiana,Vulnerable,Qld,5780,1,a cycad,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Cycas cairnsiana
Cycas megacarpa,Cycas megacarpa,Cycas megacarpa,Endangered,Qld,55794,1,NA,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Cycas megacarpa
Cycas ophiolitica,Cycas ophiolitica,Cycas ophiolitica,Endangered,Qld,55797,1,NA,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Cycas ophiolitica
Cycas platyphylla,Cycas platyphylla,Cycas platyphylla,Vulnerable,Qld,55796,1,a cycad,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Cycas platyphylla
Cycas silvestris,Cycas silvestris,Cycas silvestris,Vulnerable,Qld,55778,1,NA,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Cycas silvestris
Cyclophyllum costatum,Cyclophyllum costatum,Cyclophyllum costatum,Vulnerable,Qld,82770,1,a shrub,Plant,1,VU,1,Canthium costatum,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Cyclophyllum costatum
Cynanchum elegans,Cynanchum elegans,Cynanchum elegans,Endangered,NSW,12533,1,White-flowered Wax Plant,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Cynanchum elegans
Cyperus cephalotes,Cyperus cephalotes,Cyperus cephalotes,Endangered,Qld,10265,1,NA,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Cyperus cephalotes
Cyperus semifertilis,Cyperus semifertilis,Cyperus semifertilis,Vulnerable,"Qld, NSW",21559,1,NA,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Cyperus semifertilis
Daphnandra johnsonii,Daphnandra johnsonii,Daphnandra johnsonii,Endangered,NSW,67186,1,Illawarra Socketwood,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Daphnandra johnsonii
Darwinia acerosa,Darwinia acerosa,Darwinia acerosa,Endangered,WA,9004,1,Fine-leaved Darwinia,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Darwinia acerosa
Darwinia apiculata,Darwinia apiculata,Darwinia apiculata,Endangered,WA,8763,1,Scarp Darwinia,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Darwinia apiculata
Darwinia biflora,Darwinia biflora,Darwinia biflora,Vulnerable,NSW,14619,1,NA,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Darwinia biflora
Darwinia carnea,Darwinia carnea,Darwinia carnea,Endangered,WA,9736,1,"Mogumber Bell, Narrogin Bell",Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Darwinia carnea
Darwinia chapmaniana,Darwinia chapmaniana,Darwinia chapmaniana,Endangered,WA,64877,1,Chapman's Bell,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Darwinia chapmaniana
Darwinia collina,Darwinia collina,Darwinia collina,Critically Endangered,WA,17296,1,Yellow Mountain Bell,Plant,1,CR,1,NA,10/5/2022,YES,Insufficient info,"CR (B1ab(i,ii,iii,iv,v))",Insufficient info,not eligible,Insufficient info,NA,NA,Darwinia collina
Darwinia ferricola,Darwinia ferricola,Darwinia ferricola,Endangered,WA,56706,1,Scott River Darwinia,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Darwinia ferricola
Darwinia foetida,Darwinia foetida,Darwinia foetida,Critically Endangered,WA,83190,1,Muchea Bell,Plant,1,CR,1,NA,6/11/2009,YES,not eligible,CR,EN,not eligible,not eligible,NA,NA,Darwinia foetida
Darwinia masonii,Darwinia masonii,Darwinia masonii,Vulnerable,WA,18538,1,Mason's Darwinia,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Darwinia masonii
Darwinia meeboldii,Darwinia meeboldii,Darwinia meeboldii,Vulnerable,WA,21512,1,Cranbrook Bell,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Darwinia meeboldii
Darwinia nubigena,Darwinia nubigena,Darwinia nubigena,Vulnerable,WA,83191,1,"Success Bell, Red Mountain Bell",Plant,1,VU,1,Darwinia sp. Stirling Range (G.J. Keighery 5732),7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Darwinia nubigena
Darwinia oxylepis,Darwinia oxylepis,Darwinia oxylepis,Endangered,WA,13188,1,Gillam's Bell,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Darwinia oxylepis
Darwinia polychroma,Darwinia polychroma,Darwinia polychroma,Endangered,WA,83192,1,Harlequin Bell,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Darwinia polychroma
Darwinia squarrosa,Darwinia squarrosa,Darwinia squarrosa,Vulnerable,WA,15694,1,"Fringed Mountain Bell, Pink Mountain Bell",Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Darwinia squarrosa
Darwinia whicherensis,Darwinia whicherensis,Darwinia whicherensis,Endangered,WA,83193,1,Abba Bell,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Darwinia whicherensis
Darwinia wittwerorum,Darwinia wittwerorum,Darwinia wittwerorum,Endangered,WA,15626,1,Wittwer's Mountain Bell,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Darwinia wittwerorum
Dasymalla axillaris,Dasymalla axillaris,Dasymalla axillaris,Critically Endangered,WA,38829,1,Native Foxglove,Plant,1,CR,1,NA,8/19/2010,YES,not eligible,CR,CR,EN,not eligible,NA,NA,Dasymalla axillaris
Davidsonia jerseyana,Davidsonia jerseyana,Davidsonia jerseyana,Endangered,NSW,67219,1,Davidson's Plum,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Davidsonia jerseyana
Davidsonia johnsonii,Davidsonia johnsonii,Davidsonia johnsonii,Endangered,"Qld, NSW",67178,1,"Smooth Davidsonia, Smooth Davidson's Plum, Small-leaved Davidson's Plum",Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Davidsonia johnsonii
Daviesia bursarioides,Daviesia bursarioides,Daviesia bursarioides,Endangered,WA,56696,1,Three Springs Daviesia,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Daviesia bursarioides
Daviesia cunderdin,Daviesia cunderdin,Daviesia cunderdin,Endangered,WA,64882,1,Cunderdin Daviesia,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Daviesia cunderdin
Daviesia dielsii,Daviesia dielsii,Daviesia dielsii,Endangered,WA,19617,1,Diels' Daviesia,Plant,1,EN,1,NA,6/11/2009,YES,not eligible,EN,EN,VU,not eligible,NA,NA,Daviesia dielsii
Daviesia discolor,Daviesia discolor,Daviesia discolor,Vulnerable,Qld,3567,1,NA,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Daviesia discolor
Daviesia elongata subsp. elongata,Daviesia elongata subsp. elongata,Daviesia elongata subsp. elongata,Vulnerable,WA,18599,0,NA,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Daviesia elongata subsp. elongata
Daviesia euphorbioides,Daviesia euphorbioides,Daviesia euphorbioides,Endangered,WA,3477,1,Wongan Cactus,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Daviesia euphorbioides
Daviesia glossosema,Daviesia glossosema,Daviesia glossosema,Critically Endangered,WA,65037,1,Maroon-flowered Daviesia,Plant,1,CR,1,NA,8/18/2006,YES,CR,CR,VU,VU,Insufficient info,NA,NA,Daviesia glossosema
Daviesia laevis,Daviesia laevis,Daviesia laevis,Vulnerable,Vic,55052,1,Grampians Bitter-pea,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Daviesia laevis
Daviesia megacalyx,Daviesia megacalyx,Daviesia megacalyx,Endangered,WA,56785,1,Long-sepalled Daviesia,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Daviesia megacalyx
Daviesia microcarpa,Daviesia microcarpa,Daviesia microcarpa,Endangered,WA,56766,1,Norseman Pea,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Daviesia microcarpa
Daviesia obovata,Daviesia obovata,Daviesia obovata,Endangered,WA,17311,1,Paddle-leaf Daviesia,Plant,1,EN,1,NA,1/8/2009,YES,Insufficient info,EN,EN,not eligible,Insufficient info,NA,NA,Daviesia obovata
Daviesia ovata,Daviesia ovata,Daviesia ovata,Critically Endangered,WA,21193,1,Broad-leaf Daviesia,Plant,1,CR,1,NA,5/11/2018,YES,not eligible,"CR [B1ab(iii,v)+B2ab(iii,v)]",EN [C2a(i)],EN,Insufficient info,NA,NA,Daviesia ovata
Daviesia pseudaphylla,Daviesia pseudaphylla,Daviesia pseudaphylla,Critically Endangered,WA,56747,1,Stirling Range Daviesia,Plant,1,CR,1,NA,3/31/2023,YES,CR(A4bce),"CR(B1ab(I,ii,iii,iv,v))",VU(C1),not eligible,Insufficient info,NA,NA,Daviesia pseudaphylla
Daviesia speciosa,Daviesia speciosa,Daviesia speciosa,Endangered,WA,56698,1,Beautiful Daviesia,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Daviesia speciosa
Decaspermum struckoilicum,Decaspermum struckoilicum,Decaspermum struckoilicum,Critically Endangered,Qld,78796,1,Struck Oil Myrtle,Plant,1,CR,1,NA,3/20/2023,YES,Insufficient info,"CR(B1+2ab(I,ii,iii,iv,v))","CR(C2a(I,ii))",CR,Insufficient info,NA,NA,Decaspermum struckoilicum
Dendrobium antennatum,Dendrobium antennatum,Dendrobium antennatum,Endangered,Qld,15240,1,Antelope Orchid,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Dendrobium antennatum
Dendrobium bigibbum,Dendrobium bigibbum,Dendrobium bigibbum,Vulnerable,Qld,10306,1,Cooktown Orchid,Plant,1,VU,1,Vappodes bigibba,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Dendrobium bigibbum
Dendrobium brachypus,Dendrobium brachypus,Dendrobium brachypus,Endangered,NI,2592,1,Norfolk Island Orchid,Plant,1,EN,1,NA,11/25/2003,YES,Insufficient info,Insufficient info,Insufficient info,EN,Insufficient info,NA,NA,Dendrobium brachypus
Dendrobium johannis,Dendrobium johannis,Dendrobium johannis,Vulnerable,Qld,13585,1,Chocolate Tea Tree Orchid,Plant,1,VU,1,Cepobaculum johannis,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Dendrobium johannis
Dendrobium mirbelianum,Dendrobium mirbelianum,Dendrobium mirbelianum,Endangered,Qld,14310,1,"Dark-stemmed Antler Orchid, Mangrove Orchid",Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Dendrobium mirbelianum
Dendrobium nindii,Dendrobium nindii,Dendrobium nindii,Endangered,Qld,11289,1,an orchid,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Dendrobium nindii
Denhamia megacarpa,Denhamia megacarpa,Denhamia megacarpa,Endangered,Qld,91342,1,Large-fruited Denhamia,Plant,1,EN,1,NA,10/5/2022,YES,EN (A4a),"EN (B1 & 2ab(i,ii,iii,iv,v))",EN (C1),"VU (D1,D2)",Insufficient info,NA,NA,Denhamia megacarpa
Denhamia parvifolia,Denhamia parvifolia,Denhamia parvifolia,Vulnerable,Qld,18106,1,Small-leaved Denhamia,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Denhamia parvifolia
Pedleya acanthoclada,Pedleya acanthoclada,Desmodium acanthocladum,Vulnerable,NSW,17972,1,Thorny Pea,Plant,1,VU,1,Pedleya acanthoclada,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Pedleya acanthoclada
Deyeuxia appressa,Deyeuxia appressa,Deyeuxia appressa,Endangered,NSW,7438,1,NA,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Deyeuxia appressa
Deyeuxia drummondii,Deyeuxia drummondii,Deyeuxia drummondii,Endangered,WA,20644,1,"Drummond's Grass, Drummond Grass",Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Deyeuxia drummondii
Deyeuxia lawrencei,Deyeuxia lawrencei,Deyeuxia lawrencei,Extinct,Tas (presumed extinct),12432,1,NA,Plant,1,EX,NA,NA,7/16/2000,EX,NA,NA,NA,NA,NA,NA,NA,Deyeuxia lawrencei
Deyeuxia pungens,Deyeuxia pungens,Deyeuxia pungens,Vulnerable,Vic,24421,1,Narrow-leaf Bent-grass,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Deyeuxia pungens
Dianella amoena,Dianella amoena,Dianella amoena,Endangered,"Vic, Tas",64886,1,Matted Flax-lily,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Dianella amoena
Dichanthium queenslandicum,Dichanthium queenslandicum,Dichanthium queenslandicum,Endangered,Qld,5481,1,King Blue-grass,Plant,1,EN,1,NA,2/26/2013,YES,not eligible,EN,not eligible,not eligible,not eligible,NA,NA,Dichanthium queenslandicum
Dichanthium setosum,Dichanthium setosum,Dichanthium setosum,Vulnerable,"Qld, NSW",14159,1,bluegrass,Plant,1,VU,1,NA,7/16/2000,YES,Insufficient info,Insufficient info,Insufficient info,Insufficient info,Insufficient info,"re-assessed in 2012, and status retained",NA,Dichanthium setosum
Didymoglossum exiguum,Didymoglossum exiguum,Didymoglossum exiguum,Extinct,Qld (presumed extinct),24118,1,NA,Plant,1,EX,NA,NA,7/16/2000,EX,NA,NA,NA,NA,NA,NA,NA,Didymoglossum exiguum
Diospyros mabacea,Diospyros mabacea,Diospyros mabacea,Endangered,NSW,18548,1,"Red-fruited Ebony, Silky Persimmon, Ebony",Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Diospyros mabacea
Diplazium cordifolium,Diplazium cordifolium,Diplazium cordifolium,Vulnerable,Qld,15585,1,NA,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Diplazium cordifolium
Diplazium pallidum,Diplazium pallidum,Diplazium pallidum,Endangered,Qld,12764,1,NA,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Diplazium pallidum
Diploglottis campbellii,Diploglottis campbellii,Diploglottis campbellii,Endangered,"Qld, NSW",21484,1,Small-leaved Tamarind,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Diploglottis campbellii
Diplolaena andrewsii,Diplolaena andrewsii,Diplolaena andrewsii,Endangered,WA,6601,1,NA,Plant,1,EN,1,NA,2/15/2018,YES,Insufficient info,EN [B1ab(iii)+2ab(iii)],not eligible,VU,Insufficient info,NA,NA,Diplolaena andrewsii
Dipodium campanulatum,Dipodium campanulatum,Dipodium campanulatum,Endangered,"SA, Vic",55051,1,Bell Flower Hyacinth Orchid,Plant,1,EN,1,NA,5/21/2015,YES,not eligible,EN [B2(a) (b)(iii)(iv)(v)],EN [(B)(a)(b)(iii)(iv)(v)],VU,not eligible,criterion 3 assessment garbled,NA,Dipodium campanulatum
Dipodium pictum,Dipodium pictum,Dipodium pictum,Endangered,Qld,2723,1,NA,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Dipodium pictum
Dischidia litoralis,Dischidia litoralis,Dischidia litoralis,Vulnerable,Qld,82026,1,NA,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Dischidia litoralis
Diuris aequalis,Diuris aequalis,Diuris aequalis,Endangered,NSW,21588,1,Buttercup Doubletail,Plant,1,EN,1,NA,3/2/2021,NO,Insufficient info,EN (B2ab(iii)),Insufficient info,VU (D),Insufficient info,NA,NA,Diuris aequalis
Diuris basaltica,Diuris basaltica,Diuris basaltica,Endangered,Vic,64654,1,"Small Golden Moths Orchid, Early Golden Moths",Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Diuris basaltica
Diuris bracteata,Diuris bracteata,Diuris bracteata,Extinct,NSW,20090,1,NA,Plant,1,EX,NA,NA,7/16/2000,EX,NA,NA,NA,NA,NA,NA,NA,Diuris bracteata
Diuris drummondii,Diuris drummondii,Diuris drummondii,Vulnerable,WA,4365,1,Tall Donkey Orchid,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Diuris drummondii
Diuris eborensis,Diuris eborensis,Diuris eborensis,Endangered,NSW,88275,1,NA,Plant,1,EN,1,NA,5/11/2018,YES,Insufficient info,"EN [B1a, b(iii),(v) B2a,b(iii), (v)]",VU [C2a(i),Insufficient info,Insufficient info,NA,NA,Diuris eborensis
Diuris flavescens,Diuris flavescens,Diuris flavescens,Critically Endangered,NSW,55075,1,"Pale Yellow Doubletail, Wingham Doubletail",Plant,1,CR,1,NA,1/24/2014,YES,not eligible,CR,CR,EN,not eligible,NA,NA,Diuris flavescens
Diuris fragrantissima,Diuris fragrantissima,Diuris fragrantissima,Endangered,Vic,21243,1,"Sunshine Diuris, Fragrant Doubletail, White Diuris",Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Diuris fragrantissima
Diuris lanceolata ,Diuris lanceolata [alternative possible names: Diuris behrii (pro parte misapplied) | Diuris chryseopsis (pro parte misapplied) | Diuris monticola (pro parte misapplied) | Diuris chryseopsis (misapplied)],Diuris lanceolata,Endangered,Tas,10231,1,Snake Orchid,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Diuris lanceolata
Diuris micrantha,Diuris micrantha,Diuris micrantha,Vulnerable,WA,55082,1,Dwarf Bee-orchid,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Diuris micrantha
Diuris ochroma,Diuris ochroma,Diuris ochroma,Vulnerable,"NSW, Vic",64565,1,Pale Golden Moths,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Diuris ochroma
Diuris pedunculata ,Diuris pedunculata [alternative possible names: Diuris basaltica (pro parte misapplied) | Diuris behrii (pro parte misapplied) | Diuris chryseopsis (pro parte misapplied) | Diuris gregaria (pro parte misapplied) | Diuris monticola (pro parte misapplied) | Diuris protena (pro parte misapplied) | Diuris basaltica (misapplied) | Diuris subalpina (misapplied)],Diuris pedunculata,Endangered,NSW,18325,1,"Small Snake Orchid, Two-leaved Golden Moths, Golden Moths, Cowslip Orchid, Snake Orchid",Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Diuris pedunculata
Diuris praecox,Diuris praecox,Diuris praecox,Vulnerable,NSW,55086,1,Newcastle Doubletail,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Diuris praecox
Diuris purdiei,Diuris purdiei,Diuris purdiei,Endangered,WA,12950,1,Purdie's Donkey-orchid,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Diuris purdiei
Diuris venosa,Diuris venosa,Diuris venosa,Vulnerable,NSW,6425,1,"Veined Doubletail, Goat Orchid, Veined Donkey-orchid",Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Diuris venosa
Dodonaea procumbens,Dodonaea procumbens,Dodonaea procumbens,Vulnerable,"SA, NSW, Vic",12149,1,Trailing Hop-bush,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Dodonaea procumbens
Dodonaea rupicola,Dodonaea rupicola,Dodonaea rupicola,Vulnerable,Qld,15140,1,Velvet Hopbush,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Dodonaea rupicola
Dodonaea subglandulifera,Dodonaea subglandulifera,Dodonaea subglandulifera,Endangered,SA,11956,1,Peep Hill Hop-bush,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Dodonaea subglandulifera
Drakaea concolor,Drakaea concolor,Drakaea concolor,Vulnerable,WA,56777,1,Kneeling Hammer-orchid,Plant,1,VU,1,Drakaea concolor Hopper & A.P. Brown nom. inval.,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Drakaea concolor
Drakaea confluens,Drakaea confluens,Drakaea confluens,Endangered,WA,56778,1,Late Hammer-orchid,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Drakaea confluens
Drakaea elastica,Drakaea elastica,Drakaea elastica,Endangered,WA,16753,1,"Glossy-leafed Hammer Orchid, Glossy-leaved Hammer Orchid,  Warty Hammer Orchid",Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Drakaea elastica
Drakaea isolata,Drakaea isolata,Drakaea isolata,Endangered,WA,64669,1,Lonely Hammer-orchid,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Drakaea isolata
Drakaea micrantha,Drakaea micrantha,Drakaea micrantha,Vulnerable,WA,56755,1,Dwarf Hammer-orchid,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Drakaea micrantha
Drosera prolifera,Drosera prolifera,Drosera prolifera,Vulnerable,Qld,9940,1,NA,Plant,1,VU,1,NA,7/16/2000,YES,Insufficient info,not eligible,Insufficient info,Insufficient info,Insufficient info,"re-assessed in 2012, and status retained",NA,Drosera prolifera
Drosera schizandra,Drosera schizandra,Drosera schizandra,Vulnerable,Qld,17085,1,NA,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Drosera schizandra
Drummondita ericoides,Drummondita ericoides,Drummondita ericoides,Endangered,WA,9193,1,Morseby Range Drummondita,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Drummondita ericoides
Drummondita longifolia,Drummondita longifolia,Drummondita longifolia,Vulnerable,WA,64888,1,Peak Charles Drummondita,Plant,1,VU,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Drummondita longifolia
Duma horrida subsp. abdita,Duma horrida subsp. abdita,Duma horrida subsp. abdita,Critically Endangered,WA,87538,0,Remote Thorny Lignum,Plant,1,CR,1,Muehlenbeckia horrida subsp. abdita,8/18/2006,YES,CR,EN,EN,VU,Insufficient info,NA,NA,Duma horrida subsp. abdita
Dysoxylum bijugum,Dysoxylum bijugum,Dysoxylum bijugum,Vulnerable,NI,65892,1,"Sharkwood, a tree",Plant,1,VU,1,NA,11/25/2003,YES,Insufficient info,Insufficient info,Insufficient info,VU,Insufficient info,NA,NA,Dysoxylum bijugum
Eidothea hardeniana,Eidothea hardeniana,Eidothea hardeniana,Critically Endangered,NSW,76351,1,Nightcap Oak,Plant,1,CR,1,NA,7/23/2002,YES,Insufficient info,CR,not eligible,EN,Insufficient info,NA,NA,Eidothea hardeniana
Elaeocarpus miegei,Elaeocarpus miegei,Elaeocarpus miegei,Endangered,NT,65147,1,NA,Plant,1,EN,1,NA,3/31/2022,YES,Insufficient info,"EN (B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv))",Insufficient info,EN,Insufficient info,NA,NA,Elaeocarpus miegei
Elaeocarpus sedentarius,Elaeocarpus sedentarius,Elaeocarpus sedentarius,Endangered,NSW,83093,1,Minyon Quandong,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Elaeocarpus sedentarius
Elaeocarpus williamsianus,Elaeocarpus williamsianus,Elaeocarpus williamsianus,Endangered,NSW,8956,1,Hairy Quandong,Plant,1,EN,1,NA,7/16/2000,NO,NA,NA,NA,NA,NA,NA,NA,Elaeocarpus williamsianus
Elatostema montanum,Elatostema montanum,Elatostema montanum,Critically Endangered,NI,33862,1,Mountain Procris,Plant,1,CR,1,NA,11/25/2003,YES,not eligible,CR,CR,EN,Insufficient info,NA,NA,Elatostema montanum
