taxon_name,original_text,text,00_XX_a,00_XX_f,01_plant_growth_substrate_a,01_plant_growth_substrate_f,02_commonness_a,02_commonness_f,03_habitat_moisture_a,03_habitat_moisture_f,04_habitat_topographic_a,04_habitat_topographic_f,05_habitat_a,05_habitat_f,06_soil_colour_a,06_soil_colour_f,07_substrate_a,07_substrate_f,08_soil_a,08_soil_f,09_soil_moisture_a,09_soil_moisture_f
Enchylaena tomentosa,"variety of soils, often saline.", varietyofsoils often saline ,,,,,,,,,,,,,,,saline,saline,various,varietyofsoils,,
Eremophea aggregata,calcareous sandy loam., calcareous sandy loam ,,,,,,,,,,,,,,,calcareous,calcareous,loam sand,loam sandy,,
Eremophea spinosa,"red or white clayey sand, sometimes saline. calcareous hills, flats.", red or white clayey sand sometimes saline calcareous hills flats ,,,,,,,,,flats hills,flats hills,,,red white,red white,calcareous saline,calcareous saline,clay sand,clayey sand,,
Eriochiton sclerolaenoides,"loam, clay, red or white sand, often saline. plains, saline flats.", loam clay red or white sand often saline plainss saline flats ,,,,,,,,,flats plains,flats plainss,plains,plains,red white,red white,saline,saline,clay loam sand,clay loam sand,,
Halosarcia halocnemoides,"sand, clay, loam. salt flats & lakes, tidal flats.", sand clay loam salt flats  lakes tidalflats ,,,,,,,,,flats,flats,tidal_flats lakes,tidalflats lakes,,,saline,salt,clay loam sand,clay loam sand,,
Halosarcia lepidosperma,"sand, sandy loam. saline flats bordering swamps & rivers, salt lakes.", sand sandy loam saline flats bordering swamps  rivers saltlakes ,,,,,,,wet,swamps,flats,flats,lakes_salt streams swamp,saltlakes rivers swamps,,,saline,saline,loam sand,loam sand sandy,,
Halosarcia pergranulata,"yellow-brown clay loam, brown clay, grey quartz sand, saline soils. salt lakes, coastal or brackish swamps, clay pans, samphire flats.", yellowbrown clay loam brown clay grey quartz sand saline soils saltlakes coastal or brackish swamps clay pans samphire flats ,,,,,,,wet,swamps,coastal flats,coastal flats,lakes_salt swamp,saltlakes swamps,brown grey,brown grey,brackish saline,brackish saline,clay loam sand,clay loam sand,,
Halosarcia pterygosperma,"sand, loam, clay. coastal areas, tidal flats & creeks, salt lakes.", sand loam clay coastal areas tidalflats  creeks saltlakes ,,,,,,,,,coastal,coastal,lakes_salt tidal_flats streams,saltlakes tidalflats creeks,,,,,clay loam sand,clay loam sand,,
Maireana amoena,"sandy soils, clay. rises around gypseous or salt lakes.", sandy soils clay rises around gypseous or saltlakes ,,,,,,,,,,,lakes_salt,saltlakes,,,gypseous,gypseous,clay sand,clay sandy,,
Maireana aphylla,"clay, red sand, alluvium. claypans.", clay redsand alluvium claypans ,,,,,,,,,,,claypan,claypans,red,reds,alluvial,alluvium,sand_red claypan clay,redsand claypans clay claypans,,
Maireana appressa,sandy clay. salt lakes., sandyclay saltlakes ,,,,,,,,,,,lakes_salt,saltlakes,,,,,clay_sandy,sandyclay,,
Maireana atkinsiana,"sandy clay, clay. saline flats, claypans.", sandyclay clay saline flats claypans ,,,,,,,,,flats,flats,claypan,claypans,,,saline,saline,claypan clay clay_sandy,claypans clay claypans sandyclay,,
Maireana brevifolia,"loam, sandy clay, somewhat saline soils. an early coloniser of disturbed lands.", loam sandyclay somewhat saline soils an early coloniser of disturbed lands ,,,,,,,,,,,disturbed,disturbed,,,saline,saline,loam clay_sandy,loam sandyclay,,
Maireana carnosa,"sand, clay, loam. sub-saline to saline flats.", sand clay loam subsaline to saline flats ,,,,,,,,,flats,flats,,,,,saline subsaline,saline subsaline,clay loam sand,clay loam sand,,
Maireana convexa,"red sand, sandy clay, loam, non-saline.", redsand sandyclay loam nonsaline ,,,,,,,,,,,,,red,reds,,,sand_red loam clay_sandy,redsand loam sandyclay,,
Maireana diffusa,salt lakes., saltlakes ,,,,,,,,,,,lakes_salt,saltlakes,,,,,,,,
Maireana enchylaenoides,"clay, loam.", clay loam ,,,,,,,,,,,,,,,,,clay loam,clay loam,,
Maireana erioclada,"sand, loam, clay, sometimes sub-saline. a frequent invader of disturbed areas alongside roads.", sand loam clay sometimes subsaline a frequent invader of disturbed areas alongside roads ,,,,,,,,,,,disturbed,disturbed,,,subsaline,subsaline,clay loam sand,clay loam sand,,
Maireana eriosphaera,"clay, clayey sand. breakaways, salt lakes.", clay clayey sand breakaways saltlakes ,,,,,,,,,breakaways,breakaways,lakes_salt,saltlakes,,,,,clay sand,clay clayey sand,,
Maireana georgei,variety of soils., varietyofsoils ,,,,,,,,,,,,,,,,,various,varietyofsoils,,
Maireana glomerifolia,"stony soils, clay. saline or sub-saline areas, rocky hillsides, claypans.", stonysoils clay saline or subsaline areas rocky hillsides claypans ,,,,,,,,,hills,hills hillsides,claypan,claypans,,,saline subsaline,saline subsaline,claypan soil_rocky clay stony,claypans stonysoils clay claypans rocky stonys,,
Maireana integra,"loam, clay. saline flats, claypans.", loam clay saline flats claypans ,,,,,,,,,flats,flats,claypan,claypans,,,saline,saline,claypan clay loam,claypans clay claypans loam,,
Maireana lanosa,"red sand, loam. saline flats, floodplains.", redsand loam saline flats floodplainss ,,,,,,,,,flats,flats,floodplain,floodplains,red,reds,saline,saline,sand_red loam,redsand loam,,
Maireana lobiflora,"loam, clay. river flats, limestone flats.", loam clay riverflats limestone flats ,,,,,,,,,flats,riverflats flats,,,,,limestone,limestone,clay loam,clay loam,,
Maireana luehmannii,"sandy clay, clay loam, red sand. rises around salt lakes, sub-saline flats.", sandyclay clay loam redsand rises around saltlakes subsaline flats ,,,,,,,,,flats,flats,lakes_salt,saltlakes,red,reds,subsaline,subsaline,sand_red clay loam clay_sandy,redsand clay loam sandyclay,,
Maireana marginata,"clay, sandy loam, gravel. scree slopes.", clay sandy loam gravel scree slopes ,,,,,,,,,rocky slopes,scree slopes,rocky,scree,,,,,clay gravel loam sand,clay gravel loam sandy,,
Maireana melanocoma,"clay loam, rocky soils over ironstone, quartzite or basalt. rocky hillslopes.", clay loam rockysoils over ironstone quartzite or basalt rocky hillslopes ,,,,,,,,,hills,hills,,,,,basaltic iron quartzite,basalt irons quartzite,soil_rocky clay loam,rockysoils clay loam rockys,,
Maireana murrayana,"red clayey sand, dissected sandstone.", redclayey sand dissected sandstone ,,,,,,,,,,,,,,,sandstone,sandstone,sand,sand,,
Maireana oppositifolia,"clay loam, sandy clay, sand. salt lakes, saline flats.", clay loam sandyclay sand saltlakes saline flats ,,,,,,,,,flats,flats,lakes_salt,saltlakes,,,saline,saline,clay loam sand clay_sandy,clay loam sand sandyclay,,
Maireana pentagona,rocky loam over limestone., rocky loam over limestone ,,,,,,,,,,,,,,,limestone,limestone,loam soil_rocky,loam rocky,,
Maireana pentatropis,"loam or clay over calcrete. gypsum dunes, hilltops or flats.", loam or clay over calcrete gypsum dunes hilltops or flats ,,,,,,,,,flats,flats,sanddunes,dunes,,,calcrete gypseous,calcrete gypsum,clay loam,clay loam,,
Maireana planifolia,"red sand, sandy clay, loam. rocky hillslopes, stony plains.", redsand sandyclay loam rocky hillslopes stony plainss ,,,,,,,,,hills plains,hills plainss,plains,plains,red,reds,,,sand_red loam soil_rocky clay_sandy stony,redsand loam rocky sandyclay stony,,
Maireana platycarpa,"sandy clay, sand, sandy loam, clay. saline flats, gypsum dunes, rocky hillsides.", sandyclay sand sandy loam clay saline flats gypsum dunes rocky hillsides ,,,,,,,,,flats hills,flats hills hillsides,sanddunes,dunes,,,gypseous saline,gypsum saline,clay loam soil_rocky sand clay_sandy,clay loam rocky sand sandy sandyclay,,
Maireana polypterygia,"clay, sandy clay, loam. salt marshes.", clay sandyclay loam salt marshes ,,,,,,,,,,,bog,marshes,,,saline,salt,clay loam clay_sandy,clay loam sandyclay,,
Maireana prosthecochaeta,"laterite. hills, salty places.", laterite hills salty places ,,,,,,,,,hills,hills,,,,,lateritic,laterite,,,,
Maireana pyramidata,"clay loam, sandy loam, red/brown sand. saline flats, salt lakes.", clay loam sandy loam redbrown sand saline flats saltlakes ,,,,,,,,,flats,flats,lakes_salt,saltlakes,,,saline,saline,clay loam sand,clay loam sand sandy,,
Maireana radiata,"red sand, sandy clay, loam, calcareous soils, slightly saline or alkaline.", redsand sandyclay loam calcareous soils slightly saline or alkalinene ,,,,,,,,,,,,,red,reds,calcareous saline,calcareous saline,sand_red loam clay_sandy,redsand loam sandyclay,,
Maireana scleroptera,"loam. plains, claypans.", loam plainss claypans ,,,,,,,,,plains,plainss,claypan plains,claypans plains,,,,,claypan loam,claypans claypans loam,,
Maireana sedifolia,"red sand, calcareous soils. limestone ridges, flats.", redsand calcareous soils limestone ridges flats ,,,,,,,,,flats ridges,flats ridges,,,red,reds,calcareous limestone,calcareous limestone,sand_red,redsand,,
Maireana stipitata,"clay loam, calcareous sand. claypans, sub-saline areas.", clay loam calcareous sand claypans subsaline areas ,,,,,,,,,,,claypan,claypans,,,calcareous subsaline,calcareous subsaline,claypan clay loam sand,claypans clay claypans loam sand,,
Maireana suaedifolia,"loam, sand. salt lakes, alluvial plains.", loam sand saltlakes alluvial plainss ,,,,,,,,,plains,plainss,lakes_salt plains,saltlakes plains,,,alluvial,alluvial,loam sand,loam sand,,
Maireana thesioides,"skeletal soils over sandstone & quartz, sand, clay. stony flats, hillsides, sub-saline areas.", skeletal soils over sandstone  quartz sand clay stony flats hillsides subsaline areas ,,,,,,,,,flats hills,flats hills hillsides,,,,,sandstone subsaline,sandstone subsaline,clay sand skeletal stony,clay sands skeletal stony,,
Maireana tomentosa,"clay, clayey sand, loam, skeletal soils over limestone. saline plains, salt lakes.", clay clayey sand loam skeletal soils over limestone saline plainss saltlakes ,,,,,,,,,plains,plainss,lakes_salt plains,saltlakes plains,,,limestone saline,limestone saline,clay loam sand skeletal,clay clayey loam sand skeletal,,
Maireana trichoptera,"sand, clay, loam, often over limestone. plains, exposed low rises, salt lakes.", sand clay loam often over limestone plainss exposed low rises saltlakes ,,,,,,,,,plains,plainss,lakes_salt plains,saltlakes plains,,,limestone,limestone,clay loam sand,clay loam sand,,
Maireana triptera,"sandy loam, red sand, clay. rocky hills, samphire flats.", sandy loam redsand clay rocky hills samphire flats ,,,,,,,,,flats hills,flats hills,,,red,reds,,,sand_red clay loam soil_rocky sand,redsand clay loam rocky sandy,,
Maireana turbinata,loam or clay over limestone., loam or clay over limestone ,,,,,,,,,,,,,,,limestone,limestone,clay loam,clay loam,,
Maireana villosa,"sandy or clayey loam, clay, sand, often stony soils.", sandy or clayey loam clay sand often stonysoils ,,,,,,,,,,,,,,,,,soil_rocky clay loam sand stony,stonysoils clay clayey loam sand sandy stonys,,
Malacocera tricornis,clay., clay ,,,,,,,,,,,,,,,,,clay,clay,,
Neobassia astrocarpa,"sand to sandy loam, limestone. tidal mud flats, salt lakes, salt marshes.", sand to sandy loam limestone tidal mud flats saltlakes salt marshes ,,,,,,,damp,mud,flats,flats,lakes_salt bog mud,saltlakes marshes mud,,,limestone saline,limestone salt,loam sand,loam sand sandy,,
Osteocarpum acropterum,clay flats., clay flats ,,,,,,,,,flats,flats,,,,,,,clay,clay,,
Osteocarpum salsuginosum,lake margins., lakemargins ,,,,,,,,,,,lake_margin,lakemargins,,,,,,,,
Rhagodia acicularis,red lateritic gravel. slopes., red lateritic gravel slopes ,,,,,,,,,slopes,slopes,,,red,red,lateritic,lateritic,gravel,gravel,,
Rhagodia baccata,"white-grey sand, limestone, granite. sand dunes, coastal rocky areas, hills.", whitegrey sand limestone granite sanddunes coastal rocky areas hills ,,,,,,,,,coastal hills,coastal hills,sanddunes,sanddunes,,,granitic limestone,granite limestone,soil_rocky sand,rocky sand,,
Rhagodia candolleana,sand to clay. coastal situations., sand to clay coastal situations ,,,,,,,,,coastal,coastal,,,,,,,clay sand,clay sand,,
Rhagodia crassifolia,"sand or sandy clay, often over limestone. coastal situations, salt lakes, plains.", sand or sandyclay often over limestone coastal situations saltlakes plainss ,,,,,,,,,coastal plains,coastal plainss,lakes_salt plains,saltlakes plains,,,limestone,limestone,sand clay_sandy,sand sandyclay,,
Rhagodia drummondii,"sandy clay, sand, clay. salt lakes, saline flats.", sandyclay sand clay saltlakes saline flats ,,,,,,,,,flats,flats,lakes_salt,saltlakes,,,saline,saline,clay sand clay_sandy,clay sand sandyclay,,
Rhagodia eremaea,"sand, clayey or sandy loam, often stony soils. rocky hillsides, coastal areas over limestone, along rivers & creeks.", sand clayey or sandy loam often stonysoils rocky hillsides coastal areas over limestone along rivers  creeks ,,,,,,,,,coastal hills,coastal hills hillsides,streams,creeks rivers,,,limestone,limestone,soil_rocky clay loam sand stony,stonysoils clayey loam rocky sand sandy stonys,,
Rhagodia latifolia,"calcareous sand & loam. coastal sand dunes, limestone cliffs.", calcareous sand  loam coastal sanddunes limestone cliffs ,,,,,,,,,cliff coastal,cliffs coastal,sanddunes cliffs,sanddunes cliffs cliffs,,,calcareous limestone,calcareous limestone,loam sand,loam sand,,
Rhagodia preissii,"white-grey-red sand, loam, clay, sometimes saline. coastal sand dunes, limestone.", whitegreyredsand loam clay sometimes saline coastal sanddunes limestone ,,,,,,,,,coastal,coastal,sanddunes,sanddunes,,,limestone saline,limestone saline,clay loam,clay loam,,
Rhagodia spinescens,"sandy clay, clay. dried river beds.", sandyclay clay dried river beds ,,,,,,,,,,,streams,river,,,,,clay clay_sandy,clay sandyclay,,
Rhagodia ulicina,"stony loam, clay. rocky situations, on limestone or granite.", stony loam clay rocky situations on limestone or granite ,,,,,,,,,,,,,,,granitic limestone,granite limestone,clay loam soil_rocky stony,clay loam rocky stony,,
Roycea divaricata,"red sand, saline soils. salt lakes, claypans, saline flats.", redsand saline soils saltlakes claypans saline flats ,,,,,,,,,flats,flats,lakes_salt claypan,saltlakes claypans,red,reds,saline,saline,sand_red claypan,redsand claypans claypans,,
Roycea pycnophylloides,"sandy soils, clay. saline flats.", sandy soils clay saline flats ,,,,,,,,,flats,flats,,,,,saline,saline,clay sand,clay sandy,,
Roycea spinescens,"sand, loam, sandy clay. saline flats, salt lakes.", sand loam sandyclay saline flats saltlakes ,,,,,,,,,flats,flats,lakes_salt,saltlakes,,,saline,saline,loam sand clay_sandy,loam sand sandyclay,,
Sarcocornia blackiana,"sand, silt. swampy or periodically waterlogged saline areas, estuaries.", sand silt swampy or periodically waterlogged saline areas estuaries ,,,,,,,wet,swampy waterlogged,,,swamp,swampy,,,saline,saline,sand silt,sand silt,,
Sarcocornia globosa,"sand, clay. saline flats, salt lakes.", sand clay saline flats saltlakes ,,,,,,,,,flats,flats,lakes_salt,saltlakes,,,saline,saline,clay sand,clay sand,,
Sarcocornia quinqueflora,"sand, sandy loam, clay, moderately saline soils. swamps, estuaries, salt lakes.", sand sandy loam clay moderately saline soils swamps estuaries saltlakes ,,,,,,,wet,swamps,,,lakes_salt swamp,saltlakes swamps,,,saline,saline,clay loam sand,clay loam sand sandy,,
Sclerochlamys brachyptera,rocky quartzite loam., rocky quartzite loam ,,,,,,,,,,,,,,,quartzite,quartzite,loam soil_rocky,loam rocky,,
Sclerolaena alata,red sand. fringing salt lakes., redsand fringing saltlakes ,,,,,,,,,,,lakes_salt,saltlakes,red,reds,,,sand_red,redsand,,
Sclerolaena articulata,"clayey sand, slightly saline soils.", clayey sand slightly saline soils ,,,,,,,,,,,,,,,saline,saline,clay sand,clayey sand,,
Sclerolaena bicornis,"clay, red sand. floodplains, tidal flats.", clay redsand floodplainss tidalflats ,,,,,,,,,,,tidal_flats floodplain,tidalflats floodplains,red,reds,,,sand_red clay,redsand clay,,
Sclerolaena bicuspis,,,,,,,,,,,,,,,,,,,,,,
Sclerolaena brevifolia,"sandy clay, clay, often over limestone.", sandyclay clay often over limestone ,,,,,,,,,,,,,,,limestone,limestone,clay clay_sandy,clay sandyclay,,
Sclerolaena burbidgeae,"clay, sandy loam. floodplains.", clay sandy loam floodplainss ,,,,,,,,,,,floodplain,floodplains,,,,,clay loam sand,clay loam sandy,,
Sclerolaena clelandii,clay., clay ,,,,,,,,,,,,,,,,,clay,clay,,
Sclerolaena convexula,"alluvium, red loam.", alluvium red loam ,,,,,,,,,,,,,red,red,alluvial,alluvium,loam,loam,,
Sclerolaena cornishiana,"red sand or loam, clay, stony soils.", redsand or loam clay stonysoils ,,,,,,,,,,,,,red,reds,,,sand_red soil_rocky clay loam stony,redsand stonysoils clay loam stonys,,
Sclerolaena costata,"red sand, clay, often stony soils. hillsides, saline flats.", redsand clay often stonysoils hillsides saline flats ,,,,,,,,,flats hills,flats hills hillsides,,,red,reds,saline,saline,sand_red soil_rocky clay stony,redsand stonysoils clay stonys,,
Sclerolaena crenata,"red sand or loam, clay.", redsand or loam clay ,,,,,,,,,,,,,red,reds,,,sand_red clay loam,redsand clay loam,,
Sclerolaena cuneata,"red sand or sandy clay to clay, often stony soils. sub-saline to saline flats.", redsand or sandyclay to clay often stonysoils subsaline to saline flats ,,,,,,,,,flats,flats,,,red,reds,saline subsaline,saline subsaline,sand_red soil_rocky clay clay_sandy stony,redsand stonysoils clay sandyclay stonys,,
Sclerolaena densiflora,"clay, red sand or sandy clay, sandy loam, often stony soils. hardpans, rocky hills, floodplains.", clay redsand or sandyclay sandy loam often stonysoils hardpans rocky hills floodplainss ,,,,,,,,,hills,hills,floodplain,floodplains,red,reds,,,sand_red soil_rocky clay hardpan loam sand clay_sandy stony,redsand stonysoils clay hardpans loam rocky sandy sandyclay stonys,,
Sclerolaena deserticola,"red sand. salt lakes, sand dunes.", redsand saltlakes sanddunes ,,,,,,,,,,,lakes_salt sanddunes,saltlakes sanddunes,red,reds,,,sand_red,redsand,,
Sclerolaena diacantha,"red sand, loam, clay or sandy clay, often calcareous soils.", redsand loam clay or sandyclay often calcareous soils ,,,,,,,,,,,,,red,reds,calcareous,calcareous,sand_red clay loam clay_sandy,redsand clay loam sandyclay,,
Sclerolaena drummondii,"clay loam with gravel, loam, often over laterite or granite.", clay loam with gravel loam often over laterite or granite ,,,,,,,,,,,,,,,granitic lateritic,granite laterite,clay gravel loam,clay gravel loam,,
Sclerolaena eriacantha,"clay, sandy clay, loam, red sand, often stony soils. outcrops, rocky hills, plains.", clay sandyclay loam redsand often stonysoils outcrops rocky hills plainss ,,,,,,,,,hills rocky_outcrop plains,hills outcrops plainss,plains,plains,red,reds,,,sand_red soil_rocky clay loam clay_sandy stony,redsand stonysoils clay loam rocky sandyclay stonys,,
Sclerolaena eurotioides,"sand, clay, sandy loam. salt lakes, floodplains, hillslopes.", sand clay sandy loam saltlakes floodplainss hillslopes ,,,,,,,,,hills,hills,lakes_salt floodplain,saltlakes floodplains,,,,,clay loam sand,clay loam sand sandy,,
Sclerolaena fimbriolata,"calcareous clay or loam, sand. kopi dunes, gypsum salt lakes.", calcareous clay or loam sand kopi dunes gypsum saltlakes ,,,,,,,,,,,lakes_salt sanddunes,saltlakes dunes,,,calcareous gypseous,calcareous gypsum,clay loam sand,clay loam sand,,
Sclerolaena forrestiana,"red sand, clayey sand. sandplains.", redsand clayey sand sandplainss ,,,,,,,,,,,sandplain,sandplains,red,reds,,,sand_red clay sand,redsand clayey sand,,
Sclerolaena fusiformis,"calcareous clay loam, clay, red sand. sandstone or granite outcrops, flats.", calcareous clay loam clay redsand sandstone or granite outcrops flats ,,,,,,,,,flats rocky_outcrop,flats outcrops,,,red,reds,calcareous granitic sandstone,calcareous granite sandstone,sand_red clay loam sand,redsand clay loam sands,,
Sclerolaena glabra,clay. flats., clay flats ,,,,,,,,,flats,flats,,,,,,,clay,clay,,
Sclerolaena hostilis,"clay. stony plains, along creeks.", clay stony plainss alongcreekss ,,,,,,,,,plains streambanks,plainss alongcreeks,streambanks plains,alongcreekss plains,,,,,clay stony,clay stony,,
Sclerolaena johnsonii,"red sand, loam. saline depressions.", redsand loam saline depressions ,,,,,,,,,depressions,depressions,,,red,reds,saline,saline,sand_red loam,redsand loam,,
Sclerolaena lanicuspis,"alluvium, stony loam, sandy clay. alkaline flats, sandstone outcrops, saline flats.", alluvium stony loam sandyclay alkalinene flats sandstone outcrops saline flats ,,,,,,,,,flats rocky_outcrop,flats outcrops,,,,,alluvial saline sandstone,alluvium saline sandstone,loam sand clay_sandy stony,loam sands sandyclay stony,,
Sclerolaena limbata,"heavy, slightly saline soils.", heavy slightly saline soils ,,,,,,,,,,,,,,,saline,saline,,,,
Sclerolaena medicaginoides,"clay, slightly saline soils. gneissic plains.", clay slightly saline soils gneissic plainss ,,,,,,,,,plains,plainss,plains,plains,,,saline,saline,clay,clay,,
Sclerolaena microcarpa,stony red loam., stony red loam ,,,,,,,,,,,,,red,red,,,loam stony,loam stony,,
Sclerolaena minuta,weathered granite. rocky hillsides., weathered granite rocky hillsides ,,,,,,,,,hills,hills hillsides,,,,,granitic,granite,soil_rocky,rocky,,
Sclerolaena muelleri,red sand with limestone. plains., redsand with limestone plainss ,,,,,,,,,plains,plainss,plains,plains,red,reds,limestone,limestone,sand_red,redsand,,
Sclerolaena obliquicuspis,"calcareous sandy clay or loam, clay. rocky limestone areas, salt lakes.", calcareous sandyclay or loam clay rocky limestone areas saltlakes ,,,,,,,,,,,lakes_salt,saltlakes,,,calcareous limestone,calcareous limestone,clay loam soil_rocky clay_sandy,clay loam rocky sandyclay,,
Sclerolaena parviflora,"red sand, sandy loam, sandy clay, often over limestone. plains, dunes around salt lakes.", redsand sandy loam sandyclay often over limestone plainss dunes around saltlakes ,,,,,,,,,plains,plainss,lakes_salt sanddunes plains,saltlakes dunes plains,red,reds,limestone,limestone,sand_red loam sand clay_sandy,redsand loam sandy sandyclay,,
Sclerolaena patenticuspis,"sandy clay, clay or loam over limestone. semi-saline flats or clay depressions, limestone plains.", sandyclay clay or loam over limestone semisaline flats or clay depressions limestone plainss ,,,,,,,,,depressions flats plains,depressions flats plainss,plains,plains,,,limestone semisaline,limestone semisaline,clay loam clay_sandy,clay loam sandyclay,,
Sclerolaena recurvicuspis,"red sand or clay, sandy loam. floodplains, claypans.", redsand or clay sandy loam floodplainss claypans ,,,,,,,,,,,claypan floodplain,claypans floodplains,red,reds,,,sand_red claypan clay loam sand,redsand claypans clay claypans loam sandy,,
Sclerolaena stylosa,,,,,,,,,,,,,,,,,,,,,,
Sclerolaena symoniana,sand. salt lakes., sand saltlakes ,,,,,,,,,,,lakes_salt,saltlakes,,,,,sand,sand,,
Sclerolaena tetragona,stony loam., stony loam ,,,,,,,,,,,,,,,,,loam stony,loam stony,,
Sclerolaena tridens,"red sand, clay, sandy clay. clay flats, floodplains.", redsand clay sandyclay clay flats floodplainss ,,,,,,,,,flats,flats,floodplain,floodplains,red,reds,,,sand_red clay clay_sandy,redsand clay sandyclay,,
Sclerolaena uniflora,"white/grey sand over limestone, loam. coastal areas.", whitegrey sand over limestone loam coastal areas ,,,,,,,,,coastal,coastal,,,,,limestone,limestone,loam sand,loam sand,,
Suaeda arbusculoides,"sand, mud. margin of mangrove swamps.", sand mud margin of mangrove swamps ,,,,,,,wet damp,swamps mud,,,mangroves mud swamp,mangrove mud swamps,,,,,sand,sand,,
Suaeda australis,"sand. coastal sites, saline swamps & creeks.", sand coastal sites saline swamps  creeks ,,,,,,,wet,swamps,coastal,coastal,streams swamp,creeks swamps,,,saline,saline,sand,sand,,
Suaeda baccifera,saline soils. disturbed situations., saline soils disturbed situations ,,,,,,,,,,,disturbed,disturbed,,,saline,saline,,,,
Tecticornia arborea,"sandy clay, clay.", sandyclay clay ,,,,,,,,,,,,,,,,,clay clay_sandy,clay sandyclay,,
Tecticornia verrucosa,"clay loam, clay, sand.", clay loam clay sand ,,,,,,,,,,,,,,,,,clay loam sand,clay loam sand,,
Threlkeldia diffusa,"white/grey sand over limestone, clay. coastal areas, saline flats.", whitegrey sand over limestone clay coastal areas saline flats ,,,,,,,,,coastal flats,coastal flats,,,,,limestone saline,limestone saline,clay sand,clay sand,,
Achyranthes aspera,"sandy soils, alluvium. along rivers & creeks.", sandy soils alluvium along rivers  creeks ,,,,,,,,,,,streams,creeks rivers,,,alluvial,alluvium,sand,sandy,,
Aerva javanica,often on sandy soils. along drainage lines., often on sandy soils along drainage lines ,,,,,,,,,,,,,,,,,sand,sandy,,
Alternanthera angustifolia,"sandy soils, alluvium. creek & river banks.", sandy soils alluvium creek  riverbanks ,,,,,,,,,,,streambanks streams,riverbanks creek riverbanks,,,alluvial,alluvium,sand,sandy,,
Alternanthera denticulata,"sand or clay. creek & river banks, swamps.", sand or clay creek  riverbanks swamps ,,,,,,,wet,swamps,,,streambanks streams swamp,riverbanks creek riverbanks swamps,,,,,clay sand,clay sand,,
Alternanthera longipes,,,,,,,,,,,,,,,,,,,,,,
Alternanthera nana,"sand, clay, alluvium. creek beds, river plains.", sand clay alluvium creek beds river plainss ,,,,,,,,,plains,plainss,streams plains,creek plains river,,,alluvial,alluvium,clay sand,clay sand,,
Alternanthera nodiflora,moist alluvial sand or clay., moist alluvial sand or clay ,,,,,,,moist,moist,,,,,,,alluvial,alluvial,clay sand,clay sand,,
Alternanthera pungens,"red-brown clay, pindan soils, laterite. flat plains, creek banks, drainage channels, roadsides, farmyard.", redbrown clay pindan soils laterite flat plainss creekbanks drainage channels roadsidess farmyard ,,,,,,,,,flats plains streambanks,flat plainss creekbanks,streambanks plains roadside,creekbanks plains roadsidess,,,lateritic,laterite,clay,clay,,
Amaranthus albus,,,,,,,,,,,,,,,,,,,,,,
Amaranthus caudatus,disturbed areas., disturbed areas ,,,,,,,,,,,disturbed,disturbed,,,,,,,,
Amaranthus clementii,"disturbed loamy soil, sandy soil. red sand dunes, growing under trees or among fallen branches.", disturbed loamy soil sandy soil redsanddunes growing under trees or among fallen branches ,,,,,,,,,,,disturbed,disturbed,red,reds,,,loam sand,loamy sandy,,
Amaranthus cruentus,,,,,,,,,,,,,,,,,,,,,,
Amaranthus cuspidifolius,"skeletal gritty red-brown soil with rocks and gravel, red alluvial clay loam, cracking clay, sandstone. along breakaway and scree slopes, drainage lines, ridges, sump areas.", skeletal gritty redbrown soil with rocks and gravel red alluvial clay loam cracking clay sandstone along breakaway and scree slopes drainage lines ridges sump areas ,,,,,,,,,breakaways ridges rocky slopes,breakaway ridges scree slopes,rocky,scree,red,red,alluvial sandstone,alluvial sandstone,clay gravel loam sand skeletal,clay gravel loam sands skeletal,,
Amaranthus hybridus,,,,,,,,,,,,,,,,,,,,,,
Amaranthus interruptus,"red-brown pebbly loam, alluvial, limestone. in shade in deep gullies, among rocks & boulders, cliffs at head of gullies.", redbrown pebbly loam alluvial limestone in shade in deep gullies among rocks  boulders cliffs at head of gullies ,,,,,,,,,cliff gullies,cliffs gullies,cliffs,cliffs cliffs,,,alluvial limestone,alluvial limestone,loam,loam,,
Amaranthus mitchellii,sandy & gravelly soils., sandy  gravelly soils ,,,,,,,,,,,,,,,,,gravel sand,gravelly sandy,,
Amaranthus powellii,disturbed areas., disturbed areas ,,,,,,,,,,,disturbed,disturbed,,,,,,,,
Amaranthus retroflexus,,,,,,,,,,,,,,,,,,,,,,
Amaranthus tricolor,river levees., river levees ,,,,,,,,,,,streams,river,,,,,,,,
Amaranthus viridis,disturbed areas., disturbed areas ,,,,,,,,,,,disturbed,disturbed,,,,,,,,
Deeringia amaranthoides,rocky sandstone. vinethickets., rocky sandstone vinethickets ,,,,,,,,,,,vine_thicket,vinethickets,,,sandstone,sandstone,soil_rocky sand,rocky sands,,
Gomphrena affinis,"stony sand, clay, loam, cracking clays. alluvial plains, rocky slopes, gullies, sandplains.", stony sand clay loam cracking clays alluvial plainss rockyslopes gullies sandplainss ,,,,,,,,,slopes_rocky gullies plains,rockyslopes gullies plainss,plains sandplain,plains sandplains,,,alluvial,alluvial,clay loam soil_rocky sand stony,clay loam rockys sand stony,,
