Species name adjusted,Species name,Common name,Group,EPBC Act status,IUCN threat level 1,IUCN threat level 1 description,IUCN threat level 2 (or finest level available),IUCN threat level 2 description (or finest level available),IUCN threat level 3 (or finest level available),IUCN threat level 3 description (or finest level available),Broad level threat,Sub category threat,Timing,Scope,Severity,Timing score,"Sum of timing, scope, severity",Impact score,Expert threat notes
Stylidium coroniforme subsp. coroniforme,Stylidium coroniforme subsp. coronoiforme,"Wongan Hills Triggerplant, Wongan Triggerplant",Plants,EN,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (rabbits),Invasive species and diseases,Invasive rabbit,Ongoing,3,1,3,7,Medium,Rabbits
Stylidium coroniforme subsp. coroniforme,Stylidium coroniforme subsp. coronoiforme,"Wongan Hills Triggerplant, Wongan Triggerplant",Plants,EN,8,"Invasive and other problematic species, genes and diseases",8.2,Problematic native species/diseases,8.2.2,Named species (kangaroo),Disrupted ecosystem and population processes,Problematic native species,Ongoing,3,1,3,7,Medium,Roo grazing
Stylidium coroniforme subsp. coroniforme,Stylidium coroniforme subsp. coronoiforme,"Wongan Hills Triggerplant, Wongan Triggerplant",Plants,EN,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.2,Suppression in fire frequency/intensity,Adverse fire regimes,Suppression in fire frequency/intensity,Ongoing,3,1,3,7,Medium,Suppression in fire frequency/intensity
Stylidium ensatum,Stylidium ensatum,A triggerplant,Plants,EN,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.1,Increase in fire frequency/intensity,Adverse fire regimes,Increase in fire frequency/intensity,Ongoing,3,1,3,7,Medium,Early season burns
Stylidium ensatum,Stylidium ensatum,A triggerplant,Plants,EN,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.1,Unspecified species (weeds),Invasive species and diseases,Invasive weed,Ongoing,3,1,3,7,Medium,Unspecified weeds
Stylidium semaphorum,Stylidium semaphorum,NA,Plants,CR,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (rabbits),Invasive species and diseases,Invasive rabbit,Ongoing,3,1,3,7,Medium,Rabbits
Symonanthus bancroftii,Symonanthus bancroftii,Bancrofts symonanthus,Plants,EN,4,Transportation and service corridors,4.1,Roads and railroads,4.1,Roads and railroads,"Habitat loss, fragmentation and degradation",Transportation and service corridors,Ongoing,3,1,3,7,Medium,Roads and railroads
Synaphea quartzitica,Synaphea quartzitica,Quartz-loving synaphea,Plants,EN,7,Natural system modifications,7.3,Other ecosystem modifications,7.3,Other ecosystem modifications,"Habitat loss, fragmentation and degradation",Other natural system modifications,Ongoing,3,1,3,7,Medium,Very low levels of seed production which is attributed to ineffective pollen transfer caused by habitat fragmentation
Synaphea sp. fairbridge farm (d. papenfus 696),Synaphea sp. fairbridge farm (d. papenfus 696),Selena's synaphea,Plants,CR,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (rabbits),Invasive species and diseases,Invasive rabbit,Ongoing,3,1,3,7,Medium,Rabbits
Synaphea sp. fairbridge farm (d. papenfus 696),Synaphea sp. fairbridge farm (d. papenfus 696),Selena's synaphea,Plants,CR,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.1,Unspecified species (weeds),Invasive species and diseases,Invasive weed,Ongoing,3,1,3,7,Medium,Unspecified weeds
