Species name adjusted,Species name,Common name,Group,EPBC Act status,IUCN threat level 1,IUCN threat level 1 description,IUCN threat level 2 (or finest level available),IUCN threat level 2 description (or finest level available),IUCN threat level 3 (or finest level available),IUCN threat level 3 description (or finest level available),Broad level threat,Sub category threat,Timing,Scope,Severity,Timing score,"Sum of timing, scope, severity",Impact score,Expert threat notes
Bulbophyllum gracillimum,Bulbophyllum gracillimum,Wispy Umbrella Orchid,Plants,VU,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Cajanus mareebensis,Cajanus mareebensis,NA,Plants,EN,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Caladenia arenaria,Caladenia arenaria,Sand-hill Spider-orchid,Plants,EN,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Caladenia atroclavia,Caladenia atroclavia,Black-clubbed Spider-orchid,Plants,EN,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Caladenia attenuata,Caladenia attenuata,Duramana Fingers,Plants,CR,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Caladenia bryceana subsp. cracens,Caladenia bryceana subsp. cracens,Northern Dwarf Spider-orchid,Plants,VU,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Caladenia caesarea subsp. maritima,Caladenia caesarea subsp. maritima,Cape Spider-orchid,Plants,EN,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Caladenia caudata,Caladenia caudata,Tailed Spider-orchid,Plants,VU,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Caladenia concolor,Caladenia concolor,"Crimson Spider-orchid, Maroon Spider-orchid",Plants,VU,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Caladenia dienema,Caladenia dienema,Windswept Spider-orchid,Plants,EN,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Caladenia dorrienii,Caladenia dorrienii,Cossack Spider-orchid,Plants,EN,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Caladenia granitora,Caladenia granitora,NA,Plants,EN,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Caladenia harringtoniae,Caladenia harringtoniae,"Harrington's Spider-orchid, Pink Spider-orchid",Plants,VU,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Caladenia hoffmanii,Caladenia hoffmanii,Hoffman's Spider-orchid,Plants,EN,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Caladenia ornata,Caladenia ornata,Ornate Pink Fingers,Plants,VU,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Caladenia rosella,Caladenia rosella,"Rosella Spider-orchid, Little Pink Spider-orchid",Plants,EN,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Caladenia sp. Kilsyth South (G.S.Lorimer 1253),Caladenia sp. Kilsyth South (G.S.Lorimer 1253),Kilsyth South Spider-orchid,Plants,CR,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Caladenia tensa,Caladenia tensa,"Greencomb Spider-orchid, Rigid Spider-orchid",Plants,EN,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Caladenia williamsiae,Caladenia williamsiae,Williams Spider Orchid,Plants,EN,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Caladenia woolcockiorum,Caladenia woolcockiorum,Woolcock's Spider-orchid,Plants,VU,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Caladenia xantholeuca,Caladenia xantholeuca,"White Rabbits, Flinders Ranges White Caladenia",Plants,EN,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Callistemon forresterae,Callistemon forresterae,Forrester's Bottlebrush,Plants,VU,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Callistemon kenmorrisonii,Callistemon kenmorrisonii,Betka Bottlebrush,Plants,VU,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Calotis glandulosa,Calotis glandulosa,Mauve Burr-daisy,Plants,VU,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Calotis moorei,Calotis moorei,Moore's Burr-daisy,Plants,EN,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Calytrix gurulmundensis,Calytrix gurulmundensis,NA,Plants,VU,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Canarium acutifolium,Canarium acutifolium,NA,Plants,VU,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Carronia pedicellata,Carronia pedicellata,NA,Plants,EN,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Cepobaculum carronii,Cepobaculum carronii,an orchid,Plants,VU,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Chalinolobus dwyeri,Chalinolobus dwyeri,Large-eared pied bat,Mammals,VU,7,Natural system modifications,7.2,Dams and water management/use,7.2,Dams and water management/use,Changed surface and groundwater regimes,Dams and altered flow regimes,,0,0,0,0,Insufficient data,Destruction of roost sites by flooding from dams
Chalinolobus dwyeri,Chalinolobus dwyeri,Large-eared pied bat,Mammals,VU,9,Pollution,9.3,Agricultural and forestry effluents,9.3.3,Herbicides and pesticides,Pollution,Herbicides and pesticides,,0,0,0,0,Insufficient data,Exposure to agrichemicals
Chalinolobus dwyeri,Chalinolobus dwyeri,Large-eared pied bat,Mammals,VU,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (foxes),Invasive species and diseases,Invasive predator,,0,0,0,0,Insufficient data,Predation by non-native predators
Chamelaucium sp. Cataby (G.J.Keighery 11009),Chamelaucium sp. Cataby (G.J.Keighery 11009),Griffin's Waxflower,Plants,VU,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Charadrius mongolus,Charadrius mongolus,"Lesser Sand Plover, Mongolian Plover",Birds,EN,7,Natural system modifications,7.3,Other ecosystem modifications,7.3,Other ecosystem modifications,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,NA
Charadrius mongolus,Charadrius mongolus,"Lesser Sand Plover, Mongolian Plover",Birds,EN,6,Human intrusions and disturbance,6.1,Recreational activities,6.1,Recreational activities,Overexploitation and other direct harm from human activities,Human intrusion,,0,0,0,0,Insufficient data,NA
Charadrius mongolus,Charadrius mongolus,"Lesser Sand Plover, Mongolian Plover",Birds,EN,2,Agriculture and aquaculture,2.1,Annual and perennial non-timber crops,2.1.4,Scale unknown/unrecorded,"Habitat loss, fragmentation and degradation",Agriculture and aquaculture,,0,0,0,0,Insufficient data,NA
Chingia australis,Chingia australis,NA,Plants,EN,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Comesperma oblongatum,Comesperma oblongatum,Byfield Matchstick,Plants,VU,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Coopernookia georgei,Coopernookia georgei,Mauve Coopernookia,Plants,EN,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Coopernookia scabridiuscula,Coopernookia scabridiuscula,NA,Plants,VU,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Cordyline obtecta,Cordyline obtecta,Ti,Plants,VU,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Corybas dienemus,Corybas dienemus,NA,Plants,CR,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Corybas montanus,Corybas montanus,Small Helmet-orchid,Plants,VU,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Corybas sulcatus,Corybas sulcatus,Grooved Helmet-orchid,Plants,CR,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Corymbia clandestina,Corymbia clandestina,NA,Plants,VU,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Corymbia rhodops,Corymbia rhodops,NA,Plants,VU,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Craspedia preminghana,Craspedia preminghana,Preminghana Billybutton,Plants,EN,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Ctenophorus yinnietharra,Ctenophorus yinnietharra,Yinnietharra rock dragon,Reptiles,VU,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (goats),Invasive species and diseases,Invasive ungulate,,0,0,0,0,Insufficient data,Goats
Ctenopterella blechnoides,Ctenopterella blechnoides,NA,Plants,VU,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Cycas cairnsiana,Cycas cairnsiana,a cycad,Plants,VU,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Cycas silvestris,Cycas silvestris,NA,Plants,VU,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Cyclodomorphus praealtus,Cyclodomorphus praealtus,Alpine she-oak skink,Reptiles,EN,6,Human intrusions and disturbance,6.1,Recreational activities,6.1,Recreational activities,Overexploitation and other direct harm from human activities,Human intrusion,,0,0,0,0,Insufficient data,Degradation: recreational infrastructure
Cyclodomorphus praealtus,Cyclodomorphus praealtus,Alpine she-oak skink,Reptiles,EN,4,Transportation and service corridors,4.1,Roads and railroads,4.1,Roads and railroads,"Habitat loss, fragmentation and degradation",Transportation and service corridors,,0,0,0,0,Insufficient data,Fragmentation
Cyclodomorphus praealtus,Cyclodomorphus praealtus,Alpine she-oak skink,Reptiles,EN,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (cats),Invasive species and diseases,Invasive predator,,0,0,0,0,Insufficient data,Predatation from cats
Cyclodomorphus praealtus,Cyclodomorphus praealtus,Alpine she-oak skink,Reptiles,EN,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (rats),Invasive species and diseases,Invasive rodent,,0,0,0,0,Insufficient data,Predation from black rats
Cyclodomorphus praealtus,Cyclodomorphus praealtus,Alpine she-oak skink,Reptiles,EN,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (dingo/ dog/ wild dog),Invasive species and diseases,Invasive predator,,0,0,0,0,Insufficient data,Predation from wild dogs
Cyclodomorphus praealtus,Cyclodomorphus praealtus,Alpine she-oak skink,Reptiles,EN,7,Natural system modifications,7.1,Fire and fire Suppression,7.1.1,Increase in fire frequency/intensity,Adverse fire regimes,Increase in fire frequency/intensity,,0,0,0,0,Insufficient data,Wildfires
Cyclophyllum costatum,Cyclophyllum costatum,a shrub,Plants,VU,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Cyperus cephalotes,Cyperus cephalotes,NA,Plants,EN,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Delma impar,Delma impar,Striped legless lizard,Reptiles,VU,1,Residential and commercial development,1.1,Housing and urban areas,1.1,Housing and urban areas,"Habitat loss, fragmentation and degradation",Urban and commercial development and maintenance,,0,0,0,0,Insufficient data,Housing and urban areas
Delma mitella,Delma mitella,"Atherton Delma, Legless Lizard",Reptiles,VU,2,Agriculture and aquaculture,2,Agriculture and aquaculture,2,Agriculture and aquaculture,"Habitat loss, fragmentation and degradation",Agriculture and aquaculture,,0,0,0,0,Insufficient data,NA
Delma mitella,Delma mitella,"Atherton Delma, Legless Lizard",Reptiles,VU,6,Human intrusions and disturbance,6.1,Recreational activities,6.1,Recreational activities,Overexploitation and other direct harm from human activities,Human intrusion,,0,0,0,0,Insufficient data,NA
Delma torquata,Delma torquata,"Adorned delma, collared delma",Reptiles,VU,2,Agriculture and aquaculture,2,Agriculture and aquaculture,2,Agriculture and aquaculture,"Habitat loss, fragmentation and degradation",Agriculture and aquaculture,,0,0,0,0,Insufficient data,Fragmentation
Delma torquata,Delma torquata,"Adorned delma, collared delma",Reptiles,VU,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.1,Unspecified species (weeds),Invasive species and diseases,Invasive weed,,0,0,0,0,Insufficient data,Invasive weeds
Dendrobium antennatum,Dendrobium antennatum,Antelope Orchid,Plants,EN,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Dendrobium brachypus,Dendrobium brachypus,Norfolk Island Orchid,Plants,EN,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Dendrobium johannis,Dendrobium johannis,Chocolate Tea Tree Orchid,Plants,VU,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Dendrobium mirbelianum,Dendrobium mirbelianum,"Dark-stemmed Antler Orchid, Mangrove Orchid",Plants,EN,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Dendrobium nindii,Dendrobium nindii,an orchid,Plants,EN,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Deyeuxia appressa,Deyeuxia appressa,NA,Plants,EN,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,Possibly extinct
Deyeuxia drummondii,Deyeuxia drummondii,"Drummond's Grass, Drummond Grass",Plants,EN,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Dipodium pictum,Dipodium pictum,NA,Plants,EN,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Dischidia litoralis,Dischidia litoralis,NA,Plants,VU,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Dodonaea rupicola,Dodonaea rupicola,Velvet Hopbush,Plants,VU,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Drosera prolifera,Drosera prolifera,NA,Plants,VU,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Drosera schizandra,Drosera schizandra,NA,Plants,VU,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Drummondita ericoides,Drummondita ericoides,Morseby Range Drummondita,Plants,EN,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Egernia rugosa,Egernia rugosa,Yakka skink,Reptiles,VU,7,Natural system modifications,7.1,Fire and fire suppression,7.1,Fire and fire suppression,Adverse fire regimes,Other change in fire regime/trend unspecified,,0,0,0,0,Insufficient data,Fire
Egernia rugosa,Egernia rugosa,Yakka skink,Reptiles,VU,2,Agriculture and aquaculture,2,Agriculture and aquaculture,2,Agriculture and aquaculture,"Habitat loss, fragmentation and degradation",Agriculture and aquaculture,,0,0,0,0,Insufficient data,Fragmentation
Egernia rugosa,Egernia rugosa,Yakka skink,Reptiles,VU,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (foxes),Invasive species and diseases,Invasive predator,,0,0,0,0,Insufficient data,Invasive species
Egernia rugosa,Egernia rugosa,Yakka skink,Reptiles,VU,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.2,Named species (cats),Invasive species and diseases,Invasive predator,,0,0,0,0,Insufficient data,Invasive species
Egernia stokesii badia,Egernia stokesii badia,Western Spiny-tailed Skink,Reptiles,EN,7,Natural system modifications,7.1,Fire and fire suppression,7.1,Fire and fire suppression,Adverse fire regimes,Other change in fire regime/trend unspecified,,0,0,0,0,Insufficient data,Changed fire regime
Egernia stokesii badia,Egernia stokesii badia,Western Spiny-tailed Skink,Reptiles,EN,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.1,Unspecified species (grazers),Invasive species and diseases,Invasive ungulate,,0,0,0,0,Insufficient data,Degradation:grazing
Egernia stokesii badia,Egernia stokesii badia,Western Spiny-tailed Skink,Reptiles,EN,2,Agriculture and aquaculture,2,Agriculture and aquaculture,2,Agriculture and aquaculture,"Habitat loss, fragmentation and degradation",Agriculture and aquaculture,,0,0,0,0,Insufficient data,Land clearing
Egernia stokesii badia,Egernia stokesii badia,Western Spiny-tailed Skink,Reptiles,EN,7,Natural system modifications,7,Natural system modifications,7,Natural system modifications,Changed surface and groundwater regimes,Alteration to surface water flows and infiltration,,0,0,0,0,Insufficient data,Salinity
Eidothea hardeniana,Eidothea hardeniana,Nightcap Oak,Plants,CR,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Eleocharis obicis,Eleocharis obicis,a spike rush,Plants,VU,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Elseya albagula,Elseya albagula,"Southern snapping turtle, white-throated snapping turtle",Reptiles,CR,5,Biological resource use,5.1,Hunting and collecting terrestrial animals,5.1,Hunting and collecting terrestrial animals,Overexploitation and other direct harm from human activities,Direct harvest,,0,0,0,0,Insufficient data,Collecting/hunting
Elseya albagula,Elseya albagula,"Southern snapping turtle, white-throated snapping turtle",Reptiles,CR,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.1,Unspecified species (disease),Invasive species and diseases,Disease,,0,0,0,0,Insufficient data,Disease
Elseya albagula,Elseya albagula,"Southern snapping turtle, white-throated snapping turtle",Reptiles,CR,6,Human intrusions and disturbance,6,Human intrusions and disturbance,6,Human intrusions and disturbance,Overexploitation and other direct harm from human activities,Human intrusion,,0,0,0,0,Insufficient data,Human distirbance
Elseya albagula,Elseya albagula,"Southern snapping turtle, white-throated snapping turtle",Reptiles,CR,2,Agriculture and aquaculture,2,Agriculture and aquaculture,2,Agriculture and aquaculture,"Habitat loss, fragmentation and degradation",Agriculture and aquaculture,,0,0,0,0,Insufficient data,Land clearing
Elseya albagula,Elseya albagula,"Southern snapping turtle, white-throated snapping turtle",Reptiles,CR,9,Pollution,9.6,Agricultural and forestry effluents,9.6.1,Light pollution,Pollution,Light pollution,,0,0,0,0,Insufficient data,Light pollution
Elseya albagula,Elseya albagula,"Southern snapping turtle, white-throated snapping turtle",Reptiles,CR,9,Pollution,9,Pollution,9,Pollution,Pollution,Garbage and solid waste,,0,0,0,0,Insufficient data,Waste pollution
Elseya lavarackorum,Elseya lavarackorum,Gulf snapping turtle,Reptiles,EN,5,Biological resource use,5.1,Hunting and collecting terrestrial animals,5.1,Hunting and collecting terrestrial animals,Overexploitation and other direct harm from human activities,Direct harvest,,0,0,0,0,Insufficient data,Collecting/hunting
Elseya lavarackorum,Elseya lavarackorum,Gulf snapping turtle,Reptiles,EN,8,"Invasive and other problematic species, genes and diseases",8.1,Invasive non-native/alien species/diseases,8.1.1,Unspecified species (disease),Invasive species and diseases,Disease,,0,0,0,0,Insufficient data,Disease
Elseya lavarackorum,Elseya lavarackorum,Gulf snapping turtle,Reptiles,EN,6,Human intrusions and disturbance,6,Human intrusions and disturbance,6,Human intrusions and disturbance,Overexploitation and other direct harm from human activities,Human intrusion,,0,0,0,0,Insufficient data,Human distirbance
Elseya lavarackorum,Elseya lavarackorum,Gulf snapping turtle,Reptiles,EN,2,Agriculture and aquaculture,2,Agriculture and aquaculture,2,Agriculture and aquaculture,"Habitat loss, fragmentation and degradation",Agriculture and aquaculture,,0,0,0,0,Insufficient data,Land clearing
Elseya lavarackorum,Elseya lavarackorum,Gulf snapping turtle,Reptiles,EN,9,Pollution,9.6,Agricultural and forestry effluents,9.6.1,Light pollution,Pollution,Light pollution,,0,0,0,0,Insufficient data,Light pollution
Elseya lavarackorum,Elseya lavarackorum,Gulf snapping turtle,Reptiles,EN,9,Pollution,9,Pollution,9,Pollution,Pollution,Garbage and solid waste,,0,0,0,0,Insufficient data,Waste pollution
Elusor macrurus,Elusor macrurus,"Mary River Turtle, Mary River Tortoise",Reptiles,EN,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Endiandra cooperana,Endiandra cooperana,NA,Plants,EN,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Epacris hamiltonii,Epacris hamiltonii,NA,Plants,EN,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Epilobium brunnescens subsp. beaugleholei,Epilobium brunnescens subsp. beaugleholei,Bog Willow-herb,Plants,VU,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Eremochloa muricata,Eremochloa muricata,NA,Plants,EN,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Eremophila prostrata,Eremophila prostrata,Rainbow Valley Fuchsia Bush,Plants,VU,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Eucalyptus alligatrix subsp. miscella,Eucalyptus alligatrix subsp. miscella,a stringybark,Plants,VU,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Eucalyptus articulata,Eucalyptus articulata,Ponton Creek Mallee,Plants,VU,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Eucalyptus beaniana,Eucalyptus beaniana,Bean's Ironbark,Plants,VU,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Eucalyptus burdettiana,Eucalyptus burdettiana,Burdett Gum,Plants,EN,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Eucalyptus copulans,Eucalyptus copulans,NA,Plants,EN,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Eucalyptus crucis subsp. praecipua,Eucalyptus crucis subsp. praecipua,Paynes Find Mallee,Plants,EN,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Eucalyptus dolorosa,Eucalyptus dolorosa,"Dandaragan Mallee, Mount Misery Mallee",Plants,EN,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Eucalyptus insularis,Eucalyptus insularis,Twin Peak Island Mallee,Plants,EN,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Eucalyptus kabiana,Eucalyptus kabiana,Mount Beerwah Mallee,Plants,VU,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Eucalyptus lateritica,Eucalyptus lateritica,Laterite Mallee,Plants,VU,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Eucalyptus mooreana,Eucalyptus mooreana,"Mountain White Gum, Moores Gum",Plants,VU,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Eucalyptus pachycalyx subsp. banyabba,Eucalyptus pachycalyx subsp. banyabba,Banyabba Shiny-barked Gum,Plants,EN,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Eucalyptus pumila,Eucalyptus pumila,Pokolbin Mallee,Plants,VU,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
Eucalyptus recurva,Eucalyptus recurva,Mongarlowe Mallee,Plants,CR,12,Other options,12,Other options,12,Other options,"Habitat loss, fragmentation and degradation",Other natural system modifications,,0,0,0,0,Insufficient data,No threat info
