Scientific Name,Native,Susceptibility,Observation,References,original_source,Synonyms,accepted_name,reason,taxon_rank,accepted_or_suggested_name,notes
Eucalyptus gunnii divaricata,Y,R-H,I,Potts et al. 2016,Potts_2016,NA,Eucalyptus gunnii subsp. divaricata,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),subspecies,Eucalyptus gunnii subsp. divaricata,
Eucalyptus gunnii gunnii,Y,R-H,I,Potts et al. 2016,Potts_2016,NA,Eucalyptus gunnii subsp. gunnii,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),subspecies,Eucalyptus gunnii subsp. gunnii,
Eucalyptus haemastoma,Y,R-H,I,Morin et al. 2012,Morin_2012,NA,Eucalyptus haemastoma,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus haemastoma,
Eucalyptus jacksonii,Y,M-H,I,Sandhu and Park 2013,Sandhu_2013,NA,Eucalyptus jacksonii,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus jacksonii,
Eucalyptus johnstonii,Y,R-H,I,Potts et al. 2016,Potts_2016,NA,Eucalyptus johnstonii,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus johnstonii,
Eucalyptus laevopinea,Y,R-M,I,Morin et al. 2012,Morin_2012,NA,Eucalyptus laevopinea,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus laevopinea,
Eucalyptus lehmannii,Y,L-H,I,Sandhu and Park 2013,Sandhu_2013,NA,Eucalyptus lehmannii,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus lehmannii,
Eucalyptus longirostrata,Y,L-H,I,Morin et al. 2012,Morin_2012,NA,Eucalyptus longirostrata,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus longirostrata,
Eucalyptus marginata marginata,Y,R-H,I,Morin et al. 2012,Morin_2012,NA,Eucalyptus marginata subsp. marginata,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),subspecies,Eucalyptus marginata subsp. marginata,
Eucalyptus megacarpa,Y,L-H,I,Sandhu and Park 2013,Sandhu_2013,NA,Eucalyptus megacarpa,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus megacarpa,
Eucalyptus melliodora,Y,S*,I,Sandhu and Park 2013,Sandhu_2013,NA,Eucalyptus melliodora,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus melliodora,
Eucalyptus microcorys,Y,M-H,I,Sandhu and Park 2013,Sandhu_2013,NA,Eucalyptus microcorys,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus microcorys,
Eucalyptus moluccana,Y,R-H,I,Morin et al. 2012; Sandu and Park 2013,Morin_2012; Sandhu_2013,NA,Eucalyptus moluccana,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus moluccana,
Eucalyptus morrisbyi,Y,R-H,I,Potts et al. 2016,Potts_2016,NA,Eucalyptus morrisbyi,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus morrisbyi,
Eucalyptus nebulosa,Y,R-H,I,Potts et al. 2016,Potts_2016,NA,Eucalyptus nebulosa,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus nebulosa,
Eucalyptus nitens,Y,R-H,I,Morin et al. 2012,Morin_2012,NA,Eucalyptus nitens,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus nitens,
Eucalyptus obliqua,Y,R-H,I,Potts et al. 2016,Potts_2016,NA,Eucalyptus obliqua,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus obliqua,
Eucalyptus occidentalis,Y,R-H,I,Morin et al. 2012; Sandu and Park 2013,Morin_2012; Sandhu_2013,NA,Eucalyptus occidentalis,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus occidentalis,
Eucalyptus olida,Y,R-H,NI,Morin et al. 2012,Morin_2012,NA,Eucalyptus olida,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus olida,
Eucalyptus ovata,Y,R-H,I,Potts et al. 2016,Potts_2016,NA,Eucalyptus ovata,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus ovata,
Eucalyptus pauciflora pauciflora,Y,R-H,I,Potts et al. 2016,Potts_2016,NA,Eucalyptus pauciflora subsp. pauciflora,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),subspecies,Eucalyptus pauciflora subsp. pauciflora,
Eucalyptus pellita,Y,R-M,I,Morin et al. 2012,Morin_2012,NA,Eucalyptus pellita,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus pellita,
Eucalyptus perriniana,Y,R-H,I,Potts et al. 2016,Potts_2016,NA,Eucalyptus perriniana,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus perriniana,
Eucalyptus pilularis,Y,L-H,NI,Morin et al. 2012; Sandu and Park 2013,Morin_2012; Sandhu_2013,NA,Eucalyptus pilularis,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus pilularis,
Eucalyptus planchoniana,Y,M,N,Pegg et al. 2014,Pegg_2014,NA,Eucalyptus planchoniana,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus planchoniana,
Eucalyptus populnea,Y,R-H,I,Morin et al. 2012,Morin_2012,NA,Eucalyptus populnea,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus populnea,
Eucalyptus pulchella,Y,R-H,I,Potts et al. 2016,Potts_2016,NA,Eucalyptus pulchella,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus pulchella,
Eucalyptus punctata,Y,S*,I,Giblin and Carnegie 2014,Giblin_2014,NA,Eucalyptus punctata,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus punctata,
Eucalyptus punctata biturbinata,Y,R-H,I,Morin et al. 2012,Morin_2012,NA,Eucalyptus punctata,Exact match of the first two words of the taxon name to an APC-accepted canonical name (2024-10-28),species,Eucalyptus punctata,
Eucalyptus pyriformis x E. macrocarpa,H,S*,I,Giblin and Carnegie 2014,Giblin_2014,NA,Eucalyptus pyriformis x E. macrocarpa,Exact match to APC genus. Taxon name includes ' x ' indicating a hybrid taxon and taxon can only be aligned to genus-rank (2024-10-28),genus,Eucalyptus x [Eucalyptus pyriformis x E. macrocarpa],add substitution
Eucalyptus radiata,Y,R-H,I,Potts et al. 2016,Potts_2016,NA,Eucalyptus radiata,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus radiata,
Eucalyptus regnans,Y,R-H,I,Potts et al. 2016,Potts_2016,NA,Eucalyptus regnans,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus regnans,
Eucalyptus resinifera,Y,R-M,I,Morin et al. 2012,Morin_2012,NA,Eucalyptus resinifera,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus resinifera,
Eucalyptus resinifera hemilampra,Y,S*,I,Giblin and Carnegie 2014,Giblin_2014,NA,Eucalyptus resinifera subsp. hemilampra,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),subspecies,Eucalyptus resinifera subsp. hemilampra,
Eucalyptus risdonii,Y,R-H,I,Potts et al. 2016,Potts_2016,NA,Eucalyptus risdonii,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus risdonii,
Eucalyptus robusta,Y,S*,N,Giblin and Carnegie 2014,Giblin_2014,NA,Eucalyptus robusta,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus robusta,
Eucalyptus rodwayi,Y,R-H,I,Potts et al. 2016,Potts_2016,NA,Eucalyptus rodwayi,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus rodwayi,
Eucalyptus rubida,Y,R-H,I,Potts et al. 2016,Potts_2016,NA,Eucalyptus rubida,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus rubida,
Eucalyptus saligna,Y,R-M,I,Morin et al. 2012,Morin_2012,NA,Eucalyptus saligna,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus saligna,
Eucalyptus siderophloia,Y,S*,NI,Giblin and Carnegie 2014,Giblin_2014,NA,Eucalyptus siderophloia,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus siderophloia,
Eucalyptus sieberi,Y,R-H,I,Potts et al. 2016,Potts_2016,NA,Eucalyptus sieberi,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus sieberi,
Eucalyptus smithii,Y,R-M,I,Morin et al. 2012,Morin_2012,NA,Eucalyptus smithii,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus smithii,
Eucalyptus subcrenulata,Y,R-H,I,Potts et al. 2016,Potts_2016,NA,Eucalyptus subcrenulata,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus subcrenulata,
Eucalyptus tenuiramis,Y,R-H,I,Potts et al. 2016,Potts_2016,NA,Eucalyptus tenuiramis,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus tenuiramis,
Eucalyptus tereticornis,Y,R-H,NI,Morin et al. 2012; Sandu and Park 2013; Pegg et al. 2014,Morin_2012; Sandhu_2013; Pegg_2014,NA,Eucalyptus tereticornis,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus tereticornis,
Eucalyptus tindaliae,Y,R-H,NI,Morin et al. 2012; Pegg et al. 2014,Morin_2012; Pegg_2014,NA,Eucalyptus tindaliae,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus tindaliae,
Eucalyptus torquata,Y,L-H,I,Sandhu and Park 2013,Sandhu_2013,NA,Eucalyptus torquata,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus torquata,
Eucalyptus urnigera,Y,R-H,I,Potts et al. 2016,Potts_2016,NA,Eucalyptus urnigera,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus urnigera,
Eucalyptus urophylla,N,S*,I,Giblin and Carnegie 2014,Giblin_2014,NA,Eucalyptus urophylla,Exact match of the first word of the taxon name to an APC-accepted genus (2024-10-28),genus,Eucalyptus sp. [Eucalyptus urophylla],exclude-Timor
Eucalyptus vernicosa,Y,R-H,I,Potts et al. 2016,Potts_2016,NA,Eucalyptus vernicosa,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus vernicosa,
Eucalyptus viminalis,Y,S*,I,Giblin and Carnegie 2014,Giblin_2014,Eucalyptus pryoriana,Eucalyptus viminalis,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus viminalis,
Eucalyptus wandoo wandoo,Y,R-H,I,Morin et al. 2012,Morin_2012,NA,Eucalyptus wandoo subsp. wandoo,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),subspecies,Eucalyptus wandoo subsp. wandoo,
Eucalyptus websteriana x E. crucis,H,S*,I,Giblin and Carnegie 2014,Giblin_2014,NA,Eucalyptus websteriana x E. crucis,Exact match to APC genus. Taxon name includes ' x ' indicating a hybrid taxon and taxon can only be aligned to genus-rank (2024-10-28),genus,Eucalyptus x [Eucalyptus websteriana x E. crucis],add substitution
Eucalyptus websteriana x E. orbifolia,H,S*,I,Giblin and Carnegie 2014,Giblin_2014,NA,Eucalyptus websteriana x E. orbifolia,Exact match to APC genus. Taxon name includes ' x ' indicating a hybrid taxon and taxon can only be aligned to genus-rank (2024-10-28),genus,Eucalyptus x [Eucalyptus websteriana x E. orbifolia],add substitution
Eucalyptus woodwardii,Y,L-H,I,Sandhu and Park 2013,Sandhu_2013,NA,Eucalyptus woodwardii,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus woodwardii,
Eucalyptus xerothermica,Y,S*,I,Giblin and Carnegie 2014,Giblin_2014,NA,Eucalyptus xerothermica,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eucalyptus xerothermica,
Eucalyptus youngiana x E. macrocarpa,H,S*,I,Giblin and Carnegie 2014,Giblin_2014,NA,Eucalyptus youngiana x E. macrocarpa,Exact match to APC genus. Taxon name includes ' x ' indicating a hybrid taxon and taxon can only be aligned to genus-rank (2024-10-28),genus,Eucalyptus x [Eucalyptus youngiana x E. macrocarpa],add substitution
Eugenia capensis natalitia,N,M,N,Pegg et al. 2014,Pegg_2014,Eugenia natalitia,Eugenia capensis natalitia,Exact match of the first word of the taxon name to an APC-accepted genus (2024-10-28),genus,Eugenia sp. [Eugenia capensis natalitia],exclude-S.Africa
Eugenia capensis zeyheri,N,M,N,Giblin and Carnegie 2014,Giblin_2014,NA,Eugenia capensis zeyheri,Exact match of the first word of the taxon name to an APC-accepted genus (2024-10-28),genus,Eugenia sp. [Eugenia capensis zeyheri],exclude-S.Africa
Eugenia reinwardtiana,Y,H,N,Pegg et al. 2014; Pegg Mt Cootha 2016; Workshop 2016,Pegg_2014; Pegg_2016; Workshop 2016,NA,Eugenia reinwardtiana,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eugenia reinwardtiana,
Eugenia uniflora,N,M,N,Pegg et al. 2014,Pegg_2014,NA,Eugenia uniflora,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Eugenia uniflora,
Gossia acmenoides,Y,H,N,Pegg et al. 2014,Pegg_2014,NA,Gossia acmenoides,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Gossia acmenoides,
Gossia bamagensis,Y,M,N,Pegg et al. 2014,Pegg_2014,NA,Gossia bamagensis,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Gossia bamagensis,
Gossia bidwillii,Y,M,N,Pegg et al. 2014,Pegg_2014,NA,Gossia bidwillii,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Gossia bidwillii,
Gossia floribunda,Y,M,N,Workshop 2016,Workshop 2016,NA,Gossia floribunda,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Gossia floribunda,
Gossia fragrantissima,Y,M,N,Pegg et al. 2014,Pegg_2014,NA,Gossia fragrantissima,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Gossia fragrantissima,
Gossia gonoclada,Y,H,N,Pegg et al. 2014,Pegg_2014,NA,Gossia gonoclada,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Gossia gonoclada,
Gossia hillii,Y,H,N,Pegg et al. 2014; Pegg Mt Cootha 2016,Pegg_2014; Pegg_2016,NA,Gossia hillii,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Gossia hillii,
Gossia inophloia,Y,H,NI,Morin et al. 2012; Pegg et al. 2014,Morin_2012; Pegg_2014,NA,Gossia inophloia,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Gossia inophloia,
Gossia lewisensis,Y,S*,N,Giblin and Carnegie 2014,Giblin_2014,NA,Gossia lewisensis,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Gossia lewisensis,
Gossia macilwraithensis,Y,M,N,Pegg et al. 2014,Pegg_2014,NA,Gossia macilwraithensis,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Gossia macilwraithensis,
Gossia myrsinocarpa,Y,M-H,N,Pegg et al. 2014; Pegg Mt Cootha 2016; Workshop 2016,Pegg_2014; Pegg_2016; Workshop 2016,Austromyrtus minutiflorum,Gossia myrsinocarpa,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Gossia myrsinocarpa,
Gossia pubiflora,Y,H,N,"Pegg, unpublished data","Pegg, unpublished data",NA,Gossia pubiflora,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Gossia pubiflora,
Gossia punctata,Y,M-H,N,Pegg et al. 2014; Pegg Mt Cootha 2016,Pegg_2014; Pegg_2016,NA,Gossia punctata,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Gossia punctata,
Gossia shepherdii,Y,H,N,"Pegg, unpublished data","Pegg, unpublished data",NA,Gossia shepherdii,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Gossia shepherdii,
Homoranthus croftianus,Y,S*,N,MR Working Group 2016,MR Working Group 2016,NA,Homoranthus croftianus,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Homoranthus croftianus,
Homoranthus flavescens,Y,S*,N,MR Working Group 2016,MR Working Group 2016,NA,Homoranthus flavescens,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Homoranthus flavescens,
Homoranthus melanostictus,Y,M,N,Pegg et al. 2014,Pegg_2014,NA,Homoranthus melanostictus,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Homoranthus melanostictus,
Homoranthus montanus,Y,S*,N,MR Working Group 2016,MR Working Group 2016,NA,Homoranthus montanus,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Homoranthus montanus,
Homoranthus papillatus,Y,M,N,Pegg et al. 2014,Pegg_2014,NA,Homoranthus papillatus,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Homoranthus papillatus,
Homoranthus prolixus,Y,S*,N,Giblin and Carnegie 2014,Giblin_2014,NA,Homoranthus prolixus,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Homoranthus prolixus,
Homoranthus virgatus,Y,S*,N,Giblin and Carnegie 2014,Giblin_2014,NA,Homoranthus virgatus,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Homoranthus virgatus,
Hypocalymma angustifolium,Y,S*,N,Giblin and Carnegie 2014,Giblin_2014,NA,Hypocalymma angustifolium,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Hypocalymma angustifolium,
Kunzea ambigua,Y,M-H,I,Morin et al. 2012; Sandhu and Park 2013,Morin_2012; Sandhu_2013,NA,Kunzea ambigua,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Kunzea ambigua,
Kunzea baxteri,Y,M-H,I,Morin et al. 2012,Morin_2012,NA,Kunzea baxteri,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Kunzea baxteri,
Kunzea ericoides,Y,H,I,Morin et al. 2012,Morin_2012,NA,Kunzea ericoides,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Kunzea ericoides,
Kunzea pomifera,Y,M-H,I,Morin et al. 2012,Morin_2012,NA,Kunzea pomifera,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Kunzea pomifera,
Lenwebbia lasioclada,Y,M,N,Workshop 2016,Workshop 2016,NA,Lenwebbia lasioclada,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Lenwebbia lasioclada,
Lenwebbia prominens,Y,H,N,Pegg et al. 2014; Pegg Mt Cootha 2016; Workshop 2016,Pegg_2014; Pegg_2016; Workshop 2016,NA,Lenwebbia prominens,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Lenwebbia prominens,
Lenwebbia sp. Blackall Range,Y,M,N,Pegg et al. 2014,Pegg_2014,NA,Lenwebbia sp. Blackall Range (P.R.Sharpe 5387),Exact match of the first three words of the taxon name to an APC-accepted canonical name (2024-10-28),species,Lenwebbia sp. Blackall Range (P.R.Sharpe 5387),
Lenwebbia sp. 'blackall range',Y,S*,N,NSW BioAtlas: Myrtle Rust Records,NSW BioAtlas: Myrtle Rust Records,NA,Lenwebbia sp. Blackall Range (P.R.Sharpe 5387),Exact match of the first three words of the taxon name to an APC-accepted canonical name (2024-10-28),species,Lenwebbia sp. Blackall Range (P.R.Sharpe 5387),
Leptospermum barneyense,Y,S*,N,MR Working Group 2016,MR Working Group 2016,NA,Leptospermum barneyense,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Leptospermum barneyense,
Leptospermum brachyandrum,Y,S*,N,Giblin and Carnegie 2014,Giblin_2014,NA,Leptospermum brachyandrum,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Leptospermum brachyandrum,
Leptospermum continentale,Y,S*,NI,Giblin and Carnegie 2014,Giblin_2014,NA,Leptospermum continentale,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Leptospermum continentale,
Leptospermum deuense,Y,S*,N,MR Working Group 2016,MR Working Group 2016,NA,Leptospermum deuense,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Leptospermum deuense,
Leptospermum glaucescens,Y,H,I,Sandhu and Park 2013,Sandhu_2013,NA,Leptospermum glaucescens,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Leptospermum glaucescens,
Leptospermum grandiflorum,Y,H,I,Sandhu and Park 2013,Sandhu_2013,NA,Leptospermum grandiflorum,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Leptospermum grandiflorum,
Leptospermum juniperinum,Y,S*,N,Giblin and Carnegie 2014,Giblin_2014,NA,Leptospermum juniperinum,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Leptospermum juniperinum,
Leptospermum laevigatum,Y,S*,I,Giblin and Carnegie 2014,Giblin_2014,NA,Leptospermum laevigatum,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Leptospermum laevigatum,
Leptospermum lanigerum,Y,H,I,Sandhu and Park 2013,Sandhu_2013,NA,Leptospermum lanigerum,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Leptospermum lanigerum,
Leptospermum liversidgei,Y,M,N,Pegg et al. 2014,Pegg_2014,NA,Leptospermum liversidgei,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Leptospermum liversidgei,
Leptospermum luehmannii,Y,M,N,Pegg et al. 2014,Pegg_2014,NA,Leptospermum luehmannii,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Leptospermum luehmannii,
Leptospermum madidum,Y,M,N,"Pegg et al. 2014, Pegg Mt Cootha 2016","Pegg_2014, Pegg_2016",NA,Leptospermum madidum,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Leptospermum madidum,
Leptospermum madidum sativum,Y,S*,N,Giblin and Carnegie 2014,Giblin_2014,NA,Leptospermum madidum subsp. sativum,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),subspecies,Leptospermum madidum subsp. sativum,
Leptospermum morrisonii,Y,R-H,I,Morin et al. 2012,Morin_2012,NA,Leptospermum morrisonii,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Leptospermum morrisonii,
Leptospermum myrsinoides,Y,S*,I,Giblin and Carnegie 2014,Giblin_2014,NA,Leptospermum myrsinoides,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Leptospermum myrsinoides,
Leptospermum nitidum,Y,L-H,I,Sandhu and Park 2013,Sandhu_2013,NA,Leptospermum nitidum,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Leptospermum nitidum,
Leptospermum petersonii,Y,M,N,Pegg et al. 2014,Pegg_2014,NA,Leptospermum petersonii,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Leptospermum petersonii,
Leptospermum polygalifolium,Y,R-H,I,Morin et al. 2012,Morin_2012,NA,Leptospermum polygalifolium,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Leptospermum polygalifolium,
Leptospermum riparium,Y,L-H,I,Sandhu and Park 2013,Sandhu_2013,NA,Leptospermum riparium,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Leptospermum riparium,
Leptospermum rotundifolium,Y,S*,N,Giblin and Carnegie 2014,Giblin_2014,NA,Leptospermum rotundifolium,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Leptospermum rotundifolium,
Leptospermum rupestre,Y,H,I,Sandhu and Park 2013,Sandhu_2013,NA,Leptospermum rupestre,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Leptospermum rupestre,
Leptospermum scoparium,Y,L-H,I,Sandhu and Park 2013,Sandhu_2013,NA,Leptospermum scoparium,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Leptospermum scoparium,
Leptospermum scoparium x L. macrocarpum,H,S*,I,Giblin and Carnegie 2014,Giblin_2014,NA,Leptospermum scoparium x L. macrocarpum,Exact match to APC genus. Taxon name includes ' x ' indicating a hybrid taxon and taxon can only be aligned to genus-rank (2024-10-28),genus,Leptospermum x [Leptospermum scoparium x L. macrocarpum],add substitution
Leptospermum semibaccatum,Y,M,N,Pegg et al. 2014,Pegg_2014,NA,Leptospermum semibaccatum,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Leptospermum semibaccatum,
Leptospermum spectabile,Y,S*,N,Giblin and Carnegie 2014,Giblin_2014,NA,Leptospermum spectabile,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Leptospermum spectabile,
Leptospermum trinervium,Y,R-H,NI,Morin et al. 2012,Morin_2012,NA,Leptospermum trinervium,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Leptospermum trinervium,
Leptospermum whitei,Y,S*,N,Giblin and Carnegie 2014,Giblin_2014,NA,Leptospermum whitei,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2024-10-28),species,Leptospermum whitei,
