Botanical name,Common name,Toxicity,Palatability,palatability_encoded,palatability_timing,Digestible DM %,ME (MJ/kg DM),CP %,Source,digestible_mean,digestible_min_max_1,digestible_min_max_2,energy_mean,energy_min_max_1,energy_min_max_2,protein_mean,protein_min_max_1,protein_min_max_2
Poa labillardieri,Poa tussock,,Dry,palatabililty_moderate,,39.93-53.37,5.91-8.01,4.25-9.44,NSW DPI,,39.93,53.37,,5.91,8.01,,4.25,9.44
Sorghum halepense,Johnson grass,Nitrates / cyanide,,,,46.47,6.97,6.88,Simmonds et al. (2000); NSW DPI,46.47,,,6.97,,,6.88,,
Themeda triandra,Kangaroo grass,,,,,44.44-53.77,6.67-8.07,4.81-6.38,NSW DPI,,44.44,53.77,,6.67,8.07,,4.81,6.38
Zygochloa paradoxa,Sandhill canegrass,,,,,32.7-49.9,3.5-6.9,1.8-10.3,Productive Nutrition database,,32.7,49.9,,3.5,6.9,,1.8,10.3
Hypericum perforatum,St John's wort; goatweed,Hypericin (PS),Seldom eaten,not_eaten,,35-82,5.28-12.27,3.75-21.3,NSW DPI,,35,82,,5.28,12.27,,3.75,21.3
Pteridium esculentum,Common bracken,Thiaminases,Occasionally,palatabililty_low,,,,,Simmonds et al. (2000),,,,,,,,,
Rubus fruiticosus,Blackberry,,Young stems,palatabililty_moderate,,,10.5,21,Going Into Goats guide (2006),,,,10.5,,,21,,
Rubus fruiticosus,Blackberry,,Old stems,palatabililty_moderate,,,7.4,6.1,Going Into Goats guide (2006),,,,7.4,,,6.1,,
Trifolium spp,Clovers,,Mature,palatabililty_moderate,,,,,,,,,,,,,,
Brachychiton rupestris,Bottle tree,Nitrates,Leaves /trunk,palatabililty_moderate,,,,2,Everist (1974),,,,,,,2,,
Callitris columellaris,Native cyprus pine,,Occasionally,palatabililty_low,,20.12,3.02,0.75,NSW DPI,20.12,,,3.02,,,0.75,,
Cassia artemisioides,Silver cassia,Glycosides -seed pods,Occasionally,palatabililty_low,,,,,Simmonds et al. (2000),,,,,,,,,
Cassia eremophila,Punty bush; desert cassia,Glycosides -seed pods,Occasionally,palatabililty_low,,,,,Simmonds et al. (2000),,,,,,,,,
Cassinia spp,Dolly bush; chinese shrub; biddy bush; sticky cassinia,,Isolated plants,palatabililty_low,,,,,,,,,,,,,,
Chenopodium nitrariaceum,Nitre bush; nitre goosefoot,Nitrates & oxalates,,,,,,,Simmonds et al. (2000),,,,,,,,,
Eremophila longifolia,Emu bush,If fed alone (Everist  1974),All stages,palatabililty_high,,46-56.7,6.3-8.1,7.4-11.5,Productive Nutrition database; NSW DPI,,46,56.7,,6.3,8.1,,7.4,11.5
Eremophila mitchellii,Budda; false sandalwood,,Occasionally,palatabililty_low,,,,,,,,,,,,,,
Eucalyptus melliodora,Yellow box,,Sucker regrowth,palatabililty_moderate,regrowth_eaten,,,,Going Into Goats guide (2006),,,,,,,,,
Eucalyptus populnea,Bimble box; poplar box,,Occasionally,palatabililty_low,,,,,Cunningham et al. (1992),,,,,,,,,
Eucalyptus spp,Box,gum & mallee,Sucker leaves,palatabililty_moderate,regrowth_eaten,,,,Going Into Goats guide (2006),,,,,,,,,
Geijera parviflora,Wilga,,Occasionally,palatabililty_low,,55.04-69.96,8.26-10.49,8.69-15.94,NSW DPI,,55.04,69.96,,8.26,10.49,,8.69,15.94
Gomphocarpus fruticose,Narrow-leaved cotton bush,Cardiac glycosides,Rarely,palatabililty_low,,51.47,7.72,12.13,Simmonds et al. (2000); NSW DPI,51.47,,,7.72,,,12.13,,
Lyceum ferocissimum,African boxthorn,,Stems,palatabililty_moderate,,,9.2,11.6,Going Into Goats guide (2006),,,,9.2,,,11.6,,
Schinus areira,Peppercorn,,Occasionally,palatabililty_low,,,10.2,20.3,McGregor (2005),,,,10.2,,,20.3,,
Tamarix parviflora,Small flower tamarisk,,New growth,palatabililty_moderate,,,9,20.2,McGregor (2005); Lovich (no date),,,,9,,,20.2,,
