"Species","Family","la","ls","size","hw","life.span","cs","cim","vs","rp","seed.size","n2","n_mine","nm","om","em","am"
"Conostylis setosa","Haemodoraceae",3,2,2,"Normal","Perennial","Organs","herbaceous monocots",2,"springish",2,"No","Yes",TRUE,FALSE,FALSE,FALSE
"Corymbia calophylla","Myrtaceae",4,3,6,"Skinny","Perennial","Organs","woody dicots with trunk and bark",0,"summerish",5,"No","No",FALSE,FALSE,TRUE,TRUE
"Craspedia variabilis","Asteraceae",4,1,3,"Normal","Perennial","Organs","herbaceous dicots",1,"springish",2,"No","No",FALSE,FALSE,FALSE,TRUE
"Cyathochaeta avenacea","Cyperaceae",4,2,4,"Skinny","Perennial","Organs","herbaceous monocots",2,"springish",4,"No","Yes",TRUE,FALSE,FALSE,FALSE
"Cyathochaeta sp. 2","Cyperaceae",4,2,4,"Skinny","Perennial","Organs","herbaceous monocots",2,"springish",4,"No","Yes",TRUE,FALSE,FALSE,FALSE
"Cymbopogon obtectus","Poaceae",3,1,4,"Skinny","Perennial","Organs","herbaceous monocots",2,"springish",4,"No","No",FALSE,FALSE,FALSE,TRUE
"Dampiera alata","Goodeniaceae",3,2,3,"Skinny","Perennial","Organs","semi-woody dicots",1,"springish",3,"No","No",FALSE,FALSE,FALSE,TRUE
"Dampiera coronata","Goodeniaceae",3,2,3,"Skinny","Perennial","Organs","semi-woody dicots",1,"winterish",3,"No","No",FALSE,FALSE,FALSE,TRUE
"Dampiera linearis","Goodeniaceae",3,2,3,"Skinny","Perennial","Organs","semi-woody dicots",1,"springish",3,"No","No",FALSE,FALSE,FALSE,TRUE
"Daviesia decurrens","Fabaceae",0,0,4,"Fat","Perennial","Organs","semi-woody dicots",0,"winterish",4,"Yes","Yes",TRUE,FALSE,FALSE,FALSE
"Daviesia preissii","Fabaceae",0,0,3,"Skinny","Perennial","Organs","semi-woody dicots",0,"summerish",3,"Yes","Yes",TRUE,FALSE,FALSE,FALSE
"Dianella revoluta","Hemerocallidaceae",3,2,4,"Skinny","Perennial","Organs","herbaceous monocots",1,"springish",3,"No","No",FALSE,FALSE,FALSE,TRUE
"Dioscorea hastifolia","Dioscoreaceae",3,2,5,"Skinny","Perennial","Organs","herbaceous monocots",0,"winterish",4,"No","No",FALSE,FALSE,FALSE,TRUE
"Drosera erythrorhiza","Droseraceae",4,1,2,"Fat","Perennial","Organs","herbaceous dicots",0,"winterish",2,"No","No",TRUE,FALSE,FALSE,FALSE
"Drosera macrantha","Droseraceae",1,1,4,"Skinny","Perennial","Organs","herbaceous dicots",0,"winterish",1,"No","No",TRUE,FALSE,FALSE,FALSE
"Drosera menziesii","Droseraceae",1,1,4,"Skinny","Perennial","Organs","herbaceous dicots",0,"springish",2,"No","No",TRUE,FALSE,FALSE,FALSE
