taxon_name,text,00_XX_a,00_XX_f,01_plant_growth_substrate_a,01_plant_growth_substrate_f,02_commonness_a,02_commonness_f,03_habitat_moisture_a,03_habitat_moisture_f,04_habitat_topographic_a,04_habitat_topographic_f,05_habitat_a,05_habitat_f,06_soil_colour_a,06_soil_colour_f,07_substrate_a,07_substrate_f,08_soil_a,08_soil_f,09_soil_moisture_a,09_soil_moisture_f
Coleus leiperi, on rhyolite and granite rock outcrops and pavements in eucalyptforest Forster 1994 Queensland Herbarium 2008 ,,,,,,,,,rocky_outcrop,outcrops,forest_eucalyptus outcrop,eucalyptforest outcrops,,,granitic rhyolite,granite rhyolite,pavement,pavements,,
Coleus nitidus, in gullies and on boulders in rainforest or openforest on the marginsofrainforest Queensland Herbarium 2008 ,,,,,,,,,gullies,gullies,rainforest_margin forest_open rainforest,marginsofrainforest openforest rainforest rainforest,,,,,,,,
Coleus omissus, grows on rock outcrops in eucalypt openforest and adjacent to vineforest Queensland Herbarium 2008 T ,,,,,,,,,rocky_outcrop,outcrops,forest_open outcrop vine_thicket,openforest outcrops vineforest,,,,,,,,
Coleus torrenticola, in open heathland on rock outcrops in eucalypt openforest close to marginsofrainforest and often alongcreek lines Forster 1992 Halford 1998 ,,,,,,,,,rocky_outcrop streambanks,outcrops alongcreek,rainforest_margin forest_open heath outcrop streambanks,marginsofrainforest openforest heathland outcrops alongcreek,,,,,,,,
Angianthus phyllocalymmeus, occurs on sandy loams to clay loams Short 1983 or light clays DENR EGIS 2006 cited in Pobke 2007 Sites are sometimes gypseous Symon 2007 The species occurs on the margins of coastal saline lakes and depressions Short 1983 Jessop  Toelken 1986 and lowlying stream channels and watercourses DENREGIS 2006 cited in Pobke 2007 On Eyre Peninsula the species predominantly occurs in shrubland and grassland Davies 1995 Pobke 2007 and on Yorke Peninsula it occurs in herbland Green 1993 Associated vegetation is salttolerant Pobke 2007 ,,,,,,,,,depressions coastal watercourses,lowlying coastal depressions watercourses,streambanks grassland herbfield lakes shrubland streams,watercourses grassland herbland lakes shrubland stream watercourses,,,gypseous saline,gypseous saline,clay loam sand,clay loams sandy,,
Pneumatopteris truncata, grows in colonies on permanently moist sites in semideciduous closedforest between 50 and 140 m elevation Du Puy 1993 Holmes  Holmes 2002 There is little information on the habitat requirements of this species ,,,,,,,moist,moist,,,forest_closed,closedforest,,,,,,,,
Pomaderris clivicola, la occurs on a steep southfacing slope in red volcanic soils below outcropping rock Associated vegetation includes Eucalyptus cloeziana and Corymbia citriodora tall openforest with an open understorey of semievergreen vinethicket species such as Owenia venosa Zanthoxylum brachyacanthum Alstonia scholaris and Caesalpinia scortechinii At Walla Range this species occurs on variously facing slopes in grey soil with occasional rock It grows in openforest and on the edge of and within dry scrub Some plants occur in a cleared open grassy area Ross 1990 Queensland Herbarium 1999 pers comm ,,,,,,,dry,dry,slopes,slope,forest_open vine_thicket scrubland,openforest vinethicket scrub,grey red,grey red,volcanic,volcanic,volcanic,volcanic,,
Pomaderris pilifera subsp. talpicutica, adapted to very impoverished dry sites ,,,,,,,dry,dry,,,,,,,,,,,,
Prasophyllum atratum, sedgy heathland habitat ,,,,,,,,,,,heath,heathland,,,,,,,,
Prasophyllum goldsackii, occurs in areas of lightcoloured limestone reddishbrown soils and sands containing lime Eucalyptus woodland shrubland sedgeland and heathland ,,,,,,,,,,,heath shrubland woodland,heathland shrubland woodland,,,limestone,limestone,sand,sands,,
Prasophyllum incorrectum, occurs in relatively damp native grasslands on grey sandy loam soils dominated by Themeda triandra Kangaroo Grass and in grassywoodland with eucalypts and Banksia marginata Jones 2003 ,,,,,,,moist,damp,,,woodland_grassy grassland,grassywoodland grasslands,grey,grey,,,loam sand,loam sandy,,
Prasophyllum innubum, grows beside small streams and peatland Sphagnum hummocks in adjacent grassyflats and also extending into openwoodland at approximately 1200 m above sea level Jones 2007 ,,,,,,,,,,,grassland woodland_open streams,grassyflats openwoodland streams openwoodland,,,,,,,,
Prasophyllum keltonii, grows on a tussockgrassland plains in moistureretentive brown loam at ,,,,,,,,,plains,plains,grassland_tussock plains,tussockgrassland tussockgrassland plains,brown,brown,,,loam,loam,wet,moistureretentive moistureretentive
Prasophyllum laxum, The Cockatoo Hill population occurs under Sheoaks on an isolated hill of laterite and quartz State Herbarium of South Australia 2013 At this location the species grows under drooping sheoaks Allocasuarina verticillata in redbrown earthss above and around minor sandstone outcropping on a small isolated hill with sparse sugar gum Eucalyptus cladocalyx woodland Bates 2008 This habitat remnant is surrounded by grazed paddockss Bates 2008 The species is reported as growing in open sheoak woodland over an understorey of sedges tussocks and grasses and occurs on relatively fertile loamy soils of neutral pH and is absent from calcrete or poor calcareous soils Bates pers comm 2014 ,,,,,,,,,hills,hill,paddock woodland,paddockss woodland,,,calcareous calcrete lateritic sandstone,calcareous calcrete laterite sandstone,earths fertile loam sand,earthss fertile loamy sands,,
Prasophyllum limnetes, marshy heathsedgeland habitat n ,,,,,,,,,,,heath,heaths,,,,,,,,
Prasophyllum murfetii, on swampy sites in lowlyingareas around the margins of permanent water bodies and lakes   found on brown to black wet loam 0300 m above sea level Jones 2000 ,,,,,,,wet,swampy water wet,flats,lowlyingareas,lakes swamp,lakes swampy,black brown,black brown,,,loam,loam,,
Prasophyllum pallidum, wellgrassed openforests ,,,,,,,,,,,forest_open,openforests,,,,,,,,
Prasophyllum pruinosum, range of openwoodland habitats usually with an overstorey of Eucalyptus   recorded from a range of soil types from sandy loams to heavy clays Bates 2008 State Herbarium of South Australia 2009 ,,,,,,,,,,,woodland_open,openwoodland openwoodland,,,,,clay loam sand,clays loams sandy,,
Prasophyllum taphanyx, grows in native grassland dominated by Kangaroo Grass Themeda triandra and Spear Grasses Austrostipa spp on welldrained basaltic loams ,,,,,,,,,,,grassland,grassland,,,basaltic,basaltic,loam,loams,draining,welldrained welldrained
Prasophyllum wallum, occurs in southeast Queensland in wallum communities and adjacent stabilised dunes Jones 1991 and coastal Melaleuca swamp wetlands Joyce 2006 ,,,,,,,wet,swamp,coastal,coastal,sanddunes swamp,dunes swamp,,,,,,,,
Prostanthera calycina, usually found on limestone outcrops in mallee vegetation ,,,,,,,,,rocky_outcrop,outcrops,mallee outcrop,mallee outcrops,,,limestone,limestone,,,,
Prostanthera clotteniana, confined to the rocky rhyolite areas in the drier woodlands on steep hills ,,,,,,,dry,drier,hills,hills,rocky woodland,rocky woodlands,,,rhyolite,rhyolite,soil_rocky,rocky,,
Prostanthera nudula, associated with granite outcrops often nearwatercourses  granite inselberg ,,,,,,,,,rocky_outcrop,outcrops,streambanks outcrop plateaus,nearwatercourses outcrops inselberg,,,granitic,granite,,,,
Prostanthera schultzii, occurs on shady upper slopes and tops of quartzite mountains and ranges particularly on southerly aspects and grows in shallowsoils ,,,,,,,,,mountains slopes,mountains slopes,,,,,quartzite,quartzite,soil_shallow,shallowsoils,,
Prostanthera sp. Dunmore (D.M.Gordon 8A), grows in Eucalyptus and Callitris woodland in shallow sandy soil or Eucalyptus woodland on hard sandstone ridge tops ,,,,,,,,,ridges,ridge,woodland,woodland,,,sandstone,sandstone,sand,sands sandy,,
Prostanthera spathulata, occurs in shrubland on rocky hillslopes and in tall openforest on gentle slopes or flat coastalplainss QLD CRARFA Steering Committee 1998 ,,,,,,,,,flats hills slopes,flat hills slopes,forest_open plains_coastal shrubland rocky,openforest coastalplainss shrubland rocky,,,,,soil_rocky,rocky,,
Pterostylis bryophila, occurs in grassywoodlands dominated by South Australian Blue Gum Eucalyptus leucoxylon and Pink Gum Eucalyptpus fasciculosa It is found in moist shady mossy areas with fertile loamy soils usually with a southerly aspect Quarmby 2006 TSSC 2006b ,,,,,,,moist,moist,,,woodland_grassy,grassywoodlands,,,,,fertile loam,fertile loamy,,
Pterostylis sp. Hale (R.Bates 21725), occurs in mallee and broombush communities in sandy soils In contrast at Hale Conservation Park it occurs in an area with Callitris rhomboides overstorey and understorey dominated by heath D Bickerton 2008 pers comm ,,,,,,,,,,,heath mallee,heath mallee,,,,,sand,sandy,,
Ptychosema pusillum, inhabits low openwoodland of Slender Banksia Banksia attenuata Firewood Banksia B menziesii and Eucalyptus todtiana over scrub with Common Woollybush Adenanthos cygnorum and Yellow Buttercups Hibbertia hypericoides In the north it occurs on the upper slopes of a high sand ridge  and the other is found throughout open vegetation and firebreaks Kelly et al 1990 Brown et al 1998 Patrick  Brown 2001 ,,,,,,,,,ridges slopes,ridge slopes,woodland_open scrubland,openwoodland scrub openwoodland,,,,,sand,sand,,
Pultenaea pauciflora, found growing in white sand over laterite in association with openwoodlands of Wandoo Eucalyptus wandoo Marri Corymbia calophylla and Parrot Bush Dryandra sessilis Brown et al 1998 ,,,,,,,,,,,woodland_open woodland_wandoo,openwoodlands openwoodlands wandoo,white,white,lateritic,laterite,sand,sand,,
Rhaphidospora bonneyana, in gullies or on the tops of rockymesas Barker 1986 ,,,,,,,,,gullies,gullies,rocky,rockymesas,,,,,,,,
Leuzea australis, grows in eucalypt openforest with grassy understory on roadsides and on road reserves with Chloris gayana Cirsium vulgare Eucalyptus tereticornis and Angophora floribunda on blackclay soil BRI collection records nd ,,,,,,,,,,,forest_open roadside,openforest roadsides,,,,,clay_black,blackclay,,
Ricinocarpos brevis, shallow sandy soils on rocky bandedironstonestone outcrops The species occurs in mixed shrublands ,,,,,,,,,rocky_outcrop,outcrops,outcrop shrubland rocky,outcrops shrublands rocky,,,banded_ironstone_formations,bandedironstones,sand soil_rocky,sandy rocky,,
Ricinocarpos trichophorus, d on gypsum dunes around Lake Tay Comer et al 2002 It is found in rocky sandyclay along watercourses or in areas that collect runoff Robinson and Coates 1995 Brown et al 1998 ,,,,,,,,,watercourses,watercourses,streambanks sanddunes streams rocky,watercourses dunes watercourses rocky,,,gypseous,gypsum,clay_sandy soil_rocky,sandyclay rocky,,
Sannantha tozerensis, inhabits rock crevices and pockets of soil on windswept granite outcrops Queensland Herbarium 2008 ,,,,,,,,,rocky_outcrop,outcrops,crevices outcrop,crevices outcrops,,,granitic,granite,,,,
Scaevola macrophylla, grows in rocky loam soil with the parent soil material being laterite ,,,,,,,,,,,rocky,rocky,,,lateritic,laterite,loam soil_rocky,loam rocky,,
Sclerolaena blakei, in depressions and channels on gravelly downs BRI collection details nd ,,,,,,,,,depressions,depressions,,,,,,,gravel,gravelly,,
Sclerolaena walkeri, occurs on saline riverflats Wilson 1984  on floodplainss in Queensland Bluebush Chenopodium auricomum and Yapunyah Eucalyptus ochrophloia communities BRI collection records nd ,,,,,,,,,flats,riverflats,floodplain,floodplains,,,saline,saline,,,,
Solanum karsense, occurs mainly in lake beds or floodplainss of heavy grey clays with a highly selfmulching surface It is also found on sandy floodplainss and ridges and in calcareous soils redsands redbrown earthss and loamy soils The vegetation associated with this species includes Saltbush and Bluebush plainss and Mallee associations DECC 2005a ,,,,,,,,,plains ridges,plainss ridges,floodplain plains,floodplains plains,grey red,grey reds,calcareous,calcareous,sand_red clay earths loam sand,redsands clays earthss loamy sandy,,
Spyridium coactilifolium, is now mostly found atop rocky sea cliffs but further inland populations occur on gentle or moderate ridges on southeast and southwest facing slopes Davies 1986 This species mainly occurs on sand that is pinkishwhite grey reddishgrey or pinkishgrey when dry with pH 67 One population occurs on sandy loam of pH 85 that is brown when dry Davies 1986 ,,,,,,,dry,dry,cliff ridges slopes,cliffs ridges slopes,cliffs rocky,cliffs cliffs rocky,brown grey,brown grey,,,loam sand soil_rocky,loam sand sandy rocky,,
Spyridium lawrencei, occurs in the zone between riparian vegetation woodland or forest and pasture ,,,,,,,,,,,pasture riparian forest woodland,pasture riparian forest woodland,,,,,,,,
Stonesiella selaginoides, occurs on dolerite soils in either tall open heath in the ecotone between riparian scrub and open eucalyptforest or in open dry scrub ,,,,,,,dry,dry,,,forest_eucalyptus heath riparian scrubland,eucalyptforest heath riparian scrub,,,dolerite,dolerite,,,,
Synaphea sp. Fairbridge Farm (D.Papenfus 696), occurs on grey clayey sand with lateritic pebbles in low woodland areas near winter flats ,,,,,,,,,flats,flats,woodland,woodland,grey,grey,lateritic,lateritic,clay sand,clayey sand,,
Synaphea sp. Pinjarra (R.Davis 6578), grows in white grey clayey sand on the edges of seasonally inundated lowlying or swamp areas in dense wetland heath and shrubland of Pericalymma ellipticum Swamp Teatree Leptospermum sp and Xanthorrhoea preissii Grass Tree edged by Corymbia calophylla Marri and Allocasuarina sp Sheoak openwoodland Stack et al 2002 ,,,,,,,wet,swamp,depressions,lowlying,woodland_open heath shrubland swamp,openwoodland heath shrubland swamp openwoodland,grey white,grey white,,,clay sand,clayey sand,,
Tecticornia bulbosa, grows in saline flats on yellow brown sandyclay in low open heath with very open wattle Acacia spp and Melaleuca scrub in association with other samphire and saltbush species ,,,,,,,,,flats,flats,chenopod_shrubland heath scrubland,saltbush heath scrub,brown yellow,brown yellow,saline,saline,clay_sandy,sandyclay,,
Tephrosia flagellaris, growing on alluvial plainss in Eucalyptus woodland with Corymbia erythrophloia Erythrophleum chlorostachys and Grevillea glauca and in tall openforest of Eucalyptus and Corymbia species over dense Heteropogon contortus on redsand Queensland Herbarium 2008 ,,,,,,,,,plains,plainss,forest_open plains woodland,openforest plains woodland,red,reds,alluvial,alluvial,sand_red,redsand,,
Tetraria australiensis, occurs in grey sand over clay Keighery 1993 Brown et al 1998 Williams et al 2001 The species favours winterwet swampy depressions drainagelines or rises surrounding swamps Keighery 1993 Atkins 1998 Brown et al 1998 Williams et al 2001 It is found in openforest Atkins 1998 or Marri Corymbia calophylla woodland Keighery 1993 Brown et al 1998 Williams et al 2001 ,,,,,,,winterwet wet,winterwet swamps swampy winterwet,drainages depressions swales,drainagelines depressions rises,forest_open swamp woodland,openforest swamps swampy woodland,grey,grey,,,clay sand,clay sand,,
Tetratheca deltoidea, occurs in shallow nutrient rich grey loam at the top of a granite outcrop ,,,,,,,,,rocky_outcrop,outcrop,outcrop,outcrop,grey,grey,granitic,granite,loam,loam,,
Thomasia glabripetala, found on deep yellow sand over gravel and forms part of the openscrub layer in Wandoo Eucalyptus wandoowoodland Brown et al 1998 ,,,,,,,,,,,scrubland_open woodland_wandoo,openscrub wandoowoodland,yellow,yellow,,,gravel sand,gravel sand,,
Thomasia montana, on a range of different soil types including lateritic redclayloam to granitic redbrown clayey loam  moist sites with soil derived from granite  favour disturbed sites ,,,,,,,moist,moist,,,disturbed,disturbed,,,granitic lateritic,granite granitic lateritic,clay loam,clayey loam,,
Toechima sp. East Alligator (J.Russell-Smith 8418), deep sandstone gorge in   occurs in a monsoon rainforest patch ,,,,,,,,,,,rainforest,rainforest rainforest,,,sandstone,sandstone,sand,sands,,
Trachymene scapigera, banks of the Boyd River    restricted to flat or gently sloping ground in the riparian zone Habitat type is variable At one site the species is distributed along a Leptospermum thicket bordering the bank of a river within eucalyptwoodland At the other site individuals grow on a gravel patch situated beside the river Mackenzie 1996 streambank ,,,,,,,,,flats streambanks,flat streambank streambank,streambanks woodland_eucalypt riparian streams thickets,streambank eucalyptwoodland riparian river thicket streambank,,,,,gravel,gravel,,
Triplarina nitchaga, grows on granite outcrops near the stream in openforest dominated by Syncarpia glomulifera Eucalyptus resinifera and Leptospermum brachyandrum  grows on a rhyolite hillside and dry gully in open Eucalyptus forest ,,,,,,,dry,dry,gullies hills rocky_outcrop,gully hills hillside outcrops,forest_open outcrop streams forest,openforest outcrops stream forest,,,granitic rhyolite,granite rhyolite,,,,
Typhonium mirabile, in eucalyptwoodland in shady areas with sparse leaf litter Kerrigan et al 2007 ,,,,,,,,,,,woodland_eucalypt,eucalyptwoodland,,,,,,,,
Typhonium taylorii, found on nutrient poor sandy soils that are seasonallysaturated Associated vegetation is grassland sedgeland ,,,,,,,,,,,grassland,grassland,,,,,sand,sandy,wet_seasonal,seasonallysaturated
Dendrobium bigibbum, grows in rainforest areas on rocks boulders and clifffaces on ridges and slopes at altitudes of 300800 m above sea level Plants are often exposed to the sun and can withstand long periods of hot dry conditions Dockrill 1992 Lavarack et al 2000 Jones 2006 ,,,,,,,dry,dry,cliff ridges slopes,clifffaces ridges slopes,cliffs rainforest,clifffaces rainforest rainforest,,,,,,,,
Dendrobium bigibbum, grows on trees and rocks in coastalscrub littoral rainforest riverine vegetation monsoon thickets swamps and gullies in openforests at altitudes of up to 400 m above sea level Jones 2006 It also grows in vegetation near beaches in areas with a hot climate and extremely seasonal rainfall Dockrill 1992 Lavarack et al 2000 ,,,,,,,wet,swamps,coastal gullies,coastals gullies,scrubland_coastal forest_open rainforest littoral swamp thickets beach,coastalscrub openforests rainforest littoral rainforest swamps thickets beaches,,,,,,,,
Goodenia perfoliata, grows in heath on shallow sandy soil over Sandstone Carolin 1992 ,,,,,,,,,,,heath,heath,,,,,sand,sandy,,
Veronica ciliolata, low open alpine shrubland grows on skeletal soils in rock crevices and between boulders where no soil exists ,,,,,,,,,,,alpine crevices shrubland,alpine crevices shrubland,,,,,skeletal,skeletal,,
Veronica derwentiana subsp. homalodonta, commonly found in moist gullies and nearcreeklines where it typically occurs in the gap between the waterline and the tree canopy or where rocky outcrops create a high level of light ,,,,,,,moist,moist,gullies rocky_outcrop,gullies outcrops,outcrop rocky,outcrops rocky,,,,,soil_rocky,rocky,,
Verticordia albida, grows in whitegrey to yellow sand over gravel or laterite in scrub or thicket up to 3 m high ,,,,,,,,,,,scrubland thickets,scrub thicket,yellow,yellow,lateritic,laterite,gravel sand,gravel sand,,
Verticordia apecta, grows in sandyclay with loam and broken granite on an upper westfacing slope in Eucalyptus wandoo Wandoo low openwoodland and low open shrubland George and George 1994 ,,,,,,,,,slopes,slope,woodland_open shrubland woodland_wandoo,openwoodland shrubland openwoodland wandoo,,,granitic,granite,clay_sandy loam,sandyclay loam,,
Verticordia carinata, found in open low woodlands of Marri Corymbia calophylla Jarrah Eucalyptus marginata and Bull Banksia Banksia grandis in pinkish grey sandy soils Robinson  Coates 1995 Brown et al 1998 DEC 2008 ,,,,,,,,,,,woodland,woodlands,grey,grey,,,sand,sandy,,
Verticordia densiflora var. pedunculata, grows on light yellow or grey sands in lowlying winterwet areas DEC 2007 ,,,,,,,winterwet,winterwet winterwet,depressions,lowlying,,,grey yellow,grey yellow,,,sand,sands,,
Verticordia fimbrilepis subsp. australis, grows in low heath in brown sandy loam around outcropping granite Brown et al 1998 ,,,,,,,,,,,heath,heath,brown,brown,granitic,granite,loam sand,loam sandy,,
Verticordia plumosa var. vassensis, grows on a variety of sands and swampy clay soils in mostly winterwetflats and depressions It grows with sedges and rushes or in low heath and is often found on degraded grassyweed infested road verges Brown et al 1998 Williams et al 2001 ,,,,,,,wet,swampy,flats inundated_intermittent depressions,winterwetflats depressions,heath swamp,heath swampy,,,,,clay sand,clay sands,,
Verticordia staminosa subsp. staminosa, on a granite outcrop ,,,,,,,,,rocky_outcrop,outcrop,outcrop,outcrop,,,granitic,granite,,,,
Westringia parvifolia, This species grows with Eucalyptus bakeri and E viridis and between clumps of Spinifex Triodia sp on sandy and stonysoils BRI collection details nd White  Francis 1921 grasslandtussock mallee ,,,,,,,,,,,mallee,mallee,,,,,soil_rocky sand stony,stonysoils sandy stonys,,
Westringia rupicola, grows in crevices in sheer rhyolite cliffs ,,,,,,,,,cliff,cliffs,crevices cliffs,crevices cliffs cliffs,,,rhyolite,rhyolite,,,,
Xerothamnella herbacea, communities in shaded situations often in leaf litter and is associated with gilgais shallowgrounddepressions Soils are heavy grey to darkbrown clays Queensland Herbarium 2008 ,,,,,,,,,,,gilgais,shallowgrounddepressions gilgais,brown_dark grey,darkbrown grey,,,clay,clays,,
Xerothamnella parvifolia, often associated with skeletal clay soils in minimally vegetated areas associated with mesas It has been recorded within mulga woodland as well as Acacia cambagei woodland with a Senna understory in Queensland and NSW ,,,,,,,,,,,plateaus woodland woodland_acacia,mesas woodland mulga,,,,,clay skeletal,clay skeletal,,
Coopernookia georgei, s found growing among thick scrub in shallow siliceous soils over quartzite in stony or rocky gullies ,,,,,,,,,gullies,gullies,scrubland rocky,scrub rocky,,,quartzite siliceous,quartzite siliceous,soil_rocky stony,rocky stony,,
Coopernookia scabridiuscula, on east to southeast facing cliffs and slopes in eucalyptforest and woodland at 700 to 900 m ,,,,,,,,,cliff slopes,cliffs slopes,forest_eucalyptus cliffs woodland,eucalyptforest cliffs cliffs woodland,,,,,,,,
Corchorus cunninghamii, found in a mosaic of wetsclerophyll and subtropicalrainforest as well as grassy openforest This species is generally located at low to mid elevations 110430 m on upper hillslopes or hillcrests that have a southeasterly or easterly aspect  specific geology or soil type associated with the species as it occurs on both metamorphic and igneous substrates and on loam or clay soils Halford 1995 In general the soils are shallow stony and welldrained and common canopy species occurring alongside this species include Grey Gum Eucalyptus propinqua Brush Box Lophostemon confertus and Grey Ironbark Eucalyptus siderophloia Saunders 2001 ,,,,,common,common,wet,wets,hills,hills,forest_open wet_sclerophyll rainforest_subtropical,openforest wetsclerophyll subtropicalrainforest,,,igneous metamorphic,igneous metamorphic,clay loam stony,clay loam stony,draining,welldrained welldrained
Corybas sulcatus, grows in wet grassy seepage areas Clements and Jones 2007 beside drainagelines in the Green Gorge North basin ,,,,,,,wet,seepage wet,drainages seepages,drainagelines seepage,,,,,,,,,,
Corymbia clandestina, grows on hillsides as a minor component of woodlanddominatedbyEucalyptus crebra Narrowleaved ironbark Bean 1994 Soils have been recorded as skeletal brown clayloam over micaschist or red gravelly and silty Queensland Herbarium 2008 ,,,,,,,,,hills,hills hillsides,woodland_eucalypt,woodlanddominatedbyEucalyptus,brown red,brown red,schist_mica,micaschist micas,loam_clayey gravel silt skeletal,clayloam gravelly silty skeletal,,
Corymbia rhodops, grows in drysclerophyllforest with numerous other eucalypt species  prefers ridges or hill slopes with coarse sandy soils Queensland Herbarium 2008 ,,,,,,,dry,drys,hills ridges slopes,hill ridges slopes,forest_dry_sclerophyll,drysclerophyllforest,,,,,sand,sandy,,
Corymbia xanthope, occurs in woodlands with Eucalyptus fibrosa on ridges or hill slopes on serpentinite geology with sandy soils Queensland Herbarium 2008 ,,,,,,,,,hills ridges slopes,hill ridges slopes,woodland,woodlands,,,,,sand,sandy,,
Craspedia preminghana, occurs on steep basalt cliffs with coastal vegetation ,,,,,,,,,cliff coastal,cliffs coastal,cliffs,cliffs cliffs,,,basaltic,basalt,,,,
Ctenopterella blechnoides, occurs in mesophyll closedforest ,,,,,,,,,,,forest_closed,closedforest,,,,,,,,
Cycas cairnsiana, grows on shallow to skeletal gritty soils over siliceous granites Hill 1992 1996 1998 among large boulders of pegmatite or granite It occurs in exposed situations among grass and sparse low shrubs in low open eucalyptwoodlands BRI undated Jones 1993 Hill 1998 ,,,,,,,,,,,woodland_eucalypt shrubland,eucalyptwoodlands shrubs,,,granitic siliceous,granites siliceous,skeletal,skeletal,,
Cyperus cephalotes, occurs on floatingislands inrivers with the roots entangled in a mass of decaying vegetation ,,,,,,,,,,,floating_vegetation stream,floatingislands inrivers,,,,,,,,
Darwinia acerosa, grows on and around granite outcrops in orange sandyclay and gravel in open Eucalyptus calophylla and Allocasuarina woodland Xanthorrhoea Grevillea Melaleuca Calothamnus Gastrolobium Hakea Dryandra and Calytrix species dominate the associated scrub and heath Kelly et al 1990 ,,,,,,,,,rocky_outcrop,outcrops,heath outcrop scrubland woodland,heath outcrops scrub woodland,orange,orange,granitic,granite,clay_sandy gravel,sandyclay gravel,,
Darwinia chapmaniana, grows around saltlakes in woodland or shrubland dominated by Mallee Brown et al 1998 Soils are redclayey loam redsand over broken rock or yellow soil in low flat areas of sandstone and limestone Associated species include Eucalyptus gracilis other mallee species Eucalyptus spp Acacia uncinata Acacia spp Melaleuca uncinata and Melaleuca spp Paczkowska 1995 Patrick  Brown 2001 ,,,,,,,,,flats,flat,lakes_salt mallee shrubland woodland,saltlakes mallee shrubland woodland,red yellow,reds yellow,limestone sandstone,limestone sandstone,sand_red loam sand,redsand loam sands,,
Darwinia masonii, grows in yellowbrown clay loams and is most common on the southwestern sides of the ridges ,,,,,common,common,,,ridges,ridges,,,,,,,clay loam,clay loams,,
Darwinia nubigena, occurs in dense heath on shallow peaty brown loamysand over schist Robinson  Coates 1995 Brown et al 1998 ,,,,,,,,,,,heath,heath,brown,brown,schist,schist,sand_loamy loam peat,loamysand loamys peaty,,
Darwinia polychroma, occurs in open low scrub or shrubland with Melaleuca sp Acacia ligulata mallee Eucalyptus sp and Exocarpos sp on yellow loamysand over laterite Brown et al 1998 Patrick  Brown 2001 ,,,,,,,,,,,mallee scrubland shrubland,mallee scrub shrubland,yellow,yellow,lateritic,laterite,sand_loamy loam,loamysand loamys,,
Darwinia squarrosa, confined to high wet peaks from where it extends into wetter valleys Keighery 1985 It grows in peaty soil among schist rocks on mountain slopes Rye  Hopper 1981 Hopper et al 1990 Robinson  Coates 1995 The associated vegetation is dense scrub ,,,,,,,wet,wet,mountains slopes valley,mountain slopes valleys,scrubland,scrub,,,schist,schist,peat,peaty,,
Dasymalla axillaris, grows in sandy soils Western Australian Herbarium 2006 ,,,,,,,,,,,,,,,,,sand,sandy,,
Daviesia dielsii, a grows on flat or elevated areas on a variety of sandygravelly loam soils It occurs in tall heath over low scrub or in heath with open shrub mallee ,,,,,,,,,flats,flat,heath mallee scrubland,heath mallee scrub,,,,,loam,loam,,
Daviesia discolor, occurs on sandy soil derived from sandstone and on lateritic clay at altitudes of 600 to 900 m in open eucalyptforest   grows in very tall openforests of Bloodwood Corymbia trachyphloia and White Mahogany Eucalyptus acmenoides on hillcrests and slopes at 500 to 580 m altitude on welldrained shallow sandy loam ,,,,,,,,,slopes,slopes,forest_eucalyptus forest_open,eucalyptforest openforests,,,lateritic sandstone,lateritic sandstone,clay loam sand,clay loam sands sandy,draining,welldrained welldrained
Daviesia elongata subsp. elongata, known only from creeks running through rainforestmargins    in narrow shallow and heavily shaded coastal streams Hellquist  Jacobs 1998 ,,,,,,,,,coastal,coastal,rainforest_margin streams,rainforestmargins creeks streams,,,,,,,,
Daviesia obovata, grows in stony loam and occurs on hill slopes and outcrops WA Herbarium 2005 Associated species include Jarrah Eucalyptus marginata and Spearwood Mallee E doratoxylon over heath of Beaufortia anisandra and Isopogon species WA Herbarium 2005 ,,,,,,,,,hills rocky_outcrop slopes,hill outcrops slopes,heath outcrop,heath outcrops,,,,,loam stony,loam stony,,
Dendrobium antennatum, inriverine areas in lowland gorges Dockrill 1969 Lavarack  Gray 1985 It grows on high branches of rainforest trees and wattles in open humid situations alongstreambank ,,,,,,,,,gorges,gorges,rainforest,rainforest rainforest,,,,,,,,
Dendrobium bigibbum, grows on trees and rocks with moderate light intensity in a range of habitats including coastalscrub streambank vegetation monsoon thickets and ,,,,,,,,,coastal streambanks,coastals streambank streambank,scrubland_coastal streambanks thickets,coastalscrub streambank thickets streambank,,,,,,,,
Dendrobium johannis, grows in open humid habitats on slopes in openwoodland close to swamps and in pockets of monsoonforests Jones 2006 It has been recorded growing on Broadleaved Teatree Melaleuca viridiflora in a melaleuca woodland ,,,,,,,wet,swamps,slopes,slopes,forest_monsoon woodland_open swamp woodland,monsoonforests openwoodland monsoonforests swamps openwoodland woodland,,,,,,,,
Dodonaea rupicola, low hill crests and moderately to steeply inclined slopes between 40 to 160 m above sea level in open shrubland to tall woodlands Halford 1998 ,,,,,,,,,hills slopes,hill slopes,shrubland woodland,shrubland woodlands,,,,,,,,
Drakaea concolor, grows in sandy soil over sandstone in clearings among thick scrub or low dense heath ,,,,,,,,,,,heath scrubland,heath scrub,,,sandstone,sandstone,sand,sands sandy,,
Drummondita longifolia, found on granite hillsides in shallow crevices in brown loam soil It occurs among open shrubs and heath ,,,,,,,,,hills,hills hillsides,crevices heath shrubland,crevices heath shrubs,brown,brown,granitic,granite,loam,loam,,
Eleocharis retroflexa, grows in shallowwater on the margins of seasonal swamps BRI collection records nd ,,,,,,,wet,swamps,,,water_shallow swamp,shallowwater swamps,,,,,,,,
