s/no,soil.age,species,nfixtype,pNP.umol/g(fresh)/h,pNP.umol/g(dry)/h,leaf.d15N[‰],leaf.N.mg.g,leaf.P.mg.g,leaf.N:P,cooccuring.ref.sp.used,cooccuring.ref.avg.15N,ndfa.net.B=-1.4,ndfa.aft.redesig
325,SW,Melaleuca systena,non,4.675848904,16.255375,,,0.439588328,,,,,
327,SW,Melaleuca systena,non,2.934594606,7.689579449,,,0.458327334,,,,,
KP18,BL,Allocasuarina humilis,actino,,,,,0.246627157,,,,,
KP62,BL,Allocasuarina humilis,actino,,,,,0.173321732,,,,,
KP63,BL,Allocasuarina humilis,actino,,,,,0.205172834,,,,,
KP64,BL,Allocasuarina humilis,actino,,,,,0.239319105,,,,,
KP22,BL,Astroloma xerophyllum,non,,,,,0.254620149,,,,,
KP24,BL,Astroloma xerophyllum,non,,,,,0.490841524,,,,,
KP26,BL,Astroloma xerophyllum,non,,,,,0.297025186,,,,,
KP27,BL,Astroloma xerophyllum,non,,,,,0.261931313,,,,,
KP30,BL,Astroloma xerophyllum,non,,,,,0.367665847,,,,,
KP56,BL,Jacksonia hakeoides,legume,,,,,0.418544241,,,,,
KP71,BL,Melaleuca leuropoma,non,,,,,0.220544204,,,,,
KP196,QM,Allocasuarina lehmanniana,actino,,,,,0.655851864,,,,,
KP99,SW,Acacia spathulifolia,legume,,,,,0.325617027,,,,,
