taxon_name,original_text,text,commonness_a,commonness_f,habitat_a,habitat_f,habitat_moisture_a,habitat_moisture_f,habitat_topographic_a,habitat_topographic_f,plant_growth_substrate_a,plant_growth_substrate_f,soil_a,soil_f,substrate_a,substrate_f
Banksia canei,"EGU, GipP, HNF, HSF, MonT, NIS, SnM, VAlp. Also NSW. Naturalised in WA. Scattered sporadically through higher parts (mostly 1000–1500 m) of eastern Victoria and sometimes locally plentiful. Found mostly on dry, rocky ridges, in open-forest or subalpine mallee scrubs.", naturalised in scattered sporadically through higher parts mostly 1000ï¿½1500 m of eastern victoria and sometimes locally plentiful found mostly on dry rocky ridges in openforest or subalpine malleescrubs ,scattered,scattered,shrubland_mallee forest_open mallee subalpine,malleescrubs openforest mallees subalpine,dry,dry,ridges,ridges,,,rocky,rocky,,
Banksia croajingolensis,"EGL. Known from a single population near Mallacoota, occurs in a drainage line in coastal heath.", known from a single population near mallacoota occurs in a drainage line in coastal heath ,,,heath,heath,,,,,,,,,,
Banksia ericifolia,"*GipP, *OtP, *VRiv.",  ,,,,,,,,,,,,,,
Banksia ericifolia subsp. ericifolia,"*GipP, *OtP. Native to the east coast of New South Wales. Widely grown and occasionally escaping cultivation in Victoria, usually in sandy soils (e.g. Anglesea area, Inverloch).", native to the east coast of new south wales widely grown and occasionally escaping cultivation in victoria usually in sandy soils eg anglesea area inverloch ,,,,,,,,,,,sand,sandy,,
Banksia integrifolia,"EGL, EGU, GipP, HSF, OtP, Strz, VVP, WaP, WPro.",  ,,,,,,,,,,,,,,
Banksia integrifolia subsp. integrifolia,"EGL, EGU, GipP, HSF, OtP, Strz, VVP, WaP, WPro. Apparently restricted in Victoria to near-coastal areas east of Port Phillip Bay.", apparently restricted in victoria to nearcoastal areas east of port phillip bay ,,,,,,,,,,,,,,
Banksia marginata,"Brid, CVU, DunT, EGL, EGU, GipP, Glep, Gold, GGr, HFE, HNF, HSF, LoM, MonT, MuM, NIS, OtP, OtR, SnM, Strz, VAlp, VRiv, VVP, WaP, WPro, Wim. Also SA, NSW, ACT, Tas. Except for the far north-west, widespread and often locally common throughout Victoria in a wide range of habitats.", except for the far northwest widespread and often locallycommon throughout victoria in a widerangeofhabitats ,common_locally widespread,locallycommon widespread,various,widerangeofhabitats,,,,,,,,,,
Banksia ornata,"DunT, Glep, GGr, LoM, MuM, VRiv, Wim. Also SA. In Victoria confined to far west between Murrayville and the Grampians with outlying populations near Casterton. Usually grows in deep sand in heathland or mallee scrub and often locally common.", in victoria confined to far west between murrayville and the grampians with outlying populations near casterton usually grows in deep sand in heathland or malleescrub and often locallycommon ,common_locally,locallycommon,shrubland_mallee heath mallee,malleescrub heathland mallees,,,,,,,sand,sand,,
Banksia saxicola,"Apparently restricted to higher peaks and sheltered gullies and slopes in the Grampians and on Wilsons Promontory (e.g. Sealers Cove), usually in rocky sites.", apparently restricted to higher peaks and shelteredgullies and slopes in the grampians and on wilsons promontory eg sealers cove usually in rockysites ,,,,,,,gullies_sheltered rocky slopes,shelteredgullies rockysites slopes,,,rocky,rockysites rockys,,
Banksia serrata,"EGL, EGU, GipP, Strz, WPro. Also Qld, NSW, Tas. In Victoria confined to coastal and hinterland areas east of Waratah Bay. Often locally common on sandy soils in open-forests.", in victoria confined to coastal and hinterland areas east of waratah bay often locallycommon on sandy soils in openforests ,common_locally,locallycommon,forest_open,openforests,,,,,,,sand,sandy,,
Banksia spinulosa,"EGL, EGU, GipP, HNF, HSF, Strz, WPro, *CVU.",  ,,,,,,,,,,,,,,
Banksia spinulosa var. cunninghamii,"EGL, EGU, GipP, HNF, HSF, Strz, WPro, *CVU. Also Qld, NSW. Apart from isolated western occurrences at Mt Clay near Portland and Point Lonsdale, apparently confined to foothill open-forests and heathy woodlands of eastern Victoria on and south of the Great Dividing Range, but often locally common.", apart from isolated western occurrences at mt clay near portland and point lonsdale apparently confined to foothill openforests and heathy woodlands of eastern victoria on and south of the great dividing range but often locallycommon ,common_locally,locallycommon,forest_open woodland,openforests woodlands woodlands,,,,,,,clay,clay,,
Barbarea grayi,"HNF, HSF, NIS, SnM, VAlp, VRiv. Also NSW, ACT. Grows in damp areas near high-altitude streams (e.g. Conglomerate Ck, Caledonia R., Mt Buller, Buchan R., Nunniong Plateau, Bogong High Plains), generally rare, but sometimes locally abundant following fire or local disturbance.", grows in damp areas near highaltitude streams eg conglomerate ck caledonia r mt buller buchan r nunniong plateaus bogong high plains generally rare but sometimes locallyabundant following fire or local disturbance ,abundant_locally rare,locallyabundant rare,plains,plains,damp wet,damp damp,plateaus,plateaus,,,,,conglomerate,conglomerate
Barbarea intermedia,"*GipP, *Strz, *VVP. Also naturalised Tas. Native to Europe, Africa. Established along creeks in the La Trobe River catchment south of Morwell.", also naturalised native to europe africa established alongcreeks in the la trobe river catchment south of morwell ,,,streambanks,alongcreeks,,,streambanks,alongcreeks,,,,,,
Barbarea verna,"*CVU, *GipP, *HSF, *NIS, *Strz, *VAlp, *VVP. Also naturalised SA, NSW, ACT, Tas. Native to Europe. Uncommon weed, grown as a salad vegetable and sometimes escaping from cultivation, but also naturalised away from gardens, including in native vegetation.", also naturalised native to europe uncommon weed grown as a salad vegetable and sometimes escaping from cultivation but also naturalised away from gardens including in native vegetation ,uncommon,uncommon,urban,gardens gardens,,,,,,,,,,
Bassia hyssopifolia,*MuM. Native of eastern Europe and much of Asia. A weed of drainage areas in the Mildura-Red Cliffs area., native of eastern europe and much of asia a weed of drainage areas in the mildurared cliffs area ,,,cliffs,cliffs,,,cliff,cliffs,,,,,,
Bauera rubioides,"Brid, CVU, EGL, EGU, GipP, Glep, GGr, HFE, HNF, HSF, OtP, OtR, Strz, VAlp, VRiv, VVP, WaP, WPro. Also SA, Qld, NSW, Tas. Scattered but locally common in damp heathland and heathy forests in the southern half of the State, mostly in lowlands, but ascending to c. 1000 m at e.g. Mt Kaye and near Mt Skene (between Licola and Jamieson). Rare in the Grampians (Mt William area). A 1997 collection from Mt Buffalo confirms its presence there.", scattered but locallycommon in damp heathland and heathy forests in the southern half of the state mostly in lowlands but ascending to c 1000 m at eg mt kaye and near mt skene between licola and jamieson rare in the grampians mt william area a 1997 collection from mt buffalo confirms its presence there ,common_locally rare scattered,locallycommon rare scattered,heath forest,heathland forests,damp wet,damp damp,,,,,,,,
Bauera sessiliflora,"DunT, GGr, VVP. Endemic to the Grampians where moderately common in damp depressions, beside streams and in rocky gullyheads, occurring throughout all but the southern part of the range.", endemic to the grampians where moderately common in damp depressions beside streams and in rocky gullyheads occurring throughout all but the southern part of the range ,common,common,,,damp wet,damp damp,gully_heads depressions,gullyheads depressions,,,rocky,rocky,,
Bedfordia arborescens,"CVU, EGL, EGU, GipP, HFE, HNF, HSF, MonT, MuF, NIS, OtP, OtR, SnM, Strz, VAlp, VRiv, VVP, WaP, WPro. Also NSW, ACT. A common component of wet sclerophyll forests, particularly in fern gullies and on rainforest margins.", a common component of wetsclerophyllforests particularly in fern gullies and on rainforest margins ,common,common,forest_wet_sclerophyll rainforest,wetsclerophyllforests rainforest,wet,wets,gullies,gullies,,,,,,
Bellardia latifolia,"*CVU, *DunT, *EGL, *EGU, *GipP, *Glep, *Gold, *GGr, *HNF, *HSF, *LoM, *MuF, *MuM, *NIS, *OtP, *OtR, *Strz, *VAlp, *VRiv, *VVP, *WaP, *Wim. Also naturalised WA, SA, NSW, ACT, Tas., New Zealand. Native to Mediterranean region. Widespread weed of pasture and sometimes native bushland, usually in seasonally moist sites.", also naturalised  new zealand native to mediterranean region widespread weed of pasture and sometimes native bushland usually in seasonally moist sites ,widespread,widespread,pasture,pasture,wet,moist,,,,,,,,
Bellardia trixago,"*CVU, *GipP, *Gold, *GGr, *NIS, *OtP, *VRiv, *VVP, *WPro. Also naturalised WA, SA, NSW. Native to the Mediterranean region. Rather uncommon weed, usually on winter-wet sandy soils or in irrigated cropland.", also naturalised native to the mediterranean region rather uncommon weed usually on winterwet sandy soils or in irrigated cropland ,uncommon,uncommon,,,,,,,,,sand,sandy,,
Bellardia viscosa,"*Brid, *CVU, *DunT, *EGL, *EGU, *GipP, *Glep, *Gold, *GGr, *HNF, *HSF, *OtP, *OtR, *Strz, *VAlp, *VRiv, *VVP, *WaP, *WPro, *Wim. Also naturalised WA, SA, NSW, Tas., New Zealand. Native to Mediterranean region. Locally common weed of cooler, well-watered areas in southern and western Victoria.", also naturalised  new zealand native to mediterranean region locallycommon weed of cooler wellwatered areas in southern and western victoria ,common_locally,locallycommon,,,,,,,,,,,,
Bellis perennis,"*CVU, *DunT, *GipP, *Glep, *Gold, *HSF, *OtP, *OtR, *Strz, *VAlp, *VVP, *WaP, *WPro. Also naturalised SA, NSW, Tas. Native to southern, western and central Europe. Occasional in cooler districts of the State, usually as a roadside or pasture weed, or a common component of well-watered lawns.", also naturalised native to southern western and central europe occasional in cooler districts of the state usually as a roadsides or pasture weed or a common component of wellwatered lawnss ,common,common,pasture roadside urban,pasture roadsides lawnss,,,,,,,,,,
Berberis aquifolium,"*HNF. Native to North America, grown as an ornamental, persisting in old gardens.", native to north america grown as an ornamental persisting in old gardens ,,,urban,gardens gardens,,,,,,,,,,
Berberis darwinii,"*GipP, *HNF, *HSF. Native in southern South America. Escaped from cultivation (from bird-dispersed seed) in the Dandenong Ranges (e.g. Mt Dandenong, Sherbrooke Forest) and the Mornington Peninsula.", native in southern south america escaped from cultivation from birddispersed seed in the dandenong ranges eg mt dandenong sherbrooke forest and the mornington peninsula ,,,forest,forest,,,,,,,,,,
Bergia ammannioides,"MuM, MSB, RobP, VRiv. All mainland States. Also Africa, Asia. Rare in Victoria, apparently now confined to the far north-west (Hattah Lakes and Mildura areas), collected from Lake Hindmarsh and near Dimboola late last century. Usually occurs on recently inundated sandy soil beside lakes, rivers and billabongs.", all mainland states also africa asia rare in victoria apparently now confined to the far northwest hattah lakes and mildura areas collected from lake hindmarsh and near dimboola late last century usually occurs on recently inundated sandy soil beside lakes rivers and billabongs ,rare,rare,lakes,lakes,,,,,,,sand,sandy,,
Bergia trimera,"MuF, MSB, RobP, VRiv. All mainland States. Also India, Sri Lanka. Rare in Victoria, confined to floodplains of the Murray River in the far northwest (Red Cliffs, Lake Wallawalla), and areas prone to inundation near Kerang. Rarely observed in the absence of recent floods. First collected in Victoria in 1982.", all mainland states also india sri lanka rare in victoria confined to floodplains of the murray river in the far northwest red cliffs lake wallawalla and areas prone to inundation near kerang rarely observed in the absence of recent floods first collected in victoria in 1982 ,rare,rare,floodplain cliffs,floodplains cliffs,,,cliff,cliffs,,,,,,
Berkheya rigida,"*CVU, *GipP, *OtP, *OtR, *VVP, *WaP, *Wim. Also naturalised WA, SA, Tas. Native to Africa. Uncommon, but locally abundant on fertile loams, volcanic clays and in coastal areas west of Melbourne.", also naturalised native to africa uncommon but locallyabundant on fertile loams volcanic clays and in coastal areas west of melbourne ,abundant_locally uncommon,locallyabundant uncommon,,,,,,,,,clay fertile loam volcanic,clays fertile loams volcanic,volcanic,volcanic
Bertya cunninghamii,"EGU, HSF, MuM.",  ,,,,,,,,,,,,,,
Bertya cunninghamii subsp. pubiramula,"EGU, HSF. Also NSW. In Victoria rare and apparently confined to catchments of the Mitchell, Snowy and Wellington Rivers, usually among rocks in riparian scrub or on bluffs overlooking rivers. A record from near Underbool in the north-west requires confirmation given its disjunction and difference in environment to confirmed parts of its range.", in victoria rare and apparently confined to catchments of the mitchell snowy and wellington rivers usually among rocks in riparian scrub or on bluffs overlooking rivers a record from near underbool in the northwest requires confirmation givenï¿½its disjunction and difference in environment to confirmed parts of its range ,rare,rare,riparian scrub,riparian scrub,,,,,,,,,,
Bertya findlayi,"HNF. Also NSW. Rare in Victoria, known only from moist forest and streamsides in the Corryong area.", rare in victoria known only from moist forest and streamsides in the corryong area ,rare,rare,forest,forest,wet,moist,,,,,,,,
Bertya grampiana,"GGr. Bertya grampiana is confined to the Billywing area of the western Grampians, where it grows in riparian areas.", bertya grampiana is confined to the billywing area of the western grampians where it grows in riparian areas ,,,riparian,riparian,,,,,,,,,,
Bertya tasmanica,"HNF, LoM, MuM.",  ,,,,,,,,,,,,,,
Bertya tasmanica subsp. vestita,"HNF, LoM, MuM. Apart from isolated eastern records from rocky streamside habitats in the Omeo and Mt Buller areas, confined to the north-west of Victoria where locally common in sandy mallee and mallee-heath communities.", apart from isolated eastern records from rocky streamside habitats in the omeo and mt buller areas confined to the northwest of victoria where locallycommon in sandy mallee and malleeheath communities ,common_locally,locallycommon,mallee_heath mallee,malleeheath mallee,,,,,,,rocky sand,rocky sandy,,
Berula erecta,"HSF, *EGL, *EGU, *GipP, *VVP, *WaP, *WPro. Also naturalised WA, SA, Qld, NSW, Tas. Native from Europe to central Asia, and North America. Occurring in lowland, often near-coastal, swamps and streams in southern Victoria. Flowering Dec.-Mar.", also naturalised native from europe to central asia and north america occurring in lowland often nearcoastal swamps and streams in southern victoria flowering decmar ,,,swamp,swamps swamps,wet,swamps,,,,,,,,
Beta vulgaris,"*GipP, *OtP, *VVP.",  ,,,,,,,,,,,,,,
Beta vulgaris subsp. maritima,"*GipP, *OtP, *VVP. Also naturalised SA, NSW, Tas. Occasional in near-coastal saltmarsh communities and against brackish streams and lakes on heavy soils further inland, rarely far from settlement (e.g. Altona, Beeac areas).", also naturalised occasional in nearcoastal saltmarsh communities and against brackish streams and lakes on heavy soils further inland rarely far from settlement eg altona beeac areas ,,,lakes saltmarshes,lakes saltmarsh,,,,,,,,,marsh_salt,saltmarsh
Beta vulgaris subsp. vulgaris,*OtP. Occasionally found along riverbanks near settlements., occasionally found along riverbanks near settlements ,,,,,,,,,,,,,,
Betula aff. pubescens (Mt Macedon),Escaping cultivation in the Macedon region., escaping cultivation in the macedon region ,,,,,,,,,,,,,,
Betula pendula,"*VAlp. Also naturalised SA, ACT, Tas. Native to north-west China, Kazakhstan, Mongolia and Russia.", also naturalised native to northwest china kazakhstan mongolia and russia ,,,,,,,,,,,,,,
Beyeria lanceolata,"EGL, EGU, GipP, HSF, MonT. Also NSW. Apart from an isolated occurrence in the Dandenong Ranges, confined in Victoria to East Gippsland where usually found in gullies, often in rocky situations.", apart from an isolated occurrence in the dandenong ranges confined in victoria to east gippsland where usually found in gullies often in rocky situations ,,,,,,,gullies,gullies,,,rocky,rocky,,
Beyeria lasiocarpa,"EGL, EGU, GipP, HFE, HNF. Also Qld, NSW. In Victoria confined to East Gippsland where localised but sometimes locally common on sheltered slopes or near streams, usually in rocky situations.", in victoria confined to east gippsland where localised but sometimes locallycommon on sheltered slopes or near streams usually in rocky situations ,common_locally,locallycommon,,,,,slopes,slopes,,,rocky,rocky,,
Beyeria lechenaultii,"Brid, CVU, EGU, GipP, Glep, GGr, HNF, HSF, LoM, MuF, MuM, NIS, OtP, RobP, VVP, WaP, Wim. (Bass Strait islands). In Victoria mostly in the north-west, in mallee communities, but also along the coast and, rarely, in ranges and gorges.", bass strait islands in victoria mostly in the northwest in mallee communities but also along the coast and rarelyinranges and gorges ,,,mallee,mallee,,,,,,,,,,
Beyeria opaca,"LoM, MuF, MuM, RobP. Also SA, NSW. In Victoria confined to the far north-west where found mostly in dune mallee communities.", in victoria confined to the far northwest where found mostly in dune mallee communities ,,,mallee sandunes,mallee dune,,,,,,,,,,
Beyeria viscosa,"Also WA, NT, Qld, NSW. Known in Victoria from a single 1903 collection from Sorrento on the Mornington Peninsula, habitat unknown.", known in victoria from a single 1903 collection from sorrento on the mornington peninsula habitat unknown ,,,,,,,,,,,,,,
Bidens pilosa,"*GipP, *HSF, *MuM, *VVP. Native to Mexico, the Caribbean and Central America, widely naturalised in Europe, and throughout tropical and subtropical regions worldwide. A localized weed, mostly from wasteland in urban areas.", native to mexico the caribbean and central america widely naturalised in europe and throughout tropical and subtropical regions worldwide a localized weed mostly from wasteland in urban areas ,,,,,,,,,,,,,,
Bidens pilosa var. minor,"*GipP. Naturalised in all mainland States and NT. In Victoria. A localized weed, known from urban areas at Elster Creek at Elsternwick, and Ornamental Lake in Royal Botanic Gardens in Melbourne.", naturalised in all mainland states and in victoria a localized weed known from urban areas at elster creek at elsternwick and ornamental lake in royal botanic gardens in melbourne ,,,urban,gardens gardens,,,,,,,,,,
Bidens pilosa var. pilosa,"In Australia naturalised in all mainland States and Territories. In Victoria, known from several degraded urban sites in Melbourne (Balwyn, Flemington, Strathmore), and Hattah in northwest Victoria, and Sale in eastern Victoria.", in australia naturalised in all mainland states and territories in victoria known from several degraded urban sites in melbourne balwyn flemington strathmore and hattah in northwest victoria and sale in eastern victoria ,,,,,,,,,,,,,,
Bidens tripartita,"*EGL, *EGU, *GipP, *HNF, *HSF, *VRiv. Also naturalised NSW. Native to Europe. Naturalised in New Zealand. Uncommon in Victoria, but recorded from a few lowland riparian and swampy habitats in eastern Victoria.", also naturalised native to europe naturalised in new zealand uncommon in victoria but recorded from a few lowland riparian and swampy habitats in eastern victoria ,uncommon,uncommon,riparian swamp,riparian swampy,wet,swampy,,,,,,,,
Bifora testiculata,"*GipP, *Wim. Also naturalised NT, SA. Native to the Mediterranean region.", also naturalised native to the mediterranean region ,,,,,,,,,,,,,,
Billardiera cymosa,"CVU, Glep, Gold, GGr, LoM, MuM, RobP, VVP, Wim, *GipP.",  ,,,,,,,,,,,,,,
Billardiera cymosa subsp. cymosa,"Glep, GGr, LoM, MuM, Wim. Mainly occurs in mallee vegetation or open woodland in the Wimmera, with isolated records further south near Nelson, and north in the Big Desert and Wyperfeld National Park.", mainly occurs in mallee vegetation or openwoodland in the wimmera with isolated records further south near nelson and north in the big desert and wyperfeld national park ,,,woodland_open mallee,openwoodland mallee openwoodland,,,,,,,,,,
Billardiera cymosa subsp. pseudocymosa,"LoM, MuM, RobP, *GipP. Also SA. Largely restricted to mallee vegetation in far north-western Victoria from Wyperfeld to Mildura, with isolated occurrences in the Little Desert.", largely restricted to mallee vegetation in far northwestern victoria from wyperfeld to mildura with isolated occurrences in the little desert ,,,mallee,mallee,,,,,,,,,,
Billardiera fusiformis,"*CVU, *DunT, *EGL, *GipP, *Glep, *Gold, *GGr, *HNF, *HSF, *OtP, *OtR. A hardy, commonly cultivated twiner, escaping via bird-dispersed seed or garden refuse into native bushland in several outer Melbourne suburbs, near-coastal areas on the Mornington Peninsula (Dromana, Hastings area) and in the east at Bemm River.", a hardy commonly cultivated twiner escaping via birddispersed seed or garden refuse into native bushland in several outer melbourne suburbs nearcoastal areas on the mornington peninsula dromana hastings area and in the east at bemm river ,,,cultivated urban,cultivated garden,,,,,,,,,,
Billardiera macrantha,"CVU, EGL, EGU, GipP, GGr, HFE, HNF, HSF, MonT, NIS, OtP, OtR, SnM, Strz, VAlp, VRiv, WPro. Also NSW, ACT, Tas. Common in tall open-forests of the Otways and mountain ranges east of Melbourne, with isolated occurrences at Mt Macedon and the Grampians.", common in tall openforests of the otways and mountain ranges east of melbourne with isolated occurrences at mt macedon and the grampians ,common,common,forest_open,openforests,,,,,,,,,,
Billardiera mutabilis,"CVU, DunT, EGL, EGU, GipP, Glep, GGr, HFE, HNF, HSF, MonT, NIS, OtP, OtR, SnM, Strz, VAlp, VRiv, VVP, WaP, WPro, Wim. Common in heathland, woodland and forests from near sea-level to the subalps.", common in heathland woodland and forests from near sealevel to the subalps ,common,common,heath subalpine forest woodland,heathland subalps forests woodland,,,,,,,,,,
Billardiera scandens,"CVU, EGL, GipP, HNF, HSF, NIS, VAlp, VRiv, VVP, WPro. Apparently uncommon in Victoria, occurring chiefly in dry open-forests and woodlands in the north-east (Beechworth, Whitfield etc.), with isolated occurrences near Mt Macedon, Eltham-Hurstbridge area, Eildon and Orbost.", apparently uncommon in victoria occurring chiefly in dry openforests and woodlands in the northeast beechworth whitfield etc with isolated occurrences near mt macedon elthamhurstbridge area eildon and orbost ,uncommon,uncommon,forest_open woodland,openforests woodlands woodlands,dry,dry,,,,,,,,
Billardiera versicolor,"CVU, Glep, Gold, GGr, LoM, MuM, OtP, Wim. Locally common in the western half of the State, occurring on deep sands, sandy loams and shallow or stony soils, chiefly in mallee areas, but occasional in drier woodland and scrub, extending towards Melbourne in the Bacchus Marsh-Little River area, and into south-western Victoria.", locallycommon in the western half of the state occurring on deep sands sandy loams and shallow or stony soils chiefly in mallee areas but occasional in drywoodland and scrub extending towards melbourne in the bacchus marshlittle river area and into southwestern victoria ,common_locally,locallycommon,woodland_dry mallee scrub,drywoodland mallee scrub,,,,,,,loam sand,loams sands sandy,,
Blackstonia perfoliata,*Glep. Also naturalised SA. Native to Europe and Mediterranean area. Known in Victoria by 3 collections from the far south-west where (as in SA occurrences) apparently confined to shallow soils derived from limestone., also naturalised native to europe and mediterranean area known in victoria by 3 collections from the far southwest where as in sa occurrences apparently confined to shallowsoils derived from limestone ,,,,,,,,,,,soils_shallow,shallowsoils,calcareous,limestone
Blechnum cartilagineum,"CVU, EGL, EGU, GipP, Glep, HFE, HNF, HSF, NIS, OtP, OtR, SnM, Strz, VAlp, VVP, WaP, WPro. Also Qld, NSW, Tas. Philippines. Occurs commonly at forest margins or in canopy breaks, including swampy areas such as stream banks, open gullies and hillsides.", philippines occurs commonly at forest margins or in canopy breaks including swampy areas such as streambankss open gullies and hillsides ,,,streambanks swamp forest,streambankss swampy forest,wet,swampy,gullies hills streambanks,gullies hillsides streambankss streambankss,,,,,,
Blechnum chambersii,"CVU, DunT, EGL, EGU, GipP, Glep, GGr, HFE, HNF, HSF, OtP, OtR, Strz, VAlp, VVP, WaP, WPro. Also SA, Qld, NSW, Tas. (including King Is.), Norfolk Is. New Zealand, Fiji. Usually found near creeks in shady, moist forests where it grows in erect tufts on the forest floor or among rocks, or with downward arching fronds on wet banks, fallen logs at the bases of tree-ferns.", including king is norfolk is new zealand fiji usually found near creeks in shady moist forests where it grows in erect tufts on the forest floor or among rocks or with downward arching fronds on wet banks fallen logs at the bases of treeferns ,,,forest,forests,wet,moist wet,,,,,,,,
Blechnum deltoides,"HSF, VAlp. Also Tas. New Zealand. Known on the mainland only from a few sites near Bryces Gorge, Snowy Range, where it was first recorded in 1980 growing among rocks on wet peaty ground in a steep, shaded gully.", new zealand known on the mainland only from a few sites near bryces gorge snowy range where it was first recorded in 1980 growing among rocks on wet peaty ground in a steep shaded gully ,,,,,wet,wet,,,,,peat,peaty,,
Blechnum fluviatile,"CVU, EGU, GipP, Gold, HFE, HNF, HSF, MonT, NIS, OtP, OtR, SnM, Strz, VAlp, VRiv, VVP, WPro. Also NSW, Tas., New Zealand. Grows in high rainfall areas of the State, in mountain gullies, beside streams or on shaded road embankments where frequently abundant, often ascending to subalps.", new zealand grows in high rainfall areas of the state in mountain gullies beside streams or on shaded road embankments where frequently abundant often ascending to subalps ,abundant,abundant,subalpine,subalps,,,gullies,gullies,,,,,,
Blechnum minus,"CVU, DunT, EGL, EGU, GipP, Glep, Gold, GGr, HFE, HNF, HSF, MonT, NIS, OtP, OtR, SnM, Strz, VAlp, VRiv, VVP, WaP, WPro. Also SA, Qld, NSW, Tas. (including Flinders Is. and King Is.). New Zealand. A large, sometimes relatively harsh fern of forested areas, occurring in stream beds, along creek banks and on swamp margins, occasionally growing epiphytically on tree-fern trunks or fallen logs. Juvenile or sterile, suppressed adult plants are commonly found in swampy Tea-tree thickets and along heavily shaded stream margins.", including flinders is and king is new zealand a large sometimes relatively harsh fern of forested areas occurring in stream beds along creek banks and on swampmargins occasionally growing epiphytically on treefern trunks or fallen logs juvenile or sterile suppressed adult plants are commonly found in swampy teatree thickets and along heavily shaded stream margins ,,,swamp_margin swamp thickets forest,swampmargins swampy thickets forested,wet,swampy,,,,,,,,
Blechnum neohollandicum,"EGL, EGU, GipP, HFE. New Zealand. Also Qld, NSW, Vic, Tas. Usually found on forested, often rocky stream banks (more rarely in drier habitats) east from about Bairnsdale, frequently forming extensive colonies.", new zealand vic usually found on forested often rocky streambankss more rarelyindry habitats east from about bairnsdale frequently forming extensive colonies ,,,streambanks forest,streambankss forested,,,streambanks,streambankss streambankss,,,rocky,rocky,,
Blechnum nudum,"CVU, DunT, EGL, EGU, GipP, Glep, Gold, GGr, HFE, HNF, HSF, MonT, NIS, OtP, OtR, SnM, Strz, VAlp, VRiv, VVP, WaP, WPro. Also SA, Qld, NSW, Tas. (including Bass Strait islands). Common along forested stream banks, in deeply shaded gullies and alluvial flats, occasional in more exposed situations in poorly drained areas.", including bass strait islands common along forested streambankss in deeply shaded gullies and alluvial flats occasional in more exposed situations in poorly drained areas ,common,common,streambanks forest,streambankss forested,,,flats gullies streambanks,flats gullies streambankss streambankss,,,alluvial,alluvial,alluvium,alluvial
Blechnum parrisiae,"CVU, EGL, EGU, GipP, Gold, GGr, HFE, HNF, HSF, NIS, OtP, OtR, Strz, VAlp, VVP, WaP, WPro. Also Qld, NSW (including Lord Howe Isl), ACT, Tas.,. New Zealand, New Caledonia. Almost coextensive with Blechnum rupestre in Victoria, occurring north of the Great Dividing Range in a few areas (e.g. upper Jamieson River, Strathbogie Ranges, Beechworth, Walwa area); spreads rapidly by runners and forms ground cover in open-forests, particularly near rivers, and in exposed habitats such as rock crevices or boulder-strewn slopes.", nsw including lord howe isl  new zealand new caledonia almost coextensive with blechnum rupestre in victoria occurring north of the great dividing range in a few areas eg upper jamieson river strathbogie ranges beechworth walwa area spreads rapidly by runners and forms ground cover in openforests particularly near rivers and in exposed habitats such as rock crevices or boulderstrewn slopes ,,,forest_open,openforests,,,slopes,slopes,,,,,,
Blechnum patersonii,"EGL, EGU, GipP, HFE, HNF, HSF, OtP, OtR, Strz, VAlp, VRiv, WPro.",  ,,,,,,,,,,,,,,
Blechnum patersonii subsp. patersonii,"EGL, EGU, GipP, HFE, HNF, HSF, OtP, OtR, Strz, VAlp, VRiv, WPro. Occurs on heavily shaded banks near streams or gully slopes of cool- and warm-temperate rainforest on and south of the Great Dividing Range, occasionally among boulders and near waterfalls.", occurs on heavily shaded banks near streams or gully slopes of cool and warmtemperaterainforest on and south of the great dividing range occasionally among boulders and near waterfalls ,,,rainforest_warm_temperate,warmtemperaterainforest,,,slopes,slopes,,,,,,
Blechnum penna-marina,"EGL, EGU, HFE, HNF, HSF, MonT, NIS, SnM, VAlp, VRiv.",  ,,,,,,,,,,,,,,
Blechnum penna-marina subsp. alpina,"EGL, EGU, HFE, HNF, HSF, MonT, NIS, SnM, VAlp. NSW, ACT, Vic, Tas, MI. Almost exclusively alpine in Victoria, forming small colonies in exposed, flat and boggy areas (commonly growing through Sphagnum moss hummocks), near streams, rocky areas irrigated by melting snow, but also sometimes found in moist, shaded areas down to about the snowline.", vic mi almost exclusively alpine in victoria forming small colonies in exposed flat and boggy areas commonly growing through sphagnum moss hummocks near streams rocky areas irrigated by melting snow but also sometimes found in moist shaded areas down to about the snowline ,,,,,wet,boggy moist,,,,,rocky,rocky,,
Blechnum rupestre,"CVU, DunT, EGL, EGU, GipP, GGr, HSF, OtP, OtR, Strz, VAlp, VVP, WaP. Also WA, NT, SA, Qld, NSW, Tas. Typically occurs on steep creek-banks or in seepage areas in forests of southern Victoria, from near Hamilton in the west to the NSW border beyond Mallacoota in the east.", typically occurs on steep creekbanks or in seepage areas in forests of southern victoria from near hamilton in the west to the nsw border beyond mallacoota in the east ,,,streambanks forest,creekbanks forests,wet,seepage,seepages streambanks,seepage creekbanks,,,,,,
