vial,stage,sp,rep,repeat,nm,ecto,hyp,ves,arb,total,total.am,arbuscles%,hyphae%,vesicles%,AM%,EM%
44,QM,Acacia rostellifera,10,1,135,10,6,8,2,161,16,1.242236025,3.726708075,4.968944099,9.937888199,6.211180124
62,QM,Melaleuca systena,1,1,85,3,7,7,0,102,14,0,6.862745098,6.862745098,13.7254902,2.941176471
63,QM,Melaleuca systena,2,1,121,1,13,13,3,151,29,1.986754967,8.609271523,8.609271523,19.20529801,0.662251656
64,QM,Melaleuca systena,3,1,102,12,17,17,4,152,38,2.631578947,11.18421053,11.18421053,25,7.894736842
65,QM,Melaleuca systena,4,1,129,8,7,7,5,156,19,3.205128205,4.487179487,4.487179487,12.17948718,5.128205128
66,QM,Melaleuca systena,5,1,137,7,4,4,2,154,10,1.298701299,2.597402597,2.597402597,6.493506494,4.545454545
68,QM,Melaleuca systena,7,1,109,8,15,15,6,153,36,3.921568627,9.803921569,9.803921569,23.52941176,5.22875817
6,QM,Melaleuca systena,8,1,127,6,9,9,3,154,21,1.948051948,5.844155844,5.844155844,13.63636364,3.896103896
69,QM,Melaleuca systena,9,1,88,7,9,9,5,118,23,4.237288136,7.627118644,7.627118644,19.49152542,5.93220339
70,QM,Melaleuca systena,10,1,84,5,5,5,1,100,11,1,5,5,11,5
45,SW,Allocasuarina humilis,1,1,93,4,25,25,6,153,56,3.921568627,16.33986928,16.33986928,36.60130719,2.614379085
46,SW,Allocasuarina humilis,2,1,110,16,13,10,4,153,27,2.614379085,8.496732026,6.535947712,17.64705882,10.45751634
47,SW,Allocasuarina humilis,3,1,112,15,10,10,4,151,24,2.649006623,6.622516556,6.622516556,15.89403974,9.933774834
48,SW,Allocasuarina humilis,4,1,113,17,12,12,3,157,27,1.910828025,7.643312102,7.643312102,17.19745223,10.82802548
49,SW,Allocasuarina humilis,5,1,104,4,10,10,3,131,23,2.290076336,7.633587786,7.633587786,17.55725191,3.053435115
50,SW,Allocasuarina humilis,6,1,103,9,19,19,4,154,42,2.597402597,12.33766234,12.33766234,27.27272727,5.844155844
51,SW,Allocasuarina humilis,7,1,74,12,11,11,2,110,24,1.818181818,10,10,21.81818182,10.90909091
52,SW,Allocasuarina humilis,8,1,52,11,19,19,2,103,40,1.941747573,18.44660194,18.44660194,38.83495146,10.67961165
