Family,Species,Distribution,EPBC Act,Putative IUCN category,Isolated from plant tissue,No response,Mild response,Severe reposnse,Habitat suitability,Risk,Expert change / reason for change,suggested_name,accepted_name,family,taxon_distribution
MYRTACEAE,Eucalyptus litorea,w,,V,,,Shearer & Crane (unpub. data),,Suitable,Low,,Eucalyptus litorea,Eucalyptus litorea,Myrtaceae,WA
MYRTACEAE,Eucalyptus macrorhyncha,"a,n,s,v",,,"Cahill (pers. comm.), Pratt & Heather (1973), Weste (2001)",McDougall (pers. comm.),VNPS (1995),Weste (2001),Suitable,Low,,Eucalyptus macrorhyncha,Eucalyptus macrorhyncha,Myrtaceae,"SA, NSW, ACT, Vic"
MYRTACEAE,Eucalyptus mannifera,"a,n,v",,,Pratt & Heather (1973),,,,Suitable,Low,,Eucalyptus mannifera,Eucalyptus mannifera,Myrtaceae,"NSW, ACT, Vic"
MYRTACEAE,Eucalyptus marginata,w,,,"Belhaj et al. (2018), Podger (1972), Podger & Batini (1971), Podger (1968), Pratt & Heather (1973), Shearer & Dillon (1995), Shearer & Dillon (1996)",,"Belhaj et al. (2018), Podger (1972), Wills (1993)",Shearer & Dillon (1996),Suitable,Low,,Eucalyptus marginata,Eucalyptus marginata,Myrtaceae,WA
MYRTACEAE,Eucalyptus megacarpa,w,,,,Gardner & Rokich (1987),,,Suitable,Low,,Eucalyptus megacarpa,Eucalyptus megacarpa,Myrtaceae,WA
MYRTACEAE,Eucalyptus merrickiae,w,V,,,,,Shearer & Crane (unpub. data),Suitable,Moderate,,Eucalyptus merrickiae,Eucalyptus merrickiae,Myrtaceae,WA
MYRTACEAE,Eucalyptus microcarpa,"n,q,s,v",,,Kueh (2011),,Kueh (2011),,Suitable,Low,,Eucalyptus microcarpa,Eucalyptus microcarpa,Myrtaceae,"SA, Qld, NSW, Vic"
MYRTACEAE,Eucalyptus mimica,w,,V,,,,Shearer & Crane (unpub. data),Suitable,Moderate,,Eucalyptus mimica,Eucalyptus mimica,Myrtaceae,WA
MYRTACEAE,Eucalyptus misella,w,,E,,,Shearer & Crane (unpub. data),,Suitable,Moderate,,Eucalyptus misella,Eucalyptus misella,Myrtaceae,WA
MYRTACEAE,Eucalyptus moderata,w,,,,,Shearer & Crane (unpub. data),,Suitable,Low,,Eucalyptus moderata,Eucalyptus moderata,Myrtaceae,WA
MYRTACEAE,Eucalyptus nicholii,n,,,,Roleybushcare (2022),,,Suitable,Low,,Eucalyptus nicholii,Eucalyptus nicholii,Myrtaceae,NSW
MYRTACEAE,Eucalyptus nitens,"n,v",,,"Cahill (pers. comm.), Podger (1989)",,,,Suitable,Low,,Eucalyptus nitens,Eucalyptus nitens,Myrtaceae,"NSW, Vic"
MYRTACEAE,Eucalyptus nitida,t,,,Podger et al. (1990),Rudman (pers. comm.),,,Suitable,Low,,Eucalyptus nitida,Eucalyptus nitida,Myrtaceae,Tas
MYRTACEAE,Eucalyptus obliqua,"n,q,s,t,v",,,"Cahill (pers. comm.), Lee & Wicks (1977), Podger & Batini (1971), Podger et al. (1990), Pratt & Heather (1973), Vickery (1997), Weste (2001)",,"Rudman (pers. comm.), VNPS (1995) , Velzeboer (pers. comm.)",Weste (2001),Suitable,Low,,Eucalyptus obliqua,Eucalyptus obliqua,Myrtaceae,"SA, Qld, NSW, Vic, Tas"
MYRTACEAE,Eucalyptus occidentalis,w,,,Shivas (1989),"Gardner & Rokich (1987), Barrett (pers. comm.)",,,Suitable,Low,,Eucalyptus occidentalis,Eucalyptus occidentalis,Myrtaceae,"WA, Vic (naturalised)"
MYRTACEAE,Eucalyptus odorata,s,,,Kueh (2011),,,Kueh (2011),Suitable,Low,,Eucalyptus odorata [alternative possible names: Eucalyptus cajuputea (pro parte misapplied)],Eucalyptus odorata,Myrtaceae,SA
MYRTACEAE,Eucalyptus ovata,"n,q,t,v",,,Podger et al. (1990),"Rudman (pers. comm.), Groves et al. (2009)",,,Suitable,Low,,Eucalyptus ovata,Eucalyptus ovata,Myrtaceae,"SA, NSW, Vic, Tas"
MYRTACEAE,Eucalyptus pachyloma,w,,,,Wills (1993),,,Suitable,Low,,Eucalyptus pachyloma,Eucalyptus pachyloma,Myrtaceae,WA
MYRTACEAE,Eucalyptus paniculata,n,,,Podger & Batini (1971),,,,Suitable,Low,,Eucalyptus paniculata,Eucalyptus paniculata,Myrtaceae,NSW
MYRTACEAE,Eucalyptus parvula,n,V,,,Wan et al. (2019),,,Suitable,Low,,Eucalyptus parvula,Eucalyptus parvula,Myrtaceae,NSW
MYRTACEAE,Eucalyptus patens,w,,,,Gardner & Rokich (1987),,,Suitable,Low,,Eucalyptus patens,Eucalyptus patens,Myrtaceae,WA
MYRTACEAE,Eucalyptus pauciflora,"a,n,q,s,t,v",,,"Cahill (pers. comm.), Podger & Batini (1971), Taylor (1974), Weste (2001)",Groves et al. (2009),,,Suitable,Low,,Eucalyptus pauciflora,Eucalyptus pauciflora,Myrtaceae,"SA, Qld, NSW, ACT, Vic, Tas"
MYRTACEAE,Eucalyptus pendens,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Eucalyptus pendens,Eucalyptus pendens,Myrtaceae,WA
MYRTACEAE,Eucalyptus pileata,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Eucalyptus pileata [alternative possible names: Eucalyptus cyanophylla (pro parte misapplied) | Eucalyptus cyanophylla (misapplied)],Eucalyptus pileata,Myrtaceae,WA
MYRTACEAE,Eucalyptus pilularis,"n,q",,,"Podger & Batini (1971), Pratt & Heather (1973)",,,,Suitable,Low,,Eucalyptus pilularis,Eucalyptus pilularis,Myrtaceae,"Qld, NSW"
MYRTACEAE,Eucalyptus piperita,n,,,Pratt & Heather (1973),,,,Suitable,Low,,Eucalyptus piperita,Eucalyptus piperita,Myrtaceae,NSW
MYRTACEAE,Eucalyptus platydisca,w,V,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Eucalyptus platydisca,Eucalyptus platydisca,Myrtaceae,WA
MYRTACEAE,Eucalyptus polyanthemos,"a,n,v",,,Taylor (1974),,,,Suitable,Low,,Eucalyptus polyanthemos,Eucalyptus polyanthemos,Myrtaceae,"NSW, ACT, Vic"
MYRTACEAE,Eucalyptus praetermissa,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Eucalyptus praetermissa,Eucalyptus praetermissa,Myrtaceae,WA
MYRTACEAE,Eucalyptus preissiana subsp. lobata,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Eucalyptus preissiana subsp. lobata,Eucalyptus preissiana subsp. lobata,Myrtaceae,WA
MYRTACEAE,Eucalyptus pulchella,t,,,Podger et al. (1990),Rudman (pers. comm.),,,Suitable,Low,,Eucalyptus pulchella,Eucalyptus pulchella,Myrtaceae,Tas
MYRTACEAE,Eucalyptus purpurata,w,,CE,,,,Shearer & Crane (unpub. data),Marginal,High,"Disease unlikely in this habitat, changed to High",Eucalyptus purpurata,Eucalyptus purpurata,Myrtaceae,WA
MYRTACEAE,Eucalyptus quaerenda,w,,V,,,,Shearer & Crane (unpub. data),Suitable,Moderate,,Eucalyptus quaerenda,Eucalyptus quaerenda,Myrtaceae,WA
MYRTACEAE,Eucalyptus racemosa,"n,q",,,Podger & Batini (1971),,,,Suitable,Low,,Eucalyptus racemosa,Eucalyptus racemosa,Myrtaceae,"Qld, NSW"
MYRTACEAE,Eucalyptus radiata,"a,n,q,t,v",,,"Cahill (pers. comm.), Podger & Batini (1971), Pratt & Heather (1973), Weste (2001)",,VNPS (1995),,Suitable,Low,,Eucalyptus radiata,Eucalyptus radiata,Myrtaceae,"Qld, NSW, ACT, Vic, Tas"
MYRTACEAE,Eucalyptus recta,w,E,,,,,Shearer & Crane (unpub. data),Suitable,High,,Eucalyptus recta,Eucalyptus recta,Myrtaceae,WA
MYRTACEAE,Eucalyptus regnans,"t,v",,,"Cahill (pers. comm.), Pratt & Heather (1973), Weste (2001)",Rudman (pers. comm.),VNPS (1995),Weste (2001),Suitable,Low,,Eucalyptus regnans,Eucalyptus regnans,Myrtaceae,"Vic, Tas"
MYRTACEAE,Eucalyptus rhodantha,w,,V,,,,Shearer & Crane (unpub. data),Suitable,Moderate,,Eucalyptus rhodantha,Eucalyptus rhodantha,Myrtaceae,WA
MYRTACEAE,Eucalyptus robusta,"n,q",,,,Roleybushcare (2022),,,Suitable,Low,,Eucalyptus robusta,Eucalyptus robusta,Myrtaceae,"Qld, NSW"
MYRTACEAE,Eucalyptus rossii,"a,n",,,Pratt & Heather (1973),,,,Suitable,Low,,Eucalyptus rossii,Eucalyptus rossii,Myrtaceae,"NSW, ACT"
MYRTACEAE,Eucalyptus rudis,w,,,,Gardner & Rokich (1987),,,Suitable,Low,,Eucalyptus rudis,Eucalyptus rudis,Myrtaceae,WA
MYRTACEAE,Eucalyptus saligna,"n,q",,,Pratt & Heather (1973),,,,Suitable,Low,,Eucalyptus saligna,Eucalyptus saligna,Myrtaceae,"WA (naturalised), Qld, NSW, Vic (doubtfully naturalised)"
MYRTACEAE,Eucalyptus salmonophloia,w,,,,Groves et al. (2009),,,Suitable,Low,,Eucalyptus salmonophloia,Eucalyptus salmonophloia,Myrtaceae,WA
MYRTACEAE,Eucalyptus scyphocalyx,w,,,,,Shearer & Crane (unpub. data),,Suitable,Low,,Eucalyptus scyphocalyx,Eucalyptus scyphocalyx,Myrtaceae,WA
MYRTACEAE,Eucalyptus sieberi,"a,n,t,v",,,"Kueh (2011), Podger & Batini (1971), Weste (2001)",,"McDougall (pers. comm.), Rudman (pers. comm.)",Weste (2001),Suitable,Low,,Eucalyptus sieberi,Eucalyptus sieberi,Myrtaceae,"NSW, ACT, Vic, Tas"
MYRTACEAE,Eucalyptus sinuosa,w,,E,,,Shearer & Crane (unpub. data),,Suitable,Moderate,,Eucalyptus sinuosa,Eucalyptus sinuosa,Myrtaceae,WA
MYRTACEAE,Eucalyptus smithii,"n,v",,,University of Pretoria (2002),,,,Suitable,Low,,Eucalyptus smithii,Eucalyptus smithii,Myrtaceae,"NSW, Vic"
MYRTACEAE,Eucalyptus spathulata,w,,,,Hart (1983),,,Suitable,Low,,Eucalyptus spathulata,Eucalyptus spathulata,Myrtaceae,"WA, Vic (doubtfully naturalised)"
MYRTACEAE,Eucalyptus staeri,w,,,,,"Wills (1993), Freebury (pers. comm.)",,Suitable,Low,,Eucalyptus staeri,Eucalyptus staeri,Myrtaceae,WA
MYRTACEAE,Eucalyptus steedmanii,w,V,E,,,Shearer & Crane (unpub. data),,Suitable,Moderate,,Eucalyptus steedmanii,Eucalyptus steedmanii,Myrtaceae,WA
MYRTACEAE,Eucalyptus stoatei,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Eucalyptus stoatei,Eucalyptus stoatei,Myrtaceae,WA
MYRTACEAE,Eucalyptus subangusta subsp. virescens,w,,,,,Shearer & Crane (unpub. data),,Suitable,Low,,Eucalyptus subangusta subsp. virescens,Eucalyptus subangusta subsp. virescens,Myrtaceae,WA
MYRTACEAE,Eucalyptus suberea,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Eucalyptus suberea,Eucalyptus suberea,Myrtaceae,WA
MYRTACEAE,Eucalyptus subtilis,w,,V,,,Shearer & Crane (unpub. data),,Suitable,Low,,Eucalyptus subtilis,Eucalyptus subtilis,Myrtaceae,WA
MYRTACEAE,Eucalyptus tenera,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Eucalyptus tenera,Eucalyptus tenera,Myrtaceae,WA
MYRTACEAE,Eucalyptus tenuiramis,t,,,"Podger et al. (1990), Taylor (1974)",,,,Suitable,Low,,Eucalyptus tenuiramis,Eucalyptus tenuiramis,Myrtaceae,Tas
MYRTACEAE,Eucalyptus todtiana,w,,,"Hill (1990), Podger (1972)",,"Hill (1990), Podger (1972)",,Suitable,Low,,Eucalyptus todtiana,Eucalyptus todtiana,Myrtaceae,WA
MYRTACEAE,Eucalyptus uncinata,w,,,,Wills (1993),,,Suitable,Low,,Eucalyptus uncinata,Eucalyptus uncinata,Myrtaceae,WA
MYRTACEAE,Eucalyptus viminalis,"a,n,s,t,v",,,"Cahill (pers. comm.), Kueh (2011), Podger & Batini (1971), Pratt & Heather (1973), Weste (2001)",Rudman (pers. comm.),,Kueh (2011),Suitable,Low,,Eucalyptus viminalis [alternative possible names: Corymbia tessellaris (taxonomic synonym) | Eucalyptus dalrympleana subsp. dalrympleana (pro parte misapplied) | Eucalyptus diversifolia subsp. diversifolia (pro parte misapplied) | Eucalyptus nobilis (misapplied)],Eucalyptus viminalis,Myrtaceae,"SA, NSW, ACT, Vic, Tas"
MYRTACEAE,Eucalyptus wandoo,w,,,,Gardner & Rokich (1987),,,Suitable,Low,,Eucalyptus wandoo,Eucalyptus wandoo,Myrtaceae,WA
MYRTACEAE,Eucalyptus willisii,v,,,"Cahill (pers. comm.), Weste (2001)",,VNPS (1995),Weste (2001),Suitable,Low,,Eucalyptus willisii,Eucalyptus willisii,Myrtaceae,Vic
MYRTACEAE,Eucalyptus yarraensis,v,,,,Groves et al. (2009),,,Suitable,Low,,Eucalyptus yarraensis,Eucalyptus yarraensis,Myrtaceae,Vic
MYRTACEAE,Eucalyptus zopherophloia,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Eucalyptus zopherophloia,Eucalyptus zopherophloia,Myrtaceae,WA
MYRTACEAE,Euryomyrtus ramosissima subsp. prostrata,"n,t,v",,,Cahill (pers. comm.),,,,Suitable,Low,,Euryomyrtus ramosissima subsp. prostrata,Euryomyrtus ramosissima subsp. prostrata,Myrtaceae,"NSW, Vic, Tas"
MYRTACEAE,Gossia grayi,q,,,,Worboys et al. (2003),,,Suitable,Low,,Gossia grayi,Gossia grayi,Myrtaceae,Qld
MYRTACEAE,Homalocalyx coarctatus,w,,,Taylor (1974),,,,Unsuitable,Low,,Homalocalyx coarctatus,Homalocalyx coarctatus,Myrtaceae,WA
MYRTACEAE,Homalospermum firmum,w,,,,Barrett (pers. comm.),,,Suitable,Low,,Homalospermum firmum,Homalospermum firmum,Myrtaceae,WA
MYRTACEAE,Hypocalymma angustifolium,w,,,"Podger (1968), Shearer & Dillon (1996)","McDougall (1997), Shearer & Dillon (1996)",,,Suitable,Low,,Hypocalymma angustifolium,Hypocalymma angustifolium,Myrtaceae,WA
MYRTACEAE,Hypocalymma cordifolium,w,,,"Podger (1968), Shivas (1989)",Barrett (pers. comm.),,,Suitable,Low,,Hypocalymma cordifolium,Hypocalymma cordifolium,Myrtaceae,WA
MYRTACEAE,Hypocalymma myrtifolium,w,,,,"Wills (1993), Barrett (pers. comm.)",,,Suitable,Low,,Hypocalymma myrtifolium,Hypocalymma myrtifolium,Myrtaceae,WA
MYRTACEAE,Hypocalymma phillipsii,w,,,,Barrett (pers. comm.),,,Suitable,Low,,Hypocalymma phillipsii,Hypocalymma phillipsii,Myrtaceae,WA
MYRTACEAE,Hypocalymma robustum,w,,,"Hill (1990), Podger (1968), Shearer & Dillon (1995), Shearer & Dillon (1996), Shivas (1989), DBCA (2021)",,"Hill (1990), Shearer & Dillon (1996)",,Suitable,Low,,Hypocalymma robustum,Hypocalymma robustum,Myrtaceae,WA
MYRTACEAE,Hypocalymma speciosum,w,,E,,"Wills (1993), Barrett (pers. comm.)",Moore (2005),,Suitable,Moderate,,Hypocalymma speciosum,Hypocalymma speciosum,Myrtaceae,WA
MYRTACEAE,Hypocalymma strictum,w,,,,,,Wills (1993),Suitable,Low,,Hypocalymma strictum,Hypocalymma strictum,Myrtaceae,WA
MYRTACEAE,Kunzea ericifolia,w,,,"Shivas (1989), DBCA (2021)",,Freebury (pers. comm.),,Suitable,Low,,Kunzea ericifolia [alternative possible names: Kunzea muelleri (nomenclatural synonym) | Kunzea glabrescens (pro parte misapplied)],Kunzea ericifolia,Myrtaceae,WA
MYRTACEAE,Kunzea micrantha subsp. hirtiflora,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Kunzea micrantha subsp. hirtiflora,Kunzea micrantha subsp. hirtiflora,Myrtaceae,WA
MYRTACEAE,Kunzea montana,w,,V,"Barrett (pers. comm.), DBCA (2021)",,"Barrett (1996), Shearer & Crane (unpub. data)",,Suitable,Low,,Kunzea montana,Kunzea montana,Myrtaceae,WA
MYRTACEAE,Kunzea muelleri,"a,n,v",,,,Rigg et al. (2018),,,Unsuitable,Low,,Kunzea muelleri [alternative possible names: Kunzea juniperoides subsp. juniperoides (pro parte misapplied) | Kunzea dactylota (misapplied) | Kunzea juniperoides subsp. juniperoides (misapplied)],Kunzea muelleri,Myrtaceae,"NSW, ACT, Vic"
MYRTACEAE,Kunzea parvifolia,"a,n,v",,,Cahill (pers. comm.),,,,Suitable,Low,,Kunzea parvifolia,Kunzea parvifolia,Myrtaceae,"WA (naturalised), Qld, NSW, ACT, Vic"
MYRTACEAE,Kunzea pomifera,"s,v",,,"Kueh (2011), Taylor (1974)",,,Kueh (2011),Suitable,Low,,Kunzea pomifera,Kunzea pomifera,Myrtaceae,"SA, Vic"
MYRTACEAE,Kunzea preissiana,w,,,,Wills (1993),,,Suitable,Low,,Kunzea preissiana [alternative possible names: Kunzea strigosa (pro parte misapplied)],Kunzea preissiana,Myrtaceae,WA
MYRTACEAE,Kunzea recurva,w,,,"Taylor (1974), DBCA (2021)",,,Wills (1993),Suitable,Low,,Kunzea recurva,Kunzea recurva,Myrtaceae,WA
MYRTACEAE,Kunzea similis,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Kunzea similis,Kunzea similis,Myrtaceae,WA
MYRTACEAE,Kunzea sulphurea,w,,V,DBCA (2021),,,,Suitable,Moderate,,Kunzea sulphurea,Kunzea sulphurea,Myrtaceae,WA
MYRTACEAE,Leptospermum continentale,"a,n,s,v",,,"Cahill (pers. comm.), Kueh (2011), Lee & Wicks (1977), Vickery (1997), Weste (2001)",Groves et al. (2009),"McDougall (pers. comm.), VNPS (1995)",Kueh (2011),Suitable,Low,,Leptospermum continentale,Leptospermum continentale,Myrtaceae,"SA, NSW, ACT, Vic"
MYRTACEAE,Leptospermum coriaceum,"n,s,v",,,Taylor (1974),,,,Mostly unsuitable,Low,,Leptospermum coriaceum,Leptospermum coriaceum,Myrtaceae,"SA, NSW, Vic"
MYRTACEAE,Leptospermum erubescens,w,,,,Wills (1993),,,Suitable,Low,,Leptospermum erubescens,Leptospermum erubescens,Myrtaceae,WA
MYRTACEAE,Leptospermum glaucescens,t,,,"Podger et al. (1990), Schahinger et al. (2003)",,,"Rudman (pers. comm.), Schahinger et al. (2003)",Suitable,Low,,Leptospermum glaucescens,Leptospermum glaucescens,Myrtaceae,Tas
MYRTACEAE,Leptospermum juniperinum,"n,q",,,"Kueh (2011), Taylor (1974)",,Velzeboer (pers. comm.),Kueh (2011),Suitable,Low,,Leptospermum juniperinum,Leptospermum juniperinum,Myrtaceae,"Qld, NSW"
MYRTACEAE,Leptospermum lanigerum,"a,n,s,t,v",,,Taylor (1974),,,,Suitable,Low,,Leptospermum lanigerum,Leptospermum lanigerum,Myrtaceae,"SA, NSW, ACT, Vic, Tas"
MYRTACEAE,Leptospermum myrsinoides,"n,s,v",,,"Cahill (pers. comm.), Kueh (2011), Weste (2001)",Groves et al. (2009),VNPS (1995),Kueh (2011),Suitable,Low,,Leptospermum myrsinoides,Leptospermum myrsinoides,Myrtaceae,"SA, NSW, Vic"
MYRTACEAE,Leptospermum scoparium,"n,t,v",,,"Podger (1989), Podger et al. (1990)","McDougall (pers. comm.), Groves et al. (2009)",,,Suitable,Low,,Leptospermum scoparium,Leptospermum scoparium,Myrtaceae,"NSW, Vic, Tas"
MYRTACEAE,Leptospermum trinervium,"a,n,q,v",,,,,Howard et al. (2004),,Suitable,Low,,Leptospermum trinervium,Leptospermum trinervium,Myrtaceae,"Qld, NSW, ACT, Vic"
MYRTACEAE,Lophostemon confertus,"n,q",,,Pratt & Heather (1973),,,,Suitable,Low,,Lophostemon confertus,Lophostemon confertus,Myrtaceae,"Qld, NSW (native and naturalised)"
MYRTACEAE,Melaleuca agathosmoides,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Melaleuca agathosmoides,Melaleuca agathosmoides,Myrtaceae,WA
MYRTACEAE,Melaleuca araucarioides,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Melaleuca araucarioides,Melaleuca araucarioides,Myrtaceae,WA
MYRTACEAE,Melaleuca armillaris,"n,s,t,v",,,,Roleybushcare (2022),,,Suitable,Low,,Melaleuca armillaris,Melaleuca armillaris,Myrtaceae,"WA (naturalised), SA (native and naturalised), NSW, ACT (naturalised), Vic (native and naturalised), Tas (native and naturalised)"
MYRTACEAE,Melaleuca boeophylla,w,,E,,,,Shearer & Crane (unpub. data),Suitable,High,,Melaleuca boeophylla,Melaleuca boeophylla,Myrtaceae,WA
MYRTACEAE,Melaleuca cuticularis,"s,w",,,,"Wills (1993), Barrett (pers. comm.)",,,Suitable,Low,,Melaleuca cuticularis,Melaleuca cuticularis,Myrtaceae,"WA, SA"
MYRTACEAE,Melaleuca decussata,"s,v",,,,Roleybushcare (2022),,,Suitable,Low,,Melaleuca decussata,Melaleuca decussata,Myrtaceae,"SA, Vic (native and naturalised)"
MYRTACEAE,Melaleuca dempta,w,,E,,,Shearer & Crane (unpub. data),,Suitable,Moderate,,Melaleuca dempta,Melaleuca dempta,Myrtaceae,WA
MYRTACEAE,Melaleuca densa,w,,,,Barrett (pers. comm.),,,Suitable,Low,,Melaleuca densa,Melaleuca densa,Myrtaceae,"WA, Vic (doubtfully naturalised)"
MYRTACEAE,Melaleuca diosmifolia,w,,V,,Gardner & Rokich (1987),Shearer & Crane (unpub. data),,Suitable,Low,,Melaleuca diosmifolia,Melaleuca diosmifolia,Myrtaceae,"WA (native and naturalised), Vic (naturalised)"
MYRTACEAE,Melaleuca elliptica,w,,,Taylor (1974),,,,Mostly unsuitable,Low,,Melaleuca elliptica,Melaleuca elliptica,Myrtaceae,WA
MYRTACEAE,Melaleuca ericifolia,"n,t,v",,,,Roleybushcare (2022),,,Suitable,Low,,Melaleuca ericifolia [alternative possible names: Melaleuca howeana (pro parte misapplied) | Melaleuca brevifolia (misapplied) | Melaleuca howeana (misapplied)],Melaleuca ericifolia,Myrtaceae,"NSW, Vic, Tas"
MYRTACEAE,Melaleuca eximia,w,,E,,,,Shearer & Crane (unpub. data),Suitable,High,,Melaleuca eximia,Melaleuca eximia,Myrtaceae,WA
MYRTACEAE,Melaleuca fissurata,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Melaleuca fissurata,Melaleuca fissurata,Myrtaceae,WA
MYRTACEAE,Melaleuca gibbosa,"s,t,v",,,Podger et al. (1990),,,,Suitable,Low,,Melaleuca gibbosa,Melaleuca gibbosa,Myrtaceae,"SA, Vic, Tas"
MYRTACEAE,Melaleuca holosericea,w,,,,Tynan et al. (2001),,,Suitable,Low,,Melaleuca holosericea,Melaleuca holosericea,Myrtaceae,WA
MYRTACEAE,Melaleuca huttensis,w,,V,,,,Shearer & Crane (unpub. data),Suitable,Moderate,,Melaleuca huttensis,Melaleuca huttensis,Myrtaceae,WA
MYRTACEAE,Melaleuca incana,w,,,Taylor (1974),,,,Suitable,Low,,Melaleuca incana,Melaleuca incana,Myrtaceae,"WA, SA (doubtfully naturalised), Vic (naturalised)"
MYRTACEAE,Melaleuca incana subsp. Gingilup (N.Gibson & M.Lyons 593),w,,E,,,Shearer & Crane (unpub. data),,Suitable,Moderate,,Melaleuca incana subsp. Gingilup (N.Gibson & M.Lyons 593),Melaleuca incana subsp. Gingilup (N.Gibson & M.Lyons 593),Myrtaceae,WA
MYRTACEAE,Melaleuca lanceolata,"n,q,s,v,w",,,Shivas (1989),Gardner & Rokich (1987),,,Suitable,Low,,Melaleuca lanceolata,Melaleuca lanceolata,Myrtaceae,"WA (native and naturalised), SA, Qld, NSW, Vic"
MYRTACEAE,Melaleuca laxiflora,w,,,,Podger (1972),,,Suitable,Low,,Melaleuca laxiflora,Melaleuca laxiflora,Myrtaceae,WA
MYRTACEAE,Melaleuca leptospermoides,w,,,,,,Shearer & Crane (unpub. data),Suitable,Low,,Melaleuca leptospermoides,Melaleuca leptospermoides,Myrtaceae,WA
MYRTACEAE,Melaleuca leucadendra,"nt,q,w",,,,Roleybushcare (2022),,,Suitable,Low,,Melaleuca leucadendra,Melaleuca leucadendra,Myrtaceae,"WA, NT, Qld"
MYRTACEAE,Melaleuca macronychia,w,,,Taylor (1974),"Gardner & Rokich (1987), Shearer & Crane (unpub. data)",,,Suitable,Low,,Melaleuca macronychia,Melaleuca macronychia,Myrtaceae,WA
MYRTACEAE,Melaleuca nesophila,w,,,DBCA (2021),Gardner & Rokich (1987),,,Suitable,Low,,Melaleuca nesophila,Melaleuca nesophila,Myrtaceae,"WA (native and naturalised), SA (naturalised), Vic (naturalised)"
MYRTACEAE,Melaleuca oldfieldii,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Melaleuca oldfieldii,Melaleuca oldfieldii,Myrtaceae,WA
MYRTACEAE,Melaleuca ordinifolia,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Melaleuca ordinifolia,Melaleuca ordinifolia,Myrtaceae,WA
MYRTACEAE,Melaleuca penicula,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Melaleuca penicula,Melaleuca penicula,Myrtaceae,WA
MYRTACEAE,Melaleuca pentagona,w,,,Taylor (1974),Gardner & Rokich (1987),,,Suitable,Low,,Melaleuca pentagona,Melaleuca pentagona,Myrtaceae,WA (native and naturalised)
MYRTACEAE,Melaleuca preissiana,w,,,,Barrett (pers. comm.),,,Suitable,Low,,Melaleuca preissiana,Melaleuca preissiana,Myrtaceae,WA
MYRTACEAE,Melaleuca pritzelii,w,,,,Shearer & Crane (unpub. data),Barrett (pers. comm.),,Suitable,Low,,Melaleuca pritzelii,Melaleuca pritzelii,Myrtaceae,WA
MYRTACEAE,Melaleuca procera,w,,,,,,Shearer & Crane (unpub. data),Suitable,Low,,Melaleuca procera,Melaleuca procera,Myrtaceae,WA
MYRTACEAE,Melaleuca pulchella,w,,,,Gardner & Rokich (1987),,,Suitable,Low,,Melaleuca pulchella,Melaleuca pulchella,Myrtaceae,WA
MYRTACEAE,Melaleuca rhaphiophylla,w,,,,Barrett (pers. comm.),,,Suitable,Low,,Melaleuca rhaphiophylla,Melaleuca rhaphiophylla,Myrtaceae,WA
MYRTACEAE,Melaleuca ringens,w,,V,,,,Shearer & Crane (unpub. data),Suitable,High,,Melaleuca ringens,Melaleuca ringens,Myrtaceae,WA
MYRTACEAE,Melaleuca scabra,w,,,Hill (1990),,Hill (1990),,Suitable,Low,,Melaleuca scabra,Melaleuca scabra,Myrtaceae,WA
MYRTACEAE,Melaleuca sciotostyla,w,E,,,,,Shearer & Crane (unpub. data),Suitable,High,,Melaleuca sciotostyla,Melaleuca sciotostyla,Myrtaceae,WA
MYRTACEAE,Melaleuca sclerophylla,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Melaleuca sclerophylla,Melaleuca sclerophylla,Myrtaceae,WA
MYRTACEAE,Melaleuca sculponeata,w,,,,Shearer & Crane (unpub. data),,,Suitable,Low,,Melaleuca sculponeata,Melaleuca sculponeata,Myrtaceae,WA
MYRTACEAE,Melaleuca seriata,w,,,,Wills (1993),,,Suitable,Low,,Melaleuca seriata,Melaleuca seriata,Myrtaceae,WA
MYRTACEAE,Melaleuca sophisma,w,,CE,,Shearer & Crane (unpub. data),,,Suitable,Moderate,,Melaleuca sophisma,Melaleuca sophisma,Myrtaceae,WA
MYRTACEAE,Melaleuca spathulata,w,,,,"Gardner & Rokich (1987), Barrett (pers. comm.)",,,Suitable,Low,,Melaleuca spathulata,Melaleuca spathulata,Myrtaceae,WA
